map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules,ratio_delta_vs_ltm,expanded_delta_vs_ltm,ttfs_delta_vs_ltm
random-32-32-20,100,repair5e_caseb_ood_guard_distilled,3,3,1.0,1.2777344629866667,223.66666666666666,324.6666666666667,1.0,22157.666666666668,0.36186666666666667,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 9}",0.0,0.0,-1.0
random-32-32-20,100,repair5e_caseb_ood_guard_force_additive_parity,3,3,1.0,1.2777344629866667,223.66666666666666,329.3333333333333,1.0,22157.666666666668,0.0013333333333333333,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,3.6666666666666288
warehouse-10-20-10-2-1,50,always_additive_defer,3,3,1.0,1.0774394449566667,407.6666666666667,1315.3333333333333,1.0,20228.666666666668,0.0012333333333333332,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 6}",0.0,0.0,-7.6666666666667425
warehouse-10-20-10-2-1,50,lacam_star,3,3,1.0,1.0596392266699999,7536.666666666667,3091.7153000000003,1.0,,0.0,0.0,0.0,0.0,,,,{},-0.01780021828666678,7129.0,1768.7153000000003
warehouse-10-20-10-2-1,50,lacam_star_ltm,3,3,1.0,1.0774394449566667,407.6666666666667,1323.0,1.0,20228.666666666668,0.0,0.0,0.0,0.0,,,,{},,,
warehouse-10-20-10-2-1,50,oracle_teacher_forced_best_safe_update_static_proxy,3,3,1.0,1.0774394449566667,407.3333333333333,1309.0,1.0,20228.666666666668,0.0,0.0,1.0,0.0,0.375,0.625,,"{""block_heavy"": 4, ""decay_095"": 1}",0.0,-0.33333333333337123,-14.0
warehouse-10-20-10-2-1,50,repair3_safe_runtime,3,3,1.0,1.0774394449566667,407.6666666666667,1302.3333333333333,1.0,20228.666666666668,0.28883333333333333,2.0,1.0,0.0,0.3333333333333333,0.6666666666666666,,"{""block_light"": 6}",0.0,0.0,-20.666666666666742
warehouse-10-20-10-2-1,50,repair5d_composite_diagnostic_distilled,3,3,1.0,1.0774394449566667,407.6666666666667,1308.6666666666667,1.0,20228.666666666668,0.26239999999999997,2.0,1.0,0.0,0.3333333333333333,0.6666666666666666,,"{""commit_heavy"": 6}",0.0,0.0,-14.333333333333258
warehouse-10-20-10-2-1,50,repair5d_force_additive_defer_parity,3,3,1.0,1.0774394449566667,407.6666666666667,1326.3333333333333,1.0,20228.666666666668,0.0013666666666666666,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 6}",0.0,0.0,3.3333333333332575
warehouse-10-20-10-2-1,50,repair5e2_guarded_oracle_aligned_selector,3,3,1.0,1.0774394449566667,407.6666666666667,1322.6666666666667,1.0,20228.666666666668,0.2797,2.0,2.6666666666666665,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 6}",0.0,0.0,-0.33333333333325754
