candidate_id,runtime_method,enable_dual_channel,alpha_cong_commit_progress,alpha_cong_commit_nonprogress,alpha_cong_block,alpha_cong_wait_progress,alpha_cong_wait_nonprogress,alpha_flow_commit_progress,alpha_flow_wait_progress,rho_cong_decay,rho_flow_decay,lambda_cong,lambda_flow,min_edge_cost,max_edge_cost,goal_projection_mode,flow_shield_beta,max_flow_shield,notes,diagnostic_only,phase5p5_allowed,phase6_allowed,component
agent_c125_b125_w075_d095_lf0p025_min0p75,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.025,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p025_min1,repair5g1_agent_c125_b125_w075_d095_lf0p025_min1,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.025,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p05_min0p5,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.05,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p05_min0p75,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.05,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p05_min1,repair5g1_agent_c125_b125_w075_d095_lf0p05_min1,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.05,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p1_min0p5,repair5g1_agent_c125_b125_w075_d095_lf0p1_min0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.1,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p1_min0p75,repair5g1_agent_c125_b125_w075_d095_lf0p1_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.1,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p1_min1,repair5g1_agent_c125_b125_w075_d095_lf0p1_min1,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.1,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p2_min0p5,repair5g1_agent_c125_b125_w075_d095_lf0p2_min0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.2,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p2_min0p75,repair5g1_agent_c125_b125_w075_d095_lf0p2_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.2,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p2_min1,repair5g1_agent_c125_b125_w075_d095_lf0p2_min1,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.2,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p01_min0p5,repair5g1_agent_c100_b125_w075_d100_lf0p01_min0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.01,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p01_min0p75,repair5g1_agent_c100_b125_w075_d100_lf0p01_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.01,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p01_min1,repair5g1_agent_c100_b125_w075_d100_lf0p01_min1,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.01,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p025_min0p5,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.025,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p025_min0p75,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.025,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p025_min1,repair5g1_agent_c100_b125_w075_d100_lf0p025_min1,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.025,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p05_min0p5,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.05,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p05_min0p75,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.05,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p05_min1,repair5g1_agent_c100_b125_w075_d100_lf0p05_min1,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.05,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p1_min0p5,repair5g1_agent_c100_b125_w075_d100_lf0p1_min0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.1,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p1_min0p75,repair5g1_agent_c100_b125_w075_d100_lf0p1_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.1,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p1_min1,repair5g1_agent_c100_b125_w075_d100_lf0p1_min1,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.1,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p2_min0p5,repair5g1_agent_c100_b125_w075_d100_lf0p2_min0p5,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.2,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p2_min0p75,repair5g1_agent_c100_b125_w075_d100_lf0p2_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.2,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b125_w075_d100_lf0p2_min1,repair5g1_agent_c100_b125_w075_d100_lf0p2_min1,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.2,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p01_min0p5,repair5g1_agent_c100_b100_w075_d095_lf0p01_min0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.01,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p01_min0p75,repair5g1_agent_c100_b100_w075_d095_lf0p01_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.01,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p01_min1,repair5g1_agent_c100_b100_w075_d095_lf0p01_min1,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.01,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p025_min0p5,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.025,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p025_min0p75,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.025,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p025_min1,repair5g1_agent_c100_b100_w075_d095_lf0p025_min1,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.025,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p05_min0p5,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.05,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p05_min0p75,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.05,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p05_min1,repair5g1_agent_c100_b100_w075_d095_lf0p05_min1,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.05,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p1_min0p5,repair5g1_agent_c100_b100_w075_d095_lf0p1_min0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.1,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p1_min0p75,repair5g1_agent_c100_b100_w075_d095_lf0p1_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.1,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p1_min1,repair5g1_agent_c100_b100_w075_d095_lf0p1_min1,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.1,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p2_min0p5,repair5g1_agent_c100_b100_w075_d095_lf0p2_min0p5,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.2,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p2_min0p75,repair5g1_agent_c100_b100_w075_d095_lf0p2_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.2,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c100_b100_w075_d095_lf0p2_min1,repair5g1_agent_c100_b100_w075_d095_lf0p2_min1,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.2,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
shield_c125_b125_w075_d095_beta0p05_max0p25,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p05_max0p5,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.5,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p05_max0p75,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.75,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
shield_c125_b125_w075_d095_beta0p1_max0p25,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.25,Flow-shield C penalty reducer on current-agent progress edges only.,True,False,False,flow_shield
