candidate_id,map_family,agents,nominal_budget_ms,horizon_id,rows,success_regression_count_vs_g554_c00051,both_success_quality_pairs_vs_g554_c00051,quality_delta_mean_vs_g554_c00051,better_count_vs_g554_c00051,worse_count_vs_g554_c00051,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c044742,random,50,1000,blind_short2000_t050_i2,417,0,417,-0.00707597518153,216,122,False,False,False,False,False
g556_c044742,random,50,1000,blind_short2000_t050_i4,345,0,345,-0.0061023140051,181,104,False,False,False,False,False
g556_c044742,random,50,1000,blind_short2000_t100_i2,311,0,311,-0.00574543073363,154,94,False,False,False,False,False
g556_c044742,random,50,1000,blind_short2000_t100_i4,261,0,261,-0.00747955793383,150,68,False,False,False,False,False
g556_c044742,random,50,1000,blind_short5000_t050_i2,209,0,209,-0.00387557045732,106,78,False,False,False,False,False
g556_c044742,random,50,1000,blind_short5000_t050_i4,173,0,173,-0.00579707475514,86,55,False,False,False,False,False
g556_c044742,random,50,1000,blind_short5000_t100_i2,157,0,157,-0.00701375472242,82,46,False,False,False,False,False
g556_c044742,random,50,1000,blind_short5000_t100_i4,128,0,128,-0.00506208327063,66,36,False,False,False,False,False
g556_c044742,random,50,2000,blind_short1000_t050_i2,418,0,418,-0.00731465155581,230,116,False,False,False,False,False
g556_c044742,random,50,2000,blind_short1000_t050_i4,345,0,345,-0.00563280481571,179,98,False,False,False,False,False
g556_c044742,random,50,2000,blind_short1000_t100_i2,313,0,313,-0.00530313814955,159,106,False,False,False,False,False
g556_c044742,random,50,2000,blind_short1000_t100_i4,258,0,258,-0.00515549130434,125,81,False,False,False,False,False
g556_c044742,random,50,2000,blind_short2000_t050_i2,414,0,414,-0.00785089559787,216,118,False,False,False,False,False
g556_c044742,random,50,2000,blind_short2000_t050_i4,348,0,348,-0.00601426659523,176,108,False,False,False,False,False
g556_c044742,random,50,2000,blind_short2000_t100_i2,311,0,311,-0.00507308088412,157,92,False,False,False,False,False
g556_c044742,random,50,2000,blind_short2000_t100_i4,261,0,261,-0.00654094855897,132,76,False,False,False,False,False
g556_c044742,random,50,2000,blind_short5000_t050_i2,208,0,208,-0.00523941770938,102,70,False,False,False,False,False
g556_c044742,random,50,2000,blind_short5000_t050_i4,173,0,173,-0.00673366931243,96,46,False,False,False,False,False
g556_c044742,random,50,2000,blind_short5000_t100_i2,155,0,155,-0.00764675989652,81,47,False,False,False,False,False
g556_c044742,random,50,2000,blind_short5000_t100_i4,130,0,130,-0.00612568029038,65,42,False,False,False,False,False
g556_c044742,random,50,500,blind_short1000_t050_i2,415,0,415,-0.00583058965084,221,115,False,False,False,False,False
g556_c044742,random,50,500,blind_short1000_t050_i4,347,0,347,-0.00323693837415,158,121,False,False,False,False,False
g556_c044742,random,50,500,blind_short1000_t100_i2,311,0,311,-0.00650792334997,161,86,False,False,False,False,False
g556_c044742,random,50,500,blind_short1000_t100_i4,261,0,261,-0.00645334137031,135,71,False,False,False,False,False
g556_c044742,random,50,500,blind_short2000_t050_i2,416,0,416,-0.00552641058058,215,125,False,False,False,False,False
g556_c044742,random,50,500,blind_short2000_t050_i4,345,0,345,-0.00586186668757,178,111,False,False,False,False,False
g556_c044742,random,50,500,blind_short2000_t100_i2,314,0,314,-0.00588927531099,162,100,False,False,False,False,False
g556_c044742,random,50,500,blind_short2000_t100_i4,257,0,257,-0.00707030170529,130,73,False,False,False,False,False
g556_c044742,random,50,500,blind_short5000_t050_i2,207,0,207,-0.00798039457923,115,48,False,False,False,False,False
g556_c044742,random,50,500,blind_short5000_t050_i4,174,0,174,-0.0032724952804,88,58,False,False,False,False,False
g556_c044742,random,50,500,blind_short5000_t100_i2,155,0,155,-0.00468270782039,75,51,False,False,False,False,False
g556_c044742,random,50,500,blind_short5000_t100_i4,131,0,131,-0.00851059972786,71,28,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short1000_t050_i2,131,0,131,-0.00464849922901,62,35,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short1000_t050_i4,155,0,155,-0.00515093761529,78,54,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short1000_t100_i2,173,0,173,-0.0062067832063,90,48,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short1000_t100_i4,208,0,208,-0.000352906737596,86,84,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short2000_t050_i2,260,0,260,-0.0045977681905,124,84,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short2000_t050_i4,310,0,310,-0.00459479337671,158,99,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short2000_t100_i2,348,0,348,-0.00492521695684,174,113,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short2000_t100_i4,414,0,414,-0.00538126758242,203,137,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short5000_t050_i2,259,0,259,-0.00367201110653,127,89,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short5000_t050_i4,313,0,313,-0.00504550448214,148,115,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short5000_t100_i2,344,0,344,-0.00427415319227,161,123,False,False,False,False,False
g556_c044742,warehouse,100,1000,blind_short5000_t100_i4,418,0,418,-0.00445585778455,217,138,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short1000_t050_i2,128,0,128,-0.00325362533906,54,51,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short1000_t050_i4,157,0,157,-0.00410288333325,76,48,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short1000_t100_i2,172,0,172,-0.00105889359105,75,61,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short1000_t100_i4,209,0,209,-0.00719835588172,109,58,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short2000_t050_i2,262,0,262,-0.00468152489511,129,80,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short2000_t050_i4,310,0,310,-0.00383310215474,158,109,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short2000_t100_i2,346,0,346,-0.00456725180607,167,109,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short2000_t100_i4,416,0,416,-0.00453315629197,199,137,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short5000_t050_i2,260,0,260,-0.00385769568454,116,86,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short5000_t050_i4,312,0,312,-0.00386088586093,143,109,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short5000_t100_i2,348,0,348,-0.00541967584316,170,114,False,False,False,False,False
g556_c044742,warehouse,100,2000,blind_short5000_t100_i4,414,0,414,-0.00451016966048,194,141,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short1000_t050_i2,130,0,130,-0.00368108707369,61,48,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short1000_t050_i4,156,0,156,-0.0037298739134,77,55,False,False,False,False,False
g556_c044742,warehouse,100,500,blind_short1000_t100_i2,174,0,174,-0.00539632984408,86,65,False,False,False,False,False
