candidate_id,candidate_rows,mean_quality_delta_vs_static_flow,bootstrap_ci_upper,success_regression_count_vs_static_flow,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c00980,2081,-0.0112490327753,-0.0101739256224,0,False,False,False,False,False
g554_c01035,2081,-0.011145032491,-0.0101093820087,0,False,False,False,False,False
g554_c00954,2081,-0.0105576825478,-0.00950098284679,0,False,False,False,False,False
g554_c02564,2081,-0.0105132265019,-0.00946276713381,0,False,False,False,False,False
g554_c00066,2081,-0.0104124886844,-0.00935482279897,0,False,False,False,False,False
g554_c01046,2081,-0.009957832343,-0.00888959329892,0,False,False,False,False,False
g554_c00984,2081,-0.00949170795185,-0.00848194515434,0,False,False,False,False,False
g554_c01116,2081,-0.00947577150937,-0.008428455986,0,False,False,False,False,False
g554_c00069,2081,-0.00935350021089,-0.00832061116992,0,False,False,False,False,False
g554_c01015,2081,-0.00899609702969,-0.00787808776249,0,False,False,False,False,False
g554_c00990,2081,-0.00875326814967,-0.00773840983231,0,False,False,False,False,False
g554_c00067,2081,-0.00822610778734,-0.00605596966408,0,False,False,False,False,False
g554_c02495,2081,-0.00770753235979,-0.00669787372643,0,False,False,False,False,False
g554_c02424,2081,-0.00768755323503,-0.00668756304384,0,False,False,False,False,False
g554_c02436,2081,-0.00760810872502,-0.00576300549295,0,False,False,False,False,False
g554_c02478,2081,-0.00749286708964,-0.00635344912126,0,False,False,False,False,False
g554_c02521,2081,-0.00735296634695,-0.00626359363872,0,False,False,False,False,False
g554_c02634,2081,-0.00732683653495,-0.00632074627638,0,False,False,False,False,False
g554_c02546,2081,-0.0071873590478,-0.0061853397239,0,False,False,False,False,False
g554_c00034,2081,-0.00713832300157,-0.00608222905984,0,False,False,False,False,False
g554_c01005,2081,-0.00701106998622,-0.00602474192052,0,False,False,False,False,False
g554_c01003,2081,-0.00697424623766,-0.00590858112786,0,False,False,False,False,False
g554_c00997,2081,-0.00696880429381,-0.00595311413845,0,False,False,False,False,False
g554_c01034,2081,-0.00693823752404,-0.00592593089085,0,False,False,False,False,False
g554_c02558,2081,-0.00648092614897,-0.00438305859344,0,False,False,False,False,False
g554_c02523,2081,-0.00628589229812,-0.00517190405839,0,False,False,False,False,False
g554_c01004,2081,-0.00542405075545,-0.0043720329672,0,False,False,False,False,False
g554_c01040,2081,-0.00526858428333,-0.00426363968998,0,False,False,False,False,False
g554_c02610,2081,-0.0051457476992,-0.00409127478213,0,False,False,False,False,False
g554_c00981,2081,-0.00501555048334,-0.00393311171077,0,False,False,False,False,False
g554_c02466,2081,-0.00410946609146,-0.00311262387712,0,False,False,False,False,False
g554_c00906,2081,-0.00377476713387,-0.00273142055215,0,False,False,False,False,False
g554_c00058,2081,-0.00366907600405,-0.00266738186264,0,False,False,False,False,False
g554_c01098,2081,-0.00363015588311,-0.00265164710859,0,False,False,False,False,False
g554_c00035,2081,-0.00362838903174,-0.00258543419102,0,False,False,False,False,False
g554_c01026,2081,-0.0033142291481,-0.0023208056923,0,False,False,False,False,False
g554_c00989,2081,-0.00290531595711,-0.00193613165235,0,False,False,False,False,False
g554_c02592,2081,-0.00285922176007,-0.000783762153972,0,False,False,False,False,False
g554_c00063,2081,-0.00272271617947,-0.0017756262786,0,False,False,False,False,False
g554_c00021,2081,-0.00252924013377,-0.00150725547689,0,False,False,False,False,False
g554_c01000,2081,-0.0020084698459,-0.00103955679713,0,False,False,False,False,False
g554_c00976,2081,-0.0019066793077,-0.000919356191153,0,False,False,False,False,False
g554_c00003,2081,-0.0017816758778,-0.000863510109178,0,False,False,False,False,False
g554_c02502,2081,-0.00170545003055,-0.000719681402071,0,False,False,False,False,False
g554_c00015,2081,-0.00169930810899,-0.000679729061094,0,False,False,False,False,False
g554_c02529,2081,-0.0012807425606,-0.000287000391347,0,False,False,False,False,False
g554_c00982,2081,-0.00127488196075,-0.000286885983491,0,False,False,False,False,False
g554_c00987,2081,-0.00123159099223,-0.000286943270025,0,False,False,False,False,False
g554_c00978,2081,-0.0012122446321,-0.000340123138049,0,False,False,False,False,False
g554_c02508,2081,-0.000908379094259,6.83314168928e-05,0,False,False,False,False,False
g554_c00028,2081,-0.000794822287334,0.000180546577185,0,False,False,False,False,False
g554_c02525,2081,-0.000784685467218,0.000211016614529,0,False,False,False,False,False
g554_c00002,2081,-0.000636283152045,0.000385805830652,0,False,False,False,False,False
g554_c01110,2081,-0.000394129254163,0.000607137517114,0,False,False,False,False,False
g554_c02598,2081,-0.000159566574062,0.000557777163589,0,False,False,False,False,False
g554_c00046,2081,-8.13245301011e-05,0.000533714509898,0,False,False,False,False,False
g554_c00017,2081,-3.26098278489e-05,0.00102240846031,0,False,False,False,False,False
g554_c02580,2081,-1.60580612368e-05,1.08316795945e-05,0,False,False,False,False,False
g554_c01011,2081,-7.67728870549e-06,7.37019715727e-06,0,False,False,False,False,False
g554_c00047,2081,-2.98400399423e-06,3.67676200996e-05,0,False,False,False,False,False
g554_c00000,2081,0,0,0,False,False,False,False,False
g554_c00037,2081,0,0,0,False,False,False,False,False
g554_c00056,2081,0,0,0,False,False,False,False,False
g554_c02586,2081,0,0,0,False,False,False,False,False
g554_c02568,2081,0,0,0,False,False,False,False,False
g554_c00061,2081,0,0,0,False,False,False,False,False
g554_c00026,2081,0,0,0,False,False,False,False,False
g554_c00041,2081,0,0,0,False,False,False,False,False
g554_c02550,2081,0,0,0,False,False,False,False,False
g554_c00052,2081,0,0,0,False,False,False,False,False
g554_c01038,2081,0,0,0,False,False,False,False,False
g554_c00027,2081,0,0,0,False,False,False,False,False
g554_c00013,2081,0,0,0,False,False,False,False,False
g554_c00042,2081,0,0,0,False,False,False,False,False
g554_c00014,2081,0,0,0,False,False,False,False,False
g554_c00996,2081,0,0,0,False,False,False,False,False
g554_c00057,2081,0,0,0,False,False,False,False,False
g554_c00942,2081,0,0,0,False,False,False,False,False
g554_c00031,2081,8.9903122281e-06,4.10678504716e-05,0,False,False,False,False,False
g554_c00062,2081,0.000117525564654,0.000844488327009,0,False,False,False,False,False
g554_c01032,2081,0.00014039622219,0.000833829953771,0,False,False,False,False,False
g554_c00068,2081,0.000161982714793,0.000931900023699,0,False,False,False,False,False
g554_c01029,2081,0.000557144898859,0.00139490509367,0,False,False,False,False,False
g554_c00001,2081,0.000713895919692,0.00184016323211,0,False,False,False,False,False
g554_c00049,2081,0.00435587031352,0.00553331635444,0,False,False,False,False,False
g554_c00016,2081,0.187884191526,0.192839649784,0,False,False,False,False,False
g554_c00039,2081,-0.0122861874795,-0.0112453255139,1,False,False,False,False,False
g554_c00960,2081,-0.00843552712271,-0.00743537524326,1,False,False,False,False,False
g554_c00006,2081,-0.00347114537589,-0.00245850208196,1,False,False,False,False,False
g554_c02460,2081,-0.00210623409218,-0.0010219698291,1,False,False,False,False,False
g554_c00043,2081,-0.00107411280384,-5.32865432285e-05,1,False,False,False,False,False
g554_c00053,2081,-0.000710108141815,0.000259691347479,1,False,False,False,False,False
g554_c00030,2081,-0.000691154959052,0.000290102527193,1,False,False,False,False,False
g554_c02472,2081,-0.000552347562768,0.000379045016553,1,False,False,False,False,False
g554_c00045,2081,-0.000494883643197,0.000556273702061,1,False,False,False,False,False
g554_c00060,2081,-0.000407948221969,0.000556913694945,1,False,False,False,False,False
g554_c01050,2081,-0.000398157866736,0.000590242126754,1,False,False,False,False,False
g554_c01045,2081,-0.000131378980429,0.000862397845712,1,False,False,False,False,False
g554_c01008,2081,0.000234736024776,0.0011652112472,1,False,False,False,False,False
g554_c00010,2081,0.000299508657959,0.00120303576816,1,False,False,False,False,False
g554_c00924,2081,0.000302134862195,0.00112366255521,1,False,False,False,False,False
g554_c01047,2081,0.000328083657641,0.00123026700011,1,False,False,False,False,False
g554_c00004,2081,0.000429831312966,0.00135940465042,1,False,False,False,False,False
g554_c02490,2081,0.000617208530597,0.00153595452718,1,False,False,False,False,False
g554_c00009,2081,0.000631555414083,0.00159500651573,1,False,False,False,False,False
g554_c00038,2081,0.000636973956023,0.00149590472286,1,False,False,False,False,False
g554_c02562,2081,0.00151289152943,0.002436473995,1,False,False,False,False,False
g554_c01074,2081,0.00153104540453,0.00242949171838,1,False,False,False,False,False
g554_c00032,2081,0.0017548519048,0.00274034856606,1,False,False,False,False,False
g554_c00972,2081,0.00202237045476,0.00303531234331,1,False,False,False,False,False
g554_c00979,2081,0.00206055866897,0.00303239210881,1,False,False,False,False,False
g554_c00948,2081,0.00238683644027,0.00340807356938,1,False,False,False,False,False
g554_c00018,2081,0.00257714167766,0.00352561797688,1,False,False,False,False,False
g554_c02484,2081,0.00261596355617,0.00360609916061,1,False,False,False,False,False
g554_c00024,2081,0.00388293963627,0.00484957943485,1,False,False,False,False,False
g554_c00033,2081,0.00533217299195,0.0063140375488,1,False,False,False,False,False
g554_c00019,2081,0.00544518913271,0.00649754220161,1,False,False,False,False,False
g554_c00007,2081,0.00583688301046,0.00689953597373,1,False,False,False,False,False
g554_c00054,2081,0.00653588011872,0.00754149193155,1,False,False,False,False,False
g554_c00064,2081,0.0069683031626,0.00801492821625,1,False,False,False,False,False
g554_c00059,2081,0.179960258744,0.185422030953,1,False,False,False,False,False
g554_c02500,2081,-0.0138895490154,-0.0124112142475,2,False,False,False,False,False
g554_c00023,2081,-0.000757470523006,0.000205082597972,2,False,False,False,False,False
g554_c01044,2081,0.00492826477231,0.0059607966221,2,False,False,False,False,False
g554_c02544,2081,0.00820086202407,0.00923142148931,2,False,False,False,False,False
g554_c00008,2081,0.00692722109222,0.00801142615335,3,False,False,False,False,False
g554_c01056,2081,0.00846079319839,0.00950671578003,3,False,False,False,False,False
g554_c01068,2081,0.00963044047755,0.0107069716461,3,False,False,False,False,False
g554_c02538,2081,0.0182688060052,0.0194300835758,3,False,False,False,False,False
g554_c02526,2081,0.0187434110655,0.0202704187761,4,False,False,False,False,False
g554_c01002,2081,0.00676290128594,0.0078341503379,5,False,False,False,False,False
g554_c00055,2081,0.0156454787785,0.0168217198747,5,False,False,False,False,False
g554_c00040,2081,0.0238319899225,0.0250432054506,10,False,False,False,False,False
g554_c00025,2081,0.0319410864068,0.033286457004,11,False,False,False,False,False
g554_c00012,2081,0.0406501686631,0.0420678941694,13,False,False,False,False,False
g554_c01020,2081,0.0569850720386,0.0591888999968,13,False,False,False,False,False
g554_c00044,2081,0.101212433441,0.10346490774,26,False,False,False,False,False
