map,agents,seed,scen,baseline_method,contender_method,baseline_success,contender_success,baseline_ratio,contender_ratio,delta_ratio,contender_better
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.29871465296,1.29871465296,0.0,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.29871465296,1.29871465296,0.0,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.29871465296,1.29871465296,0.0,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,always_additive_defer,True,True,1.28639563934,1.28639563934,0.0,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,lacam_star,True,True,1.28639563934,1.31637519873,0.029979559390000077,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.28639563934,1.26799909153,-0.018396547810000108,True
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.28639563934,1.2963888258,0.009993186460000025,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.28639563934,1.28639563934,0.0,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.28639563934,1.28639563934,0.0,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.28639563934,1.28639563934,0.0,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.28639563934,1.28639563934,0.0,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.28639563934,1.28639563934,0.0,False
