feature,group,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_mix_flow_shield_beta_wait_penalty,inherited_g528,False,False,False,False,False
feature_mix_max_flow_shield_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_max_flow_shield_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_max_flow_shield_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_max_flow_shield_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_max_flow_shield_region_prior,inherited_g528,False,False,False,False,False
feature_mix_max_flow_shield_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_mix_max_flow_shield_wait_penalty,inherited_g528,False,False,False,False,False
feature_mix_rho_cong_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_rho_cong_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_rho_cong_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_rho_cong_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_rho_cong_region_prior,inherited_g528,False,False,False,False,False
feature_mix_rho_cong_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_mix_rho_cong_wait_penalty,inherited_g528,False,False,False,False,False
feature_mix_rho_flow_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_rho_flow_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_rho_flow_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_rho_flow_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_rho_flow_region_prior,inherited_g528,False,False,False,False,False
feature_mix_rho_flow_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_mix_rho_flow_wait_penalty,inherited_g528,False,False,False,False,False
feature_param_alpha_cong_blocked,inherited_g528,False,False,False,False,False
feature_param_alpha_cong_committed,inherited_g528,False,False,False,False,False
feature_param_alpha_flow_progress,inherited_g528,False,False,False,False,False
feature_param_alpha_flow_wait_or_nonprogress,inherited_g528,False,False,False,False,False
feature_param_c_only,inherited_g528,False,False,False,False,False
feature_param_flow_shield_beta,inherited_g528,False,False,False,False,False
feature_param_max_flow_shield,inherited_g528,False,False,False,False,False
feature_param_rho_cong,inherited_g528,False,False,False,False,False
feature_param_rho_flow,inherited_g528,False,False,False,False,False
feature_pibt_failure_backtrack_rate,inherited_g528,False,False,False,False,False
feature_pibt_failure_candidate_count,inherited_g528,False,False,False,False,False
feature_pibt_failure_edge_swap_rate,inherited_g528,False,False,False,False,False
feature_pibt_failure_first_reason_hash,inherited_g528,False,False,False,False,False
feature_pibt_failure_last_reason_hash,inherited_g528,False,False,False,False,False
feature_pibt_failure_max_failed_rank,inherited_g528,False,False,False,False,False
feature_pibt_failure_mean_failed_rank,inherited_g528,False,False,False,False,False
feature_pibt_failure_priority_block_rate,inherited_g528,False,False,False,False,False
feature_pibt_failure_rank_entropy,inherited_g528,False,False,False,False,False
feature_pibt_failure_unknown_rate,inherited_g528,False,False,False,False,False
feature_pibt_failure_vertex_conflict_rate,inherited_g528,False,False,False,False,False
feature_policy_prior_class_frequency,inherited_g528,False,False,False,False,False
feature_policy_prior_fallback_rate,inherited_g528,False,False,False,False,False
feature_policy_prior_region_frequency,inherited_g528,False,False,False,False,False
feature_priority_block_exact_subreason_rate_none,inherited_g528,False,False,False,False,False
feature_priority_block_exact_subreason_rate_priority_order_blocked_candidate,inherited_g528,False,False,False,False,False
feature_priority_block_exact_subreason_rate_recursive_pibt_child_return_false,inherited_g528,False,False,False,False,False
feature_progress_vs_wait_rank_margin_x_candidate_congestion,inherited_g528,False,False,False,False,False
feature_rank_effect_candidate_rank_global,inherited_g528,False,False,False,False,False
feature_rank_effect_candidate_rank_within_region,inherited_g528,False,False,False,False,False
feature_rank_effect_margin_to_old14_g518,inherited_g528,False,False,False,False,False
feature_rank_effect_margin_to_static,inherited_g528,False,False,False,False,False
feature_rank_effect_topk_margin_to_next_candidate,inherited_g528,False,False,False,False,False
feature_teacher_fallback_region_prior,inherited_g528,False,False,False,False,False
feature_teacher_false_positive_risk_prior,inherited_g528,False,False,False,False,False
feature_topology_bottleneck_index,topology_agent,False,False,False,False,False
feature_topology_corridor_vertex_rate,topology_agent,False,False,False,False,False
feature_topology_dead_end_rate,topology_agent,False,False,False,False,False
feature_topology_degree_entropy,topology_agent,False,False,False,False,False
feature_topology_edge_count,topology_agent,False,False,False,False,False
feature_topology_goal_start_path_overlap_proxy,topology_agent,False,False,False,False,False
feature_topology_junction_rate,topology_agent,False,False,False,False,False
feature_topology_local_cut_proxy,topology_agent,False,False,False,False,False
feature_topology_map_family_onehot_maze,topology_agent,False,False,False,False,False
feature_topology_map_family_onehot_other,topology_agent,False,False,False,False,False
feature_topology_map_family_onehot_random,topology_agent,False,False,False,False,False
feature_topology_map_family_onehot_warehouse,topology_agent,False,False,False,False,False
feature_topology_mean_degree,topology_agent,False,False,False,False,False
feature_topology_obstacle_density_proxy,topology_agent,False,False,False,False,False
feature_topology_shortest_path_mean_length,topology_agent,False,False,False,False,False
feature_topology_shortest_path_p90_length,topology_agent,False,False,False,False,False
feature_topology_vertex_count,topology_agent,False,False,False,False,False
feature_wait_local_position_mean,inherited_g528,False,False,False,False,False
