agents,better,equal,map,mean_delta_ratio_vs_ltm,method,rows,worse
50,2,22,random-32-32-20,-0.0012657383456000026,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,25,1
50,2,22,random-32-32-20,-0.0012657383456000026,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,25,1
50,3,21,random-32-32-20,-0.000414224765200002,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,25,1
50,7,16,random-32-32-20,-0.006306402430799984,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,25,2
50,6,17,random-32-32-20,-0.0052932971176,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,25,2
50,5,19,random-32-32-20,-0.0036185749015999937,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,25,1
50,7,17,random-32-32-20,-0.008568107948000003,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,25,1
50,14,11,random-32-32-20,-0.015098791247199993,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,25,0
50,5,19,random-32-32-20,-0.002587633784000003,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,25,1
50,6,18,random-32-32-20,-0.0053487165475999895,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,25,1
50,18,6,random-32-32-20,-0.021524389456519993,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,25,1
50,5,20,random-32-32-20,-0.0042530184784000105,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,25,0
50,4,20,random-32-32-20,-0.0006969007111999925,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,25,1
50,4,20,random-32-32-20,-0.0006969007111999925,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,25,1
50,5,19,random-32-32-20,-0.0021800969764000032,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,25,1
50,5,18,random-32-32-20,-0.004207960884799995,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,25,2
50,7,17,random-32-32-20,-0.005301220212399995,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,25,1
50,5,19,random-32-32-20,-0.003127620745599984,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,25,1
50,5,19,random-32-32-20,-0.004403042206399999,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,25,1
50,16,9,random-32-32-20,-0.01888545379748001,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,25,0
50,5,19,random-32-32-20,-0.003163962815600003,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,25,1
50,6,18,random-32-32-20,-0.004900560611599998,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,25,1
50,20,4,random-32-32-20,-0.022192479195160007,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,25,1
50,2,21,random-32-32-20,-0.0010757694808000019,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,25,2
50,5,19,random-32-32-20,-0.0042993067979999995,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,25,1
50,5,19,random-32-32-20,-0.0042993067979999995,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,25,1
50,3,20,random-32-32-20,-0.0020875822995999995,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,25,2
50,5,18,random-32-32-20,-0.003563061799600007,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,25,2
50,8,15,random-32-32-20,-0.004821914670399999,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,25,2
50,5,18,random-32-32-20,-0.00042752478679999764,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,25,2
50,9,15,random-32-32-20,-0.0067906498456000094,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,25,1
50,16,9,random-32-32-20,-0.015762968179999975,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,25,0
50,5,19,random-32-32-20,-0.005827651449199997,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,25,1
50,9,15,random-32-32-20,-0.004425898595999991,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,25,1
50,21,3,random-32-32-20,-0.025663911542440007,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,25,1
50,6,18,random-32-32-20,-0.0029037375587999837,repair5g2_random_candidate_diagnostic,25,1
50,16,8,random-32-32-20,-0.018277042052800018,repair5g2_shuffled_flow_shield_diagnostic,25,1
50,15,9,random-32-32-20,-0.017539034672800016,repair5g2_shuffled_goal_progress_diagnostic,25,1
50,0,25,random-32-32-20,0.0,repair5g_dual_additive_parity,25,0
50,0,25,random-32-32-20,0.0,repair5g_dual_c_equiv_additive,25,0
50,3,20,random-32-32-20,-0.0022104490071999995,repair5g_dual_c_equiv_c100_b100_w075_d090,25,2
50,3,20,random-32-32-20,-0.0023740711016000038,repair5g_dual_c_equiv_c100_b100_w075_d095,25,2
50,2,21,random-32-32-20,-0.0006182007027999959,repair5g_dual_c_equiv_c100_b100_w075_d100,25,2
50,2,21,random-32-32-20,-0.0018512393795999938,repair5g_dual_c_equiv_c100_b125_w075_d100,25,2
50,5,18,random-32-32-20,-0.002359772849039996,repair5g_dual_c_equiv_c125_b125_w075_d095,25,2
100,0,24,random-32-32-20,0.0,always_additive_defer,25,0
100,0,24,random-32-32-20,0.0,laur_disable,25,0
100,0,24,random-32-32-20,0.0,laur_force_additive_direct,25,0
100,7,10,random-32-32-20,0.00013004743720835174,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,25,7
100,0,24,random-32-32-20,0.0,repair5f_candidate_additive_ltm,25,0
100,8,9,random-32-32-20,-0.0017350375018749902,repair5f_static_c100_b100_w075_d090,25,7
100,8,12,random-32-32-20,-0.008576161892958317,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,25,4
100,13,7,random-32-32-20,-0.010809538099958308,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,25,4
100,13,8,random-32-32-20,-0.007997860678958316,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,25,3
100,11,11,random-32-32-20,-0.009457458941208322,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,25,2
100,12,8,random-32-32-20,-0.011578232912874986,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,25,4
100,9,11,random-32-32-20,-0.01471295515395831,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,25,4
100,13,8,random-32-32-20,-0.014409347811166645,repair5g1_random_static_diagnostic,25,3
100,14,8,random-32-32-20,-0.014329995667166667,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,25,2
100,17,6,random-32-32-20,-0.01733625584316664,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,25,1
100,17,6,random-32-32-20,-0.01733625584316664,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,25,1
100,12,9,random-32-32-20,-0.014109367955708316,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,25,3
100,18,5,random-32-32-20,-0.021710150484708337,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,25,1
100,22,1,random-32-32-20,-0.031354208483499964,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,25,1
100,14,3,random-32-32-20,-0.010845722201000005,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,25,7
100,20,1,random-32-32-20,-0.025531429968958314,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,25,3
100,22,0,random-32-32-20,-0.043180829030749976,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,25,2
100,15,6,random-32-32-20,-0.01657025885374998,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,25,3
100,20,1,random-32-32-20,-0.029226364812749973,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,25,3
100,23,1,random-32-32-20,-0.04756548866191665,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,25,0
100,10,11,random-32-32-20,-0.013542801908416646,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,25,3
100,10,9,random-32-32-20,-0.009337809452708332,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,25,5
100,10,9,random-32-32-20,-0.009337809452708332,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,25,5
100,16,6,random-32-32-20,-0.019731881269958326,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,25,2
100,16,6,random-32-32-20,-0.02196325004362502,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,25,2
100,19,3,random-32-32-20,-0.027238023676666653,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,25,2
100,13,8,random-32-32-20,-0.010589504523624985,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,25,3
100,17,6,random-32-32-20,-0.027269677280583313,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,25,1
100,24,0,random-32-32-20,-0.04473140926308332,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,25,0
100,12,10,random-32-32-20,-0.013200113140083314,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,25,2
100,20,2,random-32-32-20,-0.027029583912583324,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,25,2
100,23,0,random-32-32-20,-0.04934567936249999,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,25,1
100,10,9,random-32-32-20,-0.012935413141624996,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,25,5
100,15,6,random-32-32-20,-0.022118835091708287,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,25,3
100,15,6,random-32-32-20,-0.022118835091708287,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,25,3
100,14,8,random-32-32-20,-0.019265120898666662,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,25,2
100,19,2,random-32-32-20,-0.025050526149874974,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,25,3
100,19,4,random-32-32-20,-0.03436411522004166,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,25,1
100,14,7,random-32-32-20,-0.019737341056750003,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,25,3
100,20,3,random-32-32-20,-0.03180456201895831,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,25,1
100,24,0,random-32-32-20,-0.04821426206704164,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,25,0
100,13,7,random-32-32-20,-0.01696906423554165,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,25,4
100,19,2,random-32-32-20,-0.02437479042187497,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,25,3
100,23,0,random-32-32-20,-0.04882611454354164,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,25,1
100,17,4,random-32-32-20,-0.014482585970124986,repair5g2_random_candidate_diagnostic,25,3
100,18,4,random-32-32-20,-0.02836172560904165,repair5g2_shuffled_flow_shield_diagnostic,25,2
100,18,4,random-32-32-20,-0.02828771731987498,repair5g2_shuffled_goal_progress_diagnostic,25,2
100,0,24,random-32-32-20,0.0,repair5g_dual_additive_parity,25,0
100,0,24,random-32-32-20,0.0,repair5g_dual_c_equiv_additive,25,0
100,8,9,random-32-32-20,-0.0017350375018749902,repair5g_dual_c_equiv_c100_b100_w075_d090,25,7
100,5,11,random-32-32-20,0.001795647261166683,repair5g_dual_c_equiv_c100_b100_w075_d095,25,8
100,5,10,random-32-32-20,0.0002842129519166718,repair5g_dual_c_equiv_c100_b100_w075_d100,25,9
100,5,11,random-32-32-20,0.0009596384589583423,repair5g_dual_c_equiv_c100_b125_w075_d100,25,8
100,7,10,random-32-32-20,0.00013004743720835174,repair5g_dual_c_equiv_c125_b125_w075_d095,25,7
50,0,24,warehouse-10-20-10-2-1,0.0017384036772000045,always_additive_defer,25,1
50,1,23,warehouse-10-20-10-2-1,0.0016456823052000047,laur_disable,25,1
50,1,23,warehouse-10-20-10-2-1,0.0016456823052000047,laur_force_additive_direct,25,1
50,1,23,warehouse-10-20-10-2-1,0.0016456823052000047,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,25,1
50,1,23,warehouse-10-20-10-2-1,0.0016456823052000047,repair5f_candidate_additive_ltm,25,1
50,1,23,warehouse-10-20-10-2-1,0.0016456823052000047,repair5f_static_c100_b100_w075_d090,25,1
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,25,4
50,0,21,warehouse-10-20-10-2-1,0.0038181382388000084,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,25,4
