candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_static_flow,success_gain_count_vs_static_flow,success_rate_delta_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,bootstrap_ci_upper,better_count_vs_static_flow,worse_count_vs_static_flow,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,shortlist_ready,not_ready_reason,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c02540,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0157387569024,-0.0146060832409,1398,399,140,200,1,True,True,True,False,materialization_gate_not_met,1.54453766058,1.25,1.21592650227,1.25,0.75,0.75,0.94782999883,0.595192806443,0.9175,1,0.959290450402,0.65,0.376781607581,0.809037527788,1,11.5063788073,1,0,0,False,False,False,False,False
g554_c00048,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0155785570402,-0.0144714202013,1397,392,140,200,1,True,True,True,False,materialization_gate_not_met,1.24801273551,1.25,1.36713071088,1.25,0.75,0.75,0.949598937099,0.111974174474,0.901602035352,1,0.943753768754,0,0.408494238494,0.793641887392,0.900346800347,12,1,0,0,False,False,False,False,False
g554_c01014,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0155615462254,-0.0144197042914,1387,391,140,200,1,True,True,True,False,materialization_gate_not_met,1.58658439016,1.25,1.29350284231,1.25,0.75,0.75,1.034004446,0.705422565426,0.9825,1,0.925456189913,0.567249380501,0.333269232869,0.810988992239,1,10.5305611326,1,0,0,False,False,False,False,False
g554_c01013,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0147936552432,-0.0137150877802,1379,400,140,200,1,True,True,True,False,materialization_gate_not_met,1.0443680941,1.25,1.29613920239,1.25,0.75,0.75,0.979824061074,0.388969148344,0.928617782368,1,0.961393937119,0.380080339838,0.388862608863,0.798476954727,1,11.3586233211,1,0,0,False,False,False,False,False
g554_c02515,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0145002271823,-0.0133892752523,1389,431,140,200,1,True,True,True,False,materialization_gate_not_met,0.990468605863,1.25,1.18547235741,1.25,0.75,0.75,1.06524371124,0.276651261651,0.9825,1,0.988128106151,0.287637206975,0.370394212394,0.810876867127,1,11.2848215358,1,0,0,False,False,False,False,False
g554_c00050,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0134697980661,-0.0123471588044,1327,423,140,200,1,True,True,True,False,materialization_gate_not_met,0.783087588245,1.25,1.23871289178,1.25,0.75,0.75,0.977274599275,0.244162639913,0.9175,1,0.984836476325,0.2548,0.34878515951,0.80949863573,1,10.9822805078,1,0,0,False,False,False,False,False
g554_c02560,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0130708516699,-0.0119873627141,1310,447,140,200,1,True,True,True,False,materialization_gate_not_met,0.188979595187,1.25,1.25,1.25,0.75,0.75,1,0.1225,0.95,1,1,0.0303113638773,0.369677588895,0.807718791437,1,11,1,0,0,False,False,False,False,False
g554_c02504,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.0124172543647,-0.0113251939162,1282,440,140,200,1,True,True,True,False,materialization_gate_not_met,1.48815368202,1.25,1.27331625769,1.25,0.75,0.75,0.9554001179,0.334836876735,0.982835951586,1,1.02064722065,0.957328085344,0.383855693856,0.80312030312,0.963935388935,10.7929181929,1,0,0,False,False,False,False,False
g554_c01080,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.012317880842,-0.0112898649929,1288,461,140,200,1,True,True,True,False,materialization_gate_not_met,0.2,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,0.8,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01024,stage2,,2081,2081,0,2,-0.998558385392,2078,-0.0122302226484,-0.0111732917819,1279,446,140,200,1,True,True,True,False,materialization_gate_not_met,1.00732369418,1.25,1.21520787021,1.25,0.75,0.75,1.02651801802,0.0609177480499,0.9175,1,0.930088762517,0.2275,0.367939206739,0.784067070317,0.820703018012,10.688964393,1,0,0,False,False,False,False,False
