model_family,threshold,rows,unsafe_positive_rows,true_positive_count,false_negative_count,false_positive_count,true_negative_count,success_regression_recall,safe_opportunity_retention_rate,high_margin_safe_opportunity_retention_rate,fallback_rate,non_additive_allowed_rate,unsafe_prevented_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
candidate_stratum_rule_plus_torch_score,0.05,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
candidate_stratum_rule_plus_torch_score,0.1,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
candidate_stratum_rule_plus_torch_score,0.2,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
candidate_stratum_rule_plus_torch_score,0.4,8333,211,211,0,3140,4982,1,0.574121795741,0.295180722892,0.402136085443,0.507980319213,211,False,False,False,False,False
candidate_stratum_rule_plus_torch_score,0.8,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
torch_success_regression_classifier,0,8333,211,211,0,7373,749,1,0,0,0.910116404656,0,211,False,False,False,False,False
torch_success_regression_classifier,0.001,8333,211,211,0,7373,749,1,0,0,0.910116404656,0,211,False,False,False,False,False
torch_success_regression_classifier,0.01,8333,211,211,0,4680,3442,1,0.365251593653,0,0.586943477739,0.323172926917,211,False,False,False,False,False
torch_success_regression_classifier,0.05,8333,211,211,0,4680,3442,1,0.365251593653,0,0.586943477739,0.323172926917,211,False,False,False,False,False
torch_success_regression_classifier,0.1,8333,211,211,0,4680,3442,1,0.365251593653,0,0.586943477739,0.323172926917,211,False,False,False,False,False
torch_success_regression_classifier,0.2,8333,211,211,0,4200,3922,1,0.430353994304,0,0.529341173647,0.380775231009,211,False,False,False,False,False
torch_success_regression_classifier,0.4,8333,211,211,0,3140,4982,1,0.574121795741,0.295180722892,0.402136085443,0.507980319213,211,False,False,False,False,False
torch_success_regression_classifier,0.8,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
torch_calibrated_risk_head,0,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
torch_calibrated_risk_head,0.001,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
torch_calibrated_risk_head,0.01,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
torch_calibrated_risk_head,0.05,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
torch_calibrated_risk_head,0.1,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
torch_calibrated_risk_head,0.2,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
torch_calibrated_risk_head,0.4,8333,211,211,0,3140,4982,1,0.574121795741,0.295180722892,0.402136085443,0.507980319213,211,False,False,False,False,False
torch_calibrated_risk_head,0.8,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
conformal_candidate_specific_gate,0,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
conformal_candidate_specific_gate,0.001,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
conformal_candidate_specific_gate,0.01,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
conformal_candidate_specific_gate,0.05,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
conformal_candidate_specific_gate,0.1,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
conformal_candidate_specific_gate,0.2,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
conformal_candidate_specific_gate,0.4,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
conformal_candidate_specific_gate,0.8,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
selective_prediction_gate,0,8333,211,211,0,3129,4993,1,0.575613725756,0.313253012048,0.400816032641,0.509300372015,211,False,False,False,False,False
selective_prediction_gate,0.001,8333,211,211,0,3129,4993,1,0.575613725756,0.313253012048,0.400816032641,0.509300372015,211,False,False,False,False,False
selective_prediction_gate,0.01,8333,211,211,0,3129,4993,1,0.575613725756,0.313253012048,0.400816032641,0.509300372015,211,False,False,False,False,False
selective_prediction_gate,0.05,8333,211,211,0,3129,4993,1,0.575613725756,0.313253012048,0.400816032641,0.509300372015,211,False,False,False,False,False
selective_prediction_gate,0.1,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
selective_prediction_gate,0.2,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
selective_prediction_gate,0.4,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
selective_prediction_gate,0.8,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
