parent_physical_map_sha256,map_examples,source_categories,panels,scientific_splits_observed,parent_map_crosses_scientific_splits,official_scenario_values,derived_scenario_values,official_and_derived_scenarios_distinguishable,rows_for_parent,validation_result
27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,empty-16-16,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,19,pass
4240fddfa77d88b72ce779e02acf46a5ff056a3b04af5a4e35f7bc86cdfba3ec,random-32-32-10,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,21,pass
4f06e82c2b87238daa8e308086afdba701112bf023e94e740e5bf9508a6adec3,warehouse-10-20-10-2-2,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,28,pass
56946a2411a64631f4ab7ca8dd17439e619ad066fc1d2bf2fd19516fc24f28dc,room-64-64-8,ggo_alignment_reference;movingai_canonical,G;M,split_later_by_parent_map_hash,False,False;True,False;True,True,28,pass
5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,empty-32-32,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,27,pass
5c549328775ce530072cb05eda8f9010235a7e29294806d6aebb0ad667479cd3,maze-32-32-2,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,22,pass
6aa74d78a762fdefe60964c805850ac80426a44e6153b670d6761fd4b2b906f3,sortation_large,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,1,pass
7ff67aa59f71933b8cf2605e12631b8a28d9ebcfb9b941de3afdc7dce3123fee,maze-32-32-4,ggo_alignment_reference;movingai_canonical,G;M,split_later_by_parent_map_hash,False,False;True,False;True,True,24,pass
85ec535004685c9fb474954a24bd14395a21cea338bdcfdf7d9a2f21c587f87d,Paris_1_256,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,31,pass
8c5a83498ab92a2579aeef91c5f42d9ecf9019ef038cf98e623061a15beb6f56,random-32-32-20,ggo_alignment_reference;movingai_canonical,G;M,split_later_by_parent_map_hash,False,False;True,False;True,True,22,pass
8f21d8894691b31c0decf1043aacc1deede92554a5fd03ecc5f18da72dfd0c24,Paris_1_256,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,6,pass
8f4bc6c57aff59ff9650683bbfc91e0c618e30f96ef72323369cb7a055a33b26,lak303d,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,31,pass
977569a7ae89fb82359cfacd966846b21fa2355cad65429122fae034f8d51aff,random-32-32-20,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,9,pass
97787bfba5dd39a8b5a260d5b4ca1e7994cd342969bc45b1f4195cd7f5dbaf12,sortation_medium,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,1,pass
983df5c9bf0c59799daa107feb1b2d3ed81c5d32bf4b23d019f06161d0be6092,room-64-64-16,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,28,pass
9a22a1f6b63ac1914af03a24e4397e31000a3b4ffa85a6a4a813e04b5fa49bd1,maze-128-128-2,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,34,pass
9d13ddc8f39d3e64f2cabea9a81c8d298d0f4a955b104589aea71b07b2606d4f,empty-48-48,ggo_alignment_reference;movingai_canonical,G;M,split_later_by_parent_map_hash,False,False;True,False;True,True,32,pass
9e0fc2185c06f36974d5422ddebe654d6aade647571bffd3ac0205b6bc81db71,sortation_small,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,1,pass
9ef42dc6c43a2b07364c9678b7501a6a7ff1fc7e61215abae6d34000ba8e70c9,maze-128-128-1,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,33,pass
ad0288048f58319c599c7e0bd4d0e34af77d84adc26a882f7446b2d073d5348c,sortation_medium,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,1,pass
b31c671228f884a113ca11c41b83630dc042e58e07f9b36da74ec508f82a5659,random-64-64-10,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,26,pass
ba84e1c09f8afe3229531e0830593a022f59f0a4f4171f83c296473c56ea56a3,brc202d,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,7,pass
bc9c572a3d1c5b0273e17ca9af2faa3c685eff669dfbd2561b007c0340ae0e04,Boston_0_256,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,30,pass
bd3bec2d1c20a8bbf900583cb4c2cf9dc16101470fbfae93b272ee0fb575d3ec,warehouse-20-40-10-2-1,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,30,pass
bda33063f344d8404f82459585cda22346f4826e2199d9920711ef0e2cb12c19,warehouse_small,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,3,pass
c1be6a222e9b138e64d65ad50da92fca447f75191af9aa3022994fe3487abe56,Berlin_1_256,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,30,pass
c7f30563ec5b3163b22974c2ea3dad635f7fea2a191f69b61311775a373fa913,warehouse_large,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,1,pass
c8d1b2f24788ed6bd1ccf45065b96b4ce82d65f88c72de750e03e2758637bff0,warehouse-10-20-10-2-1,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,28,pass
d0d82f6e8becb0d2c1e61bcbfd9d94ed6d061725e38107be2c9defc8dcbfd9b4,ht_mansion_n,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,28,pass
dacdbfb8968bbdf0c4fce101301fc1c28aa5aa7a48c480c5c2a5a0745894adae,lt_gallowstemplar_n,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,29,pass
e746bbda308c7fb1137a8facd570bd8e2a732a47e5cbe5157e69e2282772455a,Paris_1_256,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,1,pass
eabfcfbee5556a9e4f2ebfe2fe578c36b3cc67c7fcf06218a2db06c3ffb5e2d4,warehouse_large,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,8,pass
eae2a3f5298b1e113bfc32b5b4404f5de5105365d237df63cc9dc9e2d1c73713,warehouse-20-40-10-2-2,mapf_lns2_experiment5_high_agent;movingai_canonical,H;M,split_later_by_parent_map_hash,False,True,False,True,156,pass
ee4f1b89431452b6a07f7a56c6ca653edd7f9f9f32906ab8280fb1a76e4b8a24,brc202d,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,34,pass
f107fefbf63c7a1a3753e4a033452301a1cdd7043cab7f45e4ed0e7dec1e90a9,room-32-32-4,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,21,pass
f44775cb285c0dca575c9d9ea5ed947f014308605d72817dab63beadb6aa5545,warehouse-33x36,ggo_alignment_reference,G,split_later_by_parent_map_hash,False,False,True,True,2,pass
