candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,maze,2000,14,0,2,4,10,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,random,1000,26,0,0,0,24,0,2,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,random,2000,17,0,1,2,11,0,4,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,random,500,24,0,0,2,22,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,warehouse,2000,12,1,0,1,3,0,7,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,maze,1000,24,1,0,0,23,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,maze,2000,12,0,1,2,10,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,random,1000,28,0,0,0,24,0,4,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,random,2000,16,0,1,3,11,0,2,0,0,False,False,False,False,False
