context_key,seed,seed_block,theta_cluster,selected_candidate,quality_delta_ratio,selected_ratio,baseline_ratio,better,worse,success_regression,horizon_id,nominal_budget_ms,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001978,-0.09885057471,1.30896551724,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001928,-0.09839080459,1.30942528736,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1421|5000|0|14650fb0739d0383,1421,1420_1439,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001838,-0.0904597133,1.26841324765,1.35887296095,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1452|5000|0|14650fb0739d0383,1452,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549000798,-0.07306791569,1.22295081967,1.29601873536,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1421|5000|0|14650fb0739d0383,1421,1420_1439,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001748,-0.07167572912,1.28719723183,1.35887296095,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1440|5000|0|14650fb0739d0383,1440,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001688,-0.07152941177,1.28188235294,1.35341176471,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1436|5000|0|14650fb0739d0383,1436,1420_1439,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001258,-0.07130801688,1.24936708861,1.32067510549,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1457|2000|no_probe|c0_short5000_t050_i2,1457,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001328,,,,False,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1457|2000|no_probe|c0_short5000_t050_i2,1457,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001338,,,,False,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1457|2000|no_probe|c0_short5000_t050_i2,1457,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001348,,,,False,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1457|2000|no_probe|c0_short5000_t050_i2,1457,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001358,,,,False,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001912,-0.16643678161,1.24137931034,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001942,-0.15586206896,1.25195402299,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1421|5000|0|14650fb0739d0383,1421,1420_1439,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001772,-0.13544241226,1.22343054869,1.35887296095,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001902,-0.13149425287,1.27632183908,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001922,-0.11632183908,1.29149425287,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1421|5000|0|14650fb0739d0383,1421,1420_1439,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001812,-0.103311913,1.25556104795,1.35887296095,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001982,-0.10298850574,1.30482758621,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1421|5000|0|14650fb0739d0383,1421,1420_1439,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001742,-0.10133465151,1.25753830944,1.35887296095,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1421|5000|0|14650fb0739d0383,1421,1420_1439,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001822,-0.10133465151,1.25753830944,1.35887296095,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1440|5000|0|14650fb0739d0383,1440,1440_1459,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001692,-0.10070588236,1.25270588235,1.35341176471,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1452|5000|0|14650fb0739d0383,1452,1440_1459,lambda_flow_lambda_cong_sweep,repair5g549_theta_549000792,-0.09086651054,1.20515222482,1.29601873536,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1422|5000|0|14650fb0739d0383,1422,1420_1439,lambda_flow_lambda_cong_sweep,repair5g549_theta_549001842,-0.09018789144,1.23131524008,1.32150313152,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
