candidate_id,candidate_role,candidate_family,rows,finite_rows,oracle_win_count,candidate_induced_no_solution_count,static_failure_candidate_recovers_count,mean_score,static_finite_comparison_rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g521_grid_c1p25_b1p25_f1p00_w0p75_dc1p00_df1p00_beta0p55_max0p75_c0,g521_second_wave,high_beta,42,40,0,0,0,1.252487097181,40,False,False,False,False,False
repair5g59_additive_fallback,old14,additive,42,40,0,0,0,1.365876129433,40,False,False,False,False,False
repair5g59_block_heavy_flow_guard,old14,block_heavy,42,40,2,0,0,1.245635702396,40,False,False,False,False,False
repair5g59_c_only_f_disabled,old14,static_boundary_c_only,42,40,0,0,0,1.356594897108,40,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,old14,commit_heavy,42,40,0,0,0,1.253380314044,40,False,False,False,False,False
repair5g59_fast_decay_low_shield,old14,flow_decay,42,40,0,0,0,1.302397879053,40,False,False,False,False,False
repair5g59_flow_decay,old14,flow_decay,42,40,2,0,0,1.252479380015,40,False,False,False,False,False
repair5g59_high_beta_cap_safe,old14,high_beta,42,40,0,0,0,1.255581442399,40,False,False,False,False,False
repair5g59_light_cong_light_flow,old14,flow_decay,42,39,0,1,0,1.299406935899,40,False,False,False,False,False
repair5g59_low_beta_high_cap,old14,flow_decay,42,39,2,1,0,1.279989995544,40,False,False,False,False,False
repair5g59_slow_decay_high_shield,old14,flow_decay,42,39,0,1,0,1.287760612845,40,False,False,False,False,False
repair5g59_static_abstain_candidate,old14,static,42,40,0,0,0,1.252479380015,40,False,False,False,False,False
repair5g59_static_flow_shield,old14,static,42,40,0,0,0,1.252479380015,40,False,False,False,False,False
repair5g59_wait_aggressive,old14,flow_shield,42,40,2,0,0,1.248162733512,40,False,False,False,False,False
repair5g59_wait_conservative,old14,wait_conservative,42,39,0,1,0,1.245482005213,40,False,False,False,False,False
