field,classification,used_by_g526_bandit_selection,allowed_in_distilled_runtime_features,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_mix_alpha_cong_committed_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_committed_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_committed_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_committed_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_committed_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_committed_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_progress_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_progress_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_progress_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_progress_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_progress_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_progress_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_progress_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_c_only_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_c_only_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_c_only_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_c_only_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_c_only_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_c_only_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_c_only_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_flow_shield_beta_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_flow_shield_beta_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_flow_shield_beta_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_flow_shield_beta_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_flow_shield_beta_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_flow_shield_beta_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_flow_shield_beta_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_max_flow_shield_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_max_flow_shield_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_max_flow_shield_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_max_flow_shield_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_max_flow_shield_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_max_flow_shield_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_max_flow_shield_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_cong_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_cong_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_cong_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_cong_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_cong_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_cong_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_cong_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_flow_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_flow_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_flow_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_flow_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_flow_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_flow_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_rho_flow_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_alpha_cong_blocked,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_alpha_cong_committed,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_alpha_flow_progress,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_alpha_flow_wait_or_nonprogress,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_c_only,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_flow_shield_beta,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_max_flow_shield,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_rho_cong,runtime_safe_feature,False,True,False,False,False,False,False
feature_param_rho_flow,runtime_safe_feature,False,True,False,False,False,False,False
feature_progress_vs_wait_rank_margin_x_candidate_congestion,runtime_safe_feature,False,True,False,False,False,False,False
feature_rank_effect_candidate_rank_global,runtime_safe_feature,False,True,False,False,False,False,False
feature_rank_effect_candidate_rank_within_region,runtime_safe_feature,False,True,False,False,False,False,False
feature_rank_effect_margin_to_old14_g518,runtime_safe_feature,False,True,False,False,False,False,False
feature_rank_effect_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_rank_effect_region_prior_score,runtime_safe_feature,False,True,False,False,False,False,False
feature_rank_effect_topk_margin_to_next_candidate,runtime_safe_feature,False,True,False,False,False,False,False
feature_wait_local_position_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_wait_nonprogress_penalty_score,runtime_safe_feature,False,True,False,False,False,False,False
iteration,audit_only,False,False,False,False,False,False,False
learned_runtime_policy_validated,audit_only,False,False,False,False,False,False,False
map,audit_only,False,False,False,False,False,False,False
map_agent_group,audit_only,False,False,False,False,False,False,False
map_family,audit_only,False,False,False,False,False,False,False
model,audit_only,False,False,False,False,False,False,False
normalized_context_key,audit_only,False,False,False,False,False,False,False
normalized_trace_context_key,audit_only,False,False,False,False,False,False,False
old14_g518_fallback_candidate,fallback_baseline,False,False,False,False,False,False,False
phase5p5_allowed,audit_only,False,False,False,False,False,False,False
phase6_allowed,audit_only,False,False,False,False,False,False,False
policy,audit_only,False,False,False,False,False,False,False
predicted_avoidable_risk,risk_label,False,False,False,False,False,False,False
region_top1_contains_oracle,oracle_label,False,False,False,False,False,False,False
region_top2_contains_oracle,oracle_label,False,False,False,False,False,False,False
reward,counterfactual_outcome,True,False,False,False,False,False,False
row_type,audit_only,False,False,False,False,False,False,False
runtime_claim_allowed,audit_only,False,False,False,False,False,False,False
safe_oracle_candidate,oracle_label,False,False,False,False,False,False,False
seed,audit_only,False,False,False,False,False,False,False
selected_budget_sensitive_failure,risk_label,False,False,False,False,False,False,False
selected_by_fallback,fallback_baseline,False,False,False,False,False,False,False
selected_candidate_id,audit_only,False,False,False,False,False,False,False
selected_candidate_induced_no_solution,risk_label,False,False,False,False,False,False,False
selected_candidate_region,audit_only,False,False,False,False,False,False,False
selected_policy_utility,counterfactual_outcome,True,False,False,False,False,False,False
selected_safe_positive,audit_only,False,False,False,False,False,False,False
selected_static_failure_recovery,risk_label,False,False,False,False,False,False,False
selection_rule,audit_only,False,False,False,False,False,False,False
short_budget_ms,audit_only,False,False,False,False,False,False,False
static_fallback_candidate,fallback_baseline,False,False,False,False,False,False,False
target_budget_sensitive_failure,oracle_label,True,False,False,False,False,False,False
target_candidate_induced_failure,oracle_label,False,False,False,False,False,False,False
target_candidate_induced_no_solution,oracle_label,True,False,False,False,False,False,False
target_delta_vs_old14_plus_g518,oracle_label,True,False,False,False,False,False,False
target_delta_vs_static,oracle_label,False,False,False,False,False,False,False
target_in_safe_oracle_top1,oracle_label,False,False,False,False,False,False,False
target_in_safe_oracle_top3,oracle_label,False,False,False,False,False,False,False
target_in_safe_oracle_top5,oracle_label,False,False,False,False,False,False,False
target_oracle_rank_budget,oracle_label,False,False,False,False,False,False,False
target_safe_g522_positive,oracle_label,True,False,False,False,False,False,False
target_score,oracle_label,False,False,False,False,False,False,False
target_selected_by_safe_oracle,oracle_label,False,False,False,False,False,False,False
target_selected_by_utility_oracle_with_risk_constraint,oracle_label,False,False,False,False,False,False,False
target_should_abstain_to_static,oracle_label,False,False,False,False,False,False,False
target_should_fallback_old14_g518,oracle_label,False,False,False,False,False,False,False
target_static_failure_recovery,oracle_label,True,False,False,False,False,False,False
target_static_recovery_candidate,oracle_label,False,False,False,False,False,False,False
target_unsafe_even_if_high_ranked,oracle_label,False,False,False,False,False,False,False
top1_contains_safe_oracle,oracle_label,False,False,False,False,False,False,False
top3_contains_safe_oracle,oracle_label,False,False,False,False,False,False,False
top5_contains_safe_oracle,oracle_label,False,False,False,False,False,False,False
traffic_before_hash_full,audit_only,False,False,False,False,False,False,False
utility_oracle_with_risk_candidate,oracle_label,False,False,False,False,False,False,False
