context_key,map_family,agents,seed,nominal_budget_ms,horizon_id,candidate_theta_rows,best_delta_vs_static_flow,mean_delta_vs_static_flow,has_safe_useful_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-20|100|2109|2000|0|14650fb0739d0383,random,100,2109,2000,iter_cf_short2000_t050_i2,16,-0.06407857811,0.29660563945,True,False,False,False,False,False
random-32-32-20|100|2111|2000|0|14650fb0739d0383,random,100,2111,2000,iter_cf_short2000_t050_i2,16,0.00684345595,0.159538066728,False,False,False,False,False,False
random-32-32-20|100|2115|2000|0|14650fb0739d0383,random,100,2115,2000,iter_cf_short2000_t050_i2,16,0.00357142857,0.124404761901,False,False,False,False,False,False
random-32-32-20|100|2117|2000|0|14650fb0739d0383,random,100,2117,2000,iter_cf_short2000_t050_i2,16,-0.03420608108,0.119325380068,True,False,False,False,False,False
random-32-32-20|100|2121|2000|0|14650fb0739d0383,random,100,2121,2000,iter_cf_short2000_t050_i2,16,-0.02064516129,0.123242349047,True,False,False,False,False,False
random-32-32-20|100|2123|2000|0|14650fb0739d0383,random,100,2123,2000,iter_cf_short2000_t050_i2,16,-0.08215426746,0.0327787228755,True,False,False,False,False,False
random-32-32-20|100|2127|2000|0|14650fb0739d0383,random,100,2127,2000,iter_cf_short2000_t050_i2,16,0.00158165283,0.113236457099,False,False,False,False,False,False
random-32-32-20|100|2129|2000|0|14650fb0739d0383,random,100,2129,2000,iter_cf_short2000_t050_i2,16,-0.09744331886,0.0201120635262,True,False,False,False,False,False
random-32-32-20|100|2133|2000|0|14650fb0739d0383,random,100,2133,2000,iter_cf_short2000_t050_i2,16,-0.0303442029,0.388707729465,True,False,False,False,False,False
random-32-32-20|100|2135|2000|0|14650fb0739d0383,random,100,2135,2000,iter_cf_short2000_t050_i2,16,0.00605798356,0.071686138756,False,False,False,False,False,False
random-32-32-20|100|2139|2000|0|14650fb0739d0383,random,100,2139,2000,iter_cf_short2000_t050_i2,16,-0.03714057508,0.184761524419,True,False,False,False,False,False
