ltm_target_map,map,contexts,complete_triples,ltm_30s_success_rate,ltm_30s_median_ratio,static_flow_30s_success_rate,static_flow_30s_median_ratio,gate3b_actor_30s_success_rate,gate3b_actor_30s_median_ratio,actor_vs_ltm_median_relative_quality_improvement,actor_vs_ltm_success_gain_count,actor_vs_ltm_success_regression_count,actor_vs_static_flow_median_relative_quality_improvement,actor_vs_static_flow_success_gain_count,actor_vs_static_flow_success_regression_count,static_flow_vs_ltm_median_relative_quality_improvement,static_flow_vs_ltm_success_gain_count,static_flow_vs_ltm_success_regression_count
family_backfill:warehouse,g567-warehouse-32x24-a-v1,1,1,1.0,1.105,1.0,1.05,1.0,1.0675,0.03393665158371049,0,0,-0.01666666666666652,0,0,0.04977375565610854,0,0
family_backfill:warehouse,g567-warehouse-32x24-a-v2,8,8,1.0,1.056142376555,1.0,1.0408199100950002,1.0,1.02225916817,0.0301483548771703,0,0,0.0160471641575658,0,0,0.010287267082485008,0,0
family_backfill:warehouse,g567-warehouse-64x40-b-v2,1,1,1.0,1.04691358025,1.0,1.02469135802,1.0,1.0049382716,0.04009433963018849,0,0,0.01927710843406433,0,0,0.021226415101706215,0,0
family_backfill:warehouse,warehouse_small,50,50,1.0,1.17320395055,1.0,1.174619780155,0.64,1.20033701365,-0.02079143940545567,0,18,-0.00942395173003473,0,18,-0.0007530742208620933,0,0
maze-32-32-4,maze_32_32_4,66,66,1.0,1.08735345932,1.0,1.06996167193,1.0,1.07550838687,0.01309801310100429,0,0,-0.0007299270077071545,0,0,0.013124376607149619,0,0
random-32-32-20,random_32_32_20,75,75,1.0,1.13915298185,1.0,1.10107334526,1.0,1.09704321456,0.009740259747502075,0,0,0.0026019080621711385,0,0,0.01006711409343549,0,0
random-64-64-20,random_64_64_20,66,66,1.0,1.0127562880649998,1.0,1.012571716825,1.0,1.010798902875,0.0,0,0,0.0,0,0,0.0,0,0
room-64-64-8,room_64_64_8,120,120,0.975,1.12976878613,0.975,1.10421898543,0.975,1.10895953757,0.0046224961479200515,0,0,-0.0015552099502422092,0,0,0.0006754474871151781,0,0
warehouse-10-20-10-2-1,warehouse_10_20_10_2_1,37,37,1.0,1.08757414924,1.0,1.08480051688,1.0,1.06587574149,0.03939768977182018,0,0,0.025053178916535152,0,0,0.014156450668966898,0,0
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,111,111,1.0,1.02179270982,1.0,1.01482247501,1.0,1.01181254841,0.003867151956115047,0,0,0.0,0,0,0.004044035044184428,0,0
