agents,map,scen,seed,selector_better_than_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_selected_source_method,selector_worse_than_static,static_delta_ratio_vs_ltm
100,maze-32-32-4,maze-32-32-4-random-136.scen,136,False,0.02097902098000004,0.06237762237000011,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.04139860139000007
100,maze-32-32-4,maze-32-32-4-random-137.scen,137,False,0.012043274139999838,0.0057154521299997985,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,0.006327822010000039
100,maze-32-32-4,maze-32-32-4-random-138.scen,138,True,0.031774852470000114,-0.013163867449999866,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.04493871991999998
100,maze-32-32-4,maze-32-32-4-random-139.scen,139,False,0.006052047610000111,0.02279604600000007,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.01674399838999996
100,maze-32-32-4,maze-32-32-4-random-140.scen,140,True,-0.008939657310000015,-0.017382666989999906,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.008443009679999891
100,maze-32-32-4,maze-32-32-4-random-141.scen,141,True,0.009789156629999907,-0.016315261039999918,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.026104417669999824
100,maze-32-32-4,maze-32-32-4-random-142.scen,142,True,-0.019782870930000085,-0.033534378769999984,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.013751507839999899
100,maze-32-32-4,maze-32-32-4-random-143.scen,143,True,-0.014328808449999952,-0.002011060839999912,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.01231774761000004
100,maze-32-32-4,maze-32-32-4-random-144.scen,144,True,-0.018501387599999974,-0.026595744680000033,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.008094357080000059
100,maze-32-32-4,maze-32-32-4-random-145.scen,145,True,0.026266416509999946,-0.00234521576000013,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.028611632270000076
100,maze-32-32-4,maze-32-32-4-random-146.scen,146,True,-0.005073566720000144,-0.010908168450000089,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.005834601729999944
100,maze-32-32-4,maze-32-32-4-random-147.scen,147,False,0.017421602790000046,0.011697361880000035,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,0.005724240910000011
100,maze-32-32-4,maze-32-32-4-random-148.scen,148,False,0.0007012622700000026,0.00397381954000009,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.003272557270000087
100,maze-32-32-4,maze-32-32-4-random-149.scen,149,True,-0.020221948209999896,-0.02934648581999988,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.009124537609999983
100,maze-32-32-4,maze-32-32-4-random-150.scen,150,False,-0.0010073029500001773,0.02568622512999985,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.02669352808000003
100,maze-32-32-4,maze-32-32-4-random-151.scen,151,True,0.005861365949999975,-0.002803261980000027,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.008664627930000002
100,maze-32-32-4,maze-32-32-4-random-152.scen,152,True,-0.013688016529999958,-0.02014462809999995,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.006456611569999993
100,maze-32-32-4,maze-32-32-4-random-153.scen,153,True,0.010294805799999862,-0.05919513337000004,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.0694899391699999
100,maze-32-32-4,maze-32-32-4-random-154.scen,154,True,-0.026892950389999948,-0.009399477809999945,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.017493472580000002
100,maze-32-32-4,maze-32-32-4-random-155.scen,155,False,0.011728709840000073,0.007394186640000022,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,0.004334523200000051
100,maze-32-32-4,maze-32-32-4-random-156.scen,156,True,0.016858050329999985,-0.000977278279999938,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.017835328609999923
100,maze-32-32-4,maze-32-32-4-random-157.scen,157,True,-0.007625503070000095,-0.015462825670000013,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.007837322599999919
100,maze-32-32-4,maze-32-32-4-random-158.scen,158,True,-0.021434460020000046,-0.004122011540000026,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.01731244848000002
100,maze-32-32-4,maze-32-32-4-random-159.scen,159,False,0.014363438519999994,0.024374319909999942,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.010010881389999948
100,maze-32-32-4,maze-32-32-4-random-160.scen,160,True,-0.007409236850000056,-0.003210669300000024,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.004198567550000032
100,maze-32-32-4,maze-32-32-4-random-161.scen,161,False,-0.038659793819999955,0.008805841920000113,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.04746563574000007
100,maze-32-32-4,maze-32-32-4-random-162.scen,162,False,0.010559662089999922,0.032470960930000015,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.021911298840000093
100,maze-32-32-4,maze-32-32-4-random-163.scen,163,True,-0.040861812780000006,-0.018573551260000043,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.022288261519999963
100,maze-32-32-4,maze-32-32-4-random-164.scen,164,False,-0.015812776730000033,0.004638414499999799,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.020451191229999832
100,maze-32-32-4,maze-32-32-4-random-165.scen,165,False,0.046032076649999976,0.04144969797999987,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,0.004582378670000109
50,random-32-32-20,random-32-32-20-random-126.scen,126,False,-0.037551020410000024,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.037551020410000024
50,random-32-32-20,random-32-32-20-random-127.scen,127,False,-0.05628140703999995,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.05628140703999995
50,random-32-32-20,random-32-32-20-random-128.scen,128,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
50,random-32-32-20,random-32-32-20-random-129.scen,129,False,-0.012939001850000187,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.012939001850000187
50,random-32-32-20,random-32-32-20-random-130.scen,130,False,-0.03980582524999998,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.03980582524999998
50,random-32-32-20,random-32-32-20-random-131.scen,131,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
50,random-32-32-20,random-32-32-20-random-132.scen,132,False,-0.05804311775000004,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.05804311775000004
50,random-32-32-20,random-32-32-20-random-133.scen,133,False,-0.035714285709999904,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.035714285709999904
50,random-32-32-20,random-32-32-20-random-134.scen,134,False,-0.031830238730000016,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.031830238730000016
50,random-32-32-20,random-32-32-20-random-135.scen,135,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
50,random-32-32-20,random-32-32-20-random-136.scen,136,False,-0.013234077750000184,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.013234077750000184
50,random-32-32-20,random-32-32-20-random-137.scen,137,False,-0.06878306878000018,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.06878306878000018
50,random-32-32-20,random-32-32-20-random-138.scen,138,False,-0.009803921570000096,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.009803921570000096
50,random-32-32-20,random-32-32-20-random-139.scen,139,False,-0.023152270700000033,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.023152270700000033
50,random-32-32-20,random-32-32-20-random-140.scen,140,False,-0.07058823529000002,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.07058823529000002
50,random-32-32-20,random-32-32-20-random-141.scen,141,False,-0.04811320755000015,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.04811320755000015
50,random-32-32-20,random-32-32-20-random-142.scen,142,False,0.0,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.0
50,random-32-32-20,random-32-32-20-random-143.scen,143,False,0.05008077543999989,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.05008077543999989
50,random-32-32-20,random-32-32-20-random-144.scen,144,False,-0.001755926249999984,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.001755926249999984
50,random-32-32-20,random-32-32-20-random-145.scen,145,False,-0.024158757550000187,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.024158757550000187
50,random-32-32-20,random-32-32-20-random-146.scen,146,False,-0.05258033106000015,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.05258033106000015
