map,agents,seed,scen,oracle_source_method,oracle_source_component,lacam_star_ltm_success,oracle_success,lacam_star_ltm_ratio,oracle_ratio,oracle_delta_ratio_vs_ltm
random-32-32-20,100,28,random-32-32-20-random-28.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.28090869375,1.19746614242,-0.08344255133000011
random-32-32-20,100,29,random-32-32-20-random-29.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.25011185682,1.19686800895,-0.05324384787000014
random-32-32-20,100,30,random-32-32-20-random-30.scen,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,flow_shield,True,True,1.22916666667,1.16623263889,-0.06293402778000012
random-32-32-20,100,31,random-32-32-20-random-31.scen,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,flow_shield,True,True,1.28565436242,1.18288590604,-0.10276845637999998
random-32-32-20,100,32,random-32-32-20-random-32.scen,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p5,agent_progress_f,True,True,1.23971149767,1.17861688587,-0.0610946118000002
random-32-32-20,100,33,random-32-32-20-random-33.scen,repair5g1_agent_additive_lf0p025_min1,agent_progress_f,True,True,1.26107127794,1.19485449178,-0.06621678616000004
random-32-32-20,100,34,random-32-32-20-random-34.scen,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,flow_shield,True,True,1.19883303411,1.16292639138,-0.03590664272999988
random-32-32-20,100,35,random-32-32-20-random-35.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,flow_shield,True,True,0.926086956522,0.869565217391,-0.056521739131000004
random-32-32-20,100,36,random-32-32-20-random-36.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.28085106383,1.21560283688,-0.06524822694999988
random-32-32-20,100,37,random-32-32-20-random-37.scen,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,flow_shield,True,True,1.22690217391,1.18206521739,-0.04483695651999997
random-32-32-20,100,38,random-32-32-20-random-38.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,0.732129032258,0.689032258065,-0.043096774192999954
random-32-32-20,100,39,random-32-32-20-random-39.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.25331504344,1.17786922725,-0.07544581619000001
random-32-32-20,100,40,random-32-32-20-random-40.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,1.2844404815,1.19616584931,-0.08827463218999987
random-32-32-20,100,41,random-32-32-20-random-41.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.29969149405,1.20934332305,-0.09034817100000003
random-32-32-20,100,42,random-32-32-20-random-42.scen,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,flow_shield,True,True,1.22192982456,1.19605263158,-0.02587719298000013
random-32-32-20,100,43,random-32-32-20-random-43.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.24893516327,1.17605300521,-0.07288215806000009
random-32-32-20,100,44,random-32-32-20-random-44.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,flow_shield,True,True,0.932385466035,0.891627172196,-0.04075829383900009
random-32-32-20,100,45,random-32-32-20-random-45.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.20999541495,1.17652453003,-0.033470884920000055
warehouse-10-20-10-2-1,50,26,warehouse-10-20-10-2-1-random-26.scen,repair5g_dual_c_equiv_c100_b100_w075_d095,c_equiv,True,True,1.09608884597,1.09608884597,0.0
warehouse-10-20-10-2-1,50,27,warehouse-10-20-10-2-1-random-27.scen,repair5g1_agent_c100_b100_w075_d095_lf0p01_min0p5,agent_progress_f,True,True,1.12468549063,1.12468549063,0.0
warehouse-10-20-10-2-1,50,28,warehouse-10-20-10-2-1-random-28.scen,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p5,agent_progress_f,True,True,1.08400520156,1.08400520156,0.0
warehouse-10-20-10-2-1,50,29,warehouse-10-20-10-2-1-random-29.scen,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,flow_shield,True,True,1.06450734894,1.06450734894,0.0
warehouse-10-20-10-2-1,50,30,warehouse-10-20-10-2-1-random-30.scen,repair5g1_wait_c100_b125_w075_d100_wp0p25_wn1,wait_gated,True,True,1.14586894587,1.14586894587,0.0
warehouse-10-20-10-2-1,50,31,warehouse-10-20-10-2-1-random-31.scen,repair5g_dual_c_equiv_c100_b100_w075_d100,c_equiv,True,True,1.1182328907,1.1182328907,0.0
warehouse-10-20-10-2-1,50,32,warehouse-10-20-10-2-1-random-32.scen,repair5g_dual_c_equiv_c100_b100_w075_d095,c_equiv,True,True,1.09141696293,1.04164550533,-0.0497714575999999
warehouse-10-20-10-2-1,50,33,warehouse-10-20-10-2-1-random-33.scen,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,flow_shield,True,True,1.11153071501,1.11153071501,0.0
warehouse-10-20-10-2-1,50,34,warehouse-10-20-10-2-1-random-34.scen,repair5g_dual_c_equiv_c125_b125_w075_d095,c_equiv,True,True,1.0811965812,1.0811965812,0.0
warehouse-10-20-10-2-1,50,35,warehouse-10-20-10-2-1-random-35.scen,repair5g1_wait_c100_b100_w075_d095_wp0p75_wn1p25,wait_gated,True,True,1.08857979502,1.08857979502,0.0
warehouse-10-20-10-2-1,50,36,warehouse-10-20-10-2-1-random-36.scen,repair5g_dual_c_equiv_c100_b125_w075_d100,c_equiv,True,True,1.09292035398,1.09292035398,0.0
warehouse-10-20-10-2-1,50,37,warehouse-10-20-10-2-1-random-37.scen,repair5g1_global_c100_b100_w075_d095_lf0p1_min0p75,global_f_small_lambda,True,True,1.04813578186,1.04813578186,0.0
warehouse-10-20-10-2-1,50,38,warehouse-10-20-10-2-1-random-38.scen,repair5g_dual_c_equiv_c125_b125_w075_d095,c_equiv,True,True,1.08183678109,1.08183678109,0.0
warehouse-10-20-10-2-1,50,39,warehouse-10-20-10-2-1-random-39.scen,repair5g1_agent_c100_b125_w075_d100_lf0p01_min0p5,agent_progress_f,True,True,1.08527472527,1.08527472527,0.0
warehouse-10-20-10-2-1,50,40,warehouse-10-20-10-2-1-random-40.scen,repair5g1_agent_c100_b100_w075_d095_lf0p2_min0p5,agent_progress_f,True,True,1.07090997096,1.07090997096,0.0
warehouse-10-20-10-2-1,50,41,warehouse-10-20-10-2-1-random-41.scen,repair5g1_agent_c125_b125_w075_d095_lf0p01_min0p75,agent_progress_f,True,True,1.08731756417,1.08731756417,0.0
warehouse-10-20-10-2-1,50,42,warehouse-10-20-10-2-1-random-42.scen,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,flow_shield,True,True,1.05641821946,1.05641821946,0.0
warehouse-10-20-10-2-1,50,43,warehouse-10-20-10-2-1-random-43.scen,repair5g1_wait_additive_wp0p75_wn1p25,wait_gated,True,True,1.09701492537,1.09701492537,0.0
warehouse-10-20-10-2-1,50,44,warehouse-10-20-10-2-1-random-44.scen,repair5g1_global_c100_b125_w075_d100_lf0p025_min0p75,global_f_small_lambda,True,True,1.09078498294,1.09078498294,0.0
warehouse-10-20-10-2-1,50,45,warehouse-10-20-10-2-1-random-45.scen,repair5g_dual_c_equiv_c100_b125_w075_d100,c_equiv,True,True,1.08197582764,1.08197582764,0.0
warehouse-10-20-10-2-1,100,26,warehouse-10-20-10-2-1-random-26.scen,repair5g1_global_c125_b125_w075_d095_lf0p01_min0p75,global_f_small_lambda,True,True,1.15067576609,1.15067576609,0.0
warehouse-10-20-10-2-1,100,27,warehouse-10-20-10-2-1-random-27.scen,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,agent_progress_f,True,True,1.19629270992,1.19629270992,0.0
warehouse-10-20-10-2-1,100,28,warehouse-10-20-10-2-1-random-28.scen,repair5g1_global_additive_lf0p025_min0p75,global_f_small_lambda,True,True,1.17033414833,1.17033414833,0.0
warehouse-10-20-10-2-1,100,29,warehouse-10-20-10-2-1-random-29.scen,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p5,agent_progress_f,True,True,1.16962094355,1.16962094355,0.0
warehouse-10-20-10-2-1,100,30,warehouse-10-20-10-2-1-random-30.scen,repair5g1_agent_additive_lf0p05_min1,agent_progress_f,True,True,1.25521038144,1.25521038144,0.0
warehouse-10-20-10-2-1,100,31,warehouse-10-20-10-2-1-random-31.scen,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,flow_shield,True,True,1.20002591009,1.20002591009,0.0
warehouse-10-20-10-2-1,100,32,warehouse-10-20-10-2-1-random-32.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,1.16523279352,1.16523279352,0.0
warehouse-10-20-10-2-1,100,33,warehouse-10-20-10-2-1-random-33.scen,repair5g1_wait_c100_b125_w075_d100_wp0p25_wn1,wait_gated,False,True,,1.12466124661,
warehouse-10-20-10-2-1,100,34,warehouse-10-20-10-2-1-random-34.scen,repair5g1_global_c100_b100_w075_d095_lf0p01_min0p75,global_f_small_lambda,True,True,1.17056156261,1.17056156261,0.0
warehouse-10-20-10-2-1,100,35,warehouse-10-20-10-2-1-random-35.scen,repair5g1_agent_additive_lf0p05_min0p75,agent_progress_f,True,True,1.15807228916,1.15807228916,0.0
warehouse-10-20-10-2-1,100,36,warehouse-10-20-10-2-1-random-36.scen,repair5g1_agent_additive_lf0p05_min0p5,agent_progress_f,True,True,1.14618249534,1.14618249534,0.0
warehouse-10-20-10-2-1,100,37,warehouse-10-20-10-2-1-random-37.scen,repair5g1_agent_c125_b125_w075_d095_lf0p01_min1,agent_progress_f,True,True,1.14158653846,1.14158653846,0.0
warehouse-10-20-10-2-1,100,38,warehouse-10-20-10-2-1-random-38.scen,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,flow_shield,True,True,1.16456161864,1.16456161864,0.0
warehouse-10-20-10-2-1,100,39,warehouse-10-20-10-2-1-random-39.scen,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,flow_shield,True,True,1.14967557462,1.14967557462,0.0
warehouse-10-20-10-2-1,100,40,warehouse-10-20-10-2-1-random-40.scen,repair5g1_agent_c100_b125_w075_d100_lf0p01_min0p75,agent_progress_f,True,True,1.23353365385,1.23353365385,0.0
warehouse-10-20-10-2-1,100,41,warehouse-10-20-10-2-1-random-41.scen,repair5g1_agent_c100_b100_w075_d095_lf0p1_min1,agent_progress_f,True,True,1.15914713158,1.15914713158,0.0
warehouse-10-20-10-2-1,100,42,warehouse-10-20-10-2-1-random-42.scen,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,flow_shield,True,True,1.18760426023,1.18760426023,0.0
warehouse-10-20-10-2-1,100,43,warehouse-10-20-10-2-1-random-43.scen,repair5g1_global_additive_lf0p1_min0p75,global_f_small_lambda,False,True,,1.14853435291,
warehouse-10-20-10-2-1,100,44,warehouse-10-20-10-2-1-random-44.scen,repair5g1_agent_c100_b100_w075_d095_lf0p2_min0p75,agent_progress_f,True,True,1.18992678056,1.18992678056,0.0
warehouse-10-20-10-2-1,100,45,warehouse-10-20-10-2-1-random-45.scen,repair5g1_agent_c100_b100_w075_d095_lf0p1_min0p5,agent_progress_f,True,True,1.18089917531,1.18089917531,0.0
