agents,c_equiv_delta_ratio_vs_ltm,classification,flow_shield_hurts_c_equiv_safe,joint_ltm_classification,map,seed,selector_avoids_harm_vs_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_missed_gain_vs_static,selector_source_method,static_delta_ratio_vs_ltm
100,-0.04421148587000001,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,57,False,-0.03737465815999985,0.032360984500000134,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.06973564265999999
100,-0.04093816630999991,selector_wins_over_static,False,both_win_or_tie_ltm,random-32-32-20,58,False,-0.15863539445000008,-0.01961620469000014,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.13901918975999994
100,-0.015371102330000053,static_wins_over_selector,True,both_lose_to_ltm,random-32-32-20,59,False,0.014931927979999982,0.010101010100000085,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0.004830917879999896
100,0.0,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,60,False,-0.06916996047000001,0.023715415019999853,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.09288537548999987
100,0.02652877698,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,61,False,-0.057553956830000086,0.013489208640000028,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.07104316547000011
100,0.0009474182900000017,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,62,False,-0.0937944102299999,0.02368545713000003,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.11747986735999993
100,-0.007342817810000124,static_wins_over_selector,True,mixed,random-32-32-20,63,False,0.008719596139999952,0.020192748970000007,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.011473152830000055
100,0.012769704969999962,selector_wins_over_static,False,both_win_or_tie_ltm,random-32-32-20,64,False,-0.04227212681999992,-0.0008806693099998597,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.04139145751000006
100,0.01867030965000005,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,65,False,-0.019581056469999858,0.004553734059999925,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.024134790529999783
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,46,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,47,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,48,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,49,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,50,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,51,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,52,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,warehouse-10-20-10-2-1,53,False,0.0,0.0,False,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0
