failure_against,map_family,agents,budget_ms,iteration,selected_candidate,baseline_candidate,success_regression,quality_delta_ratio,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
primary_static,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.04610655737,False,False,False,False,False
primary_static,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.04610655737,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.0562283737,False,False,False,False,False
primary_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.02941176471,False,False,False,False,False
primary_static,random,100,500,0,repair5g59_static_flow_shield,repair5g59_wait_aggressive,True,,False,False,False,False,False
primary_static,random,100,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,True,,False,False,False,False,False
primary_static,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_high_beta_cap_safe,False,0.11536728256,False,False,False,False,False
primary_static,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_high_beta_cap_safe,False,0.04326273096,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.05694305694,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01432181971,False,False,False,False,False
primary_static,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,random,100,500,0,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,random,100,500,final,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.01742160278,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.04916666667,False,False,False,False,False
primary_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.04916666667,False,False,False,False,False
primary_static,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_high_beta_cap_safe,False,0.02978918423,False,False,False,False,False
primary_static,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_high_beta_cap_safe,False,0.02795600367,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.04083665339,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.00529100529,False,False,False,False,False
primary_static,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01540436457,False,False,False,False,False
primary_static,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01540436457,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.01837270341,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01956947162,False,False,False,False,False
primary_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01956947162,False,False,False,False,False
primary_static,random,100,500,0,repair5g59_static_flow_shield,repair5g59_wait_aggressive,True,,False,False,False,False,False
primary_static,random,100,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,True,,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.0259391771,False,False,False,False,False
primary_static,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_high_beta_cap_safe,False,0.02325581395,False,False,False,False,False
primary_static,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_high_beta_cap_safe,False,0.02280858676,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.01714285715,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.05253104107,False,False,False,False,False
primary_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.05253104107,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.01994796184,False,False,False,False,False
primary_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_high_beta_cap_safe,False,0.01994796184,False,False,False,False,False
primary_static,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_high_beta_cap_safe,False,0.01532912534,False,False,False,False,False
primary_static,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
