registry_row_id,candidate_id,registry_label,candidate_group,theta_cluster,changed_field_for_smoke_pair,materialization_family,bounded_updateparams,full_only_field_varied,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g549_registry_000011,repair5g549_theta_549000011,static_flow_local_perturbation_fulltheta_0010,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.768346463307,0.95,1,0.717935764128,0.706961186078,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000012,repair5g549_theta_549000012,lambda_flow_lambda_cong_sweep_0011,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.843708312583,0.0204599590801,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000013,repair5g549_theta_549000013,alpha_flow_wait_progress_sweep_0012,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1.10377529245,0.95,1,1,0.510681478637,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000014,repair5g549_theta_549000014,edge_cost_clamp_sweep_0013,edge_cost_clamp_sweep,edge_cost_clamp_sweep,edge_cost_clamp_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.736289277421,11.6438527123,1,0,0,False,False,False,False,False
g549_registry_000015,repair5g549_theta_549000015,goal_projection_mode_ablation_0014,goal_projection_mode_ablation,goal_projection_mode_ablation,goal_projection_mode_ablation,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.42332315335,0.35,0.75,1,11,0,0,1,False,False,False,False,False
g549_registry_000016,repair5g549_theta_549000016,alpha_cong_commit_nonprogress_sweep_0015,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,repair5g549_fulltheta_registry,True,True,1.25,0.843795562409,1.25,0.75,0.75,1,1,0.95,1,0.982141035718,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000017,repair5g549_theta_549000017,g543_true_near_signal_neighborhood_0016,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.20767978464,0.229727940544,0.781452687095,1,11,1,0,0,False,False,False,False,False
g549_registry_000018,repair5g549_theta_549000018,g546_g548_safe_no_gain_neighborhood_0017,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.336436127128,0.95,1,1.09575445849,1,0.35,0.75,0.405103539793,11,1,0,0,False,False,False,False,False
g549_registry_000019,repair5g549_theta_549000019,surrogate_guided_theta_if_model_exists_0018,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,repair5g549_fulltheta_registry,True,True,1.25,1.39544170912,1.25,0.75,0.75,1,1,0.95,1,0.978847342305,0.921348857302,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000020,repair5g549_theta_549000020,negative_control_0019,negative_control,negative_control,negative_control,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.716541566917,1.29423791152,0.35,0.75,1,8.12745974508,0,0,1,False,False,False,False,False
g549_registry_000021,repair5g549_theta_549000021,static_flow_local_perturbation_fulltheta_0020,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1.11075977848,0.95,1,0.758372683255,0.832565534869,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000022,repair5g549_theta_549000022,lambda_flow_lambda_cong_sweep_0021,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.47086805826,0.0749863500273,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000023,repair5g549_theta_549000023,alpha_flow_wait_progress_sweep_0022,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.996578006844,0.95,1,1,1.05673288653,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000024,repair5g549_theta_549000024,edge_cost_clamp_sweep_0023,edge_cost_clamp_sweep,edge_cost_clamp_sweep,edge_cost_clamp_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.714819070362,8.18377563245,1,0,0,False,False,False,False,False
g549_registry_000025,repair5g549_theta_549000025,goal_projection_mode_ablation_0024,goal_projection_mode_ablation,goal_projection_mode_ablation,goal_projection_mode_ablation,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.169181661637,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000026,repair5g549_theta_549000026,alpha_cong_commit_nonprogress_sweep_0025,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,repair5g549_fulltheta_registry,True,True,1.25,0.867889264221,1.25,0.75,0.75,1,1,0.95,1,1.44776010448,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000027,repair5g549_theta_549000027,g543_true_near_signal_neighborhood_0026,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.239514120972,0.303733292533,0.867087515825,1,11,1,0,0,False,False,False,False,False
g549_registry_000028,repair5g549_theta_549000028,g546_g548_safe_no_gain_neighborhood_0027,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.738498623003,0.95,1,1.03333248334,1,0.35,0.75,0.308165683669,11,1,0,0,False,False,False,False,False
g549_registry_000029,repair5g549_theta_549000029,surrogate_guided_theta_if_model_exists_0028,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,repair5g549_fulltheta_registry,True,True,1.25,0.986681776636,1.25,0.75,0.75,1,1,0.95,1,0.877114745771,0.168532762934,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000030,repair5g549_theta_549000030,negative_control_0029,negative_control,negative_control,negative_control,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.3118993762,1.34933430133,0.35,0.75,1,11.6541006918,0,0,1,False,False,False,False,False
g549_registry_000031,repair5g549_theta_549000031,static_flow_local_perturbation_fulltheta_0030,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1.22716074568,0.95,1,0.801066797866,1.0007001986,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000032,repair5g549_theta_549000032,lambda_flow_lambda_cong_sweep_0031,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.909718180564,0.778006443987,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000033,repair5g549_theta_549000033,alpha_flow_wait_progress_sweep_0032,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.61843501313,0.95,1,1,0.0152849694301,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000034,repair5g549_theta_549000034,edge_cost_clamp_sweep_0033,edge_cost_clamp_sweep,edge_cost_clamp_sweep,edge_cost_clamp_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.987496025008,9.76162447675,1,0,0,False,False,False,False,False
g549_registry_000035,repair5g549_theta_549000035,goal_projection_mode_ablation_0034,goal_projection_mode_ablation,goal_projection_mode_ablation,goal_projection_mode_ablation,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.652500195,0.35,0.75,1,11,0,1,0,False,False,False,False,False
g549_registry_000036,repair5g549_theta_549000036,alpha_cong_commit_nonprogress_sweep_0035,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,repair5g549_fulltheta_registry,True,True,1.25,0.940595368809,1.25,0.75,0.75,1,1,0.95,1,1.38294223412,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000037,repair5g549_theta_549000037,g543_true_near_signal_neighborhood_0036,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.584342231316,0.674843050314,0.569640360719,1,11,1,0,0,False,False,False,False,False
g549_registry_000038,repair5g549_theta_549000038,g546_g548_safe_no_gain_neighborhood_0037,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.514158771682,0.95,1,1.30652173696,1,0.35,0.75,0.713627072746,11,1,0,0,False,False,False,False,False
g549_registry_000039,repair5g549_theta_549000039,surrogate_guided_theta_if_model_exists_0038,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,repair5g549_fulltheta_registry,True,True,1.25,1.42134710731,1.25,0.75,0.75,1,1,0.95,1,1.12764544471,0.570613558773,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000040,repair5g549_theta_549000040,negative_control_0039,negative_control,negative_control,negative_control,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.06159087682,0.728208043584,0.35,0.75,1,8.28864342271,0,0,1,False,False,False,False,False
g549_registry_000041,repair5g549_theta_549000041,static_flow_local_perturbation_fulltheta_0040,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1.08801322397,0.95,1,0.766951466097,0.930081539837,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000042,repair5g549_theta_549000042,lambda_flow_lambda_cong_sweep_0041,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.05991088018,0.895265709469,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000043,repair5g549_theta_549000043,alpha_flow_wait_progress_sweep_0042,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.0308836882326,0.95,1,1,1.06212837574,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000044,repair5g549_theta_549000044,edge_cost_clamp_sweep_0043,edge_cost_clamp_sweep,edge_cost_clamp_sweep,edge_cost_clamp_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.606824536351,8.04043191914,1,0,0,False,False,False,False,False
g549_registry_000045,repair5g549_theta_549000045,goal_projection_mode_ablation_0044,goal_projection_mode_ablation,goal_projection_mode_ablation,goal_projection_mode_ablation,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.24626050748,0.35,0.75,1,11,0,0,1,False,False,False,False,False
g549_registry_000046,repair5g549_theta_549000046,alpha_cong_commit_nonprogress_sweep_0045,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.04222016556,1.25,0.75,0.75,1,1,0.95,1,0.685704628591,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000047,repair5g549_theta_549000047,g543_true_near_signal_neighborhood_0046,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.306377987244,0.348352203296,0.910825928348,1,11,1,0,0,False,False,False,False,False
g549_registry_000048,repair5g549_theta_549000048,g546_g548_safe_no_gain_neighborhood_0047,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.501271697457,0.95,1,0.823731302537,1,0.35,0.75,0.381885336229,11,1,0,0,False,False,False,False,False
g549_registry_000049,repair5g549_theta_549000049,surrogate_guided_theta_if_model_exists_0048,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,repair5g549_fulltheta_registry,True,True,1.25,0.985498579003,1.25,0.75,0.75,1,1,0.95,1,0.897579504841,1.10809728381,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000050,repair5g549_theta_549000050,negative_control_0049,negative_control,negative_control,negative_control,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.13040673919,1.11283727433,0.35,0.75,1,9.14106971786,0,0,1,False,False,False,False,False
g549_registry_000051,repair5g549_theta_549000051,static_flow_local_perturbation_fulltheta_0050,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.843471713057,0.95,1,1.13443573113,0.918136163728,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000052,repair5g549_theta_549000052,lambda_flow_lambda_cong_sweep_0051,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.562142875714,1.41533266933,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000053,repair5g549_theta_549000053,alpha_flow_wait_progress_sweep_0052,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1.21565381869,0.95,1,1,1.44530710939,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000054,repair5g549_theta_549000054,edge_cost_clamp_sweep_0053,edge_cost_clamp_sweep,edge_cost_clamp_sweep,edge_cost_clamp_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.821845356309,11.3473413053,1,0,0,False,False,False,False,False
g549_registry_000055,repair5g549_theta_549000055,goal_projection_mode_ablation_0054,goal_projection_mode_ablation,goal_projection_mode_ablation,goal_projection_mode_ablation,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.11291977416,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000056,repair5g549_theta_549000056,alpha_cong_commit_nonprogress_sweep_0055,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.64053771892,1.25,0.75,0.75,1,1,0.95,1,1.42621714757,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000057,repair5g549_theta_549000057,g543_true_near_signal_neighborhood_0056,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.637876524247,0.55788978422,0.815518368963,1,11,1,0,0,False,False,False,False,False
g549_registry_000058,repair5g549_theta_549000058,g546_g548_safe_no_gain_neighborhood_0057,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.958090983818,0.95,1,0.952253595493,1,0.35,0.75,0.350687198626,11,1,0,0,False,False,False,False,False
g549_registry_000059,repair5g549_theta_549000059,surrogate_guided_theta_if_model_exists_0058,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,repair5g549_fulltheta_registry,True,True,1.25,0.956917386165,1.25,0.75,0.75,1,1,0.95,1,1.37452415095,0.755797188406,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000060,repair5g549_theta_549000060,negative_control_0059,negative_control,negative_control,negative_control,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.52883494233,0.126319247362,0.35,0.75,1,9.9817000366,0,0,1,False,False,False,False,False
g549_registry_000061,repair5g549_theta_549000061,static_flow_local_perturbation_fulltheta_0060,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.733877732245,0.95,1,1.29830800338,0.743257513485,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000062,repair5g549_theta_549000062,lambda_flow_lambda_cong_sweep_0061,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.18054663891,1.14896020208,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000063,repair5g549_theta_549000063,alpha_flow_wait_progress_sweep_0062,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.383789232422,0.95,1,1,0.817345365309,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000064,repair5g549_theta_549000064,edge_cost_clamp_sweep_0063,edge_cost_clamp_sweep,edge_cost_clamp_sweep,edge_cost_clamp_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.839021821956,8.29407941184,1,0,0,False,False,False,False,False
g549_registry_000065,repair5g549_theta_549000065,goal_projection_mode_ablation_0064,goal_projection_mode_ablation,goal_projection_mode_ablation,goal_projection_mode_ablation,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.616075767848,0.35,0.75,1,11,0,1,0,False,False,False,False,False
g549_registry_000066,repair5g549_theta_549000066,alpha_cong_commit_nonprogress_sweep_0065,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.62330525339,1.25,0.75,0.75,1,1,0.95,1,1.15729568541,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000067,repair5g549_theta_549000067,g543_true_near_signal_neighborhood_0066,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.173681452637,0.448190503619,0.802787894424,1,11,1,0,0,False,False,False,False,False
g549_registry_000068,repair5g549_theta_549000068,g546_g548_safe_no_gain_neighborhood_0067,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.724525250949,0.95,1,0.902063295873,1,0.35,0.75,0.572840554319,11,1,0,0,False,False,False,False,False
g549_registry_000069,repair5g549_theta_549000069,surrogate_guided_theta_if_model_exists_0068,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,repair5g549_fulltheta_registry,True,True,1.25,0.682702834594,1.25,0.75,0.75,1,1,0.95,1,1.35942098116,1.16867436265,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000070,repair5g549_theta_549000070,negative_control_0069,negative_control,negative_control,negative_control,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.14796670407,0.587370325259,0.35,0.75,1,8.83966232068,0,0,1,False,False,False,False,False
g549_registry_000071,repair5g549_theta_549000071,static_flow_local_perturbation_fulltheta_0070,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.929960940078,0.95,1,1.26558466883,1.16777466445,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000072,repair5g549_theta_549000072,lambda_flow_lambda_cong_sweep_0071,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.08696282607,0.336758326483,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000073,repair5g549_theta_549000073,alpha_flow_wait_progress_sweep_0072,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.0508186483627,0.95,1,1,0.959251081498,0.35,0.75,1,11,1,0,0,False,False,False,False,False
