topology_id,map,map_family,graph_cache_path,free_cells,directed_edge_count_proxy,node_feature_count,edge_feature_count,node_features,edge_features,bottleneck_score_proxy,structural_positional_encoding,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_topology_010_maze,maze-128-128-10,maze,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_010_maze_graph_features.parquet,9830,39320,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.570938468123,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_011_room,room-32-32-4,room,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_011_room_graph_features.parquet,839,3356,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.407617894764,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_012_room,room-64-64-8,room,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_012_room_graph_features.parquet,3358,13432,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.131524096952,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_013_room,room-64-64-16,room,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_013_room_graph_features.parquet,3276,13104,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.166199577601,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_014_warehouse,warehouse-10-20-10-2-1,warehouse,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_014_warehouse_graph_features.parquet,9996,39984,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.340037979924,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_015_warehouse,warehouse-10-20-10-2-2,warehouse,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_015_warehouse_graph_features.parquet,9996,39984,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.651988856022,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_016_warehouse,warehouse-20-40-10-2-1,warehouse,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_016_warehouse_graph_features.parquet,37916,151664,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.413234733531,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_017_warehouse,warehouse-20-40-10-2-2,warehouse,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_017_warehouse_graph_features.parquet,37916,151664,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.353951502097,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_018_bottleneck,connector,bottleneck,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_018_bottleneck_graph_features.parquet,2662,10648,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.57053001894,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_019_bottleneck,corners,bottleneck,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_019_bottleneck_graph_features.parquet,2662,10648,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.516675276649,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_020_bottleneck,tunnel,bottleneck,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_020_bottleneck_graph_features.parquet,2539,10156,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.501857006286,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_021_bottleneck,loop-chain,bottleneck,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_021_bottleneck_graph_features.parquet,3072,12288,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.576757906484,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_022_bottleneck,string,bottleneck,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_022_bottleneck_graph_features.parquet,3072,12288,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.496788666423,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_023_bottleneck,tree,bottleneck,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_023_bottleneck_graph_features.parquet,3072,12288,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.669991770016,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_024_irregular,Berlin_1_256,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_024_irregular_graph_features.parquet,52428,209712,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.24801506397,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_025_irregular,Boston_0_256,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_025_irregular_graph_features.parquet,52428,209712,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.397586214828,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_026_irregular,Paris_1_256,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_026_irregular_graph_features.parquet,52428,209712,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.152026005948,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_027_irregular,brc202d,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_027_irregular_graph_features.parquet,49152,196608,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.161845936308,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_028_irregular,den312d,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_028_irregular_graph_features.parquet,49152,196608,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.401883156234,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_029_irregular,den520d,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_029_irregular_graph_features.parquet,49152,196608,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.251798206404,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_030_irregular,lak303d,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_030_irregular_graph_features.parquet,49152,196608,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.134302741395,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_031_irregular,orz900d,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_031_irregular_graph_features.parquet,49152,196608,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.101685256629,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_032_irregular,ost003d,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_032_irregular_graph_features.parquet,49152,196608,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.360603188794,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_033_irregular,w_woundedcoast,irregular,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_033_irregular_graph_features.parquet,49152,196608,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.358626392747,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_034_qd_empty,empty-32-32,qd_empty,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_034_qd_empty_graph_features.parquet,1024,4096,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.170751318497,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_035_qd_empty,empty-48-48,qd_empty,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_035_qd_empty_graph_features.parquet,2304,9216,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.343122823754,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_036_qd_empty,empty-16-16,qd_empty,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_036_qd_empty_graph_features.parquet,256,1024,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.14788481423,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_037_qd_random,random-32-32-20,qd_random,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_037_qd_random_graph_features.parquet,819,3276,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.375808208384,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_038_qd_random,random-64-64-20,qd_random,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_038_qd_random_graph_features.parquet,3276,13104,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.362563884872,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_039_qd_random,random-32-32-10,qd_random,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_039_qd_random_graph_features.parquet,921,3684,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.119764120472,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_040_qd_random,random-64-64-10,qd_random,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_040_qd_random_graph_features.parquet,3686,14744,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.345060769878,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_041_qd_maze,maze-32-32-4,qd_maze,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_041_qd_maze_graph_features.parquet,737,2948,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.362527184946,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_042_qd_maze,maze-32-32-2,qd_maze,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_042_qd_maze_graph_features.parquet,819,3276,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.33821518357,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_043_qd_maze,maze-128-128-2,qd_maze,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_043_qd_maze_graph_features.parquet,13107,52428,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.499996410007,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_044_qd_maze,maze-128-128-10,qd_maze,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_044_qd_maze_graph_features.parquet,9830,39320,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.626978606043,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_045_qd_room,room-32-32-4,qd_room,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_045_qd_room_graph_features.parquet,839,3356,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.319642420715,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_046_qd_room,room-64-64-8,qd_room,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_046_qd_room_graph_features.parquet,3358,13432,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.297511614977,grid_xy_degree_betweenness_proxy,False,False,False,False,False
