baseline_level,map_family,budget_ms,agents,support_rows,success_regression_count_vs_additive,success_gain_count_vs_additive,quality_only_mean_delta_vs_additive,quality_only_mean_delta_vs_static_flow,fallback_or_additive_selection_rate,top_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
best_safe_static_oracle_upper_bound,maze,1000,50,60,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,maze,2000,100,51,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,maze,2000,50,63,0,5,-0.0300545641521,-0.010908591795,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,maze,500,100,50,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,maze,500,50,50,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,random,1000,100,50,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,random,1000,50,96,7,0,-0.00163044920887,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,random,2000,100,81,5,1,-0.00093044980913,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,random,2000,50,73,1,11,-0.0370092246133,-0.00836282565797,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,random,500,100,50,1,9,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,random,500,50,50,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_safe_static_oracle_upper_bound,warehouse,1000,100,12,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_safe_static_oracle_upper_bound,warehouse,1000,50,20,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_safe_static_oracle_upper_bound,warehouse,2000,100,6,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_safe_static_oracle_upper_bound,warehouse,2000,50,19,0,3,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_safe_static_oracle_upper_bound,warehouse,500,100,14,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_safe_static_oracle_upper_bound,warehouse,500,50,20,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
static_flow_shield,maze,1000,100,50,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,maze,1000,50,60,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,maze,2000,100,51,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,maze,2000,50,63,1,1,-0.017627662923,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,maze,500,100,50,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,maze,500,50,50,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,random,1000,100,50,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,random,1000,50,96,10,0,0.0001402961808,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,random,2000,100,81,7,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,random,2000,50,73,3,4,-0.0253684380905,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,random,500,100,50,2,2,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,random,500,50,50,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,warehouse,1000,100,12,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,warehouse,1000,50,20,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,warehouse,2000,100,6,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,warehouse,2000,50,19,2,3,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,warehouse,500,100,14,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
static_flow_shield,warehouse,500,50,20,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
