plan_row_id,context_id,g568_method,agent_count,solver_internal_time_limit_sec,process_hard_timeout_sec,row_budget_audit_decision,row_budget_audit_failures
g568_ltm30_labeltrain1000_existingrow_00000063,g567_gate3b_calibration_00238,static_flow_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000064,g567_gate3b_calibration_00239,ltm_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000065,g567_gate3b_calibration_00239,static_flow_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000066,g567_gate3b_calibration_00237,ltm_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000067,g567_gate3b_calibration_00237,static_flow_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000068,g567_gate3b_calibration_00240,ltm_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000069,g567_gate3b_calibration_00240,static_flow_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000070,g567_gate3b_calibration_00243,ltm_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000071,g567_gate3b_calibration_00243,static_flow_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000072,g567_gate3b_calibration_00241,ltm_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000073,g567_gate3b_calibration_00241,static_flow_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000074,g567_gate3b_calibration_00244,ltm_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000075,g567_gate3b_calibration_00244,static_flow_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000076,g567_gate3b_calibration_00242,ltm_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000077,g567_gate3b_calibration_00242,static_flow_30s,384,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000078,g567_gate3b_calibration_00246,ltm_30s,512,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000079,g567_gate3b_calibration_00246,static_flow_30s,512,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000080,g567_gate3b_calibration_00245,ltm_30s,512,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000081,g567_gate3b_calibration_00245,static_flow_30s,512,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000082,g567_gate3b_development_00371,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000083,g567_gate3b_development_00371,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000084,g567_gate3b_development_00370,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000085,g567_gate3b_development_00370,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000086,g567_gate3b_development_00368,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000087,g567_gate3b_development_00368,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000088,g567_gate3b_development_00369,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000089,g567_gate3b_development_00369,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000090,g567_gate3b_development_00394,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000091,g567_gate3b_development_00394,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000092,g567_gate3b_development_00398,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000093,g567_gate3b_development_00398,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000094,g567_gate3b_development_00399,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000095,g567_gate3b_development_00399,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000096,g567_gate3b_development_00393,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000097,g567_gate3b_development_00393,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000098,g567_gate3b_development_00389,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000099,g567_gate3b_development_00389,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000100,g567_gate3b_development_00395,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000101,g567_gate3b_development_00395,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000102,g567_gate3b_development_00396,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000103,g567_gate3b_development_00396,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000104,g567_gate3b_development_00400,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000105,g567_gate3b_development_00400,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000106,g567_gate3b_development_00391,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000107,g567_gate3b_development_00391,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000108,g567_gate3b_development_00392,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000109,g567_gate3b_development_00392,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000110,g567_gate3b_development_00397,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000111,g567_gate3b_development_00397,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000112,g567_gate3b_development_00390,ltm_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000113,g567_gate3b_development_00390,static_flow_30s,80,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000114,g567_gate3b_development_00414,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000115,g567_gate3b_development_00414,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000116,g567_gate3b_development_00413,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000117,g567_gate3b_development_00413,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000118,g567_gate3b_development_00411,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000119,g567_gate3b_development_00411,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000120,g567_gate3b_development_00410,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000121,g567_gate3b_development_00410,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000122,g567_gate3b_development_00417,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000123,g567_gate3b_development_00417,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000124,g567_gate3b_development_00415,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000125,g567_gate3b_development_00415,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000126,g567_gate3b_development_00412,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000127,g567_gate3b_development_00412,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000128,g567_gate3b_development_00416,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000129,g567_gate3b_development_00416,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000130,g567_gate3b_development_00428,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000131,g567_gate3b_development_00428,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000132,g567_gate3b_development_00431,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000133,g567_gate3b_development_00431,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000134,g567_gate3b_development_00422,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000135,g567_gate3b_development_00422,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000136,g567_gate3b_development_00426,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000137,g567_gate3b_development_00426,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000138,g567_gate3b_development_00434,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000139,g567_gate3b_development_00434,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000140,g567_gate3b_development_00432,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000141,g567_gate3b_development_00432,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000142,g567_gate3b_development_00421,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000143,g567_gate3b_development_00421,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000144,g567_gate3b_development_00424,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000145,g567_gate3b_development_00424,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000146,g567_gate3b_development_00435,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000147,g567_gate3b_development_00435,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000148,g567_gate3b_development_00430,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000149,g567_gate3b_development_00430,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000150,g567_gate3b_development_00429,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000151,g567_gate3b_development_00429,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000152,g567_gate3b_development_00433,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000153,g567_gate3b_development_00433,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000154,g567_gate3b_development_00436,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000155,g567_gate3b_development_00436,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000156,g567_gate3b_development_00425,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000157,g567_gate3b_development_00425,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000158,g567_gate3b_development_00423,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000159,g567_gate3b_development_00423,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000160,g567_gate3b_development_00427,ltm_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000161,g567_gate3b_development_00427,static_flow_30s,768,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000162,g567_gate3b_development_00438,ltm_30s,1000,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000163,g567_gate3b_development_00438,static_flow_30s,1000,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000164,g567_gate3b_development_00440,ltm_30s,1000,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000165,g567_gate3b_development_00440,static_flow_30s,1000,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000166,g567_gate3b_development_00439,ltm_30s,1000,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000167,g567_gate3b_development_00439,static_flow_30s,1000,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000168,g567_gate3b_development_00437,ltm_30s,1000,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000169,g567_gate3b_development_00437,static_flow_30s,1000,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000170,g567_gate3b_development_00310,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000171,g567_gate3b_development_00310,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000172,g567_gate3b_development_00309,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000173,g567_gate3b_development_00309,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000174,g567_gate3b_development_00302,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000175,g567_gate3b_development_00302,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000176,g567_gate3b_development_00293,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000177,g567_gate3b_development_00293,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000178,g567_gate3b_development_00306,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000179,g567_gate3b_development_00306,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000180,g567_gate3b_development_00299,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000181,g567_gate3b_development_00299,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000182,g567_gate3b_development_00294,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000183,g567_gate3b_development_00294,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000184,g567_gate3b_development_00311,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000185,g567_gate3b_development_00311,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000186,g567_gate3b_development_00295,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000187,g567_gate3b_development_00295,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000188,g567_gate3b_development_00304,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000189,g567_gate3b_development_00304,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000190,g567_gate3b_development_00296,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000191,g567_gate3b_development_00296,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000192,g567_gate3b_development_00298,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000193,g567_gate3b_development_00298,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000194,g567_gate3b_development_00305,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000195,g567_gate3b_development_00305,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000196,g567_gate3b_development_00301,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000197,g567_gate3b_development_00301,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000198,g567_gate3b_development_00307,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000199,g567_gate3b_development_00307,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000200,g567_gate3b_development_00303,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000201,g567_gate3b_development_00303,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000202,g567_gate3b_development_00300,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000203,g567_gate3b_development_00300,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000204,g567_gate3b_development_00308,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000205,g567_gate3b_development_00308,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000206,g567_gate3b_development_00297,ltm_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000207,g567_gate3b_development_00297,static_flow_30s,12,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000208,g567_gate3b_development_00333,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000209,g567_gate3b_development_00333,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000210,g567_gate3b_development_00332,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000211,g567_gate3b_development_00332,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000212,g567_gate3b_development_00331,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000213,g567_gate3b_development_00331,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000214,g567_gate3b_development_00328,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000215,g567_gate3b_development_00328,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000216,g567_gate3b_development_00334,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000217,g567_gate3b_development_00334,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000218,g567_gate3b_development_00329,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000219,g567_gate3b_development_00329,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000220,g567_gate3b_development_00330,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000221,g567_gate3b_development_00330,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000222,g567_gate3b_development_00350,ltm_30s,192,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000223,g567_gate3b_development_00350,static_flow_30s,192,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000224,g567_gate3b_development_00344,ltm_30s,192,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000225,g567_gate3b_development_00344,static_flow_30s,192,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000226,g567_gate3b_development_00349,ltm_30s,192,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000227,g567_gate3b_development_00349,static_flow_30s,192,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000228,g567_gate3b_development_00347,ltm_30s,192,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000229,g567_gate3b_development_00347,static_flow_30s,192,30.0,60.0,pass,
