candidate_id,materialized_method,tier,canonical_report_id,solver_alias,registry_alias,underlying_method,role,required_force_additive,required_enable_dual_channel,expected_updateparams_fingerprint,source,source_sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,generated_theta_uid,registry_role,replay_phase,method,variant_id,actor_training_seed,acquisition_family,candidate_source_family,multi_fidelity_stage,multi_fidelity_screening_backend,screened_from_full_response_surface,response_screening_score,response_surface_selected_rank,response_context_selected_rank,response_context_candidate_pool_rows,response_surface_candidate_pool_rows,response_surface_selected_rows,coverage_first_candidate,response_candidate_pass,primary_30s_exploratory_full_lattice_skipped,large_agent_30s_exploratory_full_lattice_skipped,selected_for_30s_exact_acquisition,primary_exact_solver_internal_time_limit_sec,primary_exact_process_hard_timeout_sec,selected_for_primary_exact_acquisition,raw_actor_variant_id
g567_g568_ltm30_existingrow_a5_s568_37d153d63a49,,,,,,,,,,,,,False,False,False,False,False,1.253060221672058,1.16055428981781,1.2535701990127563,0.7495042085647583,0.7493058443069458,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841858625411987,0.6500457525253296,0.34518110752105713,0.8741151690483093,1.0,10.841612815856934,1,0,0,ab0596d26969776fd5c2013a94ffdae1975b1e42dd4607a1c70a65ea7c4d15ed,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_89e9d6c34bfb,,,,,,,,,,,,,False,False,False,False,False,1.252530813217163,1.1601132154464722,1.2529526948928833,0.7495834231376648,0.7494167685508728,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841572523117065,0.6500028371810913,0.34493106603622437,0.8737244606018066,1.0,10.840362548828125,1,0,0,382776745339b677a9aceaa412aaed490d70f5a7e6eaa6e00cadcef2a6e4ea31,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_d72118cab1fb,,,,,,,,,,,,,False,False,False,False,False,1.253060221672058,1.16055428981781,1.2535701990127563,0.7495042085647583,0.7493058443069458,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841858625411987,0.6500457525253296,0.34518110752105713,0.8741151690483093,1.0,10.841612815856934,1,0,0,7dfb0d030e9ff703b1e271f33fab71957b7742f76f8465fcec8a68ec5a33a7e6,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_4e1de57894d4,,,,,,,,,,,,,False,False,False,False,False,1.252530813217163,1.1601132154464722,1.2529526948928833,0.7495834231376648,0.7494167685508728,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841572523117065,0.6500028371810913,0.34493106603622437,0.8737244606018066,1.0,10.840362548828125,1,0,0,ce4897147b5f1e51cf430cb9bc9bde3b0b3f66aa6584b65cc1d68eec447b5add,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_e42228561423,,,,,,,,,,,,,False,False,False,False,False,1.252530813217163,1.1601132154464722,1.2529526948928833,0.7495834231376648,0.7494167685508728,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841572523117065,0.6500028371810913,0.34493106603622437,0.8737244606018066,1.0,10.840362548828125,1,0,0,bbafe2034928a8327ae781f05ca80e55524f23e9fd803ee06c7763e3e0a09875,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_ee9103302f33,,,,,,,,,,,,,False,False,False,False,False,1.253060221672058,1.16055428981781,1.2535701990127563,0.7495042085647583,0.7493058443069458,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841858625411987,0.6500457525253296,0.34518110752105713,0.8741151690483093,1.0,10.841612815856934,1,0,0,65c51649318abe488779aa4e868deb4dfc056cc0cec11421c6403a78ea4cf2ff,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_c4db1c24667b,,,,,,,,,,,,,False,False,False,False,False,1.253060221672058,1.16055428981781,1.2535701990127563,0.7495042085647583,0.7493058443069458,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841858625411987,0.6500457525253296,0.34518110752105713,0.8741151690483093,1.0,10.841612815856934,1,0,0,f79911f29df1e702e69e92fae7bee6a1a8242c04012ee943c349fa1f301cd676,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_f510fdf9e614,,,,,,,,,,,,,False,False,False,False,False,1.252530813217163,1.1601132154464722,1.2529526948928833,0.7495834231376648,0.7494167685508728,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841572523117065,0.6500028371810913,0.34493106603622437,0.8737244606018066,1.0,10.840362548828125,1,0,0,888b07b6d27b82446d3bd46c774bf8b3bc96f2e093a23b94e24e70d778f228f7,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_79c5c30f7bab,,,,,,,,,,,,,False,False,False,False,False,1.252530813217163,1.1601132154464722,1.2529526948928833,0.7495834231376648,0.7494167685508728,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841572523117065,0.6500028371810913,0.34493106603622437,0.8737244606018066,1.0,10.840362548828125,1,0,0,22085a6a32dec0f2bdcf89cfcdf3ca37446232ba40ee9b97982e723d7368da46,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_4b8cfcc90448,,,,,,,,,,,,,False,False,False,False,False,1.252530813217163,1.1601132154464722,1.2529526948928833,0.7495834231376648,0.7494167685508728,1.0403398275375366,0.6932659149169922,0.979935884475708,1.0,0.6841572523117065,0.6500028371810913,0.34493106603622437,0.8737244606018066,1.0,10.840362548828125,1,0,0,25576b3283dce896cf3ed3d7b2e7e165e4714c18c939a28bff7fe4545b052561,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
