sample_index,best_risk_auc_or_balanced_accuracy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
76,0.737951088479,False,False,False,False,False
77,0.699545592184,False,False,False,False,False
78,0.704743143347,False,False,False,False,False
79,0.729604936171,False,False,False,False,False
80,0.731971032589,False,False,False,False,False
81,0.74119948261,False,False,False,False,False
82,0.704888841136,False,False,False,False,False
83,0.734680077195,False,False,False,False,False
84,0.697430723717,False,False,False,False,False
85,0.729451758744,False,False,False,False,False
86,0.736777502933,False,False,False,False,False
87,0.74223820337,False,False,False,False,False
88,0.733288442892,False,False,False,False,False
89,0.718767238384,False,False,False,False,False
90,0.723757277167,False,False,False,False,False
91,0.702202991236,False,False,False,False,False
92,0.712613366203,False,False,False,False,False
93,0.723216234222,False,False,False,False,False
94,0.753973416015,False,False,False,False,False
95,0.719822140956,False,False,False,False,False
96,0.73247092916,False,False,False,False,False
97,0.730877642912,False,False,False,False,False
98,0.711430692361,False,False,False,False,False
99,0.702627610581,False,False,False,False,False
100,0.717614486954,False,False,False,False,False
101,0.739901334228,False,False,False,False,False
102,0.700400672627,False,False,False,False,False
103,0.7450433981,False,False,False,False,False
104,0.747923401881,False,False,False,False,False
105,0.729557443919,False,False,False,False,False
106,0.724091262143,False,False,False,False,False
107,0.706637430835,False,False,False,False,False
108,0.720717046031,False,False,False,False,False
109,0.723368669589,False,False,False,False,False
110,0.712618564884,False,False,False,False,False
111,0.722105638202,False,False,False,False,False
112,0.718663200889,False,False,False,False,False
113,0.739144710775,False,False,False,False,False
114,0.737570075658,False,False,False,False,False
115,0.751227518122,False,False,False,False,False
116,0.69746468837,False,False,False,False,False
117,0.741045567067,False,False,False,False,False
118,0.737904564095,False,False,False,False,False
119,0.74848715376,False,False,False,False,False
120,0.747540034927,False,False,False,False,False
121,0.705418066722,False,False,False,False,False
122,0.748990093275,False,False,False,False,False
123,0.702453613151,False,False,False,False,False
124,0.737022268045,False,False,False,False,False
125,0.70997356617,False,False,False,False,False
126,0.741728348274,False,False,False,False,False
127,0.705828146449,False,False,False,False,False
128,0.741359178644,False,False,False,False,False
129,0.720379834885,False,False,False,False,False
130,0.725267275015,False,False,False,False,False
131,0.743467779516,False,False,False,False,False
132,0.728078524963,False,False,False,False,False
133,0.700869145588,False,False,False,False,False
134,0.700736952555,False,False,False,False,False
135,0.740234564204,False,False,False,False,False
136,0.724744176066,False,False,False,False,False
137,0.738493502402,False,False,False,False,False
138,0.73427560302,False,False,False,False,False
139,0.706044774031,False,False,False,False,False
140,0.701507025108,False,False,False,False,False
141,0.720796803449,False,False,False,False,False
142,0.753187137243,False,False,False,False,False
143,0.720754400864,False,False,False,False,False
144,0.729562976677,False,False,False,False,False
145,0.698317889956,False,False,False,False,False
146,0.705473699136,False,False,False,False,False
147,0.725647133675,False,False,False,False,False
148,0.706689160774,False,False,False,False,False
149,0.71536329884,False,False,False,False,False
150,0.713017522338,False,False,False,False,False
151,0.736317554618,False,False,False,False,False
152,0.746043930031,False,False,False,False,False
153,0.719697956439,False,False,False,False,False
154,0.736262943102,False,False,False,False,False
155,0.732613279967,False,False,False,False,False
156,0.727812783721,False,False,False,False,False
157,0.74863618378,False,False,False,False,False
158,0.751497381197,False,False,False,False,False
159,0.699878919853,False,False,False,False,False
160,0.703776094263,False,False,False,False,False
161,0.725972578068,False,False,False,False,False
162,0.735774593842,False,False,False,False,False
163,0.702172670673,False,False,False,False,False
164,0.706102541675,False,False,False,False,False
165,0.711703159814,False,False,False,False,False
166,0.743419645,False,False,False,False,False
167,0.734347343355,False,False,False,False,False
168,0.709364108248,False,False,False,False,False
169,0.718063641659,False,False,False,False,False
170,0.740503944873,False,False,False,False,False
171,0.731320056639,False,False,False,False,False
172,0.710751150497,False,False,False,False,False
173,0.724666482961,False,False,False,False,False
174,0.697510733411,False,False,False,False,False
175,0.700003308192,False,False,False,False,False
176,0.750813488852,False,False,False,False,False
177,0.722273551756,False,False,False,False,False
178,0.706788783222,False,False,False,False,False
179,0.698844347167,False,False,False,False,False
180,0.739623434482,False,False,False,False,False
181,0.710792700983,False,False,False,False,False
182,0.735290505264,False,False,False,False,False
183,0.703680989004,False,False,False,False,False
184,0.739364625327,False,False,False,False,False
185,0.715651556068,False,False,False,False,False
186,0.717991959691,False,False,False,False,False
187,0.737398180252,False,False,False,False,False
188,0.744873972177,False,False,False,False,False
189,0.750257207379,False,False,False,False,False
190,0.747011338806,False,False,False,False,False
191,0.742689611637,False,False,False,False,False
192,0.720626340386,False,False,False,False,False
193,0.750867334652,False,False,False,False,False
194,0.701915343252,False,False,False,False,False
195,0.71119637857,False,False,False,False,False
196,0.735905317324,False,False,False,False,False
197,0.7320670494,False,False,False,False,False
198,0.744836675324,False,False,False,False,False
199,0.746835874447,False,False,False,False,False
200,0.730931456648,False,False,False,False,False
201,0.754284208381,False,False,False,False,False
202,0.707098647069,False,False,False,False,False
203,0.751543593515,False,False,False,False,False
204,0.701440133033,False,False,False,False,False
205,0.749389717069,False,False,False,False,False
206,0.739380868715,False,False,False,False,False
207,0.711669133614,False,False,False,False,False
208,0.7357017652,False,False,False,False,False
209,0.698200818223,False,False,False,False,False
210,0.709179920759,False,False,False,False,False
211,0.744625792571,False,False,False,False,False
212,0.709854059729,False,False,False,False,False
213,0.7325519547,False,False,False,False,False
214,0.742967216639,False,False,False,False,False
215,0.747631242413,False,False,False,False,False
216,0.729948651904,False,False,False,False,False
217,0.713244028617,False,False,False,False,False
218,0.74067301287,False,False,False,False,False
219,0.716347808313,False,False,False,False,False
220,0.708897232369,False,False,False,False,False
221,0.707744280632,False,False,False,False,False
222,0.716112836975,False,False,False,False,False
223,0.74229616451,False,False,False,False,False
224,0.726691858738,False,False,False,False,False
225,0.744643943076,False,False,False,False,False
226,0.730729732676,False,False,False,False,False
227,0.710159075126,False,False,False,False,False
228,0.737930725742,False,False,False,False,False
229,0.7369034793,False,False,False,False,False
230,0.706649028737,False,False,False,False,False
231,0.710319658372,False,False,False,False,False
232,0.703041821812,False,False,False,False,False
233,0.74333909241,False,False,False,False,False
234,0.742978829798,False,False,False,False,False
235,0.748100295502,False,False,False,False,False
236,0.722674364134,False,False,False,False,False
237,0.725999369982,False,False,False,False,False
238,0.743629191585,False,False,False,False,False
239,0.734936495635,False,False,False,False,False
240,0.699166176877,False,False,False,False,False
241,0.70778177689,False,False,False,False,False
242,0.744780587966,False,False,False,False,False
243,0.704154695106,False,False,False,False,False
244,0.753824122121,False,False,False,False,False
245,0.731102182137,False,False,False,False,False
246,0.754173760842,False,False,False,False,False
247,0.747339722622,False,False,False,False,False
248,0.75139710924,False,False,False,False,False
249,0.729843422233,False,False,False,False,False
250,0.703374022813,False,False,False,False,False
251,0.736598188045,False,False,False,False,False
252,0.731249434898,False,False,False,False,False
253,0.736426099756,False,False,False,False,False
254,0.699362352845,False,False,False,False,False
255,0.709303911821,False,False,False,False,False
256,0.737354321075,False,False,False,False,False
257,0.743057274263,False,False,False,False,False
258,0.724692832302,False,False,False,False,False
259,0.719572879735,False,False,False,False,False
260,0.716854090939,False,False,False,False,False
261,0.741117968302,False,False,False,False,False
262,0.720199490063,False,False,False,False,False
263,0.701335784514,False,False,False,False,False
264,0.717352683293,False,False,False,False,False
265,0.740416135011,False,False,False,False,False
266,0.7477843453,False,False,False,False,False
267,0.722938960989,False,False,False,False,False
268,0.748952183177,False,False,False,False,False
269,0.71377015346,False,False,False,False,False
270,0.708754998357,False,False,False,False,False
271,0.741518409177,False,False,False,False,False
272,0.698048587939,False,False,False,False,False
273,0.748322251666,False,False,False,False,False
274,0.717199079141,False,False,False,False,False
275,0.745799954441,False,False,False,False,False
276,0.740451874602,False,False,False,False,False
277,0.706031358169,False,False,False,False,False
278,0.704930200596,False,False,False,False,False
279,0.722266084653,False,False,False,False,False
280,0.705384402395,False,False,False,False,False
281,0.745861556885,False,False,False,False,False
282,0.718902151584,False,False,False,False,False
283,0.705908077449,False,False,False,False,False
284,0.735168145096,False,False,False,False,False
285,0.704260094678,False,False,False,False,False
286,0.734090589896,False,False,False,False,False
287,0.725087349669,False,False,False,False,False
288,0.70106723947,False,False,False,False,False
289,0.739060662779,False,False,False,False,False
290,0.7114169473,False,False,False,False,False
291,0.719322235651,False,False,False,False,False
292,0.70860430884,False,False,False,False,False
293,0.700842755542,False,False,False,False,False
294,0.698210932921,False,False,False,False,False
295,0.702510613201,False,False,False,False,False
296,0.718444268721,False,False,False,False,False
297,0.744327645814,False,False,False,False,False
298,0.715441511887,False,False,False,False,False
299,0.732881606838,False,False,False,False,False
