method,map,agents,seed,scen,iteration,selected_rule_before_guard,selected_rule_after_guard,selected_rule_source,ood_guard_triggered,ood_z_threshold,logged_feature_max_abs_z,logged_feature_mean_abs_z,computed_feature_max_abs_z,computed_feature_mean_abs_z,feature_outside_3sigma_count,feature_outside_5sigma_count,top_feature_by_abs_z,top_feature_abs_z
repair5e3_split_guarded_selector,random-32-32-20,50,11,random-32-32-20-random-11.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,2800,256.663499435,2800.0,256.66349943531003,9,9,committed_count,2800.0
repair5e3_split_guarded_selector,random-32-32-20,50,11,random-32-32-20-random-11.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,3500,328.437822768,3500.0,328.4378227677769,9,9,committed_count,3500.0
repair5e3_split_guarded_selector,random-32-32-20,100,11,random-32-32-20-random-11.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,6200,511.370909916,6200.0,511.37090991583244,10,10,committed_count,6200.0
repair5e3_split_guarded_selector,random-32-32-20,100,11,random-32-32-20-random-11.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,6800,583.793815906,6800.0,583.7938159064331,10,10,committed_count,6800.0
repair5e3_split_guarded_selector,random-32-32-20,100,11,random-32-32-20-random-11.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,7000,613.272838068,7000.0,613.272838068241,10,10,committed_count,7000.0
repair5e3_split_guarded_selector,random-32-32-20,50,12,random-32-32-20-random-12.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,2700,225.362246221,2700.0,225.36224622119573,9,9,committed_count,2700.0
repair5e3_split_guarded_selector,random-32-32-20,50,12,random-32-32-20-random-12.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,2600,241.967544179,2600.0,241.967544179269,9,9,committed_count,2600.0
repair5e3_split_guarded_selector,random-32-32-20,50,12,random-32-32-20-random-12.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,3550,339.700006775,3550.0,339.70000677518567,9,9,committed_count,3550.0
repair5e3_split_guarded_selector,random-32-32-20,100,12,random-32-32-20-random-12.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5900,481.134845332,5900.0,481.13484533214813,10,10,committed_count,5900.0
repair5e3_split_guarded_selector,random-32-32-20,100,12,random-32-32-20-random-12.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,6300,541.778152098,6300.0,541.778152097871,10,10,committed_count,6300.0
repair5e3_split_guarded_selector,random-32-32-20,100,12,random-32-32-20-random-12.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,7600,664.445718456,7600.0,664.4457184558341,10,10,committed_count,7600.0
repair5e3_split_guarded_selector,random-32-32-20,50,13,random-32-32-20-random-13.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,2800,235.214224206,2800.0,235.21422420573518,9,9,committed_count,2800.0
repair5e3_split_guarded_selector,random-32-32-20,50,13,random-32-32-20-random-13.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,2900,268.573229006,2900.0,268.5732290058799,10,9,committed_count,2900.0
repair5e3_split_guarded_selector,random-32-32-20,50,13,random-32-32-20-random-13.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,2700,272.083158643,2700.0,272.0831586431136,9,9,committed_count,2700.0
repair5e3_split_guarded_selector,random-32-32-20,100,13,random-32-32-20-random-13.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,7400,619.000669136,7400.0,619.0006691363949,10,10,committed_count,7400.0
repair5e3_split_guarded_selector,random-32-32-20,100,13,random-32-32-20-random-13.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,32100,2788.28373602,32100.0,2788.283736024254,10,10,committed_count,32100.0
repair5e3_split_guarded_selector,random-32-32-20,100,13,random-32-32-20-random-13.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,5600,504.483324358,5600.0,504.48332435836755,10,9,committed_count,5600.0
repair5e3_split_guarded_selector,maze-32-32-4,50,4,maze-32-32-4-random-4.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,4350,347.812582414,4350.0,347.8125824139526,10,10,committed_count,4350.0
repair5e3_split_guarded_selector,maze-32-32-4,50,4,maze-32-32-4-random-4.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,4350,368.683532029,4350.0,368.6835320290235,10,10,committed_count,4350.0
repair5e3_split_guarded_selector,maze-32-32-4,50,4,maze-32-32-4-random-4.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,4150,359.140912785,4150.0,359.1409127845682,10,9,committed_count,4150.0
repair5e3_split_guarded_selector,maze-32-32-4,100,4,maze-32-32-4-random-4.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,11600,926.955199772,11600.0,926.9551997723494,10,10,committed_count,11600.0
repair5e3_split_guarded_selector,maze-32-32-4,100,4,maze-32-32-4-random-4.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,9900,793.558048906,9900.0,793.5580489058046,10,10,committed_count,9900.0
repair5e3_split_guarded_selector,maze-32-32-4,100,4,maze-32-32-4-random-4.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,95300,8209.40480921,95300.0,8209.404809207957,10,10,committed_count,95300.0
repair5e3_split_guarded_selector,maze-32-32-4,50,5,maze-32-32-4-random-5.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5500,437.92652177,5500.0,437.92652176999184,10,9,committed_count,5500.0
repair5e3_split_guarded_selector,maze-32-32-4,50,5,maze-32-32-4-random-5.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,5700,475.672120713,5700.0,475.6721207126278,10,9,committed_count,5700.0
repair5e3_split_guarded_selector,maze-32-32-4,50,5,maze-32-32-4-random-5.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,5400,467.272448321,5400.0,467.27244832146835,10,9,committed_count,5400.0
repair5e3_split_guarded_selector,maze-32-32-4,100,5,maze-32-32-4-random-5.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,13000,1054.70735596,13000.0,1054.707355962645,10,10,committed_count,13000.0
repair5e3_split_guarded_selector,maze-32-32-4,100,5,maze-32-32-4-random-5.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,10500,858.169592001,10500.0,858.1695920014378,10,10,committed_count,10500.0
repair5e3_split_guarded_selector,maze-32-32-4,100,5,maze-32-32-4-random-5.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,10600,875.002228462,10600.0,875.0022284616543,10,10,committed_count,10600.0
repair5e3_split_guarded_selector,maze-32-32-4,50,6,maze-32-32-4-random-6.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5400,425.48828459,5400.0,425.4882845896249,10,10,committed_count,5400.0
repair5e3_split_guarded_selector,maze-32-32-4,50,6,maze-32-32-4-random-6.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,5200,431.518671622,5200.0,431.5186716218218,10,10,committed_count,5200.0
repair5e3_split_guarded_selector,maze-32-32-4,50,6,maze-32-32-4-random-6.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,5700,480.070926798,5700.0,480.0709267982667,10,10,committed_count,5700.0
repair5e3_split_guarded_selector,maze-32-32-4,100,6,maze-32-32-4-random-6.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,17000,1392.58292224,17000.0,1392.582922239763,10,10,committed_count,17000.0
repair5e3_split_guarded_selector,maze-32-32-4,100,6,maze-32-32-4-random-6.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,11400,923.529157041,11400.0,923.5291570409696,10,10,committed_count,11400.0
repair5e3_split_guarded_selector,maze-32-32-4,100,6,maze-32-32-4-random-6.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,11500,928.475478228,11500.0,928.4754782284311,10,10,committed_count,11500.0
repair5e3_split_guarded_selector,maze-32-32-4,50,7,maze-32-32-4-random-7.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5800,468.170838316,5800.0,468.1708383159353,10,10,committed_count,5800.0
repair5e3_split_guarded_selector,maze-32-32-4,50,7,maze-32-32-4-random-7.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,4600,380.80799228,4600.0,380.8079922803425,10,9,committed_count,4600.0
repair5e3_split_guarded_selector,maze-32-32-4,50,7,maze-32-32-4-random-7.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,4400,375.808967362,4400.0,375.8089673617703,10,9,committed_count,4400.0
repair5e3_split_guarded_selector,maze-32-32-4,100,7,maze-32-32-4-random-7.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,12000,961.362602626,12000.0,961.3626026255972,10,10,committed_count,12000.0
repair5e3_split_guarded_selector,maze-32-32-4,100,7,maze-32-32-4-random-7.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,9200,729.797056677,9200.0,729.7970566768334,10,10,committed_count,9200.0
repair5e3_split_guarded_selector,maze-32-32-4,100,7,maze-32-32-4-random-7.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,9200,736.289227828,9200.0,736.289227827865,10,10,committed_count,9200.0
repair5e3_split_guarded_selector,maze-32-32-4,50,8,maze-32-32-4-random-8.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5250,416.644149773,5250.0,416.6441497732339,10,10,committed_count,5250.0
repair5e3_split_guarded_selector,maze-32-32-4,50,8,maze-32-32-4-random-8.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,4950,418.483547869,4950.0,418.48354786889234,10,10,committed_count,4950.0
repair5e3_split_guarded_selector,maze-32-32-4,50,8,maze-32-32-4-random-8.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,4950,424.508023806,4950.0,424.50802380553876,10,10,committed_count,4950.0
repair5e3_split_guarded_selector,maze-32-32-4,100,8,maze-32-32-4-random-8.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,9900,779.843405806,9900.0,779.843405805874,10,10,committed_count,9900.0
repair5e3_split_guarded_selector,maze-32-32-4,100,8,maze-32-32-4-random-8.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,77500,6673.03590173,77500.0,6673.0359017336805,10,10,committed_count,77500.0
repair5e3_split_guarded_selector,maze-32-32-4,100,8,maze-32-32-4-random-8.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,10600,887.561444037,10600.0,887.5614440371887,10,10,committed_count,10600.0
repair5e3_split_guarded_selector,maze-32-32-4,50,9,maze-32-32-4-random-9.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,4450,347.649943507,4450.0,347.64994350745474,10,9,committed_count,4450.0
repair5e3_split_guarded_selector,maze-32-32-4,50,9,maze-32-32-4-random-9.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,4600,377.500309815,4600.0,377.5003098145631,10,10,committed_count,4600.0
repair5e3_split_guarded_selector,maze-32-32-4,50,9,maze-32-32-4-random-9.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,4700,400.029378093,4700.0,400.0293780930823,10,9,committed_count,4700.0
repair5e3_split_guarded_selector,maze-32-32-4,100,9,maze-32-32-4-random-9.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,11700,932.397768641,11700.0,932.3977686405877,10,10,committed_count,11700.0
repair5e3_split_guarded_selector,maze-32-32-4,100,9,maze-32-32-4-random-9.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,9800,795.588323927,9800.0,795.5883239266595,10,10,committed_count,9800.0
repair5e3_split_guarded_selector,maze-32-32-4,100,9,maze-32-32-4-random-9.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,14900,1245.27993141,14900.0,1245.2799314104823,10,10,committed_count,14900.0
repair5e3_split_guarded_selector,maze-32-32-4,50,10,maze-32-32-4-random-10.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5150,412.517856741,5150.0,412.51785674108555,10,10,committed_count,5150.0
repair5e3_split_guarded_selector,maze-32-32-4,50,10,maze-32-32-4-random-10.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,5150,437.336036713,5150.0,437.33603671329337,10,10,committed_count,5150.0
repair5e3_split_guarded_selector,maze-32-32-4,50,10,maze-32-32-4-random-10.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,7250,631.787739647,7250.0,631.7877396471821,10,10,committed_count,7250.0
repair5e3_split_guarded_selector,maze-32-32-4,100,10,maze-32-32-4-random-10.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,126300,10879.2814957,126300.0,10879.28149569121,10,10,committed_count,126300.0
repair5e3_split_guarded_selector,maze-32-32-4,100,10,maze-32-32-4-random-10.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,12400,1055.87382528,12400.0,1055.873825280491,10,10,committed_count,12400.0
repair5e3_split_guarded_selector,maze-32-32-4,100,10,maze-32-32-4-random-10.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,13800,1181.25881044,13800.0,1181.2588104377546,10,10,committed_count,13800.0
repair5e3_split_guarded_selector,maze-32-32-4,50,11,maze-32-32-4-random-11.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,8050,667.57256879,8050.0,667.5725687895332,10,10,committed_count,8050.0
repair5e3_split_guarded_selector,maze-32-32-4,50,11,maze-32-32-4-random-11.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,7950,673.760724655,7950.0,673.7607246548845,10,10,committed_count,7950.0
repair5e3_split_guarded_selector,maze-32-32-4,50,11,maze-32-32-4-random-11.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,7850,675.347398584,7850.0,675.3473985836658,10,10,committed_count,7850.0
repair5e3_split_guarded_selector,maze-32-32-4,100,11,maze-32-32-4-random-11.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,10700,845.609133918,10700.0,845.6091339184211,10,10,committed_count,10700.0
repair5e3_split_guarded_selector,maze-32-32-4,100,11,maze-32-32-4-random-11.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,13400,1100.23862748,13400.0,1100.2386274791338,10,10,committed_count,13400.0
repair5e3_split_guarded_selector,maze-32-32-4,100,11,maze-32-32-4-random-11.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,9900,806.344501078,9900.0,806.3445010778956,10,10,committed_count,9900.0
repair5e3_split_guarded_selector,maze-32-32-4,50,12,maze-32-32-4-random-12.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5050,403.533913994,5050.0,403.5339139943273,10,10,committed_count,5050.0
repair5e3_split_guarded_selector,maze-32-32-4,50,12,maze-32-32-4-random-12.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,5050,423.972808868,5050.0,423.972808867961,10,9,committed_count,5050.0
repair5e3_split_guarded_selector,maze-32-32-4,50,12,maze-32-32-4-random-12.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,4850,418.483594505,4850.0,418.4835945051199,10,9,committed_count,4850.0
repair5e3_split_guarded_selector,maze-32-32-4,100,12,maze-32-32-4-random-12.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,36700,3131.87834094,36700.0,3131.8783409385014,10,10,committed_count,36700.0
repair5e3_split_guarded_selector,maze-32-32-4,100,12,maze-32-32-4-random-12.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,16700,1421.55317413,16700.0,1421.5531741268724,10,10,committed_count,16700.0
repair5e3_split_guarded_selector,maze-32-32-4,100,12,maze-32-32-4-random-12.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,14400,1226.52729732,14400.0,1226.5272973207504,10,10,committed_count,14400.0
repair5e3_split_guarded_selector,maze-32-32-4,50,13,maze-32-32-4-random-13.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,4550,362.570324779,4550.0,362.5703247790892,10,10,committed_count,4550.0
repair5e3_split_guarded_selector,maze-32-32-4,50,13,maze-32-32-4-random-13.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,6800,586.14034788,6800.0,586.140347879545,10,10,committed_count,6800.0
repair5e3_split_guarded_selector,maze-32-32-4,50,13,maze-32-32-4-random-13.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,4450,385.923228482,4450.0,385.92322848176275,10,10,committed_count,4450.0
repair5e3_split_guarded_selector,maze-32-32-4,100,13,maze-32-32-4-random-13.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,12100,1012.08017899,12100.0,1012.0801789851912,10,10,committed_count,12100.0
repair5e3_split_guarded_selector,maze-32-32-4,100,13,maze-32-32-4-random-13.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,15100,1272.85736906,15100.0,1272.8573690625876,10,10,committed_count,15100.0
repair5e3_split_guarded_selector,maze-32-32-4,100,13,maze-32-32-4-random-13.scen,3,commit_heavy,additive_ltm,ood_guard,True,5,15300,1310.44656816,15300.0,1310.4465681592244,10,10,committed_count,15300.0
repair5e3_split_guarded_selector,warehouse-10-20-10-2-1,50,4,warehouse-10-20-10-2-1-random-4.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,10600,890.093049589,10600.0,890.0930495891888,11,10,committed_count,10600.0
repair5e3_split_guarded_selector,warehouse-10-20-10-2-1,50,4,warehouse-10-20-10-2-1-random-4.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,6162,270.346327553,6162.0,270.34632755275925,4,3,nonzero_edges_before,6162.0
repair5e3_split_guarded_selector,warehouse-10-20-10-2-1,100,4,warehouse-10-20-10-2-1-random-4.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5956,260.550662182,5956.0,260.55066218156924,4,3,nonzero_edges_before,5956.0
repair5e3_split_guarded_selector,warehouse-10-20-10-2-1,50,5,warehouse-10-20-10-2-1-random-5.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,9950,845.47625626,9950.0,845.4762562601925,11,10,committed_count,9950.0
repair5e3_split_guarded_selector,warehouse-10-20-10-2-1,50,5,warehouse-10-20-10-2-1-random-5.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,6077,265.614572239,6077.0,265.614572238813,4,3,nonzero_edges_before,6077.0
repair5e3_split_guarded_selector,warehouse-10-20-10-2-1,100,5,warehouse-10-20-10-2-1-random-5.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,5998,262.336094952,5998.0,262.33609495248777,4,3,nonzero_edges_before,5998.0
repair5e3_split_guarded_selector,warehouse-10-20-10-2-1,50,6,warehouse-10-20-10-2-1-random-6.scen,1,commit_heavy,additive_ltm,ood_guard,True,5,9700,826.900583995,9700.0,826.90058399467,11,10,committed_count,9700.0
repair5e3_split_guarded_selector,warehouse-10-20-10-2-1,50,6,warehouse-10-20-10-2-1-random-6.scen,2,commit_heavy,additive_ltm,ood_guard,True,5,5841,255.566203399,5841.0,255.56620339925885,4,3,nonzero_edges_before,5841.0
