g566_evaluation_uid,g566_dataset_row_id,split,map,map_family,agents,budget_ms,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
07e972db5a9dc237d22d8d72245f1369bde2b9aeb5ac4c36212784a5e72fcb05,g566_valid_001627,VALIDATION,g566-connector-48x48-a-v1,other,24,500,False,False,False,False,False
69857f2449f69a9f739db841b6c773a037b5f7de7caf463521f322f5f40151ef,g566_valid_001883,VALIDATION,g566-connector-48x48-a-v1,other,24,2000,False,False,False,False,False
7bc9de4bcf19c0b97ccaf53251b6af245ccec04326fe69cab8c9762dae10158a,g566_valid_002139,VALIDATION,g566-connector-48x48-a-v1,other,24,500,False,False,False,False,False
74ec9c3ce0fb768658d7d5d4364a75244b9dcaa3cda3660c9c71fc8b20111afe,g566_valid_002395,VALIDATION,g566-connector-48x48-a-v1,other,24,2000,False,False,False,False,False
000165e4e8f6076a5530ed85628248001ed27ac71499ef21b77129fb9cb8ee0d,g566_valid_002651,VALIDATION,g566-connector-48x48-a-v1,other,24,500,False,False,False,False,False
af075ae82ef828fb20c1678c8f2628a1d13fb9b714c6cd9ebd64fe0b67af6dc0,g566_valid_002907,VALIDATION,g566-connector-48x48-a-v1,other,24,2000,False,False,False,False,False
0463fe2b808464fb7f97080224d02a7ab8861cbb8c0a6a3fd7e421dc84a4076e,g566_valid_003163,VALIDATION,g566-connector-48x48-a-v1,other,24,500,False,False,False,False,False
e0ba665c4800224e34745028ff35e6228fb5fd89a0fa27a3c50dec371fc1e86f,g566_valid_003419,VALIDATION,g566-connector-48x48-a-v1,other,24,2000,False,False,False,False,False
acac6b16c9d257fc87c58ec48c9b31c73c9bf7fb0ba6c7db5ddf9fb68b1c955b,g566_valid_000240,VALIDATION,g566-connector-48x48-a-v1,other,8,3000,False,False,False,False,False
6bbb5a90991a003282c29194e8f1b0e4d47e39822bc9b8d9466b903a4f6b1ac7,g566_valid_000496,VALIDATION,g566-connector-48x48-a-v1,other,8,750,False,False,False,False,False
228b1a2ccb8e9c2641e2f8412fc905a54d1305a0a03b1a09b483bc8e5631d6df,g566_valid_000752,VALIDATION,g566-connector-48x48-a-v1,other,8,3000,False,False,False,False,False
918f0b61ae8f3c2cd52e48c0f88cc99977a4b6675bf23924ff1c96ed64b98b4b,g566_valid_001008,VALIDATION,g566-connector-48x48-a-v1,other,8,750,False,False,False,False,False
ad1d17391d1d1ebd57463df67fa8795365190aeb0f6a277793770090d7345cf7,g566_valid_001264,VALIDATION,g566-connector-48x48-a-v1,other,8,3000,False,False,False,False,False
47fc0f6a89d6afce865413f4866c8c0530319dbfd92d39683ca28c0d0015bbe8,g566_valid_001520,VALIDATION,g566-connector-48x48-a-v1,other,8,750,False,False,False,False,False
7e90c4cfdd6f82e46cb67754338cdce2d2b2e3eac603aee3b293792b8752ab4d,g566_valid_001776,VALIDATION,g566-connector-48x48-a-v1,other,8,3000,False,False,False,False,False
f742db49010c76d72be41787990dd94d65dc79a75c8d2063b1e01f71f7548c0c,g566_valid_002032,VALIDATION,g566-connector-48x48-a-v1,other,8,750,False,False,False,False,False
9d0bdb1a68588e59c8fd33e66729884ed93a18b0546b7d2e33f1444260fcdbf0,g566_valid_002288,VALIDATION,g566-connector-48x48-a-v1,other,8,3000,False,False,False,False,False
d412e745bc32f3d03ac32393032109fef222430e6e09a675a5acd71309171738,g566_valid_002544,VALIDATION,g566-connector-48x48-a-v1,other,8,750,False,False,False,False,False
c2499e7000b0d7d8db62f53568a3894e0f290978fb6626076cd821d668ae9e63,g566_valid_002800,VALIDATION,g566-connector-48x48-a-v1,other,8,3000,False,False,False,False,False
3aabb160a53f1607b80da8dbb02269096bc76db2be956822ddcb2b87d631ef6b,g566_valid_003056,VALIDATION,g566-connector-48x48-a-v1,other,8,750,False,False,False,False,False
1771d719d42128d44409ad645d5446c1877460bf62738af90bcb70ea25e00099,g566_valid_003312,VALIDATION,g566-connector-48x48-a-v1,other,8,3000,False,False,False,False,False
12a993a5460e4e4833042d6640ac524b0b82affd6f8c710580337091d0943190,g566_valid_003568,VALIDATION,g566-connector-48x48-a-v1,other,8,750,False,False,False,False,False
6d4438b2de0fabf1454adbe33ee82b8fba75be9b0f8bd63ad0510aed3e713595,g566_valid_000155,VALIDATION,g566-connector-48x48-a-v2,other,24,750,False,False,False,False,False
ecdaa361c15f591576c2e9cb3c5d42d093b053385e4f8e6fd4cc780115739d35,g566_valid_000411,VALIDATION,g566-connector-48x48-a-v2,other,24,3000,False,False,False,False,False
f81f8ecb747c32ab472cd1f58c786c69c75be469fe2f0feef8bd6761334535f2,g566_valid_000667,VALIDATION,g566-connector-48x48-a-v2,other,24,750,False,False,False,False,False
53b495beeeb9cd90f98148b49382a98d2297ba16545f0b2ba2b2dca50c379140,g566_valid_000923,VALIDATION,g566-connector-48x48-a-v2,other,24,3000,False,False,False,False,False
4f86f9949b9c5ff59227adf47c63fd2a17912d6aec614d2f3281cd681f27630a,g566_valid_001179,VALIDATION,g566-connector-48x48-a-v2,other,24,750,False,False,False,False,False
6538e06de19efc953d75ccfa5082dfcaf7aeb331b773600086adb4937217b96b,g566_valid_001435,VALIDATION,g566-connector-48x48-a-v2,other,24,3000,False,False,False,False,False
019514db87c34d12145348af4d9ac0e74991f3cb9c9df27b67ffe23133640e10,g566_valid_001691,VALIDATION,g566-connector-48x48-a-v2,other,24,750,False,False,False,False,False
4945006c8c320ab82bec426705fe70ffc3ab347ca9f5bf4755c7a956c391fdb4,g566_valid_001947,VALIDATION,g566-connector-48x48-a-v2,other,24,3000,False,False,False,False,False
b5123b67b845183ea2c9e0b6b7d9ed80594f60de1b961004279c80860aae7f06,g566_valid_002203,VALIDATION,g566-connector-48x48-a-v2,other,24,750,False,False,False,False,False
a8a5c663fbccabf5b270867915a75af86de3bcc66340ee5747214695bec0b6be,g566_valid_002459,VALIDATION,g566-connector-48x48-a-v2,other,24,3000,False,False,False,False,False
b846771e5ab169f2005c625ab9ccd40f85c3e0d00475b7bce7a1b5471fa1250c,g566_valid_002715,VALIDATION,g566-connector-48x48-a-v2,other,24,750,False,False,False,False,False
65c5604a06f0e365761e58d817af45b33349abf99b0eaf8e4ab14689874f2139,g566_valid_002971,VALIDATION,g566-connector-48x48-a-v2,other,24,3000,False,False,False,False,False
c5ff2af1d0f1ab526650b0b031f9e4c6ad124338a8f0a3c621a8e5bdf664b9dd,g566_valid_003227,VALIDATION,g566-connector-48x48-a-v2,other,24,750,False,False,False,False,False
782e7852dbd1140d6f0e97befbfd4a2f1a41767954582067243a30984f2a249a,g566_valid_003483,VALIDATION,g566-connector-48x48-a-v2,other,24,3000,False,False,False,False,False
a66ca7a1ab4f650486a33c707460d7495960ac563b7062b787e63be9a56dc333,g566_valid_000048,VALIDATION,g566-connector-48x48-a-v2,other,8,1000,False,False,False,False,False
a6ef0608642985bd09cb20c65111b1d4cd4315e073d50057ccddfdd6488914f3,g566_valid_000304,VALIDATION,g566-connector-48x48-a-v2,other,8,5000,False,False,False,False,False
6e9b39099e7ed9039086ba8693dc06bb973e5dd7b8fa4717d79c85d56a4ad148,g566_valid_000560,VALIDATION,g566-connector-48x48-a-v2,other,8,1000,False,False,False,False,False
8b0e2be2a33efbbba6630026e1fcb31e6842a4bcb39e0ce8cdd891229a65fcc9,g566_valid_000816,VALIDATION,g566-connector-48x48-a-v2,other,8,5000,False,False,False,False,False
782e5f7eaa0867add54031d83f798e671e9becb34843b4aebadd3b35bb94f65b,g566_valid_001072,VALIDATION,g566-connector-48x48-a-v2,other,8,1000,False,False,False,False,False
6e13b6d7ce81bc34127b9e749e972e162be7120e7a912f46976896451415c1c5,g566_valid_001328,VALIDATION,g566-connector-48x48-a-v2,other,8,5000,False,False,False,False,False
480e1ded040f4d65307e9f9cd68c7599b76d58a914d89eb813f2ece6b0d73f85,g566_valid_001584,VALIDATION,g566-connector-48x48-a-v2,other,8,1000,False,False,False,False,False
41af44a6ef46525f3fb4da0064c71b7ab19f8dad354a192d83dd2e09c86e36ad,g566_valid_001840,VALIDATION,g566-connector-48x48-a-v2,other,8,5000,False,False,False,False,False
55beaf5078acda33b2f25160b49c1c216593f38ec16765dc440800d6302b4711,g566_valid_002096,VALIDATION,g566-connector-48x48-a-v2,other,8,1000,False,False,False,False,False
7b61fa73e7fb2e59c2b1ce87e3bdef5e47e00db8fb914441d26242924a398151,g566_valid_002352,VALIDATION,g566-connector-48x48-a-v2,other,8,5000,False,False,False,False,False
6486d3b185efec4aa996ee04cd4427f8b975f81e5f915a26fb41026d16e5b085,g566_valid_002608,VALIDATION,g566-connector-48x48-a-v2,other,8,1000,False,False,False,False,False
157994eda66c32c7ea2006071aa13fba9f3edf8e709f991593f6adedea9d522f,g566_valid_002864,VALIDATION,g566-connector-48x48-a-v2,other,8,5000,False,False,False,False,False
8a00f04b3fbb6db3ed680edf0ac2a31b8a93c6e6c16184f4925a95cb83eb0d96,g566_valid_003120,VALIDATION,g566-connector-48x48-a-v2,other,8,1000,False,False,False,False,False
0f1d86851d647c7d00d29e07fd8bf44f75111f89fab5aee4eb96c6c5999f6d0e,g566_valid_003376,VALIDATION,g566-connector-48x48-a-v2,other,8,5000,False,False,False,False,False
dfa14782ac0cdf2b2513f921135269553649191c2481c3b0766cd38ccb4c9d4a,g566_valid_000219,VALIDATION,g566-connector-48x48-a-v3,other,24,1000,False,False,False,False,False
3070f02413402627a74dba4c35241202db9a96f9e2cc4a7ffae4b93091c437db,g566_valid_000475,VALIDATION,g566-connector-48x48-a-v3,other,24,5000,False,False,False,False,False
db0e0749cadf42d8f62df4dd08e19cc9c1a8b4691de5cf4b2b9d77414b953dac,g566_valid_000731,VALIDATION,g566-connector-48x48-a-v3,other,24,1000,False,False,False,False,False
81d2b5adab2e86e6abdfe461ae7170399f8e696e0556535e8519a52368d8880d,g566_valid_000987,VALIDATION,g566-connector-48x48-a-v3,other,24,5000,False,False,False,False,False
b8b9b08abc455d61ea7d784fbb07a5aa61842aacb7357eb6ac816c0f1a659377,g566_valid_001243,VALIDATION,g566-connector-48x48-a-v3,other,24,1000,False,False,False,False,False
d27a6db10c791822b022f3487268adf6a3d84dfbe7c407ca93c275a4293b083f,g566_valid_001499,VALIDATION,g566-connector-48x48-a-v3,other,24,5000,False,False,False,False,False
6622faf4650a912a4cdc9842ad77d3364f13ce21c51464f1389604f6e7415c9f,g566_valid_001755,VALIDATION,g566-connector-48x48-a-v3,other,24,1000,False,False,False,False,False
805c74fb5f6c59620b59c1dfb1d789c01b1bddef49727601b28f5336ac25e49e,g566_valid_002011,VALIDATION,g566-connector-48x48-a-v3,other,24,5000,False,False,False,False,False
f76a2223fe5000c032164c25a6062f76d00bbab8f29777d59f8bd632e99a44b0,g566_valid_002267,VALIDATION,g566-connector-48x48-a-v3,other,24,1000,False,False,False,False,False
84c2e5583aef9fd17556f27968670ff76d41233ca4ca504dc07dbc731a430796,g566_valid_002523,VALIDATION,g566-connector-48x48-a-v3,other,24,5000,False,False,False,False,False
7e34baddbe5f41c453b56467d39b11f5620729682365728d97a9fd25d5e110fa,g566_valid_002779,VALIDATION,g566-connector-48x48-a-v3,other,24,1000,False,False,False,False,False
a277f68cc00409958aa9db14dd51a7db02ff8380d65b6aebf783921b52868c58,g566_valid_003035,VALIDATION,g566-connector-48x48-a-v3,other,24,5000,False,False,False,False,False
a00d510702cb0ef11c0c0c19787935ef428ca591e1ad9cc2b5d087c922d40d6c,g566_valid_003291,VALIDATION,g566-connector-48x48-a-v3,other,24,1000,False,False,False,False,False
f7e87d1a4b948ce7f182d970cae8f97840de3e59f453995a21f2cc402fe69dfb,g566_valid_003547,VALIDATION,g566-connector-48x48-a-v3,other,24,5000,False,False,False,False,False
29de9461033fad9ecb09c51badb354996201e5d45b3a75798458d67568afa4c5,g566_valid_000112,VALIDATION,g566-connector-48x48-a-v3,other,8,1500,False,False,False,False,False
4443d8e998424b50367be2692aba0068fa32304f2e8ef48f5dd48ac12344d0a4,g566_valid_000368,VALIDATION,g566-connector-48x48-a-v3,other,8,8000,False,False,False,False,False
9f7d79bff7d3cfc13644889614f9c1756037d82bccd1c433cbdc9ca3102e7d5f,g566_valid_000624,VALIDATION,g566-connector-48x48-a-v3,other,8,1500,False,False,False,False,False
18f680a8ce3a1ca884f999bd89f521ac861ddf907a429b752535ad8b344ed3f3,g566_valid_000880,VALIDATION,g566-connector-48x48-a-v3,other,8,8000,False,False,False,False,False
859d77a20775accee6f1aa3db3e3d22479d0b36be15d98405634f75706219438,g566_valid_001136,VALIDATION,g566-connector-48x48-a-v3,other,8,1500,False,False,False,False,False
0696fc84de96f18f19b8ffb0d7472038b33895c861fa8f3b663a82e6a0212a61,g566_valid_001392,VALIDATION,g566-connector-48x48-a-v3,other,8,8000,False,False,False,False,False
2ba6ea159afb8e5208897a5365fbb5b9aab423d7c84ae65c18b11da6c23a5cc7,g566_valid_001648,VALIDATION,g566-connector-48x48-a-v3,other,8,1500,False,False,False,False,False
fd0199221c2c2b30ecdd60ec5b8e122a7f654a0ed3e9465552170c5257c49549,g566_valid_001904,VALIDATION,g566-connector-48x48-a-v3,other,8,8000,False,False,False,False,False
83267b2cc3fb7c82067c5083375ea1fc53b8eba093054acf581eee3fc05ef6a0,g566_valid_002160,VALIDATION,g566-connector-48x48-a-v3,other,8,1500,False,False,False,False,False
a472c4fac79f3f9d6bd86300a5af6f1f426ae6f93e6e162d0be71a53a5f03220,g566_valid_002416,VALIDATION,g566-connector-48x48-a-v3,other,8,8000,False,False,False,False,False
fc86e2818d114453c9eabf6af7d8d0990f31c536dcc7aad1ddf08096582f7f51,g566_valid_002672,VALIDATION,g566-connector-48x48-a-v3,other,8,1500,False,False,False,False,False
9e2b7f79b3a48768c7196f19d1ff356c854c40be72f2a29dfee6edf80cf4553f,g566_valid_002928,VALIDATION,g566-connector-48x48-a-v3,other,8,8000,False,False,False,False,False
4076cb7723b33c302b09e1729035d1f2d8b92307a16df0317e3e0b24e31c58fa,g566_valid_003184,VALIDATION,g566-connector-48x48-a-v3,other,8,1500,False,False,False,False,False
47a2a377ef8bfd6c4c22b4b19ed01f8055ae27773b3924044cae347b9ee841f2,g566_valid_003440,VALIDATION,g566-connector-48x48-a-v3,other,8,8000,False,False,False,False,False
a4131156955fcc3c7e0f54b8895599d320858c89213a179aa02d3eef7be2e10e,g566_valid_000074,VALIDATION,g566-corners-48x48-a-v0,other,16,5000,False,False,False,False,False
0a076d9144a3d47d18d3ab207e610990678ba98a2b92571a5816996232a5cb7b,g566_valid_000330,VALIDATION,g566-corners-48x48-a-v0,other,16,1000,False,False,False,False,False
62c406b2f4f8e0be87fe43367780b895db6d0b76235d916014228dbfff0fbde8,g566_valid_000586,VALIDATION,g566-corners-48x48-a-v0,other,16,5000,False,False,False,False,False
90b4af1816f5daf5b147bc8bac2a160d60dbc843f5a30c0d3bdbbc38aa751ea7,g566_valid_000842,VALIDATION,g566-corners-48x48-a-v0,other,16,1000,False,False,False,False,False
6b7d910376ccafd7c1037f36aa8364d80add4bc05286c8fd1565a57ddaf819df,g566_valid_001098,VALIDATION,g566-corners-48x48-a-v0,other,16,5000,False,False,False,False,False
269bb863caa83c1a9b51656f53900275ff9fb6bcb63125c1ced68dc97763c184,g566_valid_001354,VALIDATION,g566-corners-48x48-a-v0,other,16,1000,False,False,False,False,False
be5cb197034013ff482a51835c4134dc149cae240e314f5428bd89f7aad479f9,g566_valid_001610,VALIDATION,g566-corners-48x48-a-v0,other,16,5000,False,False,False,False,False
614cd77d97905bebf5ddbd0071749f87542148d30a330628ce869adfd6ed623b,g566_valid_001866,VALIDATION,g566-corners-48x48-a-v0,other,16,1000,False,False,False,False,False
174e25fb17d75be462a6d8d2e87b5fd485a8eca89bc4677e2ba89fc9ef69f5f6,g566_valid_002122,VALIDATION,g566-corners-48x48-a-v0,other,16,5000,False,False,False,False,False
8140b3f74d79c9bd74a9353309a797af4d8af677a6073e17025df177a82fd930,g566_valid_002378,VALIDATION,g566-corners-48x48-a-v0,other,16,1000,False,False,False,False,False
efe76335bc3de223c27606fa89248ad189ea583e5efdba99a3d09a2025525479,g566_valid_002634,VALIDATION,g566-corners-48x48-a-v0,other,16,5000,False,False,False,False,False
7d93a269ce1056575b9af7263eff402332bf4ae788354a1123de93b492976a34,g566_valid_002890,VALIDATION,g566-corners-48x48-a-v0,other,16,1000,False,False,False,False,False
b515347195d6f9dfb2129f45758a5dbf86bb1af189791859490f6f37a1f17897,g566_valid_003146,VALIDATION,g566-corners-48x48-a-v0,other,16,5000,False,False,False,False,False
7ed3a162bee4f4a3f22995bce5ca660b2cf7a191ac7c8d8e26763a3fe3adc321,g566_valid_003402,VALIDATION,g566-corners-48x48-a-v0,other,16,1000,False,False,False,False,False
b22f61b8c0e9fb147a3ce0340edd867e4d58ac629af176ec671c051934bc3583,g566_valid_000138,VALIDATION,g566-corners-48x48-a-v1,other,16,8000,False,False,False,False,False
965b4c51d9c82e9e8d958664f5ed7d3d2c871010f34801177c9cfd300ed05569,g566_valid_000394,VALIDATION,g566-corners-48x48-a-v1,other,16,1500,False,False,False,False,False
9b1402a6453fc0212af64aa9661d3a86e13158aa0afc62a8f85a7189db7b934b,g566_valid_000650,VALIDATION,g566-corners-48x48-a-v1,other,16,8000,False,False,False,False,False
112edb148e25eb3bf4d5eb740d008eb0b24b1a7a63323b78e4eaa66172e10b78,g566_valid_000906,VALIDATION,g566-corners-48x48-a-v1,other,16,1500,False,False,False,False,False
c8715c7def45344cd85c5639c062527b5125f5c4895b7a827af8cd1cab897f44,g566_valid_001162,VALIDATION,g566-corners-48x48-a-v1,other,16,8000,False,False,False,False,False
0b22c8f197b52401041389004ebd1de8af29678cf990edb485dd0a824e44da59,g566_valid_001418,VALIDATION,g566-corners-48x48-a-v1,other,16,1500,False,False,False,False,False
1818d7f16c1a9a16cb301521ee3673e60c46a9ccdfaa99aee2add39d07384724,g566_valid_001674,VALIDATION,g566-corners-48x48-a-v1,other,16,8000,False,False,False,False,False
250c020a0aa19bc1060224d96e7ea55bbf8af216206f12237cdf9166e86961b2,g566_valid_001930,VALIDATION,g566-corners-48x48-a-v1,other,16,1500,False,False,False,False,False
84b7ec73e287ccbd3932a419684807a50956f11e7880b0f9e59a8e4295263f5d,g566_valid_002186,VALIDATION,g566-corners-48x48-a-v1,other,16,8000,False,False,False,False,False
186db2d79c5d9180c9d3bf739b2df2ad4f8a853d924b29c0f014678e4078c5b1,g566_valid_002442,VALIDATION,g566-corners-48x48-a-v1,other,16,1500,False,False,False,False,False
632266fd60849097b70c70aae49da27a20723b3b998ac1020750742d5ea5d9f9,g566_valid_002698,VALIDATION,g566-corners-48x48-a-v1,other,16,8000,False,False,False,False,False
2862664125837fb9170873d99b8585f3bdc8b27efe73ac133a5af2de9099bb54,g566_valid_002954,VALIDATION,g566-corners-48x48-a-v1,other,16,1500,False,False,False,False,False
b0196b3447fa9865e42739d478748624cd145e54436be50ac83c7336dfed9524,g566_valid_003210,VALIDATION,g566-corners-48x48-a-v1,other,16,8000,False,False,False,False,False
32fbc5253cf6d466fb40f5d081d92b9312c63024c9def971da4dd6509b20de5a,g566_valid_003466,VALIDATION,g566-corners-48x48-a-v1,other,16,1500,False,False,False,False,False
a5f4946325dafc7836fe5db4340b9d0c3c41f7e934dac9435836c52da17a99e1,g566_valid_000202,VALIDATION,g566-corners-48x48-a-v2,other,16,500,False,False,False,False,False
8b899ef1b937feb80eee360b3d3956254244ac74bee5ebcfdc13b7c47fbeea00,g566_valid_000458,VALIDATION,g566-corners-48x48-a-v2,other,16,2000,False,False,False,False,False
6036cd56a5b896b21d3a3ff1b6e7d05a80f761f0b87cad2a85f0b5ccddcc8b1a,g566_valid_000714,VALIDATION,g566-corners-48x48-a-v2,other,16,500,False,False,False,False,False
f7e5e9fea0a43da7fd9e8d22b652047fb614ebcbd78069462b40ae992ee1cb5d,g566_valid_000970,VALIDATION,g566-corners-48x48-a-v2,other,16,2000,False,False,False,False,False
2260c5affd936e380f7c6849263ffd716d7f4c4d81df55774985e1c34c963daf,g566_valid_001226,VALIDATION,g566-corners-48x48-a-v2,other,16,500,False,False,False,False,False
88b108306f22a32ae431e910294a08e273b1071b81711e50f7e45a1311cedcfb,g566_valid_001482,VALIDATION,g566-corners-48x48-a-v2,other,16,2000,False,False,False,False,False
36d64e60403a62c0f5d38f0a65c76301cb4b4fcc897e4d62e7cede0a4513438c,g566_valid_001738,VALIDATION,g566-corners-48x48-a-v2,other,16,500,False,False,False,False,False
bb0c08f94a87b1ff6b27546fe4464fa355f5e228ae4e2327e57f88beb80a5445,g566_valid_001994,VALIDATION,g566-corners-48x48-a-v2,other,16,2000,False,False,False,False,False
8ad29c21ae12ef9e46078069f72f69a5b6d48f1b5381fd0e505c20a7c9a6f0ac,g566_valid_002250,VALIDATION,g566-corners-48x48-a-v2,other,16,500,False,False,False,False,False
61c6c1b71689bd23cc7306fc15b14a68af007c957ff8cef21f9d77ab9f20392f,g566_valid_002506,VALIDATION,g566-corners-48x48-a-v2,other,16,2000,False,False,False,False,False
c715edd989ff50296558e0e0917e1b9c630c85ec124f992528eb303438786059,g566_valid_002762,VALIDATION,g566-corners-48x48-a-v2,other,16,500,False,False,False,False,False
