pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,support_rows_existing,success_regression_count_existing,quality_delta_existing,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_strata_existing
g554_pool_222332609614,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000137_t035,0.544440393204,1.33104955332,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,shrinkage_to_hand_from_risky,30,0,-0.033208924817,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.0900431299138,0.435042724915,0.872635292231,1,11,1,0,0,False,False,False,False,False,
g554_pool_158823376818,g553_zero_regression_low_support,repair5g549_theta_549000137,1.55554398058,1.07918919996,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,g553_zero_regression_low_support,30,0,-0.033208924817,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.257266085468,0.592979214042,1.10038654923,1,11,1,0,0,False,False,False,False,False,4
g554_pool_180904758085,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001530_t035,0.758111118791,1.17976135549,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,28,0,-0.0330417779012,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,0.901778296443,0.363762322476,0.35,0.75,1,10.450475199,1,0,0,False,False,False,False,False,
g554_pool_400852858307,g553_high_quality_nearmiss,repair5g549_theta_549001530,2.66603176794,1.19936510127,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.0330417779012,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.719366561267,1.03932092136,0.35,0.75,1,9.42992914014,0,0,1,False,False,False,False,False,4
g554_pool_825993943616,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000920_t035,0.613494908007,1.21516588466,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,29,0,-0.0328568545579,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,0.895300859398,0.228746767507,0.35,0.75,1,11.3051916896,1,0,0,False,False,False,False,False,
g554_pool_957996500928,g553_zero_regression_low_support,repair5g549_theta_549000920,2.2528425943,1.2480930038,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_zero_regression_low_support,29,0,-0.0328568545579,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.700859598281,0.653562192876,0.35,0.75,1,11.871976256,0,0,1,False,False,False,False,False,4
g554_pool_211281762892,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001970_t035,0.705139074728,0.919172526661,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,28,0,-0.032611194777,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,0.989730670539,0.51947491105,0.35,0.75,1,10.7257874484,1,0,0,False,False,False,False,False,
g554_pool_659591884855,g553_high_quality_nearmiss,repair5g549_theta_549001970,2.51468307064,1.04801640397,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.032611194777,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.970659058682,1.48421403157,0.35,0.75,1,10.2165355669,0,0,1,False,False,False,False,False,4
g554_pool_367667349532,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001921_t035,0.628977442044,0.915804028392,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,28,0,-0.032582883418,1.25,1.25,1.25,0.75,0.75,1,0.388717622566,0.95,1,0.960942598115,0.41841891316,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_998179492025,g553_high_quality_nearmiss,repair5g549_theta_549001921,1.79707840584,0.330411739176,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_high_quality_nearmiss,28,0,-0.032582883418,1.25,1.25,1.25,0.75,0.75,1,1.11062177876,0.95,1,0.888407423185,1.19548260903,0.35,0.75,1,11,1,0,0,False,False,False,False,False,4
