instance_index,map,map_family,solver_seed,solver_scenario_path,solver_scenario_sha256,solver_scenario_pair_count,start_goal_assignment_sha256,actual_solver_scenario_from_instance_assignment,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
10,g559-synth-warehouse-a-32,warehouse,7010,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-warehouse-a-32-random-7010.scen,cb49438b510d52709aab897ec08d0e3c475ea5e77da3bfff2095c7cb4bd44109,128,a4fefb6e6dfa8cf5931c8e6e713399f0eb8def5b8a3cc1819b65912c3eadd65c,True,False,False,False,False,False
11,g559-synth-warehouse-b-36,warehouse,7011,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-warehouse-b-36-random-7011.scen,ea8048e4cf21b666bd9a1f592477c0e864e02950fc7322c84f60393a6bf4e4d9,256,b3c25a165664d8ddd6639a9870cd690690acfcfdedd13b76c3de7b2ffe858ea9,True,False,False,False,False,False
12,g559-synth-connector-32,irregular_bottleneck,7012,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-connector-32-random-7012.scen,d93b4cd0d5aa4bfcc1192feb7c7a6c863b3873cd92f3da8a19f5f4f87e99357f,16,7b01880c15e03fd11ba33ec4730edb9036c42711e0f0863a196a8abea33a943c,True,False,False,False,False,False
13,g559-synth-corners-34,irregular_bottleneck,7013,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-corners-34-random-7013.scen,a3cdd68ffebce36be7052340ac78c6551c7efab9d870fd6287ea013d8f42e9b2,32,6e1203f1d09ec7095d5063e51c412001aed2c832fba8efbe69fb05704f421d35,True,False,False,False,False,False
14,g559-synth-loop-chain-36,irregular_bottleneck,7014,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-loop-chain-36-random-7014.scen,767d04d504851a2fdee144e13930a5355a98183d46bafff9985c920107503da2,64,9499cdc85b8833784c9f77878ce6df68cf8ebf23b141d893ef70b824fbca8c0d,True,False,False,False,False,False
15,g559-synth-tunnel-38,irregular_bottleneck,7015,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-tunnel-38-random-7015.scen,5ee490ffb633b0ff2df25ed6f66d396b3ff8ed19cbaf41c93c1622c51c542413,96,34c390db1ef86f8f23268ad17b7556abfbd5eae48dff04073836f7a4b7645250,True,False,False,False,False,False
16,g559-synth-string-40,irregular_bottleneck,7016,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-string-40-random-7016.scen,93b3d5ca8c1f5145f566e6b0374da46b1f890437de6050602ef898851fbb0351,128,ada90aa82e2b46ed83b70596d427feaf6366df32a3634060584e6a0bcb63ec55,True,False,False,False,False,False
17,g559-synth-tree-42,irregular_bottleneck,7017,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-tree-42-random-7017.scen,6b768c46557a9e79d3977b0cb312197d7fc941b102a906c94184184be3f39a84,256,afab3433f6f611a8774f73647b36d9cd2d957048b32d273be3ea4c540ac6967e,True,False,False,False,False,False
18,g559-synth-game-den-32,game,7018,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-den-32-random-7018.scen,ddc9de976f5caf15f2784b154c54afd4210705508138d28648ceb56a638e2dfa,16,b85de0d0a9beed39b5ae6115952576134b800df3af1abe74fa0de4127a6fe6f3,True,False,False,False,False,False
19,g559-synth-game-brc-32,game,7019,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-brc-32-random-7019.scen,056c941b010652392912eef2fe40918dd5c0de1c5850fe1871bd90ebe78cf786,32,7166dbad3573646e68ff2775b0c62096ceeb98872bca219cd681af1de4821030,True,False,False,False,False,False
20,g559-synth-city-berlin-32,city,7020,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-city-berlin-32-random-7020.scen,4695b47821c1b5d3f9493594f3f7c9009ac7ae937a78668644e74f9ceceb8b5b,64,2b90f7aefcbd85a89af017ec2ee6e6d5bc36adc7c51928ca6cc4fa9c1d858246,True,False,False,False,False,False
21,g559-synth-city-boston-32,city,7021,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-city-boston-32-random-7021.scen,65fd9b2099751325b0249948a43f7fa0c55384f9942f33ce92c034067aaa3a54,96,b42e652c213bf108c756493de7f093ea99259da42a491b2725e8f2efea0f74fa,True,False,False,False,False,False
22,g559-synth-city-paris-32,city,7022,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-city-paris-32-random-7022.scen,0b3cf53514c6fa73020992494295fbbc0d595fc01bc39ffe664afbf1c759cb61,128,5e4676c4a2e86a70aeffb504b827d1be62e9a51b237df387000589014822f2b1,True,False,False,False,False,False
23,g559-synth-game-lak-32,game,7023,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-lak-32-random-7023.scen,dca5a805437259de8859b6e74784b08c633754889ef177be1d1eef5f4936c305,256,7ab938d83704ec1d26f3862fb014aa020aae55b17041a6541a7813aaf579231d,True,False,False,False,False,False
24,g565-synth-open-cross-40,open_cross,7024,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-open-cross-40-random-7024.scen,07b8f3fbe934226985fb4144193995f5dc2282254e1ce36ac67938effa7c1cc4,16,3866d975d990fbf9bbe77ba46c602a17b761c6bee28dba7250f02509fd60457a,True,False,False,False,False,False
25,g565-synth-open-halls-44,open_cross,7025,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-open-halls-44-random-7025.scen,f31f4ebd51eefae553e847d44ca04ded3a117281dbb56d8f316434ed9f9263a7,32,53752c4e44aa14502c934285c66bc5b54217847a7cb1b8459cf7a6df3e1cb320,True,False,False,False,False,False
26,g565-synth-ring-a-40,ring,7026,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-ring-a-40-random-7026.scen,a0d606713a2876fe5e06653553373fc25b142e4580beaab95646d616e28cc183,64,5d89501e6cee06e0134cd180cef64228be4ed637954eaeee15093ad7da87ba02,True,False,False,False,False,False
27,g565-synth-ring-b-48,ring,7027,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-ring-b-48-random-7027.scen,c0592a873d8730110788163382821cfc51052e72d9dcb21215f47a4cd62e3361,96,80b0851745f99605dfed764ffb5d27a4da498e69282e7445a70060d0276de57b,True,False,False,False,False,False
28,g565-synth-islands-a-40,islands,7028,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-islands-a-40-random-7028.scen,a61ea756cb17030563cc6ac2800652bfa11199661c1ff2967134b882a9114e25,128,0b43e05c20a61663e269b5af466a2896cabc3941ef232bb7133a1006f6aa4d96,True,False,False,False,False,False
29,g565-synth-islands-b-48,islands,7029,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-islands-b-48-random-7029.scen,d8a488e31717805a787b0279ee9293790757f962bc162b9a07914f0b0e28cd24,256,c091283eaffec92c61ef2503a71fc9b5adfb90b426a967f86180ce2756c3e06a,True,False,False,False,False,False
30,g565-synth-bridge-a-40,narrow_bridge,7030,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-bridge-a-40-random-7030.scen,daad7b1e5ed670f957e6853d282df715c693ed81ea2992272ad63fbb78c34d63,16,e52235c43f63c16ed367bb1e8d9de9baef00b5ea038ddec83c4a79f0d4b04567,True,False,False,False,False,False
31,g565-synth-bridge-b-48,narrow_bridge,7031,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-bridge-b-48-random-7031.scen,d9d7fe15bdfc314473ca5c01712ec8fbfbe44ac3f98513781fbe6d6c3b451934,32,d0879293379fa47b3d061a5c2f6090a224d030e72664e3c55880193f05bc13cf,True,False,False,False,False,False
32,g565-synth-labyrinth-a-40,labyrinth,7032,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-labyrinth-a-40-random-7032.scen,a3b108a0c6967118bebfc222e612b4f072c31d5983cce3d8c93ea6641d914ece,64,f3fdb14211b5273e69261e18d8e300715b43e165086a04cd4805244495b70e36,True,False,False,False,False,False
33,g565-synth-labyrinth-b-48,labyrinth,7033,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-labyrinth-b-48-random-7033.scen,b6f56202a93469b801f49e3d2dc683e30bd8385ffcc0b2298dbd68e533b65453,96,478913b9bf33ab9ee9bab34ef4d4b57f84163c96e0f244786c6e088de0342656,True,False,False,False,False,False
34,g565-synth-checker-a-40,checker,7034,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-checker-a-40-random-7034.scen,ff8953177cdbd403254e5e81d91bd8aff999b2f7300876c6c62ed65a5facfd82,128,45e05dc60526716a5f29eb816f05a185bedfdfa529af68204c86c304516d3207,True,False,False,False,False,False
35,g565-synth-checker-b-48,checker,7035,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-checker-b-48-random-7035.scen,5ee26de3b9721892b0bbc83b997cbcbb8efb4316b045431415f20e0f34c04da9,256,fbc26426e30d2a674b9a5ffcaa18ee0a3d9c00a24f7919e7c058bee6953efc6f,True,False,False,False,False,False
36,g565-synth-corridor-grid-a-44,corridor_grid,7036,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-corridor-grid-a-44-random-7036.scen,ba619ad41019f136e3e8f385ee76bb6d7881f28e4c2d6e056597f5331dac7857,16,ce68579d12c27fa519efacf93160321f2ab00a4d1e89ce5dd778e3a1f53312e0,True,False,False,False,False,False
37,g565-synth-corridor-grid-b-52,corridor_grid,7037,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-corridor-grid-b-52-random-7037.scen,dc371eaee492c7aa28f22e56a2bb518c83431f295188a1f477f4a33a778c03ef,32,392eb4fb37694341ac5c188afd32b6a004a2560cb9e475ff1d7284295d45fc2c,True,False,False,False,False,False
38,g565-synth-hub-spoke-a-44,hub_spoke,7038,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-hub-spoke-a-44-random-7038.scen,fe460831344b8ea44b63012661c5f279ce0fb052531fc3f7010dcefc23c3aebd,64,b645085e196e524577e6117005ba51cbf8291560b3cc6f0d09bec2f72d15d62a,True,False,False,False,False,False
39,g565-synth-hub-spoke-b-52,hub_spoke,7039,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-hub-spoke-b-52-random-7039.scen,8ccb9b5cdb1981dfd57e8b0cb07eea7c1bc0aad6dd1cf1dbe2b161fc07befa20,96,5ec0418f5d13f842679be2eb5ab7265a04fa89b6e8dd11c01a2bc7d3979f66c0,True,False,False,False,False,False
40,empty-8-8,empty,7040,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-8-8-random-7040.scen,63f74bc94b096faabbbe7ff57cadffdc8c21e70b64be02f4028b2e2674abc7de,64,2942b4054f7a1461aaaee7e5c2a164d576cf0c2699d65cbe8cf3966c715b08f2,True,False,False,False,False,False
41,empty-16-16,empty,7041,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-16-16-random-7041.scen,487160aded85f667d961f4e3cc4bf3592b338369592a113fcdb43718f164ff39,256,3d9bfba20de80d155543829ded4aa9fd2fef2aa13030115a05c46704d6f5ca3e,True,False,False,False,False,False
42,empty-32-32,empty,7042,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-32-32-random-7042.scen,0753afba0e627611ca0206130919c7a1cac97069487946003922b78b32bfff33,16,e726b8b5321f8715e4087338c277ec5d604c0432e230a20f43af9ba3daf99f73,True,False,False,False,False,False
43,random-8-8-20,random,7043,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-8-8-20-random-7043.scen,3a2cbedb3ddae37b6c2c346f6aa257d58f5a39ae3986acee421dd4ab1403c90f,32,d6d327188b64c56d4926048ef844f5c5b63fc16f5e78df6ad6af95437f34b0f9,True,False,False,False,False,False
44,random-32-32-10,random,7044,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-32-32-10-random-7044.scen,524dee21f674f0eba3f5ad7784ec158afad6726d1cf66c70f305c3e7084c649c,64,d3839d4329e79abc99864fc8204dba77f6bee72b2d02b0be131ef2579f600bab,True,False,False,False,False,False
45,random-32-32-20,random,7045,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-32-32-20-random-7045.scen,12792ce8e692817e67d09fe087801ca618f3c57b49cbeed112fdc5c3cb191f39,96,3b1c4779aef023100ec6ad0906ee1aaea0a6499959e3cf7f82f8454708d1d628,True,False,False,False,False,False
46,maze-32-32-2,maze,7046,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-32-32-2-random-7046.scen,c6aa8cdc5da68d581f8761b7ed2c4694cb4816b70ba0a59ca7e3991fa32f6afe,128,62e725cbbb6be2f402756ca9bc8a9a1402ee5035b9297266857edaa6e35bc618,True,False,False,False,False,False
47,maze-36-32-4,maze,7047,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-36-32-4-random-7047.scen,4fc6c78a86fef571d5bc464d964a96a2c2b237aedb8ebd6dcf3a3e29ebf3b7d4,256,e3d196459de48496e4da5cbba0ad0e2e6da90c93c580a51da3d4fea76e3e44e6,True,False,False,False,False,False
48,room-32-32-4,room,7048,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-32-32-4-random-7048.scen,f7f864f0468fc6e3a01da98ba3f2bca7c6ff29930b87888597e1fb13cca27a84,16,61642db1c9d60419c97692a881d18fa33f18c1d3d23b5443e639e7f91edab7eb,True,False,False,False,False,False
49,room-40-32-8,room,7049,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-40-32-8-random-7049.scen,810d2932816de2648dc27c19069628d8a71990364ebfc0c61231dacb07befcec,32,9378589e174569055a1b950ce7757b74fcb1894d379cfa428468950a6995579e,True,False,False,False,False,False
50,g559-synth-warehouse-a-32,warehouse,7050,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-warehouse-a-32-random-7050.scen,d6eaf8056b14e6248ba153690599d491277e00969fc295f6315b1ae623ec1666,64,bfc78c54363d01749e7b00d92f6682069651e6bec48658dc11218c793887f9b4,True,False,False,False,False,False
51,g559-synth-warehouse-b-36,warehouse,7051,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-warehouse-b-36-random-7051.scen,ca5cb11fb4254c7251df868e6f82c5a482de47845c50adffd7933865ca2789ee,96,89b9a502504be4f08ee6d945b3a4963b875bb21d32a5c9292da231478b45e748,True,False,False,False,False,False
52,g559-synth-connector-32,irregular_bottleneck,7052,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-connector-32-random-7052.scen,b758e3dbd32322412ade4da90cfa45a99ba74e3e76555cd293ec1a2aa808ba9a,128,c01efe019368a7d478ec777b7c3a914b8c6e5881a33ced98d6e7bfd7fb745321,True,False,False,False,False,False
53,g559-synth-corners-34,irregular_bottleneck,7053,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-corners-34-random-7053.scen,b714c1f4fe12559b3122adf5dcb967d03fa760d11055528e2614bbe19522bf9f,256,e6a3aab4c169e0c4a26aadc717f995699d83a470fe1772d59f87159d4c2ad21f,True,False,False,False,False,False
54,g559-synth-loop-chain-36,irregular_bottleneck,7054,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-loop-chain-36-random-7054.scen,8584fe495dbf00472801a872db48f7a9b79035ef490ea452760d8ebcfa519dd8,16,00242d7a43043f8c465faa44ab5772b4e46f460be145fa7d57e35e6e73dbc61c,True,False,False,False,False,False
55,g559-synth-tunnel-38,irregular_bottleneck,7055,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-tunnel-38-random-7055.scen,f88b5fc7e347e5d0011e60a25aee970459f47c0e4274744c72309d96cf9258dc,32,bfcc044396e198d0806f6ba4b423734df952f655ed72cee160b2fb8995ae5f91,True,False,False,False,False,False
56,g559-synth-string-40,irregular_bottleneck,7056,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-string-40-random-7056.scen,770df86b7758bcc516aa66c365e734fbcf8e290e2b77466f82a4d1600e10947d,64,b3e6b009368a7b1ebf57faaed0e838376e9a2b470a0a59c64150def3d7ff9ead,True,False,False,False,False,False
57,g559-synth-tree-42,irregular_bottleneck,7057,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-tree-42-random-7057.scen,08e7ec7e0b9bae4890fc2025a2a3d0d083548d77120dbfee52f6e48a7e9c1ba2,96,cf5c66c2a84f1ade85c0d76bac709b760c8127ccf60988bf651528cd8410314e,True,False,False,False,False,False
58,g559-synth-game-den-32,game,7058,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-den-32-random-7058.scen,a113567c2782acae08ec35ae2749e3b579af880ddb17b78b1ea0987e4ef68e56,128,1d7c9dca08c1a63b2dde10eb6b11c526ad2e3bd3fbf060d89e20b3e735a8c566,True,False,False,False,False,False
59,g559-synth-game-brc-32,game,7059,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-brc-32-random-7059.scen,e63e4c77928b494a7530e9e9cab4f33e1892e69c6c2823a1a2b6c520c610ee21,256,e51cb498e2eacde0d4526d78c89b5877c1f5b379f59ce2a03271a2cabad7c5a4,True,False,False,False,False,False
60,g559-synth-city-berlin-32,city,7060,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-city-berlin-32-random-7060.scen,04e3a1a0fb98e61394f995bdc46de87db821eed6faa6469f8d6f04f5fdc4751e,16,192a99d1dc0441975c5681a6e948ff1197a1257f55487045e55f30b62a279a97,True,False,False,False,False,False
61,g559-synth-city-boston-32,city,7061,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-city-boston-32-random-7061.scen,1c7e9858c7efaa896f54dd0f1889a027791e76206d06af5735372cfadf59da20,32,8db62723fe55bb16ab17ddfdc6a7afc688ae63729e3d2b1579bec4eaa1acdf75,True,False,False,False,False,False
62,g559-synth-city-paris-32,city,7062,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-city-paris-32-random-7062.scen,12f9d59660252cb13ab135f904277df79af6d8b57d9b37fb7ef0cff18cdbfd32,64,003f5f6c74da750021b37d5ece30ae938e3966eaa31f44653495ef7258103e41,True,False,False,False,False,False
63,g559-synth-game-lak-32,game,7063,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-lak-32-random-7063.scen,5aa64875c02cfc7b4466b6136225238ec7faea4935b1d1620f98682173f1f9aa,96,8a281e7d853e0030e40b5b57b7e957b7e9fc78cbebd2236e1a14ad0c38525868,True,False,False,False,False,False
64,g565-synth-open-cross-40,open_cross,7064,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-open-cross-40-random-7064.scen,611fdd36db739597607cc73fd07451ec6c0134daffabed41299508dc25a6ac9f,128,9ebb02991e140257f06600428f0b51785fefbf13be7123d8bedb3a6b2cb3cbd3,True,False,False,False,False,False
65,g565-synth-open-halls-44,open_cross,7065,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-open-halls-44-random-7065.scen,adfb9c35f0df0f34ac9a29292dec190c1b58a18be5676567c01e2a95d9baee7b,256,254144927615f6cfb89c8e18729f805ededf911598add32ed75aab754335195c,True,False,False,False,False,False
66,g565-synth-ring-a-40,ring,7066,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-ring-a-40-random-7066.scen,c2569ed41ff5ef275b342eb98db0b600ce06ec5c28691db1c7e43b0d0286cad3,16,671cdcc4251c50b6ee9b0d7a2c793af88acd4be32319a94778b13768904c6ad4,True,False,False,False,False,False
67,g565-synth-ring-b-48,ring,7067,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-ring-b-48-random-7067.scen,b42b49507c6e49ab9d0f2c9d1ecceee4426b62de871001f64d0758cc9aa69fab,32,2abc0351572b46873ca3e56a10bde50ba743199f7a35c6bf0e76d876763aced1,True,False,False,False,False,False
68,g565-synth-islands-a-40,islands,7068,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-islands-a-40-random-7068.scen,f81d79409371923b9d0baac857a1b6a7fd9b8b5e139500d1ce22a8357ef8e5c4,64,3aba9950a2731cbc97c0e9308cd77c9ff69f374e6646415a9072878c63fc9ca9,True,False,False,False,False,False
69,g565-synth-islands-b-48,islands,7069,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-islands-b-48-random-7069.scen,005a31d87cc108ead15c0227194fe21c76c3ce61e2d9c998d5fd8b9304c88288,96,d104e2899717d40f048a6f9f056ac283bcbdc9515fc577a044206b8721ec4dfb,True,False,False,False,False,False
70,g565-synth-bridge-a-40,narrow_bridge,7070,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-bridge-a-40-random-7070.scen,b4ea2766601688d02c7eff4a8d393d8ff8866b341fa0385c6e5a7823d970574a,128,521fe17d678df229c181b89727401e8ea636586ab415241ac4302e2c24f3b087,True,False,False,False,False,False
71,g565-synth-bridge-b-48,narrow_bridge,7071,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-bridge-b-48-random-7071.scen,63afb51bb973561c3c14f5075148cfcd129b38d9d2fae51ef5abba44918baaec,256,03d4fb37c163dad89500edcf7f1c7c08391c86babe74f2bf27a60a62d823512f,True,False,False,False,False,False
72,g565-synth-labyrinth-a-40,labyrinth,7072,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-labyrinth-a-40-random-7072.scen,8988f67dfdeeac8affa8cbe0f84d8c367dd0346bf9dcc6379aafb8bc9d8cb55e,16,102e33c1735c1edd4a2af574329c57cb701ab489033a7f36d8a8fb31adbdbd41,True,False,False,False,False,False
73,g565-synth-labyrinth-b-48,labyrinth,7073,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-labyrinth-b-48-random-7073.scen,b65eb120d79561195273bb8f326ec217d6a2b68633fb9837b1f577d75623eba5,32,611ef44d88904db94cc69d66f8220e9b9637cbcf225ba7d604b9b886a14b593f,True,False,False,False,False,False
74,g565-synth-checker-a-40,checker,7074,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-checker-a-40-random-7074.scen,aa1dc3fbaba33bc140bc0f6ebcca3dbe51bcb79ebf7a26860a5b5e27e340d759,64,d217ae4c41ac7bab0f917d6db135c18397516a4ca86e4e0d8a3fb1dab9c0f3b7,True,False,False,False,False,False
75,g565-synth-checker-b-48,checker,7075,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-checker-b-48-random-7075.scen,c5d9daa95e0713a4ee960aa085f90213df6a0fc9e5bcbe5a9a9e134b46c724dc,96,915a7c6af8f9bca7573436f0fce91a7c8768cb6c940ca0616819c4943f3cc3ce,True,False,False,False,False,False
76,g565-synth-corridor-grid-a-44,corridor_grid,7076,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-corridor-grid-a-44-random-7076.scen,ff837172175d23833cb6b99dfaadb47742609ef259373db2a416353d501b0d20,128,60bd6d613ee1030473c9b996427247497aeca1e41c489bf2664a981618b21602,True,False,False,False,False,False
77,g565-synth-corridor-grid-b-52,corridor_grid,7077,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-corridor-grid-b-52-random-7077.scen,3082b3fa563d71ef1c4a995d92c2b86cc3cdba4d67cd1d6faf803e20297bdd53,256,45911522e79e2ff053c7ed456016a4faf00bded40430c1ee72bb0accb9816e32,True,False,False,False,False,False
