region_id,sampling_policy,materialized_method,region_status,support,seed_block_support,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_better_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_quality_only_mean_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
broad_sobol_lhs|repair5g518_grid_c0p1_b1p86_f0p11_w0p6_dc0p96_df0p96_beta0p15_max1p42_c0,broad_sobol_lhs,repair5g518_grid_c0p1_b1p86_f0p11_w0p6_dc0p96_df0p96_beta0p15_max1p42_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p22_b0p81_f0p3_w0p31_dc0p93_df0p99_beta0p53_max1p44_c0,broad_sobol_lhs,repair5g518_grid_c0p22_b0p81_f0p3_w0p31_dc0p93_df0p99_beta0p53_max1p44_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p22_b1p27_f0p99_w0p17_dc1p00_df0p98_beta0p08_max0p29_c0,broad_sobol_lhs,repair5g518_grid_c0p22_b1p27_f0p99_w0p17_dc1p00_df0p98_beta0p08_max0p29_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p22_b1p47_f0p13_w1p37_dc0p98_df0p9_beta0p68_max1p25_c0,broad_sobol_lhs,repair5g518_grid_c0p22_b1p47_f0p13_w1p37_dc0p98_df0p9_beta0p68_max1p25_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p23_b0p67_f0p11_w0p82_dc0p91_df0p93_beta0p07_max1p32_c0,broad_sobol_lhs,repair5g518_grid_c0p23_b0p67_f0p11_w0p82_dc0p91_df0p93_beta0p07_max1p32_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p24_b2p01_f0p56_w0p41_dc0p97_df0p93_beta0p65_max0p62_c0,broad_sobol_lhs,repair5g518_grid_c0p24_b2p01_f0p56_w0p41_dc0p97_df0p93_beta0p65_max0p62_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p24_b2p13_f0p6_w1p7_dc0p98_df0p92_beta0p45_max0p68_c0,broad_sobol_lhs,repair5g518_grid_c0p24_b2p13_f0p6_w1p7_dc0p98_df0p92_beta0p45_max0p68_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p25_b1p93_f0p07_w0p49_dc0p98_df0p94_beta0p09_max0p27_c0,broad_sobol_lhs,repair5g518_grid_c0p25_b1p93_f0p07_w0p49_dc0p98_df0p94_beta0p09_max0p27_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p25_b2p23_f0p26_w1p52_dc0p95_df0p9_beta0p25_max1p00_c0,broad_sobol_lhs,repair5g518_grid_c0p25_b2p23_f0p26_w1p52_dc0p95_df0p9_beta0p25_max1p00_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p26_b1p26_f1p05_w0p48_dc0p95_df1p00_beta0p47_max0p55_c0,broad_sobol_lhs,repair5g518_grid_c0p26_b1p26_f1p05_w0p48_dc0p95_df1p00_beta0p47_max0p55_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p26_b1p57_f1p12_w0p39_dc0p98_df0p91_beta0p34_max1p24_c0,broad_sobol_lhs,repair5g518_grid_c0p26_b1p57_f1p12_w0p39_dc0p98_df0p91_beta0p34_max1p24_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p26_b1p74_f0p99_w1p45_dc0p99_df0p94_beta0p14_max1p22_c0,broad_sobol_lhs,repair5g518_grid_c0p26_b1p74_f0p99_w1p45_dc0p99_df0p94_beta0p14_max1p22_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p27_b0p68_f0p93_w0p31_dc0p91_df0p97_beta0p68_max1p19_c0,broad_sobol_lhs,repair5g518_grid_c0p27_b0p68_f0p93_w0p31_dc0p91_df0p97_beta0p68_max1p19_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p28_b2p18_f0p61_w1p00_dc0p98_df0p92_beta0p37_max0p31_c0,broad_sobol_lhs,repair5g518_grid_c0p28_b2p18_f0p61_w1p00_dc0p98_df0p92_beta0p37_max0p31_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p29_b1p17_f1p23_w0p7_dc0p9_df0p92_beta0p71_max1p32_c0,broad_sobol_lhs,repair5g518_grid_c0p29_b1p17_f1p23_w0p7_dc0p9_df0p92_beta0p71_max1p32_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p29_b1p75_f0p99_w1p4_dc0p98_df0p95_beta0p18_max0p3_c0,broad_sobol_lhs,repair5g518_grid_c0p29_b1p75_f0p99_w1p4_dc0p98_df0p95_beta0p18_max0p3_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p29_b2p21_f1p24_w1p7_dc0p95_df0p98_beta0p18_max1p46_c0,broad_sobol_lhs,repair5g518_grid_c0p29_b2p21_f1p24_w1p7_dc0p95_df0p98_beta0p18_max1p46_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p2_b1p2_f1p4_w0p83_dc0p97_df0p94_beta0p11_max1p06_c0,broad_sobol_lhs,repair5g518_grid_c0p2_b1p2_f1p4_w0p83_dc0p97_df0p94_beta0p11_max1p06_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p2_b2p01_f0p12_w0p14_dc0p9_df0p92_beta0p14_max0p74_c0,broad_sobol_lhs,repair5g518_grid_c0p2_b2p01_f0p12_w0p14_dc0p9_df0p92_beta0p14_max0p74_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p31_b0p52_f0p97_w1p27_dc0p95_df0p97_beta0p4_max0p45_c0,broad_sobol_lhs,repair5g518_grid_c0p31_b0p52_f0p97_w1p27_dc0p95_df0p97_beta0p4_max0p45_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p31_b0p86_f1p44_w0p1_dc0p97_df0p95_beta0p42_max1p23_c0,broad_sobol_lhs,repair5g518_grid_c0p31_b0p86_f1p44_w0p1_dc0p97_df0p95_beta0p42_max1p23_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p31_b0p95_f0p45_w0p04_dc0p93_df0p96_beta0p33_max0p95_c0,broad_sobol_lhs,repair5g518_grid_c0p31_b0p95_f0p45_w0p04_dc0p93_df0p96_beta0p33_max0p95_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p31_b1p89_f1p19_w0p69_dc0p93_df0p96_beta0p67_max0p36_c0,broad_sobol_lhs,repair5g518_grid_c0p31_b1p89_f1p19_w0p69_dc0p93_df0p96_beta0p67_max0p36_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p32_b1p52_f0p61_w1p39_dc0p93_df0p9_beta0p55_max1p23_c0,broad_sobol_lhs,repair5g518_grid_c0p32_b1p52_f0p61_w1p39_dc0p93_df0p9_beta0p55_max1p23_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p33_b1p49_f1p38_w1p65_dc0p92_df0p99_beta0p32_max0p91_c0,broad_sobol_lhs,repair5g518_grid_c0p33_b1p49_f1p38_w1p65_dc0p92_df0p99_beta0p32_max0p91_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p33_b1p97_f0p05_w0p8_dc0p9_df0p95_beta0p13_max0p62_c0,broad_sobol_lhs,repair5g518_grid_c0p33_b1p97_f0p05_w0p8_dc0p9_df0p95_beta0p13_max0p62_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p33_b2p13_f0p55_w0p02_dc0p93_df0p99_beta0p54_max0p99_c1,broad_sobol_lhs,repair5g518_grid_c0p33_b2p13_f0p55_w0p02_dc0p93_df0p99_beta0p54_max0p99_c1,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p34_b0p67_f1p14_w0p18_dc0p97_df0p92_beta0p09_max1p14_c0,broad_sobol_lhs,repair5g518_grid_c0p34_b0p67_f1p14_w0p18_dc0p97_df0p92_beta0p09_max1p14_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p34_b0p71_f1p08_w0p04_dc0p94_df0p91_beta0p4_max0p64_c0,broad_sobol_lhs,repair5g518_grid_c0p34_b0p71_f1p08_w0p04_dc0p94_df0p91_beta0p4_max0p64_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p34_b0p94_f1p32_w0p38_dc0p91_df0p96_beta0p56_max0p66_c0,broad_sobol_lhs,repair5g518_grid_c0p34_b0p94_f1p32_w0p38_dc0p91_df0p96_beta0p56_max0p66_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p34_b1p8_f0p46_w0p4_dc0p99_df0p91_beta0p27_max1p32_c0,broad_sobol_lhs,repair5g518_grid_c0p34_b1p8_f0p46_w0p4_dc0p99_df0p91_beta0p27_max1p32_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p35_b0p91_f0p92_w0p29_dc0p92_df0p98_beta0p04_max0p43_c0,broad_sobol_lhs,repair5g518_grid_c0p35_b0p91_f0p92_w0p29_dc0p92_df0p98_beta0p04_max0p43_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p35_b0p93_f1p45_w1p05_dc0p9_df0p9_beta0p09_max1p02_c0,broad_sobol_lhs,repair5g518_grid_c0p35_b0p93_f1p45_w1p05_dc0p9_df0p9_beta0p09_max1p02_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p35_b0p94_f0p4_w0p61_dc0p98_df0p98_beta0p63_max1p43_c1,broad_sobol_lhs,repair5g518_grid_c0p35_b0p94_f0p4_w0p61_dc0p98_df0p98_beta0p63_max1p43_c1,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p35_b1p82_f1p15_w1p49_dc0p91_df0p93_beta0p13_max0p74_c0,broad_sobol_lhs,repair5g518_grid_c0p35_b1p82_f1p15_w1p49_dc0p91_df0p93_beta0p13_max0p74_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p35_b1p9_f1p24_w1p45_dc0p94_df0p91_beta0p51_max0p3_c0,broad_sobol_lhs,repair5g518_grid_c0p35_b1p9_f1p24_w1p45_dc0p94_df0p91_beta0p51_max0p3_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p35_b2p22_f1p21_w0p99_dc0p96_df0p91_beta0p13_max0p68_c0,broad_sobol_lhs,repair5g518_grid_c0p35_b2p22_f1p21_w0p99_dc0p96_df0p91_beta0p13_max0p68_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p36_b1p87_f0p6_w1p32_dc0p95_df0p93_beta0p04_max0p64_c0,broad_sobol_lhs,repair5g518_grid_c0p36_b1p87_f0p6_w1p32_dc0p95_df0p93_beta0p04_max0p64_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p36_b1p97_f0p69_w0p4_dc0p92_df0p98_beta0p17_max1p2_c0,broad_sobol_lhs,repair5g518_grid_c0p36_b1p97_f0p69_w0p4_dc0p92_df0p98_beta0p17_max1p2_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
