better,bootstrap,equal,ltm_iteration_budget,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
89,"{'mean': -0.00012756661393863747, 'ci_low': -0.0016122261886204548, 'ci_high': 0.0013061760725090904, 'prob_mean_lt_0': 0.582, 'samples': 2000}",254,4,-0.00012756661393863747,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,2,480,0,97
5,"{'mean': -0.00018293503945454592, 'ci_low': -0.0003845745137954548, 'ci_high': -3.455159704545483e-05, 'prob_mean_lt_0': 0.9955, 'samples': 2000}",435,8,-0.00018293503945454592,0.0,always_additive_defer,0,480,0,0
7,"{'mean': -0.000241517548818182, 'ci_low': -0.0006050325977727271, 'ci_high': 1.0975405022727414e-05, 'prob_mean_lt_0': 0.9685, 'samples': 2000}",432,8,-0.000241517548818182,0.0,laur_disable,0,480,0,1
4,"{'mean': -0.00017974115586363659, 'ci_low': -0.000529923584977273, 'ci_high': 4.882790645454554e-05, 'prob_mean_lt_0': 0.8855, 'samples': 2000}",435,8,-0.00017974115586363659,0.0,laur_force_additive_direct,0,480,0,1
5,"{'mean': -7.745423684090955e-05, 'ci_low': -0.00023303360875000058, 'ci_high': 6.307632370454528e-05, 'prob_mean_lt_0': 0.872, 'samples': 2000}",434,8,-7.745423684090955e-05,0.0,repair5f_candidate_additive_ltm,0,480,0,1
254,"{'mean': -0.012780017231769934, 'ci_low': -0.015175766493300685, 'ci_high': -0.010538792312849663, 'prob_mean_lt_0': 1.0, 'samples': 2000}",99,8,-0.012780017231769934,-0.009004952730000015,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,480,0,87
197,"{'mean': -0.006443930349813638, 'ci_low': -0.008279773300240911, 'ci_high': -0.0047749768223431825, 'prob_mean_lt_0': 1.0, 'samples': 2000}",145,8,-0.006443930349813638,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0,480,0,98
243,"{'mean': -0.011725648857534101, 'ci_low': -0.014263548341675009, 'ci_high': -0.009208502608106831, 'prob_mean_lt_0': 1.0, 'samples': 2000}",107,8,-0.011725648857534101,-0.005772005770000144,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,1,480,0,90
243,"{'mean': -0.011725648857534101, 'ci_low': -0.014263548341675009, 'ci_high': -0.009208502608106831, 'prob_mean_lt_0': 1.0, 'samples': 2000}",107,8,-0.011725648857534101,-0.005772005770000144,repair5g2_best_frozen_static_candidate,1,480,0,90
126,"{'mean': 0.0008978301844750026, 'ci_low': -0.0005010445900681756, 'ci_high': 0.0022407582669000028, 'prob_mean_lt_0': 0.0985, 'samples': 2000}",196,8,0.0008978301844750026,0.0,repair5g2_c_equiv_best_frozen_baseline,2,480,0,118
241,"{'mean': -0.012949107395683375, 'ci_low': -0.01519916233248748, 'ci_high': -0.010905944258806382, 'prob_mean_lt_0': 1.0, 'samples': 2000}",143,8,-0.012949107395683375,-0.005220154330000115,repair5g2_frozen_static_or_selector,0,480,0,56
243,"{'mean': -0.011725648857534101, 'ci_low': -0.014263548341675009, 'ci_high': -0.009208502608106831, 'prob_mean_lt_0': 1.0, 'samples': 2000}",107,8,-0.011725648857534101,-0.005772005770000144,repair5g2_g1_top_diagnostic_candidate,1,480,0,90
234,"{'mean': -0.011399462312888641, 'ci_low': -0.013665754935565913, 'ci_high': -0.009058993452245458, 'prob_mean_lt_0': 1.0, 'samples': 2000}",116,8,-0.011399462312888641,-0.005269651635000039,repair5g4_random_flow_shield_diagnostic_seed0,0,480,0,90
245,"{'mean': -0.01190737623498178, 'ci_low': -0.014231052708066063, 'ci_high': -0.009599264773815494, 'prob_mean_lt_0': 1.0, 'samples': 2000}",109,8,-0.01190737623498178,-0.006167763159999895,repair5g4_shuffled_flow_shield_diagnostic_seed0,0,480,0,86
7,"{'mean': -0.00026685114056818163, 'ci_low': -0.0006434233248863639, 'ci_high': 2.3995823863642853e-06, 'prob_mean_lt_0': 0.9735, 'samples': 2000}",431,8,-0.00026685114056818163,0.0,repair5g_dual_additive_parity,0,480,0,2
1,"{'mean': 0.000356783014145786, 'ci_low': 9.897381127562632e-05, 'ci_high': 0.0007237397855580851, 'prob_mean_lt_0': 0.0, 'samples': 2000}",424,8,0.000356783014145786,0.0,repair5g_dual_c_equiv_additive,4,480,0,15
119,"{'mean': 0.0008259733690727224, 'ci_low': -0.00043851246270455117, 'ci_high': 0.002111160314202267, 'prob_mean_lt_0': 0.099, 'samples': 2000}",198,8,0.0008259733690727224,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,3,480,0,123
126,"{'mean': 0.0008978301844750026, 'ci_low': -0.0005010445900681756, 'ci_high': 0.0022407582669000028, 'prob_mean_lt_0': 0.0985, 'samples': 2000}",196,8,0.0008978301844750026,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,2,480,0,118
