topology_grad_norm,c0_grad_norm,f0_grad_norm,od_grad_norm,scalar_grad_norm,fusion_grad_norm,theta_head_grad_norm,trust_head_grad_norm,model_kind,hidden_dim,size,seed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001336705608991906,B1,64,32,567
0.0,0.0,0.0,0.0,0.0035838971380144358,0.0,0.01536442432552576,0.0007615631329827011,B2,64,32,565
0.0,0.0,0.0,0.0,0.0029740647587459534,0.0,0.01041395659558475,0.0007198579260148108,B2,64,32,566
0.0,0.0,0.0,0.0,0.004879290790995583,0.0,0.012160535668954253,0.0004850641271332279,B2,64,32,567
0.01922995681525208,0.016168873389688088,0.04274622419507068,0.09695599318365566,0.004728246491140453,0.022285350773017853,0.019869763404130936,0.002823726157657802,E0,64,32,565
0.005709236182156019,0.019646169277621084,0.013468832575199485,0.020607305865269154,0.0017893347794597503,0.011038583179470152,0.01943355822004378,0.002721935452427715,E0,64,32,566
0.012306791650189552,0.004368844361579249,0.008013840496460034,0.04984264740778599,0.005190625073737465,0.016903774754609913,0.02669155620969832,0.002677239041076973,E0,64,32,567
0.05942838036571629,0.0,0.0,0.06425044426578097,0.004977236269041896,0.020291285181883723,0.027991111855953932,0.003898501629009843,E1,64,32,565
0.07161098406868405,0.0,0.0,0.27542701561469585,0.007180764470831491,0.03287390532204881,0.025191674008965492,0.002513978019123897,E1,64,32,566
0.07184814507490955,0.0,0.0,0.20577899360796437,0.006278899032622576,0.027240726922173053,0.029500074684619904,0.0035891793959308416,E1,64,32,567
0.02016725866997149,0.016515785437150043,0.012319119026869885,0.2027254119020654,0.002801968014864542,0.024759493360761553,0.021914695156738162,0.0028840350569225848,E2,64,32,565
0.003834856643607054,0.015838077860280464,0.008291564298815501,0.02279842901043594,0.0003837225372080866,0.008930306823458523,0.019421824254095554,0.0025213985645677894,E2,64,32,566
0.005450672546430724,0.0030456899689852435,0.007575738643936347,0.03959529684652807,0.003875290021824185,0.013048087159404531,0.023832303937524557,0.003167277289321646,E2,64,32,567
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001530283479951322,B1,96,32,565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013559496437665075,B1,96,32,566
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001336705608991906,B1,96,32,567
0.0,0.0,0.0,0.0,0.0040738272946327925,0.0,0.016633405350148678,0.0007652346830582246,B2,96,32,565
0.0,0.0,0.0,0.0,0.005886333296075463,0.0,0.015572382602840662,0.0009614196897018701,B2,96,32,566
0.0,0.0,0.0,0.0,0.004967519664205611,0.0,0.014282624004408717,0.000689133012201637,B2,96,32,567
0.002280754673847696,0.008175060933353961,0.017052598333975766,0.009434868465177715,0.0025713629856909392,0.00912997683917638,0.026391729013994336,0.004609680792782456,E0,96,32,565
0.008334206077051931,0.016279661028420378,0.01468641526207648,0.03268945074523799,0.0012361700646579266,0.011698186863213778,0.02658824506215751,0.003484436048893258,E0,96,32,566
