agents,better,bootstrap,component,equal,map,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,laur_force_additive_direct,0,20,0,0
100,10,"{'mean': -0.006732459480999986, 'ci_low': -0.019122260885499988, 'ci_high': 0.0051832469075000056, 'prob_mean_lt_0': 0.856, 'samples': 2000}",c_equiv_baseline,0,maze-32-32-4,-0.006732459480999986,-0.002650907899999999,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,0,20,0,10
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,repair5f_candidate_additive_ltm,0,20,0,0
100,11,"{'mean': -0.004445374100499988, 'ci_low': -0.015477637797999965, 'ci_high': 0.007378541619500012, 'prob_mean_lt_0': 0.7705, 'samples': 2000}",c_equiv_baseline,0,maze-32-32-4,-0.004445374100499988,-0.005316132784999872,repair5f_static_c100_b100_w075_d090,0,20,0,9
100,16,"{'mean': -0.024686382552499962, 'ci_low': -0.03639743722349997, 'ci_high': -0.013317767319999962, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,0,maze-32-32-4,-0.024686382552499962,-0.020886814794999875,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,20,0,4
100,14,"{'mean': -0.02828081014099997, 'ci_low': -0.04514318558299997, 'ci_high': -0.010958955480999955, 'prob_mean_lt_0': 0.999, 'samples': 2000}",flow_shield,0,maze-32-32-4,-0.02828081014099997,-0.04274271275999986,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0,20,0,6
100,15,"{'mean': -0.014310257518499968, 'ci_low': -0.02555313923799999, 'ci_high': -0.0034752250954999454, 'prob_mean_lt_0': 0.996, 'samples': 2000}",flow_shield,0,maze-32-32-4,-0.014310257518499968,-0.008303911924999907,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,20,0,5
100,15,"{'mean': -0.014310257518499968, 'ci_low': -0.02555313923799999, 'ci_high': -0.0034752250954999454, 'prob_mean_lt_0': 0.996, 'samples': 2000}",frozen_static,0,maze-32-32-4,-0.014310257518499968,-0.008303911924999907,repair5g2_best_frozen_static_candidate,0,20,0,5
100,11,"{'mean': -0.010966564753499974, 'ci_low': -0.02574349219949995, 'ci_high': 0.0020970685155000447, 'prob_mean_lt_0': 0.9515, 'samples': 2000}",c_equiv_baseline,0,maze-32-32-4,-0.010966564753499974,-0.002633477125000061,repair5g2_c_equiv_best_frozen_baseline,0,20,0,9
100,14,"{'mean': -0.02828081014099997, 'ci_low': -0.04514318558299997, 'ci_high': -0.010958955480999955, 'prob_mean_lt_0': 0.999, 'samples': 2000}",frozen_selector,0,maze-32-32-4,-0.02828081014099997,-0.04274271275999986,repair5g2_frozen_static_or_selector,0,20,0,6
100,15,"{'mean': -0.014310257518499968, 'ci_low': -0.02555313923799999, 'ci_high': -0.0034752250954999454, 'prob_mean_lt_0': 0.996, 'samples': 2000}",flow_shield,0,maze-32-32-4,-0.014310257518499968,-0.008303911924999907,repair5g2_g1_top_diagnostic_candidate,0,20,0,5
100,15,"{'mean': -0.016936664458999974, 'ci_low': -0.028808285122999967, 'ci_high': -0.0053490236249999715, 'prob_mean_lt_0': 0.999, 'samples': 2000}",synthetic,0,maze-32-32-4,-0.016936664458999974,-0.014512747615000099,repair5g2_random_candidate_diagnostic,0,20,0,5
100,14,"{'mean': -0.02505778062849996, 'ci_low': -0.04100430635499998, 'ci_high': -0.009483390674499959, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,0,maze-32-32-4,-0.02505778062849996,-0.025932624940000037,repair5g2_shuffled_flow_shield_diagnostic,0,20,0,6
100,14,"{'mean': -0.020858773471999957, 'ci_low': -0.03622786500899995, 'ci_high': -0.00647285064549995, 'prob_mean_lt_0': 0.997, 'samples': 2000}",synthetic,0,maze-32-32-4,-0.020858773471999957,-0.020144484475000057,repair5g2_shuffled_goal_progress_diagnostic,0,20,0,6
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,repair5g_dual_additive_parity,0,20,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,maze-32-32-4,0.0,0.0,repair5g_dual_c_equiv_additive,0,20,0,0
100,12,"{'mean': -0.008078715563999982, 'ci_low': -0.02137282709199998, 'ci_high': 0.005052894531000019, 'prob_mean_lt_0': 0.8695, 'samples': 2000}",c_equiv_baseline,0,maze-32-32-4,-0.008078715563999982,-0.009325562754999961,repair5g_dual_c_equiv_c100_b100_w075_d095,0,20,0,8
100,11,"{'mean': -0.010966564753499974, 'ci_low': -0.02574349219949995, 'ci_high': 0.0020970685155000447, 'prob_mean_lt_0': 0.9515, 'samples': 2000}",c_equiv_baseline,0,maze-32-32-4,-0.010966564753499974,-0.002633477125000061,repair5g_dual_c_equiv_c100_b100_w075_d100,0,20,0,9
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,always_additive_defer,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,laur_disable,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,laur_force_additive_direct,0,20,0,0
50,2,"{'mean': -0.00028850200349999077, 'ci_low': -0.003775603880499989, 'ci_high': 0.0024309536335000103, 'prob_mean_lt_0': 0.5305, 'samples': 2000}",c_equiv_baseline,14,random-32-32-20,-0.00028850200349999077,0.0,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,0,20,0,4
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,repair5f_candidate_additive_ltm,0,20,0,0
50,1,"{'mean': -0.0007464660739999851, 'ci_low': -0.008616312082999978, 'ci_high': 0.005168729486500023, 'prob_mean_lt_0': 0.5315, 'samples': 2000}",c_equiv_baseline,15,random-32-32-20,-0.0007464660739999851,0.0,repair5f_static_c100_b100_w075_d090,0,20,0,4
50,17,"{'mean': -0.028844978885649943, 'ci_low': -0.03992035786399993, 'ci_high': -0.018846041772649945, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,2,random-32-32-20,-0.028844978885649943,-0.023544189481499944,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,20,0,1
50,11,"{'mean': -0.010255256495999999, 'ci_low': -0.01653458775300002, 'ci_high': -0.004850255248499991, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,9,random-32-32-20,-0.010255256495999999,-0.0009118598749999762,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0,20,0,0
50,15,"{'mean': -0.026269361016699973, 'ci_low': -0.037795471588499954, 'ci_high': -0.01588156998909998, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,3,random-32-32-20,-0.026269361016699973,-0.02705952774000009,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,20,0,2
50,15,"{'mean': -0.026269361016699973, 'ci_low': -0.037795471588499954, 'ci_high': -0.01588156998909998, 'prob_mean_lt_0': 1.0, 'samples': 2000}",frozen_static,3,random-32-32-20,-0.026269361016699973,-0.02705952774000009,repair5g2_best_frozen_static_candidate,0,20,0,2
50,4,"{'mean': -0.001903185452999967, 'ci_low': -0.005175556344499954, 'ci_high': 0.0010555050985000536, 'prob_mean_lt_0': 0.883, 'samples': 2000}",c_equiv_baseline,14,random-32-32-20,-0.001903185452999967,0.0,repair5g2_c_equiv_best_frozen_baseline,0,20,0,2
50,15,"{'mean': -0.026269361016699973, 'ci_low': -0.037795471588499954, 'ci_high': -0.01588156998909998, 'prob_mean_lt_0': 1.0, 'samples': 2000}",frozen_selector,3,random-32-32-20,-0.026269361016699973,-0.02705952774000009,repair5g2_frozen_static_or_selector,0,20,0,2
50,15,"{'mean': -0.026269361016699973, 'ci_low': -0.037795471588499954, 'ci_high': -0.01588156998909998, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,3,random-32-32-20,-0.026269361016699973,-0.02705952774000009,repair5g2_g1_top_diagnostic_candidate,0,20,0,2
50,9,"{'mean': -0.01021484413569999, 'ci_low': -0.019284644952699985, 'ci_high': -0.003689870001499995, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,10,random-32-32-20,-0.01021484413569999,0.0,repair5g2_random_candidate_diagnostic,0,20,0,1
50,15,"{'mean': -0.02459370702764997, 'ci_low': -0.03474862853329995, 'ci_high': -0.015251576754649976, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,3,random-32-32-20,-0.02459370702764997,-0.021667221435000106,repair5g2_shuffled_flow_shield_diagnostic,0,20,0,2
50,14,"{'mean': -0.022607231964149967, 'ci_low': -0.032478379216649936, 'ci_high': -0.013204344774499954, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,3,random-32-32-20,-0.022607231964149967,-0.020217411611500036,repair5g2_shuffled_goal_progress_diagnostic,0,20,0,3
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,repair5g_dual_additive_parity,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,repair5g_dual_c_equiv_additive,0,20,0,0
50,3,"{'mean': -0.000642657318999984, 'ci_low': -0.0034197228424999505, 'ci_high': 0.0022141184645000146, 'prob_mean_lt_0': 0.676, 'samples': 2000}",c_equiv_baseline,15,random-32-32-20,-0.000642657318999984,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,0,20,0,2
50,4,"{'mean': -0.001903185452999967, 'ci_low': -0.005175556344499954, 'ci_high': 0.0010555050985000536, 'prob_mean_lt_0': 0.883, 'samples': 2000}",c_equiv_baseline,14,random-32-32-20,-0.001903185452999967,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,0,20,0,2
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,always_additive_defer,0,20,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,laur_disable,0,20,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,laur_force_additive_direct,0,20,0,0
100,8,"{'mean': -0.002048948350550006, 'ci_low': -0.011522839970550014, 'ci_high': 0.007444484900399973, 'prob_mean_lt_0': 0.6715, 'samples': 2000}",c_equiv_baseline,4,random-32-32-20,-0.002048948350550006,0.0,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,0,20,0,8
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,repair5f_candidate_additive_ltm,0,20,0,0
100,9,"{'mean': -0.008957948993799985, 'ci_low': -0.020581662241999997, 'ci_high': 0.0015855434240000133, 'prob_mean_lt_0': 0.949, 'samples': 2000}",c_equiv_baseline,4,random-32-32-20,-0.008957948993799985,0.0,repair5f_static_c100_b100_w075_d090,0,20,0,7
100,18,"{'mean': -0.04415296515894999, 'ci_low': -0.062936456253, 'ci_high': -0.028033891050449965, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,0,random-32-32-20,-0.04415296515894999,-0.037731437485000074,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,20,0,2
100,15,"{'mean': -0.025126963007650015, 'ci_low': -0.04107673824615001, 'ci_high': -0.011214093419649995, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,1,random-32-32-20,-0.025126963007650015,-0.023999532714999994,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0,20,0,4
100,19,"{'mean': -0.05907389221429998, 'ci_low': -0.07602207150829998, 'ci_high': -0.043180051397899974, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,0,random-32-32-20,-0.05907389221429998,-0.050934337150000064,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,20,0,1
100,19,"{'mean': -0.05907389221429998, 'ci_low': -0.07602207150829998, 'ci_high': -0.043180051397899974, 'prob_mean_lt_0': 1.0, 'samples': 2000}",frozen_static,0,random-32-32-20,-0.05907389221429998,-0.050934337150000064,repair5g2_best_frozen_static_candidate,0,20,0,1
100,9,"{'mean': -0.00495998907745, 'ci_low': -0.014173602360449988, 'ci_high': 0.0033099829030499794, 'prob_mean_lt_0': 0.8635, 'samples': 2000}",c_equiv_baseline,4,random-32-32-20,-0.00495998907745,0.0,repair5g2_c_equiv_best_frozen_baseline,0,20,0,7
100,18,"{'mean': -0.04415296515894999, 'ci_low': -0.062936456253, 'ci_high': -0.028033891050449965, 'prob_mean_lt_0': 1.0, 'samples': 2000}",frozen_selector,0,random-32-32-20,-0.04415296515894999,-0.037731437485000074,repair5g2_frozen_static_or_selector,0,20,0,2
100,19,"{'mean': -0.05907389221429998, 'ci_low': -0.07602207150829998, 'ci_high': -0.043180051397899974, 'prob_mean_lt_0': 1.0, 'samples': 2000}",flow_shield,0,random-32-32-20,-0.05907389221429998,-0.050934337150000064,repair5g2_g1_top_diagnostic_candidate,0,20,0,1
100,15,"{'mean': -0.03596005992814999, 'ci_low': -0.05484432800264999, 'ci_high': -0.019782298692499988, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,4,random-32-32-20,-0.03596005992814999,-0.027153602161499868,repair5g2_random_candidate_diagnostic,0,20,0,1
100,18,"{'mean': -0.05227825690829999, 'ci_low': -0.0690657835458, 'ci_high': -0.036185656323500015, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,0,random-32-32-20,-0.05227825690829999,-0.04454359094499993,repair5g2_shuffled_flow_shield_diagnostic,0,20,0,2
100,17,"{'mean': -0.04775800104479999, 'ci_low': -0.06460710732149998, 'ci_high': -0.031950172001999975, 'prob_mean_lt_0': 1.0, 'samples': 2000}",synthetic,1,random-32-32-20,-0.04775800104479999,-0.04276469427499996,repair5g2_shuffled_goal_progress_diagnostic,0,20,0,2
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,repair5g_dual_additive_parity,0,20,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,random-32-32-20,0.0,0.0,repair5g_dual_c_equiv_additive,0,20,0,0
100,8,"{'mean': -0.0009684985413500047, 'ci_low': -0.008904939659350042, 'ci_high': 0.006746327969499977, 'prob_mean_lt_0': 0.6065, 'samples': 2000}",c_equiv_baseline,6,random-32-32-20,-0.0009684985413500047,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,0,20,0,6
100,9,"{'mean': -0.00495998907745, 'ci_low': -0.014173602360449988, 'ci_high': 0.0033099829030499794, 'prob_mean_lt_0': 0.8635, 'samples': 2000}",c_equiv_baseline,4,random-32-32-20,-0.00495998907745,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,0,20,0,7
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,warehouse-10-20-10-2-1,0.0,0.0,always_additive_defer,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,warehouse-10-20-10-2-1,0.0,0.0,laur_disable,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,warehouse-10-20-10-2-1,0.0,0.0,laur_force_additive_direct,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",c_equiv_baseline,20,warehouse-10-20-10-2-1,0.0,0.0,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,warehouse-10-20-10-2-1,0.0,0.0,repair5f_candidate_additive_ltm,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",c_equiv_baseline,20,warehouse-10-20-10-2-1,0.0,0.0,repair5f_static_c100_b100_w075_d090,0,20,0,0
50,0,"{'mean': 0.001364615752999998, 'ci_low': 0.0, 'ci_high': 0.0040938472589999945, 'prob_mean_lt_0': 0.0, 'samples': 2000}",flow_shield,19,warehouse-10-20-10-2-1,0.001364615752999998,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,1,20,0,1
50,0,"{'mean': 0.001364615752999998, 'ci_low': 0.0, 'ci_high': 0.0040938472589999945, 'prob_mean_lt_0': 0.0, 'samples': 2000}",flow_shield,19,warehouse-10-20-10-2-1,0.001364615752999998,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,1,20,0,1
50,0,"{'mean': 0.001364615752999998, 'ci_low': 0.0, 'ci_high': 0.0040938472589999945, 'prob_mean_lt_0': 0.0, 'samples': 2000}",flow_shield,19,warehouse-10-20-10-2-1,0.001364615752999998,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,1,20,0,1
50,0,"{'mean': 0.001364615752999998, 'ci_low': 0.0, 'ci_high': 0.0040938472589999945, 'prob_mean_lt_0': 0.0, 'samples': 2000}",frozen_static,19,warehouse-10-20-10-2-1,0.001364615752999998,0.0,repair5g2_best_frozen_static_candidate,1,20,0,1
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",c_equiv_baseline,20,warehouse-10-20-10-2-1,0.0,0.0,repair5g2_c_equiv_best_frozen_baseline,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",frozen_selector,20,warehouse-10-20-10-2-1,0.0,0.0,repair5g2_frozen_static_or_selector,0,20,0,0
50,0,"{'mean': 0.001364615752999998, 'ci_low': 0.0, 'ci_high': 0.0040938472589999945, 'prob_mean_lt_0': 0.0, 'samples': 2000}",flow_shield,19,warehouse-10-20-10-2-1,0.001364615752999998,0.0,repair5g2_g1_top_diagnostic_candidate,1,20,0,1
50,0,"{'mean': 0.001364615752999998, 'ci_low': 0.0, 'ci_high': 0.0040938472589999945, 'prob_mean_lt_0': 0.0, 'samples': 2000}",synthetic,19,warehouse-10-20-10-2-1,0.001364615752999998,0.0,repair5g2_random_candidate_diagnostic,1,20,0,1
50,0,"{'mean': 0.001364615752999998, 'ci_low': 0.0, 'ci_high': 0.0040938472589999945, 'prob_mean_lt_0': 0.0, 'samples': 2000}",synthetic,19,warehouse-10-20-10-2-1,0.001364615752999998,0.0,repair5g2_shuffled_flow_shield_diagnostic,1,20,0,1
50,0,"{'mean': 0.001364615752999998, 'ci_low': 0.0, 'ci_high': 0.0040938472589999945, 'prob_mean_lt_0': 0.0, 'samples': 2000}",synthetic,19,warehouse-10-20-10-2-1,0.001364615752999998,0.0,repair5g2_shuffled_goal_progress_diagnostic,1,20,0,1
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,warehouse-10-20-10-2-1,0.0,0.0,repair5g_dual_additive_parity,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,warehouse-10-20-10-2-1,0.0,0.0,repair5g_dual_c_equiv_additive,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",c_equiv_baseline,20,warehouse-10-20-10-2-1,0.0,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,0,20,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",c_equiv_baseline,20,warehouse-10-20-10-2-1,0.0,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,0,20,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",control,20,warehouse-10-20-10-2-1,0.0,0.0,always_additive_defer,0,20,0,0
