normalized_context_key,map,agents,seed,candidate_family,family_candidate_count,family_contains_new_candidate_beating_old14,family_contains_candidate_induced_failure,family_contains_static_recovery,family_best_finite_delta_vs_old14,map_agent_group,map_family,feature_map_agents,feature_map_log_agents,feature_map_iteration,feature_map_trace_event_count,feature_map_trace_events_per_agent,feature_map_trace_events_log,feature_map_family_empty,feature_map_family_maze,feature_map_family_random,feature_map_family_room,feature_map_family_warehouse,feature_map_family_other,feature_rich_committed_count,feature_rich_blocked_count,feature_rich_wait_event_count,feature_rich_progress_committed_count,feature_rich_nonprogress_committed_count,feature_rich_blocked_per_committed,feature_rich_wait_per_committed,feature_rich_blocked_per_agent,feature_rich_committed_per_agent,feature_rich_progress_ratio,feature_rich_c_update_count,feature_rich_f_update_count,feature_rich_c_nonzero_edges,feature_rich_f_nonzero_edges,feature_rich_c_flow_update_ratio,feature_rich_cost_min,feature_rich_cost_max,feature_rich_cost_span,rich_context_feature_present,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,flow_decay,5,False,False,False,0.0,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,flow_shield,1,False,False,False,0.0460841098,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,high_beta,12,False,False,False,0.04230672375,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,static,2,False,False,False,0.04054394359,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,static_boundary_c_only,1,False,False,False,0.14958448753,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,maze-32-32-4,100,150,wait_conservative,7,False,False,False,0.02039788466,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,13167.0,131.67,9.485544922917,0.0,1.0,0.0,0.0,0.0,0.0,10800.0,1605.0,762.0,5041.0,5759.0,0.148611111111,0.070555555556,16.05,108.0,0.466759259259,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383,maze-32-32-4,100,151,additive,1,False,False,False,0.13430173293,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,12013.0,120.13,9.39382791541,0.0,1.0,0.0,0.0,0.0,0.0,9800.0,1532.0,681.0,4983.0,4817.0,0.156326530612,0.069489795918,15.32,98.0,0.508469387755,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383,maze-32-32-4,100,151,block_heavy,8,False,False,False,0.02803261978,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,12013.0,120.13,9.39382791541,0.0,1.0,0.0,0.0,0.0,0.0,9800.0,1532.0,681.0,4983.0,4817.0,0.156326530612,0.069489795918,15.32,98.0,0.508469387755,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383,maze-32-32-4,100,151,commit_heavy,1,False,False,False,0.02293577982,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,12013.0,120.13,9.39382791541,0.0,1.0,0.0,0.0,0.0,0.0,9800.0,1532.0,681.0,4983.0,4817.0,0.156326530612,0.069489795918,15.32,98.0,0.508469387755,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383,maze-32-32-4,100,151,flow_decay,5,False,False,False,0.06574923548,maze-32-32-4|a100,maze,100.0,4.615120516841,0.0,12013.0,120.13,9.39382791541,0.0,1.0,0.0,0.0,0.0,0.0,9800.0,1532.0,681.0,4983.0,4817.0,0.156326530612,0.069489795918,15.32,98.0,0.508469387755,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,True,False,False,False,False,False
