pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_rows_existing,success_regression_count_existing,quality_delta_existing,support_strata_existing
g554_pool_748877959108,g553_zero_regression_low_support,repair5g549_theta_549001013,1.47800404399,0.372775854448,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,0.774100951798,0.95,1,1,1.28808492383,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.000335945738261,4
g554_pool_554149952740,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001013_t035,0.517301415397,0.94936525127,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.270935333129,0.95,1,1,0.45082972334,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.000335945738261,
g554_pool_936487641394,g553_zero_regression_low_support,repair5g549_theta_549000763,0.676399647201,0.790267019466,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,0.671962406075,0.95,1,1,0.208244583511,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.000737571884545,4
g554_pool_780098307522,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000763_t035,0.23673987652,1.22992679015,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.235186842126,0.95,1,1,0.0728856042289,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.000737571884545,
g554_pool_772475186913,g553_zero_regression_low_support,repair5g549_theta_549000927,1.42124187418,0.948227886878,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.254760490479,0.668947562105,0.684103631793,1,11,1,0,0,False,False,False,False,False,29,0,0.000936131068947,4
g554_pool_771833228502,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549000927_t035,0.497434655964,1.28521309374,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.0891661716676,0.461631646737,0.726936271128,1,11,1,0,0,False,False,False,False,False,29,0,0.000936131068947,
g554_pool_275120566573,g553_zero_regression_low_support,repair5g549_theta_549001122,1.21303317393,0.321691356615,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.03402893194,0.568506362987,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.001346476617,4
g554_pool_906123531551,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001122_t035,0.424561610877,1.06592530815,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1.01191012618,0.198977227045,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.001346476617,
g554_pool_692950315971,g553_zero_regression_low_support,repair5g549_theta_549001143,0.396807206386,1.06985946028,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,0.0857735784528,0.95,1,1,0.492282515435,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00150058737905,4
g554_pool_665271382982,g553_zero_regression_low_support_shrinkage_to_hand,repair5g549_theta_549001143_t035,0.138882522235,1.32778414443,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.25,1.25,0.75,0.75,1,0.0300207524585,0.95,1,1,0.172298880402,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00150058737905,
g554_pool_168231035978,g553_zero_regression_low_support,repair5g549_theta_549000793,1.47152205696,0.025699348604,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.25,1.25,0.75,0.75,1,1.01909671181,0.95,1,1,0.984367031266,0.35,0.75,1,11,1,0,0,False,False,False,False,False,29,0,0.00180997805818,4
