g561_evaluation_uid,g561_instance_uid,generated_theta_uid,materialization_class,actor_theta_recognized,actual_fingerprint_match,force_additive,enable_dual_channel,goal_projection_mode,scenario_hash_exact,baseline_paired_by_evaluation_uid,quality_delta_vs_g556,success_regression
538e08294c677e1942a8a15b5bdadb906aa54eb0fe8c662cbe4be75517b88f34,c5176808fcdb8756cdac04b25510bab931c685351b6f589ebe05bc0e7cfbe22e,9d5fb8a0d1a3d5b4da5b271ce4eb2927586a780aa767ee1680edc940db48d808,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
a0f54c165c8b1dba050038907f1e6071a952e013f469617d6cbcb4341365339e,7a0c46de99ca68de9baa1fd0ba71267f292806c9fe6d22d3e128f23edf54b3d2,f6ebae5e7089fd805cf34beb27569133c64c53b4a7e66d247bacb14253a67b16,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
6cb34ec8e79da4fe4c2f26b97e5a48481b95765138d261d6bf6d6e19b9212ba9,f02b9e2a2779234a10b313663dd07e1883320bc2bb90fa9cae1a6ab5eb1addc9,49d87875d735eb602dd78eb3b507e58e9945670b65c6a22d22cba6c0b0f4e570,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
2e68e0f6394d22a416c64f628cf3eadb7784a7f0e125030945e5ae39a778745c,33cadb3943b577e5fe3988424637062959072b2425fdab3cf9fb7d1aced3f07d,2b002466919764f7cdf77f98c0ae9c9d8cb77d0bb42b9d63280ddc0e46ad940e,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
2757519178522689bfee5808df279576065e549bd4e1e713105d74aa8e947375,327f9812d11b458c8d4033a3d91789be7d810f1ee329c0f0626e468e94477ba0,9c7077044e1e07b4e073621ddb25673c7db8b4fb0abec46f30c604b66f7b2a43,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
3bb5d48a836a4f775a57e1373afebdf41d1ca2e5bf4ebc47165234d749c04462,9e6416c7e818ad49b4260c38acead105ad7064c795c022718cfbb6cf83873bcb,a417c833919e2277ffd702ec13d6bc2d79193c41a6d6111286c03e0cca6e3233,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
3667855e9c325f90d986f7606a9a736c7f5e5ea4ecfc8d69565250ae5113e785,a9dcc9a405519c4a09db7b06bf9d2f986a90bab9a990122c22fe839addc6958f,9d46f4fc885e63f1b0e6c336ce0d78cbf6f63819af7e3b6779e2e75eedb8310b,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
316dfd1f4f275993e34f82d8c4fa497423797702e25638cad4ea37f1457f18eb,e889dba641fac85b1012dcdc85b89bc2ebc505e203b69faacf044d491a3f1b2d,0142fe0e3134b2fc397a3aba237a4e1eaf2c9900742f2ef6337e114acaf97e32,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
833dfc381d1556845814684037bdfaa541234d8873d019339bf3e45434f9f345,d115eb386d67a619cb88acc46b097a72ac916c2e8145752d8b048b9c0586cf96,f1622ddc414b34ca22fee975e2c41826bd78a6c53ef7d556132395146032030e,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
3ae2824745bce690b48b3b1279fafd374ad5297dab524bc967be53be61527310,6bb331e257a43ab598f782fe5ee0249e4248ab438a99e018405c1db5d69e66bd,af6cacca0993e25b0e52417a937cb2a65b55a6b0004d9a05a8c297dac9cc56ac,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
94ee64916957dcedbfadb32f1fbc00ce2e5af034589204f6063c4cd82276dd32,1b2a8c6ca2019ac39ad3d24247ac5f2ae5a4698e6fa84d6805296ecb07fd8f70,9d6a8299eff167b63d88257b37fe6c5e126c846f97305c176a17b3417c1aa430,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
553aca53e83f15267f32a776600b323eff31d19f8ebe84203da96e9945fc6dce,2b78d757b74bbfdd91ef2cfc5ea605d4865d0a294bc7a55790bb0bb33e37b429,596ecfaa116948fe1af0402ec0d24c0fa2667e1fdb2189830f36d9554b0d79b4,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
9fecab3f8ff8dad862bac8827796b714fcbc7528b7bfa643645b95ff53d515cf,4459345587040977ed02108424999d36c885783884cf2944b5e396bd6ea7308c,a39b2a40aba51f41215b34f2ad93d961f90ce576220d67e86587f46275e0ec82,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
69e93ebb474cf90bca3131fd5e5a5f1865d339a0d10e3e823da2fcf47f606ca8,7dcbb33f8ae91bdc74685793c886444d5c4be8a143855b70a856b57935b0e19e,6ea3a7bb911710c5bb138469773044d45454a7358f0c523248df9a2cc0a0ee50,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
3ed87235f6139ce770d71512dc4afcb74a7914050493937189e71394564c73db,1d19d309fbee12cd21c0a38722072b8674bdda4ed25da021f10fc402291a88c9,a3479d9ed2471d7e71cd217d2209921e36d3dbfee7d10caaab4c642933453e78,fallback_additive_executed,False,False,1,0,none,False,True,nan,True
