row_type,policy,risk_bucket_low,risk_bucket_high,contexts,mean_predicted_avoidable_risk,actual_avoidable_risk_rate,ece_abs_error
avoidable_risk_calibration_bucket,source_blind_ablation,0.05,0.1,7,0.08391612998314286,0.0,0.08391612998314286
avoidable_risk_calibration_bucket,source_blind_ablation,0.1,0.2,3,0.12370421841333333,0.0,0.12370421841333333
avoidable_risk_calibration_bucket,source_blind_ablation,0.2,0.5,2,0.469508915568,0.0,0.469508915568
avoidable_risk_calibration_bucket,source_blind_ablation,0.5,1.01,1,0.63186340407,0.0,0.63186340407
avoidable_risk_calibration_bucket,static_flow_shield,0.0,0.05,8,0.00355816309225,0.0,0.00355816309225
avoidable_risk_calibration_bucket,static_flow_shield,0.05,0.1,7,0.08419024813657142,0.0,0.08419024813657142
avoidable_risk_calibration_bucket,static_flow_shield,0.1,0.2,3,0.12394251574,0.0,0.12394251574
avoidable_risk_calibration_bucket,static_flow_shield,0.2,0.5,2,0.4698475569695,0.0,0.4698475569695
avoidable_risk_calibration_bucket,static_flow_shield,0.5,1.01,1,0.631947118663,0.0,0.631947118663
avoidable_risk_calibration_bucket,static_recovery_selector,0.0,0.05,8,0.00355816309225,0.0,0.00355816309225
avoidable_risk_calibration_bucket,static_recovery_selector,0.05,0.1,7,0.08419024813657142,0.0,0.08419024813657142
avoidable_risk_calibration_bucket,static_recovery_selector,0.1,0.2,3,0.12394251574,0.0,0.12394251574
avoidable_risk_calibration_bucket,static_recovery_selector,0.2,0.5,2,0.4698475569695,0.0,0.4698475569695
avoidable_risk_calibration_bucket,static_recovery_selector,0.5,1.01,1,0.631947118663,0.0,0.631947118663
avoidable_risk_calibration_bucket,train_only_family_prior,0.0,0.05,1,0.035814226554,1.0,0.964185773446
avoidable_risk_calibration_bucket,train_only_family_prior,0.05,0.1,0,inf,inf,
avoidable_risk_calibration_bucket,train_only_family_prior,0.1,0.2,3,0.15166254018033334,1.0,0.8483374598196667
avoidable_risk_calibration_bucket,train_only_family_prior,0.2,0.5,13,0.38219289679153856,0.46153846153846156,0.079345564746923
avoidable_risk_calibration_bucket,train_only_family_prior,0.5,1.01,4,0.8108348549275001,0.25,0.5608348549275001
avoidable_risk_calibration_bucket,train_only_map_agent_prior,0.0,0.05,1,0.0,0.0,0.0
avoidable_risk_calibration_bucket,train_only_map_agent_prior,0.05,0.1,0,inf,inf,
avoidable_risk_calibration_bucket,train_only_map_agent_prior,0.1,0.2,1,0.133392881205,1.0,0.866607118795
avoidable_risk_calibration_bucket,train_only_map_agent_prior,0.2,0.5,9,0.37301173612888894,0.6666666666666666,0.2936549305377777
avoidable_risk_calibration_bucket,train_only_map_agent_prior,0.5,1.01,10,0.6489603100800999,0.3,0.3489603100800999
