better,bootstrap,equal,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,time_budget_sec,worse
0,"{'mean': 0.00012526470672083456, 'ci_low': 1.4697236916667393e-05, 'ci_high': 0.0002771218454958359, 'prob_mean_lt_0': 0.0, 'samples': 2000}",236,0.00012526470672083456,0.0,repair5g_dual_c_equiv_additive,2,360,0,1.0,4
27,"{'mean': -0.0006928422825916677, 'ci_low': -0.002243646812341667, 'ci_high': 0.0006257756968749972, 'prob_mean_lt_0': 0.834, 'samples': 2000}",192,-0.0006928422825916677,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,0,360,0,1.0,21
24,"{'mean': -0.00016916273545416655, 'ci_low': -0.0014434019797749961, 'ci_high': 0.0010245534613916663, 'prob_mean_lt_0': 0.5925, 'samples': 2000}",195,-0.00016916273545416655,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,1,360,0,1.0,21
2,"{'mean': -5.064723813888943e-05, 'ci_low': -0.0001519417144166683, 'ci_high': 0.0, 'prob_mean_lt_0': 0.8655, 'samples': 2000}",358,-5.064723813888943e-05,0.0,always_additive_defer,0,360,0,3.0,0
4,"{'mean': -0.0001525990293333347, 'ci_low': -0.0005592074047500019, 'ci_high': 9.145637158333164e-05, 'prob_mean_lt_0': 0.844, 'samples': 2000}",354,-0.0001525990293333347,0.0,laur_disable,0,360,0,3.0,2
4,"{'mean': -0.00013786701935933305, 'ci_low': -0.0005466618307520918, 'ci_high': 0.0001689454474930337, 'prob_mean_lt_0': 0.763, 'samples': 2000}",352,-0.00013786701935933305,0.0,laur_force_additive_direct,0,360,0,3.0,4
5,"{'mean': -0.00020164863547222293, 'ci_low': -0.0006263061806111136, 'ci_high': 4.678983516666624e-05, 'prob_mean_lt_0': 0.9195, 'samples': 2000}",354,-0.00020164863547222293,0.0,repair5f_candidate_additive_ltm,0,360,0,3.0,1
168,"{'mean': -0.012724126133731096, 'ci_low': -0.015562377613630258, 'ci_high': -0.010027472155406166, 'prob_mean_lt_0': 1.0, 'samples': 2000}",137,-0.012724126133731096,0.0,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,1,360,0,3.0,55
112,"{'mean': -0.0057074729558746545, 'ci_low': -0.007734156602144845, 'ci_high': -0.003792135532704738, 'prob_mean_lt_0': 1.0, 'samples': 2000}",180,-0.0057074729558746545,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,1,360,0,3.0,68
158,"{'mean': -0.011614889913259785, 'ci_low': -0.014447485023527946, 'ci_high': -0.00897643340531286, 'prob_mean_lt_0': 1.0, 'samples': 2000}",142,-0.011614889913259785,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,1,360,0,3.0,60
158,"{'mean': -0.011614889913259785, 'ci_low': -0.014447485023527946, 'ci_high': -0.00897643340531286, 'prob_mean_lt_0': 1.0, 'samples': 2000}",142,-0.011614889913259785,0.0,repair5g2_best_frozen_static_candidate,1,360,0,3.0,60
64,"{'mean': 0.0005110884482361111, 'ci_low': -0.000864688578024999, 'ci_high': 0.0019037146832638885, 'prob_mean_lt_0': 0.2485, 'samples': 2000}",229,0.0005110884482361111,0.0,repair5g2_c_equiv_best_frozen_baseline,2,360,0,3.0,67
161,"{'mean': -0.013028355114361349, 'ci_low': -0.01553000486293838, 'ci_high': -0.010715811291019612, 'prob_mean_lt_0': 1.0, 'samples': 2000}",162,-0.013028355114361349,0.0,repair5g2_frozen_static_or_selector,0,360,0,3.0,37
158,"{'mean': -0.011614889913259785, 'ci_low': -0.014447485023527946, 'ci_high': -0.00897643340531286, 'prob_mean_lt_0': 1.0, 'samples': 2000}",142,-0.011614889913259785,0.0,repair5g2_g1_top_diagnostic_candidate,1,360,0,3.0,60
155,"{'mean': -0.010559682114355746, 'ci_low': -0.013158904643585437, 'ci_high': -0.008081368388375351, 'prob_mean_lt_0': 1.0, 'samples': 2000}",145,-0.010559682114355746,0.0,repair5g4_random_flow_shield_diagnostic_seed0,1,360,0,3.0,60
161,"{'mean': -0.012193015324798887, 'ci_low': -0.015085763962469278, 'ci_high': -0.009555520994254194, 'prob_mean_lt_0': 1.0, 'samples': 2000}",142,-0.012193015324798887,0.0,repair5g4_shuffled_flow_shield_diagnostic_seed0,1,360,0,3.0,57
4,"{'mean': -0.00013786701935933305, 'ci_low': -0.0005466618307520918, 'ci_high': 0.0001689454474930337, 'prob_mean_lt_0': 0.763, 'samples': 2000}",352,-0.00013786701935933305,0.0,repair5g_dual_additive_parity,0,360,0,3.0,4
3,"{'mean': 0.0002417886640616238, 'ci_low': -0.00025224797299720027, 'ci_high': 0.000776781620420166, 'prob_mean_lt_0': 0.163, 'samples': 2000}",342,0.0002417886640616238,0.0,repair5g_dual_c_equiv_additive,2,360,0,3.0,15
66,"{'mean': 0.0002847588333426183, 'ci_low': -0.0010454583082534843, 'ci_high': 0.001542111982128135, 'prob_mean_lt_0': 0.344, 'samples': 2000}",226,0.0002847588333426183,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,1,360,0,3.0,68
64,"{'mean': 0.0005110884482361111, 'ci_low': -0.000864688578024999, 'ci_high': 0.0019037146832638885, 'prob_mean_lt_0': 0.2485, 'samples': 2000}",229,0.0005110884482361111,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,2,360,0,3.0,67
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,always_additive_defer,0,360,0,5.0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,laur_disable,0,360,0,5.0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,laur_force_additive_direct,0,360,0,5.0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,repair5f_candidate_additive_ltm,0,360,0,5.0,0
187,"{'mean': -0.013905728792616671, 'ci_low': -0.016725413921030562, 'ci_high': -0.011222738293850005, 'prob_mean_lt_0': 1.0, 'samples': 2000}",125,-0.013905728792616671,-0.0018505667299999473,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,360,0,5.0,48
131,"{'mean': -0.007080244192552782, 'ci_low': -0.009147707087930558, 'ci_high': -0.005131047831550004, 'prob_mean_lt_0': 1.0, 'samples': 2000}",174,-0.007080244192552782,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,1,360,0,5.0,55
180,"{'mean': -0.013022692014130564, 'ci_low': -0.015939946502680564, 'ci_high': -0.010420666328569453, 'prob_mean_lt_0': 1.0, 'samples': 2000}",134,-0.013022692014130564,-0.000227998174999966,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,360,0,5.0,46
180,"{'mean': -0.013022692014130564, 'ci_low': -0.015939946502680564, 'ci_high': -0.010420666328569453, 'prob_mean_lt_0': 1.0, 'samples': 2000}",134,-0.013022692014130564,-0.000227998174999966,repair5g2_best_frozen_static_candidate,0,360,0,5.0,46
63,"{'mean': 0.0002957150619861117, 'ci_low': -0.0009490999460055531, 'ci_high': 0.0015618216914194463, 'prob_mean_lt_0': 0.334, 'samples': 2000}",233,0.0002957150619861117,0.0,repair5g2_c_equiv_best_frozen_baseline,2,360,0,5.0,64
162,"{'mean': -0.013141500578102781, 'ci_low': -0.015716704154116676, 'ci_high': -0.010733324190411118, 'prob_mean_lt_0': 1.0, 'samples': 2000}",169,-0.013141500578102781,0.0,repair5g2_frozen_static_or_selector,0,360,0,5.0,29
180,"{'mean': -0.013022692014130564, 'ci_low': -0.015939946502680564, 'ci_high': -0.010420666328569453, 'prob_mean_lt_0': 1.0, 'samples': 2000}",134,-0.013022692014130564,-0.000227998174999966,repair5g2_g1_top_diagnostic_candidate,0,360,0,5.0,46
172,"{'mean': -0.011884205076900006, 'ci_low': -0.014485346419830566, 'ci_high': -0.009343006725216672, 'prob_mean_lt_0': 1.0, 'samples': 2000}",139,-0.011884205076900006,0.0,repair5g4_random_flow_shield_diagnostic_seed0,0,360,0,5.0,49
180,"{'mean': -0.013702566962050005, 'ci_low': -0.01653546944039167, 'ci_high': -0.011108147552738886, 'prob_mean_lt_0': 1.0, 'samples': 2000}",135,-0.013702566962050005,-0.000227998174999966,repair5g4_shuffled_flow_shield_diagnostic_seed0,0,360,0,5.0,45
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,repair5g_dual_additive_parity,0,360,0,5.0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,repair5g_dual_c_equiv_additive,0,360,0,5.0,0
67,"{'mean': 0.00014118001938888866, 'ci_low': -0.0011463766282833324, 'ci_high': 0.0013243187873138837, 'prob_mean_lt_0': 0.4335, 'samples': 2000}",231,0.00014118001938888866,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,2,360,0,5.0,62
63,"{'mean': 0.0002957150619861117, 'ci_low': -0.0009490999460055531, 'ci_high': 0.0015618216914194463, 'prob_mean_lt_0': 0.334, 'samples': 2000}",233,0.0002957150619861117,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,2,360,0,5.0,64
1,"{'mean': -8.14947326666667e-05, 'ci_low': -0.0002444841980000001, 'ci_high': 0.0, 'prob_mean_lt_0': 0.635, 'samples': 2000}",359,-8.14947326666667e-05,0.0,always_additive_defer,0,360,0,10.0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,laur_disable,0,360,0,10.0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,laur_force_additive_direct,0,360,0,10.0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,repair5f_candidate_additive_ltm,0,360,0,10.0,0
207,"{'mean': -0.014735792860533335, 'ci_low': -0.01766222327795556, 'ci_high': -0.012163393032116668, 'prob_mean_lt_0': 1.0, 'samples': 2000}",101,-0.014735792860533335,-0.005737158099999862,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,1,360,0,10.0,52
143,"{'mean': -0.007373746938775003, 'ci_low': -0.00942612128048056, 'ci_high': -0.005414643778694445, 'prob_mean_lt_0': 1.0, 'samples': 2000}",161,-0.007373746938775003,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,1,360,0,10.0,56
201,"{'mean': -0.014430485592325008, 'ci_low': -0.017424149123016673, 'ci_high': -0.011759252508308341, 'prob_mean_lt_0': 1.0, 'samples': 2000}",112,-0.014430485592325008,-0.007518903095000029,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,360,0,10.0,47
201,"{'mean': -0.014430485592325008, 'ci_low': -0.017424149123016673, 'ci_high': -0.011759252508308341, 'prob_mean_lt_0': 1.0, 'samples': 2000}",112,-0.014430485592325008,-0.007518903095000029,repair5g2_best_frozen_static_candidate,0,360,0,10.0,47
64,"{'mean': 0.00029366906804166777, 'ci_low': -0.0009518315532722181, 'ci_high': 0.0015618216914194463, 'prob_mean_lt_0': 0.335, 'samples': 2000}",232,0.00029366906804166777,0.0,repair5g2_c_equiv_best_frozen_baseline,2,360,0,10.0,64
164,"{'mean': -0.01320333606574167, 'ci_low': -0.015813595775613892, 'ci_high': -0.01076631111626945, 'prob_mean_lt_0': 1.0, 'samples': 2000}",168,-0.01320333606574167,0.0,repair5g2_frozen_static_or_selector,0,360,0,10.0,28
201,"{'mean': -0.014430485592325008, 'ci_low': -0.017424149123016673, 'ci_high': -0.011759252508308341, 'prob_mean_lt_0': 1.0, 'samples': 2000}",112,-0.014430485592325008,-0.007518903095000029,repair5g2_g1_top_diagnostic_candidate,0,360,0,10.0,47
185,"{'mean': -0.012786140469341671, 'ci_low': -0.01540750883264445, 'ci_high': -0.010247608543844447, 'prob_mean_lt_0': 1.0, 'samples': 2000}",124,-0.012786140469341671,-0.0019230769200000442,repair5g4_random_flow_shield_diagnostic_seed0,0,360,0,10.0,51
202,"{'mean': -0.014806596850188892, 'ci_low': -0.01768044586469167, 'ci_high': -0.012129744215058334, 'prob_mean_lt_0': 1.0, 'samples': 2000}",112,-0.014806596850188892,-0.007002897799999963,repair5g4_shuffled_flow_shield_diagnostic_seed0,1,360,0,10.0,46
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,repair5g_dual_additive_parity,0,360,0,10.0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",360,0.0,0.0,repair5g_dual_c_equiv_additive,0,360,0,10.0,0
68,"{'mean': 7.745768016666611e-05, 'ci_low': -0.0011879233937527795, 'ci_high': 0.0012577231575472236, 'prob_mean_lt_0': 0.4665, 'samples': 2000}",230,7.745768016666611e-05,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,1,360,0,10.0,62
64,"{'mean': 0.00029366906804166777, 'ci_low': -0.0009518315532722181, 'ci_high': 0.0015618216914194463, 'prob_mean_lt_0': 0.335, 'samples': 2000}",232,0.00029366906804166777,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,2,360,0,10.0,64
