topology_id,map,map_family,source_map_family,topology_variant,generated_qd_diagnostic,width,height,free_cells,free_cell_ratio,obstacle_rate_proxy,heldout_topology,topology_split,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,map_source,free_cell_count,directed_edge_count,physical_map_sha256,free_cell_bitmap_sha256,adjacency_sha256,hash_source
g557_topology_010_maze,maze-128-128-10,maze,maze,0,False,128,128,9830,0.599975585938,0.4,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,9830,25174,73b22e1e9617d5c7c68120f9cf663d36be216fefb90096dba43b84a4528305ea,efd8878a5253180c8131c02acf46f7f4b3da94d15a432aaeb645e91376e7d914,0c1becaad58b39e4e78805e2cbd2aece63c2c982f632157fecc92c1fcf6a84e0,synthetic_reconstruction
g557_topology_011_room,room-32-32-4,room,room,0,False,32,32,839,0.8193359375,0.18,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,839,2718,2c9202efdef6c68352f7f3e59a389533c1973e14bb365f2d56d57322549a4632,b61f69906636daf81ad527db3f1f92e283fa577a19052f8b4bd70505b4ac0f94,14070686f583adde2a32508026d5c933aa7a6f3de52e51010814376abd337086,synthetic_reconstruction
g557_topology_012_room,room-64-64-8,room,room,0,False,64,64,3358,0.81982421875,0.18,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,3358,11000,d4858cfc7e4326f4e4b3841694b690fb726deb81663ea3c624a36453ff6b0641,8b6d17667f99bf47b74d2bdaad2c101eb5f49d7d1e4ff6e4ec0ef5bfd754330a,d110f12aab8826cdbe120a24d93a60ccb4d183aa2af7f71d1c9f928ae4eca311,synthetic_reconstruction
g557_topology_013_room,room-64-64-16,room,room,0,False,64,64,3276,0.7998046875,0.2,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,3276,10480,c1d6c194bf4d74de50b169dbdafac14362eab3584872431a04db19583a4c63fa,7a903b2dd3f4b71a2ed220e33ad247600eaf9354d1b424863c685ba950720e88,7617ec5788d839d242adfec1ec6a38725b4ffb936f3af8fb17631c33a0e7c476,synthetic_reconstruction
g557_topology_014_warehouse,warehouse-10-20-10-2-1,warehouse,warehouse,0,False,170,84,9996,0.7,0.3,True,heldout_topology,False,False,False,False,False,synthetic_reconstruction,9996,33134,c8661672d957bb925863696929878838dc0bad0443d70fedd7939e0669b542d9,e5494a628d77cad6b25b080b11160de27869a73295d7b4864c70db433b44e1ba,3fd1202ac5cfb0ca8b32598b038c0939f8233572a70a307414e3505e18a2a28d,synthetic_reconstruction
g557_topology_015_warehouse,warehouse-10-20-10-2-2,warehouse,warehouse,0,False,170,84,9996,0.7,0.3,False,train_topology,False,False,False,False,False,synthetic_reconstruction,9996,33130,0527fc357b637dd293bf4aa6ebe18781fce82a455712ba1b933a268ac892cafa,c3b86a02deabc152ae7d464488758099cced3857ad6cfb26437ebbfeec001d89,feaa4fffabb0e5643316b37c47c8a33f28c151142f70cfdc4075fceceffe20c7,synthetic_reconstruction
g557_topology_016_warehouse,warehouse-20-40-10-2-1,warehouse,warehouse,0,False,340,164,37916,0.679985652798,0.32,False,train_topology,False,False,False,False,False,synthetic_reconstruction,37916,126380,164231cab219c34dec29adb7969a845232cf583a14c878d2a047520ea16f8c6a,c4e2409236faed18556209dd163f9cab15175dcb7399717ab8c24fc33746b367,d051110500f5cc017b14a2a60fd4c3d2acd9c5df649737117dd61b2cbe1411cd,synthetic_reconstruction
g557_topology_017_warehouse,warehouse-20-40-10-2-2,warehouse,warehouse,0,False,340,164,37916,0.679985652798,0.32,False,train_topology,False,False,False,False,False,synthetic_reconstruction,37916,126536,c6867b1e9881cf9e4d638a2e4d56f73d5acb3852c7a0f47c11a6344daff64956,1982d3ea56f733426de5e6eeed9d83242234b324f2b83edfb32a56190eaaf223,dc94413d60b849da88b760d1fa369ac1ebf4306286ff0892309a0ee78835f613,synthetic_reconstruction
g557_topology_018_bottleneck,connector,bottleneck,bottleneck,0,False,64,64,2662,0.64990234375,0.35,False,train_topology,False,False,False,False,False,synthetic_reconstruction,2662,7198,7ac50f8f28bf8efa3fda455c8bf6220756d4f763f17efbeffd89687b84bd8bc3,65db455866d16da3492a53e5276f0d1bb3f649657b3f6f87737f91421c244547,290557f38434bdbdfaa1a68d2717526062eb575715f3c728894d3891133d86d5,synthetic_reconstruction
g557_topology_019_bottleneck,corners,bottleneck,bottleneck,0,False,64,64,2662,0.64990234375,0.35,False,train_topology,False,False,False,False,False,synthetic_reconstruction,2662,7166,ce6ed3070d7f997fe69685e8599bd8a8880ce8b3a701efca3a9f885eb5c51560,5013ba0d0749c7ac847705fb516ab20a5fc9cad1b7a38e48bfc7fde33b9f2e2d,05c5e1adb6b911b4e04f27c5b4b2dffb7dab1123cbd6db3305bdafa7bcc8f5ec,synthetic_reconstruction
g557_topology_020_bottleneck,tunnel,bottleneck,bottleneck,0,False,64,64,2539,0.619873046875,0.38,False,train_topology,False,False,False,False,False,synthetic_reconstruction,2539,6644,20f5371ffb085c2c6be948b305e94e92e043af1c68fdb9ebc5566ed2351f7058,de7bbc2e579539dee838c9be97804b9a99f4707914300699c299a7dce3d0a80f,0ca5249e219f3e845ad751c250f0ab59e4cb52df2dcf4327b8c6dea60a786bd8,synthetic_reconstruction
g557_topology_021_bottleneck,loop-chain,bottleneck,bottleneck,0,False,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3072,9256,cb0c6e3b314126bda15d81a3023764f35acaad4528f1594a4eaa6d97272bfee0,0cc2b2659c2d5291f31951e433eb7c13d1bbbf303beb18c3657f7beb42377d7d,2eb8ba42fee48b73405804727794cb43ab1e456300792557740c8153a89af183,synthetic_reconstruction
g557_topology_022_bottleneck,string,bottleneck,bottleneck,0,False,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3072,9256,4b85be5cb15e5b81379d36a0e6553a1a1daf1a51dd2a5c1fe6ad0b4181a55426,392122bfbb604de110e043f60d4295de7cee07b961e69c05f162eaf26d00f33f,39206e2cc664ef0d9a9edfaed7e3a0f75d2c476cae3b6acf0703725acfa01da3,synthetic_reconstruction
g557_topology_023_bottleneck,tree,bottleneck,bottleneck,0,False,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3072,9270,8745484bddbbc76575b098955d0399d7e015645f1f9573343bda6998937a5da4,3b2d1aff0e05766764c0551b636a9238c5727be9ced201c77bd8fd91646fb19b,ea3ed08d86c8f39606a0f74594026c95f3b1fb0bd32bcd892d259ef76e0d5bc5,synthetic_reconstruction
g557_topology_024_irregular,Berlin_1_256,irregular,irregular,0,False,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,52428,167002,61e11253512a213494343b9d8507ba10e5698dfda8c81d6ec8102d922d7a4ad5,f8b01ba3c33c1b0192fb86727363011e9a7866cf464ae38cc0548bc63b5caa17,7eddc09f0f48f8a74b52ec86fa659709d94e1dc9c47720e658a294ceefef6adc,synthetic_reconstruction
g557_topology_025_irregular,Boston_0_256,irregular,irregular,0,False,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,52428,167106,9911a18605361f142862714ed25799d79e10b11982698754dbed585a8710867e,9ee27f37ca79df01abb5470365b529d21fc325aa3e15ca1e864dc98bb91f0499,a7f71d403e25ffca6cba06c82ee2cd37da8a6abf764eec8b0e57323d6a388692,synthetic_reconstruction
g557_topology_026_irregular,Paris_1_256,irregular,irregular,0,False,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,52428,167190,46114055942b0fca48b7d256c4cf5f64f5727379a249dee574961cbd09e2fe2c,c4389bfe6a89db8d857174a118d9d16ba1464c28c7c84cb13e77a2dba265deef,a07b254f52859de5c9635af1b3ec32471f62cec0aec13fd4d9487e7338d12edd,synthetic_reconstruction
g557_topology_027_irregular,brc202d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,49152,146918,d830e969e77bc68e5c5618f31757879757de9fd357028a8d36640d76326d3640,d8156851ec7f85b9cf3a6cd60e6a094b58e514331989cfed65fb813d52c59122,416aaef1137454aa4b33c6f45a33ae046c1b702c839a07902a979c8ec7ebd576,synthetic_reconstruction
g557_topology_028_irregular,den312d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,49152,146776,8a1b7e51c1be410fff2703d9675f253b971b6a20d0bdbba664639f2f7bb8f19b,f9a571db2a7322f83cb7da35a2600e611659aaeced574fecf1ece2866c5fb3e3,3dc1b9b4c6fec93fb036901b4d0b91b3e7715e6261ea7f33b1188c7a7c6e2020,synthetic_reconstruction
g557_topology_029_irregular,den520d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,49152,146708,71f28fdffcef071b5af8a50137a1e9ec5d487b10d95cefe73dbd93ea3bed10a6,833e6850d49265f9d091b0e477de11a706f7ba4ba9064e0ea309276d58909f5c,b2f00e7593d5ddeb56a37db23f7e34b4a2a7f6a6472896da577412d31aedf3f8,synthetic_reconstruction
g557_topology_030_irregular,lak303d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,49152,146772,060f08bc7854b8485eef3eb72cb72a7b50057172594c9323a68c67875490ace9,c0631335d367f010a2993064508a04efd6b08b33880702c11ced3f9d318aeef2,913c05f549801e5dcad8292d597a644c241863f965fe26d95d852c50ec5e7f83,synthetic_reconstruction
g557_topology_031_irregular,orz900d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,49152,146696,42bbf37e21c279eae6e02173c547c8be0f6f2f68220656443455e07ac85ff8a5,74bf791846ee1b18faa22dfa3e2ac2bf38c5c002c6076ccd387f030a2198b623,a194fef937d4e4ef771b7b675727fcd8f5e5f070fad4a17e91a493a879efd14a,synthetic_reconstruction
g557_topology_032_irregular,ost003d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,49152,146992,a933dc59a9b1786d933677af8bf7f2dbe85c2bcc7c4c26d39adb57b3be95f06e,5174bace178bd155b92254959c1cce6e060516546c66ab1ccb7c177154ce450d,10b867d417d8c8cefac638ca2c5d0df8c6ad637a54e261f545cd36b0d9ae25fc,synthetic_reconstruction
g557_topology_033_irregular,w_woundedcoast,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,49152,146914,99d965fc2e45bd577304965baf8554f36395ca28beed094bceaeed0d54e71595,d6d95c5270844cdd0d3f449a3b4f0eb7438c5c3e8f8d5a89fb34e32bd5d44b2b,b2cb7c4d248132d5678fa8b1b1b8c63d0656e4a0150a320d78b35646da76b785,synthetic_reconstruction
g557_topology_034_qd_empty,empty-32-32,qd_empty,empty,1,True,32,32,1024,1,0,False,train_topology,False,False,False,False,False,synthetic_reconstruction,1024,3968,3ad85daf37d87c531bc2a1574856ef380f50fdebf885d06a4b59a1a11b3938ab,57f9f88ea86e4b3674d1ab1264d8a01d2d911a565a499c978c0715c0a673f214,8e18da7e64ce56a3f71dda801163250791a9856ff7b02aec72aee533b41e6656,synthetic_reconstruction
g557_topology_035_qd_empty,empty-48-48,qd_empty,empty,1,True,48,48,2304,1,0,False,train_topology,False,False,False,False,False,synthetic_reconstruction,2304,9024,ef39f3104cdd66232f1f5a52d3f7cc79f3f832881ef4b3f93d48ac5b3991d529,ddf54d02838488f9630acc144be3b6f434fbe4bf14afc97ab7af61647d3fdd6b,ccb941b3bc35b66b4585784cb2b2c256fb9dac2d690c7b15416532ed0b46a63b,synthetic_reconstruction
g557_topology_036_qd_empty,empty-16-16,qd_empty,empty,1,True,16,16,256,1,0,False,train_topology,False,False,False,False,False,synthetic_reconstruction,256,960,1c1b857d15592c2c961bfed474b7064f6987b3b7a20765061cd9d2210a727c6c,095884e1830a75b6d595fd32daf6b78a89bcf60963f20f2156f9bd16fc77adca,775bbbbdb6bae5cddce9ce954b3436f657a02172ce9048fbff53834d432fef58,synthetic_reconstruction
g557_topology_037_qd_random,random-32-32-20,qd_random,random,1,True,32,32,819,0.7998046875,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,819,2516,8ea906635f8f6fd7e707b4a850091799283ce888daf530521087bd0d22649206,d2ba11e95bdbc1b327905d9fef9998850f5efd10a50f71069af206731eae68f1,7ff965b1410c49a409f686b1a2f9b74c6ce2498377f2625354c3e3d737ba4f35,synthetic_reconstruction
g557_topology_038_qd_random,random-64-64-20,qd_random,random,1,True,64,64,3276,0.7998046875,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3276,10290,24f21d0389f624ec31dd9ef53368ae973761ef05e609f6a40e8ea5aa95b9e67f,2942e0364bfed3c3d74a5acf901089f65a055b98a62589ae7d0f0be47cc2abb3,c59849e063d4743d261dcc44320888a97f286caa56578c8ac55564b42471e9df,synthetic_reconstruction
g557_topology_039_qd_random,random-32-32-10,qd_random,random,1,True,32,32,921,0.8994140625,0.1,False,train_topology,False,False,False,False,False,synthetic_reconstruction,921,3206,ca04eec63ebd66dedb752ec7d22c6f986727dbf0a1457348190cd5a29d3a9467,60316e38ddd698ef50f1dbb2b0a7f68c7d011d04a8bbd5a68686c15be89d75bf,7af94426a9dc66347cefd92f954349091fd1d40d381c2fc8ddea180c0f76e4f5,synthetic_reconstruction
g557_topology_040_qd_random,random-64-64-10,qd_random,random,1,True,64,64,3686,0.89990234375,0.1,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3686,13054,29cc1ce264afc04426dbad1e37bf23674297e20693aa2ea30396658a14067f98,ed0b41f53c6b11ddc8bef0ba0fd91ea901caa0680e13fc48ff064b15dae251bc,ca92cf45588394f75cb3a96a548a4e287cef9a60496df5d6c5495323c5dd21a3,synthetic_reconstruction
g557_topology_041_qd_maze,maze-32-32-4,qd_maze,maze,1,True,32,32,737,0.7197265625,0.28,False,train_topology,False,False,False,False,False,synthetic_reconstruction,737,2178,b7b2938c1cbf9259ee71ce9277d43204a416c6c5663035c81e28ea5549f91b0d,80eccf698c21ce42d4a8a7884f5ea9a7f38bf4c25c2b205bd84fa874e7f2ff9b,77b802035e6e0b4a64f14f5282b06becaa2342c8c3d05bfa90ce3c8e679c4208,synthetic_reconstruction
g557_topology_042_qd_maze,maze-32-32-2,qd_maze,maze,1,True,32,32,819,0.7998046875,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,819,2672,95157c1cd3f060c3a74f66fab832df1901ea1c5665e66f613a73c59b96ef202a,d891d6d32293912e91c7cbe7024e9344d9f9df3a6c59b86d639376a79a10c527,447d420255593e5ba62c14dc2b350cf2d4a472af3ec373e381dac5087b710ddb,synthetic_reconstruction
g557_topology_043_qd_maze,maze-128-128-2,qd_maze,maze,1,True,128,128,13107,0.799987792969,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,13107,43866,cd4a5fc548fdf69df51f3be761b9b29f6186609588906f1d758acd0b72c42ea5,c7b5e7c0e9698dc0a14e2962dd8c9552831c201501481984b46095e1fd05203f,4c1d5bcaca6f0c00c6a3e279501bde290d7dd48c1a8ddcde89020af090010633,synthetic_reconstruction
g557_topology_044_qd_maze,maze-128-128-10,qd_maze,maze,1,True,128,128,9830,0.599975585938,0.4,False,train_topology,False,False,False,False,False,synthetic_reconstruction,9830,25174,73b22e1e9617d5c7c68120f9cf663d36be216fefb90096dba43b84a4528305ea,efd8878a5253180c8131c02acf46f7f4b3da94d15a432aaeb645e91376e7d914,0c1becaad58b39e4e78805e2cbd2aece63c2c982f632157fecc92c1fcf6a84e0,synthetic_reconstruction
g557_topology_045_qd_room,room-32-32-4,qd_room,room,1,True,32,32,839,0.8193359375,0.18,False,train_topology,False,False,False,False,False,synthetic_reconstruction,839,2718,2c9202efdef6c68352f7f3e59a389533c1973e14bb365f2d56d57322549a4632,b61f69906636daf81ad527db3f1f92e283fa577a19052f8b4bd70505b4ac0f94,14070686f583adde2a32508026d5c933aa7a6f3de52e51010814376abd337086,synthetic_reconstruction
g557_topology_046_qd_room,room-64-64-8,qd_room,room,1,True,64,64,3358,0.81982421875,0.18,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3358,11000,d4858cfc7e4326f4e4b3841694b690fb726deb81663ea3c624a36453ff6b0641,8b6d17667f99bf47b74d2bdaad2c101eb5f49d7d1e4ff6e4ec0ef5bfd754330a,d110f12aab8826cdbe120a24d93a60ccb4d183aa2af7f71d1c9f928ae4eca311,synthetic_reconstruction
g557_topology_047_qd_room,room-64-64-16,qd_room,room,1,True,64,64,3276,0.7998046875,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3276,10480,c1d6c194bf4d74de50b169dbdafac14362eab3584872431a04db19583a4c63fa,7a903b2dd3f4b71a2ed220e33ad247600eaf9354d1b424863c685ba950720e88,7617ec5788d839d242adfec1ec6a38725b4ffb936f3af8fb17631c33a0e7c476,synthetic_reconstruction
g557_topology_048_qd_warehouse,warehouse-10-20-10-2-1,qd_warehouse,warehouse,1,True,170,84,9996,0.7,0.3,False,train_topology,False,False,False,False,False,synthetic_reconstruction,9996,33134,c8661672d957bb925863696929878838dc0bad0443d70fedd7939e0669b542d9,e5494a628d77cad6b25b080b11160de27869a73295d7b4864c70db433b44e1ba,3fd1202ac5cfb0ca8b32598b038c0939f8233572a70a307414e3505e18a2a28d,synthetic_reconstruction
g557_topology_049_qd_warehouse,warehouse-10-20-10-2-2,qd_warehouse,warehouse,1,True,170,84,9996,0.7,0.3,False,train_topology,False,False,False,False,False,synthetic_reconstruction,9996,33130,0527fc357b637dd293bf4aa6ebe18781fce82a455712ba1b933a268ac892cafa,c3b86a02deabc152ae7d464488758099cced3857ad6cfb26437ebbfeec001d89,feaa4fffabb0e5643316b37c47c8a33f28c151142f70cfdc4075fceceffe20c7,synthetic_reconstruction
g557_topology_050_qd_warehouse,warehouse-20-40-10-2-1,qd_warehouse,warehouse,1,True,340,164,37916,0.679985652798,0.32,False,train_topology,False,False,False,False,False,synthetic_reconstruction,37916,126380,164231cab219c34dec29adb7969a845232cf583a14c878d2a047520ea16f8c6a,c4e2409236faed18556209dd163f9cab15175dcb7399717ab8c24fc33746b367,d051110500f5cc017b14a2a60fd4c3d2acd9c5df649737117dd61b2cbe1411cd,synthetic_reconstruction
g557_topology_051_qd_warehouse,warehouse-20-40-10-2-2,qd_warehouse,warehouse,1,True,340,164,37916,0.679985652798,0.32,False,train_topology,False,False,False,False,False,synthetic_reconstruction,37916,126536,c6867b1e9881cf9e4d638a2e4d56f73d5acb3852c7a0f47c11a6344daff64956,1982d3ea56f733426de5e6eeed9d83242234b324f2b83edfb32a56190eaaf223,dc94413d60b849da88b760d1fa369ac1ebf4306286ff0892309a0ee78835f613,synthetic_reconstruction
g557_topology_052_qd_bottleneck,connector,qd_bottleneck,bottleneck,1,True,64,64,2662,0.64990234375,0.35,False,train_topology,False,False,False,False,False,synthetic_reconstruction,2662,7198,7ac50f8f28bf8efa3fda455c8bf6220756d4f763f17efbeffd89687b84bd8bc3,65db455866d16da3492a53e5276f0d1bb3f649657b3f6f87737f91421c244547,290557f38434bdbdfaa1a68d2717526062eb575715f3c728894d3891133d86d5,synthetic_reconstruction
g557_topology_053_qd_bottleneck,corners,qd_bottleneck,bottleneck,1,True,64,64,2662,0.64990234375,0.35,False,train_topology,False,False,False,False,False,synthetic_reconstruction,2662,7166,ce6ed3070d7f997fe69685e8599bd8a8880ce8b3a701efca3a9f885eb5c51560,5013ba0d0749c7ac847705fb516ab20a5fc9cad1b7a38e48bfc7fde33b9f2e2d,05c5e1adb6b911b4e04f27c5b4b2dffb7dab1123cbd6db3305bdafa7bcc8f5ec,synthetic_reconstruction
g557_topology_054_qd_bottleneck,tunnel,qd_bottleneck,bottleneck,1,True,64,64,2539,0.619873046875,0.38,False,train_topology,False,False,False,False,False,synthetic_reconstruction,2539,6644,20f5371ffb085c2c6be948b305e94e92e043af1c68fdb9ebc5566ed2351f7058,de7bbc2e579539dee838c9be97804b9a99f4707914300699c299a7dce3d0a80f,0ca5249e219f3e845ad751c250f0ab59e4cb52df2dcf4327b8c6dea60a786bd8,synthetic_reconstruction
g557_topology_055_qd_bottleneck,loop-chain,qd_bottleneck,bottleneck,1,True,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3072,9256,cb0c6e3b314126bda15d81a3023764f35acaad4528f1594a4eaa6d97272bfee0,0cc2b2659c2d5291f31951e433eb7c13d1bbbf303beb18c3657f7beb42377d7d,2eb8ba42fee48b73405804727794cb43ab1e456300792557740c8153a89af183,synthetic_reconstruction
g557_topology_056_qd_bottleneck,string,qd_bottleneck,bottleneck,1,True,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3072,9256,4b85be5cb15e5b81379d36a0e6553a1a1daf1a51dd2a5c1fe6ad0b4181a55426,392122bfbb604de110e043f60d4295de7cee07b961e69c05f162eaf26d00f33f,39206e2cc664ef0d9a9edfaed7e3a0f75d2c476cae3b6acf0703725acfa01da3,synthetic_reconstruction
g557_topology_057_qd_bottleneck,tree,qd_bottleneck,bottleneck,1,True,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False,synthetic_reconstruction,3072,9270,8745484bddbbc76575b098955d0399d7e015645f1f9573343bda6998937a5da4,3b2d1aff0e05766764c0551b636a9238c5727be9ced201c77bd8fd91646fb19b,ea3ed08d86c8f39606a0f74594026c95f3b1fb0bd32bcd892d259ef76e0d5bc5,synthetic_reconstruction
g557_topology_058_qd_irregular,Berlin_1_256,qd_irregular,irregular,1,True,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,52428,167002,61e11253512a213494343b9d8507ba10e5698dfda8c81d6ec8102d922d7a4ad5,f8b01ba3c33c1b0192fb86727363011e9a7866cf464ae38cc0548bc63b5caa17,7eddc09f0f48f8a74b52ec86fa659709d94e1dc9c47720e658a294ceefef6adc,synthetic_reconstruction
g557_topology_059_qd_irregular,Boston_0_256,qd_irregular,irregular,1,True,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False,synthetic_reconstruction,52428,167106,9911a18605361f142862714ed25799d79e10b11982698754dbed585a8710867e,9ee27f37ca79df01abb5470365b529d21fc325aa3e15ca1e864dc98bb91f0499,a7f71d403e25ffca6cba06c82ee2cd37da8a6abf764eec8b0e57323d6a388692,synthetic_reconstruction
