candidate_id,existing_not_ready_reason,corrected_not_ready_reason,existing_shortlist_ready,corrected_shortlist_ready,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,materialization_gate_not_met_misclassified,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c00019,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00007,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00054,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00064,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00059,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02500,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00023,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01044,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02544,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00008,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01056,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01068,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02538,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c02526,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01002,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00055,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00040,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00025,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00012,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c01020,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
g554_c00044,success_regression,success_regression,False,False,1,True,True,True,False,False,False,False,False,False
