context_id,g567_evaluation_uid,split,map,map_family,ltm_target_map,ltm_target_match_type,selection_stage,ltm_style_primary_subset,agent_count,official_scenario,map_source_type,scenario_source_type,complete_triple,ltm_30s_present,ltm_30s_success,ltm_30s_ratio,ltm_30s_solver_wall_ms,ltm_30s_actor_inference_ms,ltm_30s_total_method_ms,ltm_30s_hard_timeout,ltm_30s_infrastructure_failure,static_flow_30s_present,static_flow_30s_success,static_flow_30s_ratio,static_flow_30s_solver_wall_ms,static_flow_30s_actor_inference_ms,static_flow_30s_total_method_ms,static_flow_30s_hard_timeout,static_flow_30s_infrastructure_failure,gate3b_actor_30s_present,gate3b_actor_30s_success,gate3b_actor_30s_ratio,gate3b_actor_30s_solver_wall_ms,gate3b_actor_30s_actor_inference_ms,gate3b_actor_30s_total_method_ms,gate3b_actor_30s_hard_timeout,gate3b_actor_30s_infrastructure_failure,actor_vs_ltm_both_success,actor_vs_ltm_success_gain,actor_vs_ltm_success_regression,actor_vs_ltm_relative_quality_improvement,actor_vs_ltm_harmful_quality_delta,actor_vs_ltm_runtime_change_ms,actor_vs_static_flow_both_success,actor_vs_static_flow_success_gain,actor_vs_static_flow_success_regression,actor_vs_static_flow_relative_quality_improvement,actor_vs_static_flow_harmful_quality_delta,actor_vs_static_flow_runtime_change_ms,static_flow_vs_ltm_both_success,static_flow_vs_ltm_success_gain,static_flow_vs_ltm_success_regression,static_flow_vs_ltm_relative_quality_improvement,static_flow_vs_ltm_harmful_quality_delta,static_flow_vs_ltm_runtime_change_ms
g567_gate3b_calibration_00099,f9d6953a6d40c6d112eb691d0326ac94ed6439a74ca1fd8027caf8e80795d599,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_random,True,True,True,1.01904761905,23.012160323560238,0.0,23.012160323560238,False,False,True,True,1.0,17.58948341012001,0.0,17.58948341012001,False,False,True,True,1.00952380952,31.519323587417603,20.09000121522695,51.60932480264455,False,False,True,False,False,0.00934579439857617,0.0,28.597164479084313,True,False,False,-0.009523809520000093,0.009523809520000093,34.01984139252454,True,False,False,0.01869158878733947,0.0,-5.4226769134402275
g567_gate3b_calibration_00100,a3e0e8cd7b54e056efb9f1a25d5e05eff29f2c691e44b909bb44486a98be18c6,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_random,True,True,True,1.08461538462,16.37489628046751,0.0,16.37489628046751,False,False,True,True,1.02307692308,16.293585300445557,0.0,16.293585300445557,False,False,True,True,1.02307692308,26.453187689185143,20.09000121522695,46.54318890441209,False,False,True,False,False,0.05673758865365915,0.0,30.16829262394458,True,False,False,0.0,0.0,30.249603603966534,True,False,False,0.05673758865365915,0.0,-0.08131098002195358
g567_gate3b_calibration_00101,6080dfeb4195a514f6f136d669c9872770a71932504ddddffb0e64c9659b1a42,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_even,True,True,True,1.0,18.770827911794186,0.0,18.770827911794186,False,False,True,True,1.0,16.855159774422646,0.0,16.855159774422646,False,False,True,True,1.0,28.578460216522217,20.09000121522695,48.668461431749165,False,False,True,False,False,0.0,0.0,29.89763351995498,True,False,False,0.0,0.0,31.81330165732652,True,False,False,0.0,0.0,-1.91566813737154
g567_gate3b_calibration_00102,06826de289ac90f2128a4ed05b0e39a1ae3cc8ea1f54ff06acffd7e3957e4c97,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_random,True,True,True,1.01910828025,24.13974143564701,0.0,24.13974143564701,False,False,True,True,1.01910828025,41.02645628154278,0.0,41.02645628154278,False,False,True,True,1.0127388535,28.429921716451645,20.09000121522695,48.51992293167859,False,False,True,False,False,0.006249999998466869,0.0,24.380181496031582,True,False,False,0.006249999998466869,0.0,7.493466650135815,True,False,False,0.0,0.0,16.886714845895767
g567_gate3b_calibration_00103,3ecf659015c5fc671f3a4d4dbb57c6507da90462cd832ee9ab1cca4410395a51,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_even,True,True,True,1.02173913043,19.827951677143574,0.0,19.827951677143574,False,False,True,True,1.01449275362,17.140151001513004,0.0,17.140151001513004,False,False,True,True,1.01449275362,31.550907529890537,20.09000121522695,51.640908745117486,False,False,True,False,False,0.00709219858003337,0.0,31.81295706797391,True,False,False,0.0,0.0,34.50075774360448,True,False,False,0.00709219858003337,0.0,-2.6878006756305695
g567_gate3b_calibration_00104,0f5d4d259ed703a338d9656b8ef7ce300a05791b25b79af523a5e6af056ebcf9,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_random,True,True,True,1.0404040404,15.911792404949665,0.0,15.911792404949665,False,False,True,True,1.0303030303,18.306197598576546,0.0,18.306197598576546,False,False,True,True,1.0101010101,25.92870220541954,20.09000121522695,46.01870342064649,False,False,True,False,False,0.029126213589433323,0.0,30.106911015696824,True,False,False,0.019607843135351737,0.0,27.712505822069943,True,False,False,0.009708737863144369,0.0,2.3944051936268806
g567_gate3b_calibration_00105,6badd8c02b45773f6811c5c6799fdd7dad64b9c5d294cf004a8d5109d796bbc8,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_even,True,True,True,1.04958677686,19.094125367701054,0.0,19.094125367701054,False,False,True,True,1.0,20.47919947654009,0.0,20.47919947654009,False,False,True,True,1.0,26.057662442326546,20.09000121522695,46.147663657553494,False,False,True,False,False,0.04724409448863911,0.0,27.05353828985244,True,False,False,0.0,0.0,25.668464181013405,True,False,False,0.04724409448863911,0.0,1.385074108839035
g567_gate3b_calibration_00106,012ecebd2232831c362704e48d9ce30f1e302248c5eccd5ec9df2f02b9bf0779,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_even,True,True,True,1.03191489362,16.181601211428642,0.0,16.181601211428642,False,False,True,True,1.03191489362,18.456285819411278,0.0,18.456285819411278,False,False,True,True,1.03191489362,27.84586977213621,20.09000121522695,47.93587098736316,False,False,True,False,False,0.0,0.0,31.754269775934517,True,False,False,0.0,0.0,29.479585167951882,True,False,False,0.0,0.0,2.2746846079826355
g567_gate3b_calibration_00107,204ef01c05730d6d961a29b7fc16a0b5c06ce0357848e0e375f42120b7d6fc1c,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,12,True,canonical_public_benchmark_map,movingai_official_even,True,True,True,1.06956521739,17.531637102365494,0.0,17.531637102365494,False,False,True,True,1.0,17.085458151996136,0.0,17.085458151996136,False,False,True,True,1.01739130435,118.00202634185553,20.09000121522695,138.09202755708247,False,False,True,False,False,0.04878048780168557,0.0,120.56039045471698,True,False,False,-0.017391304350000025,0.017391304350000025,121.00656940508634,True,False,False,0.06504065040536396,0.0,-0.44617895036935806
g567_gate3b_calibration_00108,2510d5e8fda3bfeff2a4fa0e7741aa70dde7866b38dce238892827f6026549d4,CALIBRATION,empty_16_16,empty,family_backfill:empty,secondary_same_family_backfill,secondary_same_family_backfill,False,16,True,canonical_public_benchmark_map,movingai_official_even,True,True,True,1.06936416185,23.96139409393072,0.0,23.96139409393072,False,False,True,True,1.02312138728,19.305373542010784,0.0,19.305373542010784,False,False,True,True,1.02312138728,26.70776005834341,20.09000121522695,46.79776127357036,False,False,True,False,False,0.04324324324652888,0.0,22.836367179639637,True,False,False,0.0,0.0,27.492387731559575,True,False,False,0.04324324324652888,0.0,-4.656020551919937
