agents,map,method,method_delta_ratio_vs_ltm,oracle_delta_ratio_vs_ltm,oracle_method,regret_to_oracle,scen,seed
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,-0.010957324110000055,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.0005767012699999796,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,-0.011534025380000035,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.0,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.011534025380000035,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.011534025380000035,repair5g51_runtime_bad_g5_stump,0.011534025380000035,maze-32-32-4-random-140.scen,140
50,maze-32-32-4,always_additive_defer,0.0,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.008958566629999831,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,laur_disable,0.0,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.008958566629999831,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,laur_force_additive_direct,0.0,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.008958566629999831,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.008958566629999831,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,-0.008958566629999831,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g2_frozen_static_or_selector,-0.008958566629999831,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.008958566629999831,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,-0.008958566629999831,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,-0.008958566629999831,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.0,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.008958566629999831,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.008958566629999831,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.008958566629999831,repair5g2_best_frozen_static_candidate,0.008958566629999831,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,0.04564983888999996,0.0,always_additive_defer,0.04564983888999996,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g2_frozen_static_or_selector,0.04564983888999996,0.0,always_additive_defer,0.04564983888999996,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,0.04564983888999996,0.0,always_additive_defer,0.04564983888999996,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,0.04564983888999996,0.0,always_additive_defer,0.04564983888999996,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.01987110633999989,0.0,always_additive_defer,0.01987110633999989,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,0.028721876500000132,0.0,always_additive_defer,0.028721876500000132,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g2_frozen_static_or_selector,0.028721876500000132,0.0,always_additive_defer,0.028721876500000132,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,0.028721876500000132,0.0,always_additive_defer,0.028721876500000132,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,0.028721876500000132,0.0,always_additive_defer,0.028721876500000132,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.0009573958899999901,0.0,always_additive_defer,0.0009573958899999901,maze-32-32-4-random-143.scen,143
