mode,split,checkpoint_id,run_id,map_name,agents,seed,iteration,decision_target,target_rule,selected_decision,selected_rule,fallback_reason,rule_top1,rule_top3,safe_utility_top1,safe_utility_top3,selected_delta,additive_delta,selected_vs_additive_delta,selected_utility,additive_utility,selected_vs_additive_utility,oracle_best_safe_rule,oracle_best_safe_utility,utility_regret_to_oracle,selected_rule_harmful,has_nonadditive_opportunity,has_high_margin_nonadditive_opportunity,opportunity_margin,top_candidate_rules,harmful_labels,harmful_predictions,safety_mode
top3_per_rule_safety_utility,validation,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000,empty-48-48,100,12,2,defer_ltm,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,False,False,True,True,0.00268656716418,0.0,0.00268656716418,0.00268656716418,0.0,0.00268656716418,commit_heavy,0.00268656716418,0.0,False,False,False,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000,empty-48-48,100,12,3,defer_ltm,decay_095,use_nonadditive,wait_heavy,topk_safe_utility,False,False,False,True,0.0044776119403,0.0,0.0044776119403,0.0044776119403,0.0,0.0044776119403,decay_095,0.00716417910448,0.0026865671641800003,False,False,False,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i13__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i13__phase4_phase4-full-repair5-expand5000,empty-48-48,100,13,0,defer_ltm,wait_light,use_nonadditive,decay_090,topk_safe_utility,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,wait_light,0.00287631831256,0.00287631831256,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i13__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i13__phase4_phase4-full-repair5-expand5000,empty-48-48,100,13,1,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0377117289869,0.0,0.0377117289869,0.0377117289869,0.0,0.0377117289869,commit_heavy,0.0377117289869,0.0,False,True,True,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i13__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i13__phase4_phase4-full-repair5-expand5000,empty-48-48,100,13,2,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.050175775008,0.0,0.050175775008,0.050175775008,0.0,0.050175775008,commit_heavy,0.050175775008,0.0,False,True,True,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i13__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i13__phase4_phase4-full-repair5-expand5000,empty-48-48,100,13,3,defer_ltm,decay_090,use_nonadditive,commit_heavy,topk_safe_utility,False,False,False,True,0.000319590923618,0.0,0.000319590923618,0.000319590923618,0.0,0.000319590923618,decay_090,0.00735059124321,0.007031000319592,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""commit_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i14__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i14__phase4_phase4-full-repair5-expand5000,empty-48-48,100,14,0,defer_ltm,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,False,False,True,True,0.00708762886598,0.0,0.00708762886598,0.00708762886598,0.0,0.00708762886598,block_heavy,0.00708762886598,0.0,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i14__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i14__phase4_phase4-full-repair5-expand5000,empty-48-48,100,14,1,defer_ltm,decay_095,use_nonadditive,commit_heavy,topk_safe_utility,False,False,False,True,0.0041881443299,0.0,0.0041881443299,0.0041881443299,0.0,0.0041881443299,decay_095,0.00837628865979,0.004188144329889999,False,False,False,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i14__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i14__phase4_phase4-full-repair5-expand5000,empty-48-48,100,14,2,use_nonadditive,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,True,True,True,True,0.0154639175258,0.0,0.0154639175258,0.0154639175258,0.0,0.0154639175258,block_heavy,0.0154639175258,0.0,False,True,False,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i14__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i14__phase4_phase4-full-repair5-expand5000,empty-48-48,100,14,3,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.027706185567,0.0,0.027706185567,0.027706185567,0.0,0.027706185567,commit_heavy,0.027706185567,0.0,False,True,True,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i15__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i15__phase4_phase4-full-repair5-expand5000,empty-48-48,100,15,0,defer_ltm,wait_heavy,use_nonadditive,wait_heavy,topk_safe_utility,False,False,True,True,0.00983606557377,0.0,0.00983606557377,0.00983606557377,0.0,0.00983606557377,wait_heavy,0.00983606557377,0.0,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i15__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i15__phase4_phase4-full-repair5-expand5000,empty-48-48,100,15,1,defer_ltm,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,False,False,True,True,0.00864381520119,0.0,0.00864381520119,0.00864381520119,0.0,0.00864381520119,commit_heavy,0.00864381520119,0.0,False,False,False,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i15__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i15__phase4_phase4-full-repair5-expand5000,empty-48-48,100,15,2,use_nonadditive,decay_095,use_nonadditive,commit_heavy,topk_safe_utility,False,False,False,True,0.00745156482861,0.0,0.00745156482861,0.00745156482861,0.0,0.00745156482861,decay_095,0.0101341281669,0.00268256333829,False,True,False,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i15__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i15__phase4_phase4-full-repair5-expand5000,empty-48-48,100,15,3,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0244411326379,0.0,0.0244411326379,0.0244411326379,0.0,0.0244411326379,commit_heavy,0.0244411326379,0.0,False,True,True,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i16__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i16__phase4_phase4-full-repair5-expand5000,empty-48-48,100,16,0,defer_ltm,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,block_heavy,0.0,0.0,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i16__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i16__phase4_phase4-full-repair5-expand5000,empty-48-48,100,16,1,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0249658002736,0.0,0.0249658002736,0.0249658002736,0.0,0.0249658002736,commit_heavy,0.0249658002736,0.0,False,True,True,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i16__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i16__phase4_phase4-full-repair5-expand5000,empty-48-48,100,16,2,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0396716826265,0.0,0.0396716826265,0.0396716826265,0.0,0.0396716826265,commit_heavy,0.0396716826265,0.0,False,True,True,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i16__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i16__phase4_phase4-full-repair5-expand5000,empty-48-48,100,16,3,defer_ltm,decay_090,use_nonadditive,commit_heavy,topk_safe_utility,False,False,False,True,0.0030779753762,0.0,0.0030779753762,0.0030779753762,0.0,0.0030779753762,decay_090,0.00923392612859,0.00615595075239,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""commit_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i17__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i17__phase4_phase4-full-repair5-expand5000,empty-48-48,100,17,0,use_nonadditive,commit_heavy,use_nonadditive,block_heavy,topk_safe_utility,False,False,False,True,0.00758293838863,0.0,0.00758293838863,0.00758293838863,0.0,0.00758293838863,commit_heavy,0.0116903633491,0.00410742496047,False,True,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i17__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i17__phase4_phase4-full-repair5-expand5000,empty-48-48,100,17,1,defer_ltm,wait_light,use_nonadditive,wait_light,topk_safe_utility,False,False,True,True,0.00600315955766,0.0,0.00600315955766,0.00600315955766,0.0,0.00600315955766,wait_light,0.00600315955766,0.0,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""wait_light""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i17__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i17__phase4_phase4-full-repair5-expand5000,empty-48-48,100,17,2,use_nonadditive,wait_heavy,use_nonadditive,wait_heavy,topk_safe_utility,True,True,True,True,0.0101105845182,0.0,0.0101105845182,0.0101105845182,0.0,0.0101105845182,wait_heavy,0.0101105845182,0.0,False,True,False,0.01,"[""wait_light"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i17__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i17__phase4_phase4-full-repair5-expand5000,empty-48-48,100,17,3,defer_ltm,block_light,use_nonadditive,block_light,topk_safe_utility,False,False,True,True,0.00726698262243,0.0,0.00726698262243,0.00726698262243,0.0,0.00726698262243,block_light,0.00726698262243,0.0,False,False,False,0.01,"[""wait_light"", ""block_heavy"", ""block_light""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i18__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i18__phase4_phase4-full-repair5-expand5000,empty-48-48,100,18,0,defer_ltm,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,False,False,True,True,0.00519311911717,0.0,0.00519311911717,0.00519311911717,0.0,0.00519311911717,block_heavy,0.00519311911717,0.0,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i18__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i18__phase4_phase4-full-repair5-expand5000,empty-48-48,100,18,1,defer_ltm,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,False,False,True,True,0.00129827977929,0.0,0.00129827977929,0.00129827977929,0.0,0.00129827977929,commit_heavy,0.00129827977929,0.0,False,False,False,0.01,"[""block_heavy"", ""commit_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i18__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i18__phase4_phase4-full-repair5-expand5000,empty-48-48,100,18,2,use_nonadditive,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,True,True,True,True,0.0107108081792,0.0,0.0107108081792,0.0107108081792,0.0,0.0107108081792,block_heavy,0.0107108081792,0.0,False,True,False,0.01,"[""block_heavy"", ""wait_heavy"", ""wait_light""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i18__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i18__phase4_phase4-full-repair5-expand5000,empty-48-48,100,18,3,defer_ltm,wait_light,use_nonadditive,wait_light,topk_safe_utility,False,False,True,True,0.00681596884129,0.0,0.00681596884129,0.00681596884129,0.0,0.00681596884129,wait_light,0.00681596884129,0.0,False,False,False,0.01,"[""block_heavy"", ""wait_light"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i19__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i19__phase4_phase4-full-repair5-expand5000,empty-48-48,100,19,0,use_nonadditive,wait_heavy,use_nonadditive,wait_heavy,topk_safe_utility,True,True,True,True,0.0156390977444,0.0,0.0156390977444,0.0156390977444,0.0,0.0156390977444,wait_heavy,0.0156390977444,0.0,False,True,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i19__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i19__phase4_phase4-full-repair5-expand5000,empty-48-48,100,19,1,use_nonadditive,decay_090,use_nonadditive,commit_heavy,topk_safe_utility,False,False,False,True,0.00842105263158,0.0,0.00842105263158,0.00842105263158,0.0,0.00842105263158,decay_090,0.0165413533835,0.00812030075192,False,True,False,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i19__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i19__phase4_phase4-full-repair5-expand5000,empty-48-48,100,19,2,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0258646616541,0.0,0.0258646616541,0.0258646616541,0.0,0.0258646616541,commit_heavy,0.0258646616541,0.0,False,True,True,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i19__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i19__phase4_phase4-full-repair5-expand5000,empty-48-48,100,19,3,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0144360902256,0.0,0.0144360902256,0.0144360902256,0.0,0.0144360902256,commit_heavy,0.0144360902256,0.0,False,True,False,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i1__phase4_phase4-full-repair5-expand5000,empty-48-48,100,1,0,use_nonadditive,block_heavy,use_nonadditive,block_heavy,topk_safe_utility,True,True,True,True,0.0219326128417,0.0,0.0219326128417,0.0219326128417,0.0,0.0219326128417,block_heavy,0.0219326128417,0.0,False,True,True,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i1__phase4_phase4-full-repair5-expand5000,empty-48-48,100,1,1,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0267005721551,0.0,0.0267005721551,0.0267005721551,0.0,0.0267005721551,commit_heavy,0.0267005721551,0.0,False,True,True,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i1__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i1__phase4_phase4-full-repair5-expand5000,empty-48-48,100,1,2,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0317863954228,0.0,0.0317863954228,0.0317863954228,0.0,0.0317863954228,commit_heavy,0.0317863954228,0.0,False,True,True,0.01,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i1__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i1__phase4_phase4-full-repair5-expand5000,empty-48-48,100,1,3,use_nonadditive,commit_heavy,use_nonadditive,commit_heavy,topk_safe_utility,True,True,True,True,0.0168467895741,0.0,0.0168467895741,0.0168467895741,0.0,0.0168467895741,commit_heavy,0.0168467895741,0.0,False,True,False,0.01,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
top3_per_rule_safety_utility,validation,empty-48-48__a100__i20__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i20__phase4_phase4-full-repair5-expand5000,empty-48-48,100,20,0,defer_ltm,decay_095,use_nonadditive,decay_090,topk_safe_utility,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,decay_095,0.0,0.0,False,False,False,0.01,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",learned
