dataset_row_id,safe_count,safe_improving_count,harmful_count,best_positive_quality_delta_vs_g556,positive_target_available,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g562_real_graph_000126,65,0,0,,False,False,False,False,False,False
g562_real_graph_000127,65,22,40,-0.06279434850999999,True,False,False,False,False,False
g562_real_graph_000128,65,0,0,,False,False,False,False,False,False
g562_real_graph_000129,65,0,0,,False,False,False,False,False,False
g562_real_graph_000130,65,0,0,,False,False,False,False,False,False
g562_real_graph_000131,65,0,0,,False,False,False,False,False,False
g562_real_graph_000132,65,20,42,-0.03834355828000002,True,False,False,False,False,False
g562_real_graph_000133,65,31,32,-0.046875,True,False,False,False,False,False
g562_real_graph_000134,50,26,38,-1.20090548953,True,False,False,False,False,False
g562_real_graph_000135,65,0,0,,False,False,False,False,False,False
g562_real_graph_000136,65,30,34,-0.06261288380999996,True,False,False,False,False,False
g562_real_graph_000137,65,0,0,,False,False,False,False,False,False
g562_real_graph_000138,65,0,0,,False,False,False,False,False,False
g562_real_graph_000139,65,0,0,,False,False,False,False,False,False
g562_real_graph_000140,65,0,0,,False,False,False,False,False,False
g562_real_graph_000141,65,0,0,,False,False,False,False,False,False
g562_real_graph_000142,65,0,0,,False,False,False,False,False,False
g562_real_graph_000143,65,29,35,-0.06002791996999979,True,False,False,False,False,False
g562_real_graph_000144,65,0,0,,False,False,False,False,False,False
g562_real_graph_000145,50,16,47,-0.7913544668600001,True,False,False,False,False,False
g562_real_graph_000146,65,0,0,,False,False,False,False,False,False
g562_real_graph_000147,65,0,0,,False,False,False,False,False,False
g562_real_graph_000148,65,0,0,,False,False,False,False,False,False
g562_real_graph_000149,65,12,45,-0.021739130429999864,True,False,False,False,False,False
g562_real_graph_000150,65,38,26,-0.24770642202000004,True,False,False,False,False,False
g562_real_graph_000151,65,28,35,-0.09999999999999987,True,False,False,False,False,False
g562_real_graph_000152,65,14,50,-0.06809406809999996,True,False,False,False,False,False
g562_real_graph_000153,65,0,0,,False,False,False,False,False,False
g562_real_graph_000154,65,18,46,-0.06244424621000011,True,False,False,False,False,False
g562_real_graph_000155,65,54,10,-0.11195445920000013,True,False,False,False,False,False
g562_real_graph_000156,65,0,0,,False,False,False,False,False,False
g562_real_graph_000157,65,0,0,,False,False,False,False,False,False
g562_real_graph_000158,65,36,28,-0.1419410004299999,True,False,False,False,False,False
g562_real_graph_000159,65,25,38,-0.08510638298000006,True,False,False,False,False,False
g562_real_graph_000160,65,0,0,,False,False,False,False,False,False
g562_real_graph_000161,65,0,0,,False,False,False,False,False,False
g562_real_graph_000162,44,1,63,-0.10284718186999986,True,False,False,False,False,False
g562_real_graph_000163,65,29,0,0.0,True,False,False,False,False,False
g562_real_graph_000164,65,58,5,-0.15762273902,True,False,False,False,False,False
g562_real_graph_000165,65,0,0,,False,False,False,False,False,False
g562_real_graph_000166,65,0,0,,False,False,False,False,False,False
g562_real_graph_000167,65,27,36,-0.03408029878999996,True,False,False,False,False,False
g562_real_graph_000168,65,0,0,,False,False,False,False,False,False
g562_real_graph_000169,65,1,63,-0.02102102101999992,True,False,False,False,False,False
g562_real_graph_000170,65,21,43,-0.07308160779000006,True,False,False,False,False,False
g562_real_graph_000171,65,3,61,-0.002526992880000023,True,False,False,False,False,False
g562_real_graph_000172,65,31,33,-0.06408094435000011,True,False,False,False,False,False
g562_real_graph_000173,65,0,0,,False,False,False,False,False,False
g562_real_graph_000174,65,0,0,,False,False,False,False,False,False
g562_real_graph_000175,41,3,61,-0.07427025807999987,True,False,False,False,False,False
g562_real_graph_000176,65,0,0,,False,False,False,False,False,False
g562_real_graph_000177,65,10,52,-0.035714285709999904,True,False,False,False,False,False
g562_real_graph_000178,65,0,0,,False,False,False,False,False,False
g562_real_graph_000179,65,17,46,-0.04553415060999999,True,False,False,False,False,False
g562_real_graph_000180,65,0,0,,False,False,False,False,False,False
g562_real_graph_000181,65,7,56,-0.026290165529999854,True,False,False,False,False,False
g562_real_graph_000182,65,0,0,,False,False,False,False,False,False
g562_real_graph_000183,60,34,30,-0.6863106200100002,True,False,False,False,False,False
g562_real_graph_000184,65,0,0,,False,False,False,False,False,False
g562_real_graph_000185,65,23,41,-0.10098839707999985,True,False,False,False,False,False
g562_real_graph_000186,65,14,50,-0.07003891050999989,True,False,False,False,False,False
g562_real_graph_000187,65,0,0,,False,False,False,False,False,False
g562_real_graph_000188,65,33,30,-0.06345177665000001,True,False,False,False,False,False
g562_real_graph_000189,65,28,36,-0.09682046378000009,True,False,False,False,False,False
g562_real_graph_000190,65,0,0,,False,False,False,False,False,False
g562_real_graph_000191,65,0,0,,False,False,False,False,False,False
g562_real_graph_000192,65,16,48,-0.028144239219999978,True,False,False,False,False,False
g562_real_graph_000193,65,2,61,-0.07792207792000005,True,False,False,False,False,False
g562_real_graph_000194,65,17,47,-0.04848484848000001,True,False,False,False,False,False
g562_real_graph_000195,65,0,0,,False,False,False,False,False,False
g562_real_graph_000196,65,31,33,-0.09761904762000007,True,False,False,False,False,False
g562_real_graph_000197,65,9,55,-0.015122873339999954,True,False,False,False,False,False
g562_real_graph_000198,65,29,34,-0.09443099274,True,False,False,False,False,False
g562_real_graph_000199,56,8,55,-0.07208717519000007,True,False,False,False,False,False
g562_real_graph_000200,65,38,25,-0.07956777995999986,True,False,False,False,False,False
g562_real_graph_000201,65,0,0,,False,False,False,False,False,False
g562_real_graph_000202,65,0,0,,False,False,False,False,False,False
g562_real_graph_000203,65,24,38,-0.05269922879000011,True,False,False,False,False,False
g562_real_graph_000204,65,34,0,0.0,True,False,False,False,False,False
g562_real_graph_000205,65,22,40,-0.05903398927000003,True,False,False,False,False,False
g562_real_graph_000206,65,0,0,,False,False,False,False,False,False
g562_real_graph_000207,65,19,35,-0.07471264368000008,True,False,False,False,False,False
g562_real_graph_000208,65,0,0,,False,False,False,False,False,False
g562_real_graph_000209,65,23,40,-0.07414104883000006,True,False,False,False,False,False
g562_real_graph_000210,65,4,60,-0.04024390244000009,True,False,False,False,False,False
g562_real_graph_000211,65,7,57,-0.008453085380000003,True,False,False,False,False,False
g562_real_graph_000212,65,0,0,,False,False,False,False,False,False
g562_real_graph_000213,65,16,45,-0.06707317073000008,True,False,False,False,False,False
g562_real_graph_000214,65,0,0,,False,False,False,False,False,False
g562_real_graph_000215,65,0,0,,False,False,False,False,False,False
g562_real_graph_000216,65,0,0,,False,False,False,False,False,False
g562_real_graph_000217,54,20,44,-0.08542713567999982,True,False,False,False,False,False
g562_real_graph_000218,65,23,41,-0.05777400169999991,True,False,False,False,False,False
g562_real_graph_000219,65,0,0,,False,False,False,False,False,False
g562_real_graph_000220,59,43,21,-5.822891566260001,True,False,False,False,False,False
g562_real_graph_000221,65,14,50,-0.051282051290000075,True,False,False,False,False,False
g562_real_graph_000222,65,0,0,,False,False,False,False,False,False
g562_real_graph_000223,65,21,41,-0.03296703296000003,True,False,False,False,False,False
g562_real_graph_000224,65,20,43,-0.06372275013999995,True,False,False,False,False,False
g562_real_graph_000225,65,42,22,-0.026180698149999904,True,False,False,False,False,False
g562_real_graph_000226,65,0,0,,False,False,False,False,False,False
g562_real_graph_000227,65,1,63,-0.0014430014399999802,True,False,False,False,False,False
g562_real_graph_000228,65,19,43,-0.14754098361000012,True,False,False,False,False,False
g562_real_graph_000229,65,35,29,-0.04397705545000008,True,False,False,False,False,False
g562_real_graph_000230,65,20,44,-0.08823019587000003,True,False,False,False,False,False
g562_real_graph_000231,65,11,53,-0.019635343619999857,True,False,False,False,False,False
g562_real_graph_000232,65,44,20,-0.07177363698999994,True,False,False,False,False,False
g562_real_graph_000233,65,0,0,,False,False,False,False,False,False
g562_real_graph_000234,65,0,0,,False,False,False,False,False,False
g562_real_graph_000235,65,27,37,-0.04356435644000012,True,False,False,False,False,False
g562_real_graph_000236,65,0,0,,False,False,False,False,False,False
g562_real_graph_000237,65,0,0,,False,False,False,False,False,False
g562_real_graph_000238,50,25,39,-1.21261160715,True,False,False,False,False,False
g562_real_graph_000239,65,0,64,,False,False,False,False,False,False
g562_real_graph_000240,65,4,60,-0.033641715729999966,True,False,False,False,False,False
g562_real_graph_000241,64,37,27,-0.08567774936000006,True,False,False,False,False,False
g562_real_graph_000242,65,31,33,-0.05862403100999991,True,False,False,False,False,False
g562_real_graph_000243,65,8,56,-0.02634880803000006,True,False,False,False,False,False
g562_real_graph_000244,65,0,0,,False,False,False,False,False,False
g562_real_graph_000245,65,20,44,-0.07431192660000008,True,False,False,False,False,False
g562_real_graph_000246,65,0,0,,False,False,False,False,False,False
g562_real_graph_000247,65,31,33,-0.06767586821000005,True,False,False,False,False,False
g562_real_graph_000248,65,21,43,-0.045433472420000065,True,False,False,False,False,False
g562_real_graph_000249,42,1,63,-0.011994002999999864,True,False,False,False,False,False
g562_real_graph_000250,65,7,57,-0.3076923077,True,False,False,False,False,False
g562_real_graph_000251,65,41,23,-0.08325991188999993,True,False,False,False,False,False
g562_real_graph_000252,65,25,38,-0.05907626207999983,True,False,False,False,False,False
g562_real_graph_000253,65,0,0,,False,False,False,False,False,False
g562_real_graph_000254,65,10,53,-0.028455284560000127,True,False,False,False,False,False
g562_real_graph_000255,65,0,0,,False,False,False,False,False,False
g562_real_graph_000256,57,27,37,-0.09575757574999999,True,False,False,False,False,False
g562_real_graph_000257,65,27,37,-0.14367359897999998,True,False,False,False,False,False
g562_real_graph_000258,65,0,0,,False,False,False,False,False,False
g562_real_graph_000259,65,0,0,,False,False,False,False,False,False
g562_real_graph_000260,56,1,63,-0.0075187970000001325,True,False,False,False,False,False
g562_real_graph_000261,65,0,0,,False,False,False,False,False,False
g562_real_graph_000262,65,18,0,0.0,True,False,False,False,False,False
g562_real_graph_000263,65,0,0,,False,False,False,False,False,False
g562_real_graph_000264,65,12,52,-0.03359511343999988,True,False,False,False,False,False
g562_real_graph_000265,65,12,52,-0.03585657371000006,True,False,False,False,False,False
g562_real_graph_000266,65,9,55,-0.03278688523999995,True,False,False,False,False,False
g562_real_graph_000267,65,11,53,-0.09489051094,True,False,False,False,False,False
g562_real_graph_000268,65,25,39,-0.05736981465999991,True,False,False,False,False,False
g562_real_graph_000269,65,32,30,-0.05030891437999996,True,False,False,False,False,False
g562_real_graph_000270,65,0,0,,False,False,False,False,False,False
g562_real_graph_000271,65,0,0,,False,False,False,False,False,False
g562_real_graph_000272,54,12,52,-0.12410744644999983,True,False,False,False,False,False
g562_real_graph_000273,65,1,62,-0.03800786369000009,True,False,False,False,False,False
g562_real_graph_000274,65,29,35,-0.06784170269,True,False,False,False,False,False
g562_real_graph_000275,65,25,37,-0.044057377050000124,True,False,False,False,False,False
g562_real_graph_000276,58,30,34,-0.05541561711999998,True,False,False,False,False,False
g562_real_graph_000277,65,21,40,-0.2558139534899999,True,False,False,False,False,False
g562_real_graph_000278,65,0,0,,False,False,False,False,False,False
g562_real_graph_000279,65,18,44,-0.04970178927000002,True,False,False,False,False,False
g562_real_graph_000280,65,18,46,-0.04801324503000015,True,False,False,False,False,False
g562_real_graph_000281,65,24,40,-0.06038647343000014,True,False,False,False,False,False
g562_real_graph_000282,65,0,0,,False,False,False,False,False,False
g562_real_graph_000283,65,0,0,,False,False,False,False,False,False
g562_real_graph_000284,65,0,0,,False,False,False,False,False,False
g562_real_graph_000285,65,0,64,,False,False,False,False,False,False
g562_real_graph_000286,65,18,46,-0.03140916808000016,True,False,False,False,False,False
g562_real_graph_000287,65,0,0,,False,False,False,False,False,False
g562_real_graph_000288,65,9,53,-0.01253918496000006,True,False,False,False,False,False
g562_real_graph_000289,65,16,48,-0.014148790499999953,True,False,False,False,False,False
g562_real_graph_000290,65,0,0,,False,False,False,False,False,False
g562_real_graph_000291,65,16,48,-0.022442244220000074,True,False,False,False,False,False
g562_real_graph_000292,65,27,37,-0.05331753553999996,True,False,False,False,False,False
g562_real_graph_000293,39,21,43,-0.39252336449000014,True,False,False,False,False,False
g562_real_graph_000294,65,34,29,-0.03320860616999988,True,False,False,False,False,False
g562_real_graph_000295,65,0,0,,False,False,False,False,False,False
g562_real_graph_000296,65,13,50,-0.08181818181999989,True,False,False,False,False,False
g562_real_graph_000297,65,53,11,-0.13647642680000005,True,False,False,False,False,False
g562_real_graph_000298,65,4,60,-0.012594458439999956,True,False,False,False,False,False
g562_real_graph_000299,65,28,30,-0.04210526316000007,True,False,False,False,False,False
g562_real_graph_000300,65,0,0,,False,False,False,False,False,False
g562_real_graph_000301,65,40,24,-0.10336341264000004,True,False,False,False,False,False
g562_real_graph_000302,65,5,59,-0.01296596434999997,True,False,False,False,False,False
g562_real_graph_000303,65,0,0,,False,False,False,False,False,False
g562_real_graph_000304,65,8,54,-0.023411371229999922,True,False,False,False,False,False
g562_real_graph_000305,65,32,32,-0.060628742520000056,True,False,False,False,False,False
g562_real_graph_000306,65,0,0,,False,False,False,False,False,False
g562_real_graph_000307,65,10,0,0.0,True,False,False,False,False,False
g562_real_graph_000308,65,0,0,,False,False,False,False,False,False
g562_real_graph_000309,65,13,51,-0.07382953181999996,True,False,False,False,False,False
g562_real_graph_000310,65,0,0,,False,False,False,False,False,False
g562_real_graph_000311,65,0,0,,False,False,False,False,False,False
g562_real_graph_000312,65,0,0,,False,False,False,False,False,False
g562_real_graph_000313,65,24,40,-0.06972928629999986,True,False,False,False,False,False
g562_real_graph_000314,65,47,15,-0.08818635607000003,True,False,False,False,False,False
g562_real_graph_000315,65,0,0,,False,False,False,False,False,False
g562_real_graph_000316,65,9,55,-0.029079616029999977,True,False,False,False,False,False
g562_real_graph_000317,65,9,55,-0.021078735269999926,True,False,False,False,False,False
g562_real_graph_000318,65,10,53,-0.027118644059999975,True,False,False,False,False,False
g562_real_graph_000319,65,0,0,,False,False,False,False,False,False
g562_real_graph_000320,65,0,0,,False,False,False,False,False,False
g562_real_graph_000321,65,10,54,-0.027669902910000044,True,False,False,False,False,False
g562_real_graph_000322,65,3,61,-0.0575284090899999,True,False,False,False,False,False
g562_real_graph_000323,65,0,0,,False,False,False,False,False,False
g562_real_graph_000324,65,0,0,,False,False,False,False,False,False
g562_real_graph_000325,65,0,0,,False,False,False,False,False,False
g562_real_graph_000326,65,47,16,-0.17307692308,True,False,False,False,False,False
g562_real_graph_000327,65,11,46,-0.017006802720000103,True,False,False,False,False,False
g562_real_graph_000328,65,0,0,,False,False,False,False,False,False
g562_real_graph_000329,65,21,41,-0.2857142857099999,True,False,False,False,False,False
g562_real_graph_000330,34,21,43,-2.1799670433200005,True,False,False,False,False,False
g562_real_graph_000331,65,14,45,-0.022403258650000035,True,False,False,False,False,False
g562_real_graph_000332,65,21,42,-0.04970230390999997,True,False,False,False,False,False
g562_real_graph_000333,65,34,28,-0.03553299492000006,True,False,False,False,False,False
g562_real_graph_000334,65,27,35,-0.050561797749999915,True,False,False,False,False,False
g562_real_graph_000335,65,7,57,-0.6767676767699999,True,False,False,False,False,False
g562_real_graph_000336,65,12,51,-0.0369415807600002,True,False,False,False,False,False
g562_real_graph_000337,65,0,0,,False,False,False,False,False,False
g562_real_graph_000338,65,4,59,-0.007334963320000165,True,False,False,False,False,False
g562_real_graph_000339,65,16,48,-0.05927835051000008,True,False,False,False,False,False
g562_real_graph_000340,65,13,49,-0.02978235967999998,True,False,False,False,False,False
g562_real_graph_000341,65,8,56,-0.050000000000000044,True,False,False,False,False,False
g562_real_graph_000342,65,33,29,-0.057675244009999904,True,False,False,False,False,False
g562_real_graph_000343,65,0,0,,False,False,False,False,False,False
g562_real_graph_000344,65,0,0,,False,False,False,False,False,False
g562_real_graph_000345,65,7,57,-0.05099502486999996,True,False,False,False,False,False
g562_real_graph_000346,65,26,38,-0.06686518679000009,True,False,False,False,False,False
g562_real_graph_000347,65,0,0,,False,False,False,False,False,False
g562_real_graph_000348,44,5,59,-1.09617755857,True,False,False,False,False,False
g562_real_graph_000349,65,0,0,,False,False,False,False,False,False
g562_real_graph_000350,65,0,0,,False,False,False,False,False,False
g562_real_graph_000351,65,0,0,,False,False,False,False,False,False
g562_real_graph_000352,65,0,0,,False,False,False,False,False,False
g562_real_graph_000353,65,1,60,-0.01607717042000001,True,False,False,False,False,False
g562_real_graph_000354,65,0,0,,False,False,False,False,False,False
g562_real_graph_000355,65,50,12,-0.52830188679,True,False,False,False,False,False
g562_real_graph_000356,65,27,37,-0.060606060609999846,True,False,False,False,False,False
g562_real_graph_000357,65,0,0,,False,False,False,False,False,False
g562_real_graph_000358,65,1,63,-0.019433882550000003,True,False,False,False,False,False
g562_real_graph_000359,65,0,0,,False,False,False,False,False,False
g562_real_graph_000360,65,27,34,-0.29770992367000004,True,False,False,False,False,False
g562_real_graph_000361,65,23,39,-0.030690537080000135,True,False,False,False,False,False
g562_real_graph_000362,65,25,38,-0.11662531016999989,True,False,False,False,False,False
g562_real_graph_000363,60,47,17,-0.07007938681000003,True,False,False,False,False,False
g562_real_graph_000364,65,0,0,,False,False,False,False,False,False
g562_real_graph_000365,65,24,39,-0.02466367712999995,True,False,False,False,False,False
g562_real_graph_000366,65,32,32,-0.30833333334,True,False,False,False,False,False
g562_real_graph_000367,65,0,0,,False,False,False,False,False,False
g562_real_graph_000368,65,0,0,,False,False,False,False,False,False
g562_real_graph_000369,65,0,0,,False,False,False,False,False,False
g562_real_graph_000370,65,26,38,-0.12770375497999997,True,False,False,False,False,False
g562_real_graph_000371,65,6,58,-0.03480165490999987,True,False,False,False,False,False
g562_real_graph_000372,65,42,21,-0.17654476670999997,True,False,False,False,False,False
g562_real_graph_000373,65,45,19,-0.11706102117000006,True,False,False,False,False,False
g562_real_graph_000374,65,26,37,-0.038839494609999914,True,False,False,False,False,False
g562_real_graph_000375,65,23,40,-0.03664921465999993,True,False,False,False,False,False
g562_real_graph_000376,65,0,0,,False,False,False,False,False,False
g562_real_graph_000377,65,25,39,-0.08713355048999993,True,False,False,False,False,False
g562_real_graph_000378,65,19,44,-0.028445316329999804,True,False,False,False,False,False
g562_real_graph_000379,65,41,21,-0.30882352942000013,True,False,False,False,False,False
g562_real_graph_000380,65,0,0,,False,False,False,False,False,False
g562_real_graph_000381,65,22,42,-0.08300395256999993,True,False,False,False,False,False
g562_real_graph_000382,65,27,37,-0.03948001925,True,False,False,False,False,False
g562_real_graph_000383,65,49,14,-0.22403258656000014,True,False,False,False,False,False
g562_real_graph_000384,31,30,34,-94.15226669747001,True,False,False,False,False,False
g562_real_graph_000385,65,0,0,,False,False,False,False,False,False
g562_real_graph_000386,65,0,0,,False,False,False,False,False,False
g562_real_graph_000387,65,19,45,-0.07577639751999987,True,False,False,False,False,False
g562_real_graph_000388,65,0,0,,False,False,False,False,False,False
g562_real_graph_000389,65,0,0,,False,False,False,False,False,False
