row_type,policy,risk_bucket_low,risk_bucket_high,contexts,mean_predicted_harmful_risk,actual_harmful_rate,ece_abs_error
risk_calibration_bucket,candidate_params_only_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,candidate_params_only_ranker,0.1,0.2,0,inf,inf,
risk_calibration_bucket,candidate_params_only_ranker,0.2,0.5,0,inf,inf,
risk_calibration_bucket,candidate_params_only_ranker,0.5,1.01,60,0.6504727490500809,0.3333333333333333,0.3171394157167476
risk_calibration_bucket,context_only_ranker,0.0,0.05,0,inf,inf,
risk_calibration_bucket,context_only_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,context_only_ranker,0.1,0.2,1,0.18364982438198352,0.0,0.18364982438198352
risk_calibration_bucket,context_only_ranker,0.2,0.5,9,0.42260679398350276,0.0,0.42260679398350276
risk_calibration_bucket,context_only_ranker,0.5,1.01,50,0.7552200720180781,0.4,0.35522007201807804
risk_calibration_bucket,fixed_g518_best_new_by_mean_delta,0.0,0.05,0,inf,inf,
risk_calibration_bucket,fixed_g518_best_new_by_mean_delta,0.05,0.1,0,inf,inf,
risk_calibration_bucket,fixed_g518_best_new_by_mean_delta,0.1,0.2,0,inf,inf,
risk_calibration_bucket,fixed_g518_best_new_by_mean_delta,0.2,0.5,0,inf,inf,
risk_calibration_bucket,fixed_g518_best_new_by_mean_delta,0.5,1.01,60,1.0,0.5166666666666667,0.4833333333333333
risk_calibration_bucket,fixed_g518_best_new_by_oracle_wins,0.0,0.05,0,inf,inf,
risk_calibration_bucket,fixed_g518_best_new_by_oracle_wins,0.05,0.1,0,inf,inf,
risk_calibration_bucket,fixed_g518_best_new_by_oracle_wins,0.1,0.2,0,inf,inf,
risk_calibration_bucket,fixed_g518_best_new_by_oracle_wins,0.2,0.5,0,inf,inf,
risk_calibration_bucket,fixed_g518_best_new_by_oracle_wins,0.5,1.01,60,1.0,0.5666666666666667,0.43333333333333335
risk_calibration_bucket,fixed_old14_block_heavy,0.0,0.05,0,inf,inf,
risk_calibration_bucket,fixed_old14_block_heavy,0.05,0.1,0,inf,inf,
risk_calibration_bucket,fixed_old14_block_heavy,0.1,0.2,0,inf,inf,
risk_calibration_bucket,fixed_old14_block_heavy,0.2,0.5,0,inf,inf,
risk_calibration_bucket,fixed_old14_block_heavy,0.5,1.01,60,1.0,0.55,0.44999999999999996
risk_calibration_bucket,fixed_old14_wait_conservative,0.0,0.05,0,inf,inf,
risk_calibration_bucket,fixed_old14_wait_conservative,0.05,0.1,0,inf,inf,
risk_calibration_bucket,fixed_old14_wait_conservative,0.1,0.2,0,inf,inf,
risk_calibration_bucket,fixed_old14_wait_conservative,0.2,0.5,0,inf,inf,
risk_calibration_bucket,fixed_old14_wait_conservative,0.5,1.01,60,1.0,0.55,0.44999999999999996
risk_calibration_bucket,g512_ranker_reproduced_if_applicable,0.0,0.05,0,inf,inf,
risk_calibration_bucket,g512_ranker_reproduced_if_applicable,0.05,0.1,0,inf,inf,
risk_calibration_bucket,g512_ranker_reproduced_if_applicable,0.1,0.2,0,inf,inf,
risk_calibration_bucket,g512_ranker_reproduced_if_applicable,0.2,0.5,33,0.39697256414495996,0.0,0.39697256414495996
risk_calibration_bucket,g512_ranker_reproduced_if_applicable,0.5,1.01,27,0.7973974645039155,0.7407407407407407,0.056656723763174766
risk_calibration_bucket,g514_v4_ranker_reproduced_if_applicable,0.0,0.05,0,inf,inf,
risk_calibration_bucket,g514_v4_ranker_reproduced_if_applicable,0.05,0.1,1,0.07026504159672786,0.0,0.07026504159672786
risk_calibration_bucket,g514_v4_ranker_reproduced_if_applicable,0.1,0.2,1,0.13677929343747497,0.0,0.13677929343747497
risk_calibration_bucket,g514_v4_ranker_reproduced_if_applicable,0.2,0.5,27,0.3932802456266589,0.0,0.3932802456266589
risk_calibration_bucket,g514_v4_ranker_reproduced_if_applicable,0.5,1.01,31,0.7792188041774601,0.6451612903225806,0.13405751385487952
risk_calibration_bucket,g515_pairwise_ranker_reproduced_if_applicable,0.0,0.05,0,inf,inf,
risk_calibration_bucket,g515_pairwise_ranker_reproduced_if_applicable,0.05,0.1,0,inf,inf,
risk_calibration_bucket,g515_pairwise_ranker_reproduced_if_applicable,0.1,0.2,0,inf,inf,
risk_calibration_bucket,g515_pairwise_ranker_reproduced_if_applicable,0.2,0.5,37,0.41708817701260603,0.0,0.41708817701260603
risk_calibration_bucket,g515_pairwise_ranker_reproduced_if_applicable,0.5,1.01,23,0.8512474105051833,0.8695652173913043,0.018317806886121057
risk_calibration_bucket,new_candidate_only_ranker,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,new_candidate_only_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,new_candidate_only_ranker,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,new_candidate_only_ranker,0.2,0.5,28,0.4006756241751786,0.0,0.4006756241751786
risk_calibration_bucket,new_candidate_only_ranker,0.5,1.01,29,0.8010755757579484,0.6896551724137931,0.11142040334415526
risk_calibration_bucket,no_new_candidate_ablation,0.0,0.05,1,0.04504357650306634,0.0,0.04504357650306634
risk_calibration_bucket,no_new_candidate_ablation,0.05,0.1,0,inf,inf,
risk_calibration_bucket,no_new_candidate_ablation,0.1,0.2,1,0.16431542317686176,0.0,0.16431542317686176
risk_calibration_bucket,no_new_candidate_ablation,0.2,0.5,28,0.3948493296862053,0.0,0.3948493296862053
risk_calibration_bucket,no_new_candidate_ablation,0.5,1.01,30,0.8013236650429083,0.6666666666666666,0.13465699837624168
risk_calibration_bucket,no_rich_feature_ablation,0.0,0.05,0,inf,inf,
risk_calibration_bucket,no_rich_feature_ablation,0.05,0.1,0,inf,inf,
risk_calibration_bucket,no_rich_feature_ablation,0.1,0.2,0,inf,inf,
risk_calibration_bucket,no_rich_feature_ablation,0.2,0.5,33,0.39697256414495996,0.0,0.39697256414495996
risk_calibration_bucket,no_rich_feature_ablation,0.5,1.01,27,0.7973974645039155,0.7407407407407407,0.056656723763174766
risk_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.0,0.05,0,inf,inf,
risk_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.05,0.1,1,0.07026504159672786,0.0,0.07026504159672786
risk_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.1,0.2,1,0.13677929343747497,0.0,0.13677929343747497
risk_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.2,0.5,27,0.3932802456266589,0.0,0.3932802456266589
risk_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.5,1.01,31,0.7792188041774601,0.6451612903225806,0.13405751385487952
risk_calibration_bucket,old14_only_ranker,0.0,0.05,1,0.04504357650306634,0.0,0.04504357650306634
risk_calibration_bucket,old14_only_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,old14_only_ranker,0.1,0.2,1,0.16431542317686176,0.0,0.16431542317686176
risk_calibration_bucket,old14_only_ranker,0.2,0.5,28,0.3948493296862053,0.0,0.3948493296862053
risk_calibration_bucket,old14_only_ranker,0.5,1.01,30,0.8013236650429083,0.6666666666666666,0.13465699837624168
risk_calibration_bucket,opportunity_bound_diagnostic_not_for_promotion,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,opportunity_bound_diagnostic_not_for_promotion,0.05,0.1,0,inf,inf,
risk_calibration_bucket,opportunity_bound_diagnostic_not_for_promotion,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,opportunity_bound_diagnostic_not_for_promotion,0.2,0.5,28,0.39997510625563754,0.0,0.39997510625563754
risk_calibration_bucket,opportunity_bound_diagnostic_not_for_promotion,0.5,1.01,29,0.8010755757579484,0.6896551724137931,0.11142040334415526
risk_calibration_bucket,oracle_new22_upper_bound,0.0,0.05,0,inf,inf,
risk_calibration_bucket,oracle_new22_upper_bound,0.05,0.1,0,inf,inf,
risk_calibration_bucket,oracle_new22_upper_bound,0.1,0.2,0,inf,inf,
risk_calibration_bucket,oracle_new22_upper_bound,0.2,0.5,0,inf,inf,
risk_calibration_bucket,oracle_new22_upper_bound,0.5,1.01,60,1.0,0.3333333333333333,0.6666666666666667
risk_calibration_bucket,oracle_old14_upper_bound,0.0,0.05,0,inf,inf,
risk_calibration_bucket,oracle_old14_upper_bound,0.05,0.1,0,inf,inf,
risk_calibration_bucket,oracle_old14_upper_bound,0.1,0.2,0,inf,inf,
risk_calibration_bucket,oracle_old14_upper_bound,0.2,0.5,0,inf,inf,
risk_calibration_bucket,oracle_old14_upper_bound,0.5,1.01,60,1.0,0.3333333333333333,0.6666666666666667
risk_calibration_bucket,pessimistic_delta_bound_ranker,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,pessimistic_delta_bound_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,pessimistic_delta_bound_ranker,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,pessimistic_delta_bound_ranker,0.2,0.5,28,0.39997510625563754,0.0,0.39997510625563754
risk_calibration_bucket,pessimistic_delta_bound_ranker,0.5,1.01,29,0.8010755757579484,0.6896551724137931,0.11142040334415526
risk_calibration_bucket,pessimistic_risk_bound_ranker,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,pessimistic_risk_bound_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,pessimistic_risk_bound_ranker,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,pessimistic_risk_bound_ranker,0.2,0.5,28,0.3974174928665432,0.0,0.3974174928665432
risk_calibration_bucket,pessimistic_risk_bound_ranker,0.5,1.01,29,0.7979020577714392,0.6896551724137931,0.10824688535764604
risk_calibration_bucket,random_candidate,0.0,0.05,0,inf,inf,
risk_calibration_bucket,random_candidate,0.05,0.1,0,inf,inf,
risk_calibration_bucket,random_candidate,0.1,0.2,0,inf,inf,
risk_calibration_bucket,random_candidate,0.2,0.5,0,inf,inf,
risk_calibration_bucket,random_candidate,0.5,1.01,60,1.0,0.65,0.35
risk_calibration_bucket,rich_interactions_shuffled_within_train_split,0.0,0.05,0,inf,inf,
risk_calibration_bucket,rich_interactions_shuffled_within_train_split,0.05,0.1,0,inf,inf,
risk_calibration_bucket,rich_interactions_shuffled_within_train_split,0.1,0.2,2,0.19178696327264877,0.0,0.19178696327264877
risk_calibration_bucket,rich_interactions_shuffled_within_train_split,0.2,0.5,25,0.42017170176453095,0.0,0.42017170176453095
risk_calibration_bucket,rich_interactions_shuffled_within_train_split,0.5,1.01,33,0.7248741315266324,0.6060606060606061,0.1188135254660263
risk_calibration_bucket,ridge_delta_risk_ranker_v8,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,ridge_delta_risk_ranker_v8,0.05,0.1,0,inf,inf,
risk_calibration_bucket,ridge_delta_risk_ranker_v8,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,ridge_delta_risk_ranker_v8,0.2,0.5,28,0.39997510625563754,0.0,0.39997510625563754
risk_calibration_bucket,ridge_delta_risk_ranker_v8,0.5,1.01,29,0.8010755757579484,0.6896551724137931,0.11142040334415526
risk_calibration_bucket,ridge_listwise_regret_ranker_v8,0.0,0.05,0,inf,inf,
risk_calibration_bucket,ridge_listwise_regret_ranker_v8,0.05,0.1,0,inf,inf,
risk_calibration_bucket,ridge_listwise_regret_ranker_v8,0.1,0.2,0,inf,inf,
risk_calibration_bucket,ridge_listwise_regret_ranker_v8,0.2,0.5,35,0.42280480022054406,0.0,0.42280480022054406
risk_calibration_bucket,ridge_listwise_regret_ranker_v8,0.5,1.01,25,0.8258056408464688,0.8,0.025805640846468747
risk_calibration_bucket,ridge_pairwise_context_ranker_v8,0.0,0.05,0,inf,inf,
risk_calibration_bucket,ridge_pairwise_context_ranker_v8,0.05,0.1,0,inf,inf,
risk_calibration_bucket,ridge_pairwise_context_ranker_v8,0.1,0.2,0,inf,inf,
risk_calibration_bucket,ridge_pairwise_context_ranker_v8,0.2,0.5,37,0.41708817701260603,0.0,0.41708817701260603
risk_calibration_bucket,ridge_pairwise_context_ranker_v8,0.5,1.01,23,0.8512474105051833,0.8695652173913043,0.018317806886121057
risk_calibration_bucket,safe_train_only_map_agent_gate_over_22,0.0,0.05,0,inf,inf,
risk_calibration_bucket,safe_train_only_map_agent_gate_over_22,0.05,0.1,0,inf,inf,
risk_calibration_bucket,safe_train_only_map_agent_gate_over_22,0.1,0.2,0,inf,inf,
risk_calibration_bucket,safe_train_only_map_agent_gate_over_22,0.2,0.5,0,inf,inf,
risk_calibration_bucket,safe_train_only_map_agent_gate_over_22,0.5,1.01,60,1.0,0.36666666666666664,0.6333333333333333
risk_calibration_bucket,static_flow_shield,0.0,0.05,0,inf,inf,
risk_calibration_bucket,static_flow_shield,0.05,0.1,0,inf,inf,
risk_calibration_bucket,static_flow_shield,0.1,0.2,0,inf,inf,
risk_calibration_bucket,static_flow_shield,0.2,0.5,0,inf,inf,
risk_calibration_bucket,static_flow_shield,0.5,1.01,60,1.0,0.3333333333333333,0.6666666666666667
risk_calibration_bucket,train_only_family_prior,0.0,0.05,0,inf,inf,
risk_calibration_bucket,train_only_family_prior,0.05,0.1,0,inf,inf,
risk_calibration_bucket,train_only_family_prior,0.1,0.2,0,inf,inf,
risk_calibration_bucket,train_only_family_prior,0.2,0.5,0,inf,inf,
risk_calibration_bucket,train_only_family_prior,0.5,1.01,60,1.0,0.5333333333333333,0.4666666666666667
risk_calibration_bucket,train_only_map_agent_prior_over_22,0.0,0.05,0,inf,inf,
risk_calibration_bucket,train_only_map_agent_prior_over_22,0.05,0.1,0,inf,inf,
risk_calibration_bucket,train_only_map_agent_prior_over_22,0.1,0.2,0,inf,inf,
risk_calibration_bucket,train_only_map_agent_prior_over_22,0.2,0.5,0,inf,inf,
risk_calibration_bucket,train_only_map_agent_prior_over_22,0.5,1.01,60,1.0,0.5333333333333333,0.4666666666666667
risk_calibration_bucket,train_only_new_candidate_gate,0.0,0.05,0,inf,inf,
risk_calibration_bucket,train_only_new_candidate_gate,0.05,0.1,0,inf,inf,
risk_calibration_bucket,train_only_new_candidate_gate,0.1,0.2,0,inf,inf,
risk_calibration_bucket,train_only_new_candidate_gate,0.2,0.5,0,inf,inf,
risk_calibration_bucket,train_only_new_candidate_gate,0.5,1.01,60,1.0,0.3333333333333333,0.6666666666666667
risk_calibration_bucket,true_random_feature_model,0.0,0.05,0,inf,inf,
risk_calibration_bucket,true_random_feature_model,0.05,0.1,0,inf,inf,
risk_calibration_bucket,true_random_feature_model,0.1,0.2,0,inf,inf,
risk_calibration_bucket,true_random_feature_model,0.2,0.5,1,0.4850327569743347,1.0,0.5149672430256653
risk_calibration_bucket,true_random_feature_model,0.5,1.01,59,0.676598486608352,0.3220338983050847,0.35456458830326726
risk_calibration_bucket,true_shuffled_label_model,0.0,0.05,0,inf,inf,
risk_calibration_bucket,true_shuffled_label_model,0.05,0.1,0,inf,inf,
risk_calibration_bucket,true_shuffled_label_model,0.1,0.2,0,inf,inf,
risk_calibration_bucket,true_shuffled_label_model,0.2,0.5,3,0.48687162214989627,0.3333333333333333,0.15353828881656295
risk_calibration_bucket,true_shuffled_label_model,0.5,1.01,57,0.6596852233285219,0.3333333333333333,0.32635188999518855
risk_calibration_bucket,two_stage_context_gate_then_candidate_ranker,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,two_stage_context_gate_then_candidate_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,two_stage_context_gate_then_candidate_ranker,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,two_stage_context_gate_then_candidate_ranker,0.2,0.5,28,0.39997510625563754,0.0,0.39997510625563754
risk_calibration_bucket,two_stage_context_gate_then_candidate_ranker,0.5,1.01,29,0.8010755757579484,0.6896551724137931,0.11142040334415526
risk_calibration_bucket,two_stage_family_gate_then_candidate_ranker,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,two_stage_family_gate_then_candidate_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,two_stage_family_gate_then_candidate_ranker,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,two_stage_family_gate_then_candidate_ranker,0.2,0.5,28,0.39997510625563754,0.0,0.39997510625563754
risk_calibration_bucket,two_stage_family_gate_then_candidate_ranker,0.5,1.01,29,0.8010755757579484,0.6896551724137931,0.11142040334415526
risk_calibration_bucket,two_stage_new_candidate_gate_then_ranker,0.0,0.05,1,0.04083408254129317,1.0,0.9591659174587068
risk_calibration_bucket,two_stage_new_candidate_gate_then_ranker,0.05,0.1,0,inf,inf,
risk_calibration_bucket,two_stage_new_candidate_gate_then_ranker,0.1,0.2,2,0.16080746217113884,0.0,0.16080746217113884
risk_calibration_bucket,two_stage_new_candidate_gate_then_ranker,0.2,0.5,28,0.4006756241751786,0.0,0.4006756241751786
risk_calibration_bucket,two_stage_new_candidate_gate_then_ranker,0.5,1.01,29,0.8010755757579484,0.6896551724137931,0.11142040334415526
