better,bootstrap,equal,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,repeat_index,rows,success_worse_than_ltm_groups,worse
8,"{'mean': 0.004208906334179998, 'ci_low': 0.0006697501721799926, 'ci_high': 0.008112319824579996, 'prob_mean_lt_0': 0.0105, 'samples': 2000}",25,0.004208906334179998,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,3,1,60,0,17
7,"{'mean': 0.003240581586120006, 'ci_low': -0.00025388551299999397, 'ci_high': 0.007003605915040016, 'prob_mean_lt_0': 0.0325, 'samples': 2000}",27,0.003240581586120006,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,3,1,60,0,16
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",53,0.0,0.0,always_additive_defer,0,2,60,0,2
1,"{'mean': -0.00021372798615384352, 'ci_low': -0.0006411839584615306, 'ci_high': 0.0, 'prob_mean_lt_0': 0.628, 'samples': 2000}",51,-0.00021372798615384352,0.0,laur_disable,0,2,60,0,3
1,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,laur_force_additive_direct,0,2,60,0,5
2,"{'mean': -3.7470625686277534e-05, 'ci_low': -0.00011241187705883259, 'ci_high': 0.0, 'prob_mean_lt_0': 0.628, 'samples': 2000}",50,-3.7470625686277534e-05,0.0,repair5f_candidate_additive_ltm,0,2,60,0,4
28,"{'mean': -0.014417072117943389, 'ci_low': -0.02314180868964149, 'ci_high': -0.005610925792867915, 'prob_mean_lt_0': 0.9985, 'samples': 2000}",16,-0.014417072117943389,-0.005328596810000086,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,1,2,60,0,11
21,"{'mean': -0.005851902917403844, 'ci_low': -0.011778606047711535, 'ci_high': 5.662620576922624e-05, 'prob_mean_lt_0': 0.9725, 'samples': 2000}",21,-0.005851902917403844,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,1,2,60,0,13
27,"{'mean': -0.01566812984316667, 'ci_low': -0.024338729100203706, 'ci_high': -0.0076261868838888875, 'prob_mean_lt_0': 1.0, 'samples': 2000}",18,-0.01566812984316667,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,1,2,60,0,11
27,"{'mean': -0.01566812984316667, 'ci_low': -0.024338729100203706, 'ci_high': -0.0076261868838888875, 'prob_mean_lt_0': 1.0, 'samples': 2000}",18,-0.01566812984316667,0.0,repair5g2_best_frozen_static_candidate,1,2,60,0,11
7,"{'mean': 0.003681223270313727, 'ci_low': 0.0005863804486274442, 'ci_high': 0.007007100080784303, 'prob_mean_lt_0': 0.011, 'samples': 2000}",27,0.003681223270313727,0.0,repair5g2_c_equiv_best_frozen_baseline,3,2,60,0,21
32,"{'mean': -0.016364082113792453, 'ci_low': -0.023898571087849062, 'ci_high': -0.008673274013905668, 'prob_mean_lt_0': 1.0, 'samples': 2000}",15,-0.016364082113792453,-0.007637121029999916,repair5g2_frozen_static_or_selector,1,2,60,0,8
27,"{'mean': -0.01566812984316667, 'ci_low': -0.024338729100203706, 'ci_high': -0.0076261868838888875, 'prob_mean_lt_0': 1.0, 'samples': 2000}",18,-0.01566812984316667,0.0,repair5g2_g1_top_diagnostic_candidate,1,2,60,0,11
17,"{'mean': -0.003011733034799997, 'ci_low': -0.009758417477480012, 'ci_high': 0.003308010265800001, 'prob_mean_lt_0': 0.808, 'samples': 2000}",18,-0.003011733034799997,0.0,repair5g2_random_candidate_diagnostic,1,2,60,0,20
26,"{'mean': -0.01371609915883333, 'ci_low': -0.02209956098540741, 'ci_high': -0.005410865937814807, 'prob_mean_lt_0': 0.9975, 'samples': 2000}",18,-0.01371609915883333,0.0,repair5g2_shuffled_flow_shield_diagnostic,1,2,60,0,11
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",52,0.0,0.0,repair5g_dual_additive_parity,0,2,60,0,3
1,"{'mean': -0.00020969538264150684, 'ci_low': -0.0006290861479245206, 'ci_high': 0.0, 'prob_mean_lt_0': 0.631, 'samples': 2000}",52,-0.00020969538264150684,0.0,repair5g_dual_c_equiv_additive,0,2,60,0,2
10,"{'mean': 0.003948409190379998, 'ci_low': 0.00030176850069999704, 'ci_high': 0.007958862410180002, 'prob_mean_lt_0': 0.017, 'samples': 2000}",23,0.003948409190379998,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,3,2,60,0,22
7,"{'mean': 0.003681223270313727, 'ci_low': 0.0005863804486274442, 'ci_high': 0.007007100080784303, 'prob_mean_lt_0': 0.011, 'samples': 2000}",27,0.003681223270313727,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,3,2,60,0,21
