comparator,target_rule,map_name,agents,opportunity_bucket,decision_target,sample_count,use_nonadditive_target_count,matched_oracle_count,rule_top1,rule_top3,safe_utility_top1,safe_utility_top3,utility_regret_to_oracle,selected_delta,additive_delta,selected_vs_additive_delta,selected_vs_additive_utility,high_margin_nonadditive_capture,avoidable_additive_or_defer,harmful_false_negative_selected_count,harmful_false_negative_selected_rate,harmful_false_positive_proxy_count,harmful_false_positive_proxy_rate,decision_accuracy
phase4f_repair5_expand5000_ex5000_mlp_target_global,block_heavy,,,,,171,114,171,0.23684210526315788,0.8333333333333334,0.2222222222222222,0.7777777777777778,0.026116015980364657,0.012561538590306618,0.0,0.012561538590306618,0.003226085645766265,0.4166666666666667,0.4444444444444444,6,0.03508771929824561,18,0.10526315789473684,0.5672514619883041
phase4f_repair5_expand5000_ex5000_mlp_target_global,block_light,,,,,65,38,65,0.0,0.4473684210526316,0.046153846153846156,0.3230769230769231,0.04227040010322158,-0.0013796223229149537,0.0,-0.0013796223229149537,-0.002918083861376493,0.045454545454545456,0.5454545454545454,2,0.03076923076923077,9,0.13846153846153847,0.5692307692307692
phase4f_repair5_expand5000_ex5000_mlp_target_global,commit_heavy,,,,,167,129,167,0.4108527131782946,0.7751937984496124,0.38922155688622756,0.7065868263473054,0.03552865984346596,0.022188850335136737,0.0,0.022188850335136737,0.010650441360525951,0.4479166666666667,0.3958333333333333,5,0.029940119760479042,34,0.20359281437125748,0.5748502994011976
phase4f_repair5_expand5000_ex5000_mlp_target_global,decay_090,,,,,45,28,45,0.0,0.0,0.022222222222222223,0.0,0.0305671284345038,-0.0015832316395811331,0.0,-0.0015832316395811331,-0.002900487147461134,0.2777777777777778,0.4444444444444444,2,0.044444444444444446,8,0.17777777777777778,0.5777777777777777
phase4f_repair5_expand5000_ex5000_mlp_target_global,decay_095,,,,,69,31,69,0.0,0.12903225806451613,0.14492753623188406,0.08695652173913043,0.021455856460645597,-0.01595389501392574,0.0,-0.01595389501392574,-0.0048502836072590715,0.3,0.35,4,0.057971014492753624,5,0.07246376811594203,0.5507246376811594
phase4f_repair5_expand5000_ex5000_mlp_target_global,wait_heavy,,,,,104,65,104,0.015384615384615385,0.6923076923076923,0.028846153846153848,0.7019230769230769,0.025348084185305122,0.0012208870018936156,0.0,0.0012208870018936156,-0.0005606738573813847,0.35135135135135137,0.21621621621621623,4,0.038461538461538464,8,0.07692307692307693,0.5769230769230769
phase4f_repair5_expand5000_ex5000_mlp_target_global,wait_light,,,,,118,78,118,0.28205128205128205,0.7564102564102564,0.2711864406779661,0.5847457627118644,0.02302242098715596,0.0019417385975879409,0.0,0.0019417385975879409,0.003187808760063364,0.4444444444444444,0.24444444444444444,6,0.05084745762711865,9,0.07627118644067797,0.7203389830508474
phase4f_repair5_expand5000_followup_ex5000_follow_global_rank3_anti3,None,,,,,23,0,23,0.0,0.0,0.4782608695652174,0.0,0.004347826086956522,-0.002897195311626087,0.0,-0.002897195311626087,-0.004347826086956522,0.0,0.0,1,0.043478260869565216,0,0.0,0.4782608695652174
phase4f_repair5_expand5000_followup_ex5000_follow_global_rank3_anti3,block_heavy,,,,,171,114,171,0.18421052631578946,0.7719298245614035,0.19298245614035087,0.7368421052631579,0.027097907886680435,-0.003117269169284011,0.0,-0.003117269169284011,0.0022441937394504915,0.3194444444444444,0.5,4,0.023391812865497075,19,0.1111111111111111,0.5321637426900585
phase4f_repair5_expand5000_followup_ex5000_follow_global_rank3_anti3,block_light,,,,,65,38,65,0.0,0.42105263157894735,0.03076923076923077,0.2923076923076923,0.04370179436389703,-0.002041785814359631,0.0,-0.002041785814359631,-0.004349478122051938,0.0,0.6363636363636364,3,0.046153846153846156,10,0.15384615384615385,0.6
phase4f_repair5_expand5000_followup_ex5000_follow_global_rank3_anti3,commit_heavy,,,,,167,129,167,0.4263565891472868,0.9534883720930233,0.41317365269461076,0.8982035928143712,0.03517683755741321,0.016092084005860152,0.0,0.016092084005860152,0.011002263646578712,0.4375,0.3958333333333333,4,0.023952095808383235,34,0.20359281437125748,0.5808383233532934
phase4f_repair5_expand5000_followup_ex5000_follow_global_rank3_anti3,decay_090,,,,,45,28,45,0.0,0.0,0.022222222222222223,0.0,0.029986940093960555,-0.0006518225130334442,0.0,-0.0006518225130334442,-0.002320298806917889,0.2777777777777778,0.4444444444444444,2,0.044444444444444446,7,0.15555555555555556,0.5555555555555556
phase4f_repair5_expand5000_followup_ex5000_follow_global_rank3_anti3,decay_095,,,,,69,31,69,0.0,0.0,0.15942028985507245,0.0,0.023416037661152116,-0.016464800852113423,0.0,-0.016464800852113423,-0.0068104648077655944,0.35,0.35,6,0.08695652173913043,7,0.10144927536231885,0.5362318840579711
