candidate_id,candidate_family,proposal_seed,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,predicted_context_budget_pairs,predicted_improvement_context_budget_pairs,mean_predicted_new_gap_vs_old_oracle,predicted_harmful_risk,nearest_g517_failed_param_distance,nearest_old14_param_distance,too_close_to_g517_failed_candidate,surrogate_selection_score,selected_batch
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.35,0.95,1.0,0.3,0.75,False,37,0,0.039731949519,0.144899516844,0.475289385533,0.158113883008,False,0.041905442272,B
repair5g518_grid_c0p90_b1p50_f1p00_w0p55_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.55,0.95,1.0,0.35,0.75,False,37,0,0.040141524349,0.123537981211,0.54626001135,0.111803398875,False,0.041994594068,B
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p90_df0p98_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.9,0.98,0.35,0.75,False,37,0,0.041106100478,0.065073439824,0.270739727414,0.053851648071,False,0.042082202076,
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.65,1.0,0.45,0.95,1.0,0.45,0.75,False,37,0,0.039918195094,0.152883916816,0.68985505724,0.212132034356,False,0.042211453847,B
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p90_df0p95_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.9,0.95,0.35,0.75,False,37,0,0.041261865124,0.071430084587,0.274590604355,0.05,False,0.042333316393,
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p92_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.92,0.92,0.35,0.75,False,37,0,0.041276374895,0.072256778501,0.280891438104,0.042426406871,False,0.042360226572,
repair5g518_grid_c1p25_b1p25_f1p00_w0p60_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.6,0.95,1.0,0.3,0.75,False,37,0,0.041075656988,0.11122303789,0.297321374946,0.111803398875,False,0.042744002557,
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p88_df0p98_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.88,0.98,0.35,0.75,False,37,0,0.041583909514,0.084335868388,0.272946881279,0.072801098893,False,0.04284894754,B
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p90_df0p92_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.9,0.92,0.35,0.75,False,37,0,0.041625663485,0.086282045843,0.281602556807,0.058309518948,False,0.042919894173,A
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p88_df0p95_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.88,0.95,0.35,0.75,False,37,0,0.041710244879,0.089435155842,0.276767050062,0.07,False,0.043051772217,
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.45,0.95,1.0,0.35,0.75,False,37,0,0.041025190891,0.1471407037,0.555337735077,0.15,False,0.043232301447,B
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p50_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.45,0.95,1.0,0.5,0.75,False,37,0,0.040683148325,0.177227961619,0.46465040622,0.158113883008,False,0.043341567749,
repair5g518_grid_c0p90_b1p50_f1p00_w0p55_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.55,0.95,1.0,0.45,0.75,False,37,0,0.041058131209,0.153051027893,0.573061951276,0.15,False,0.043353896628,
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p50_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.5,0.95,1.0,0.5,0.75,False,37,0,0.041172285514,0.150670339134,0.434050688284,0.15,False,0.043432340601,
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p88_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.95,0.88,0.35,0.75,False,37,0,0.041966703622,0.101107068527,0.296310647801,0.07,False,0.04348330965,A
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p55_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.45,0.95,1.0,0.55,0.75,False,37,0,0.04096923056,0.170380328229,0.654522726878,0.229128784748,False,0.043524935483,
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p88_df0p92_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.88,0.92,0.35,0.75,False,37,0,0.042009912447,0.101559415966,0.283725219182,0.076157731059,False,0.043533303687,
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p50_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.35,0.95,1.0,0.5,0.75,False,37,0,0.040854616461,0.187551192826,0.534696175412,0.212132034356,False,0.043667884353,
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p88_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.92,0.88,0.35,0.75,False,37,0,0.042113142623,0.106495214316,0.29478805946,0.076157731059,False,0.043710570837,B
repair5g518_grid_c0p90_b1p50_f1p00_w0p65_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.65,0.95,1.0,0.45,0.75,False,37,0,0.041332633381,0.161494048679,0.54626001135,0.206155281281,False,0.043755044111,
repair5g518_grid_c0p90_b1p40_f1p00_w0p55_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.55,0.95,1.0,0.35,0.75,False,37,0,0.041442635947,0.157395799139,0.508330601086,0.15,False,0.043803572934,
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p90_df0p88_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.9,0.88,0.35,0.75,False,37,0,0.042320983275,0.114520281199,0.295465734054,0.08602325267,False,0.044038787493,
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.45,0.95,1.0,0.45,0.75,False,37,0,0.04160314451,0.167527799474,0.58172158289,0.180277563773,False,0.044116061502,
repair5g518_grid_c0p90_b1p50_f1p00_w0p55_dc0p95_df1p00_beta0p55_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.55,0.95,1.0,0.55,0.75,False,37,0,0.041401339445,0.181111554806,0.615142259969,0.229128784748,False,0.044118012767,
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p88_df0p88_beta0p35_max0p75_c0,flow_decay,decay_grid,1.25,1.25,1.0,0.75,0.88,0.88,0.35,0.75,False,37,0,0.042580626708,0.124552811835,0.297489495613,0.098994949366,False,0.044448918886,
repair5g518_grid_c0p90_b1p50_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.65,0.95,1.0,0.35,0.75,False,37,0,0.04212536057,0.170799062401,0.51807335388,0.180277563773,False,0.044687346506,
repair5g518_grid_c0p90_b1p40_f1p00_w0p55_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.55,0.95,1.0,0.45,0.75,False,37,0,0.04212066041,0.178860552447,0.537028863284,0.180277563773,False,0.044803568696,
repair5g518_grid_c0p90_b1p40_f1p00_w0p55_dc0p95_df1p00_beta0p55_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.55,0.95,1.0,0.55,0.75,False,37,0,0.04190693462,0.195207920718,0.58172158289,0.25,False,0.044835053431,
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p60_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.35,0.95,1.0,0.6,0.75,False,37,0,0.041851637955,0.216798516475,0.588132638101,0.291547594742,False,0.045103615702,
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.45,0.95,1.0,0.45,1.0,False,37,0,0.04174850668,0.224880249054,0.752263251794,0.291547594742,False,0.045121710416,
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p60_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.45,0.95,1.0,0.6,0.75,False,37,0,0.042454763998,0.190539101592,0.525261839467,0.25495097568,False,0.045312850522,
repair5g518_grid_c0p90_b1p50_f1p00_w0p65_dc0p95_df1p00_beta0p55_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.65,0.95,1.0,0.55,0.75,False,37,0,0.042389223737,0.203547405742,0.590254182535,0.269258240357,False,0.045442434823,
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p55_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.45,0.95,1.0,0.55,0.75,False,37,0,0.042673986573,0.200305478168,0.623217458035,0.25,False,0.045678568746,
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p35_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.45,0.95,1.0,0.35,1.0,False,37,0,0.042327220808,0.223555260365,0.732051910728,0.273861278753,False,0.045680549714,
repair5g518_grid_c0p90_b1p50_f1p00_w0p55_dc0p95_df1p00_beta0p35_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.55,0.95,1.0,0.35,1.0,False,37,0,0.042157057169,0.23725054899,0.697065276714,0.273861278753,False,0.045715815404,
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p45_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.45,0.95,1.0,0.45,1.0,False,37,0,0.042165922291,0.238474849409,0.725189630373,0.308220700148,False,0.045743045032,
repair5g518_grid_c0p90_b1p50_f1p00_w0p55_dc0p95_df1p00_beta0p45_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.55,0.95,1.0,0.45,1.0,False,37,0,0.042256139291,0.240564417569,0.718261790714,0.291547594742,False,0.045864605554,
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p55_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.45,0.95,1.0,0.55,1.0,False,37,0,0.042231560791,0.242844039121,0.784792966329,0.339116499156,False,0.045874221378,
repair5g518_grid_c0p90_b1p40_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.65,0.95,1.0,0.35,0.75,False,37,0,0.04308026926,0.191105468754,0.477912125814,0.206155281281,False,0.045946851291,
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p60_max0p75_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.5,0.95,1.0,0.6,0.75,False,37,0,0.042919429457,0.205369868693,0.498397431775,0.25,False,0.045999977487,
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.65,1.0,0.45,0.95,1.0,0.35,1.0,False,37,0,0.042540731334,0.233342318959,0.795864310043,0.31224989992,False,0.046040866119,
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.35,0.95,1.0,0.35,1.0,False,37,0,0.042290519913,0.26367047563,0.648768063332,0.291547594742,False,0.046245577048,
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.45,0.95,1.0,0.35,1.0,False,37,0,0.04264133758,0.245426917307,0.704201675658,0.291547594742,False,0.04632274134,
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p55_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.45,0.95,1.0,0.55,1.0,False,37,0,0.042618159251,0.255395953755,0.758880754796,0.353553390593,False,0.046449098557,
repair5g518_grid_c0p90_b1p40_f1p00_w0p55_dc0p95_df1p00_beta0p35_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.55,0.95,1.0,0.35,1.0,False,37,0,0.042664010544,0.253618052072,0.667757440992,0.291547594742,False,0.046468281325,
repair5g518_grid_c0p90_b1p40_f1p00_w0p55_dc0p95_df1p00_beta0p45_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.55,0.95,1.0,0.45,1.0,False,37,0,0.042749349619,0.257034860141,0.68985505724,0.308220700148,False,0.046604872521,
repair5g518_grid_c0p90_b1p40_f1p00_w0p65_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.65,0.95,1.0,0.45,0.75,False,37,0,0.043561972596,0.210230395649,0.508330601086,0.229128784748,False,0.04671542853,
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p35_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.45,0.95,1.0,0.35,1.0,False,37,0,0.043095057938,0.244760162069,0.592368128785,0.25495097568,False,0.046766460369,
repair5g518_grid_c1p20_b1p35_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,static_boundary_grid,1.2,1.35,1.0,0.8,0.95,1.0,0.25,0.75,False,37,0,0.044091889774,0.178739034181,0.28,0.158113883008,False,0.046772975287,A
repair5g518_grid_c1p35_b1p15_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,static_boundary_grid,1.35,1.15,1.0,0.8,0.95,1.0,0.25,0.75,False,37,0,0.044267949686,0.185506761843,0.293087017795,0.180277563773,False,0.047050551114,A
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p50_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.35,0.95,1.0,0.5,1.0,False,37,0,0.0428903075,0.284846159776,0.688040696471,0.327871926215,False,0.047162999896,
repair5g518_grid_c1p20_b1p55_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,high_beta,high_beta_grid,1.2,1.55,1.0,0.7,0.95,1.0,0.55,0.75,False,37,0,0.043853420718,0.223556869951,0.498397431775,0.31224989992,False,0.047206773768,A
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,high_beta,high_beta_grid,1.2,1.35,1.0,0.7,0.95,1.0,0.6,0.75,False,37,0,0.043371864436,0.266090316176,0.44821869662,0.122474487139,False,0.047363219179,B
repair5g518_grid_c0p90_b1p50_f1p00_w0p55_dc0p95_df1p00_beta0p55_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.55,0.95,1.0,0.55,1.0,False,37,0,0.043266957659,0.275929452327,0.752263251794,0.339116499156,False,0.047405899444,
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,high_beta,high_beta_grid,1.2,1.15,1.0,0.7,0.95,1.0,0.6,0.75,False,37,0,0.043458762489,0.266729915808,0.44821869662,0.122474487139,False,0.047459711226,C
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p30_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.5,0.95,1.0,0.3,1.0,False,37,0,0.043650856467,0.256041179103,0.562049819856,0.25495097568,False,0.047491474153,
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,high_beta,high_beta_grid,1.2,1.35,1.0,0.7,0.95,1.0,0.55,0.75,False,37,0,0.043809873658,0.249772288705,0.410365690574,0.132287565553,False,0.047556457989,C
repair5g518_grid_c1p35_b1p35_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,static_boundary_grid,1.35,1.35,1.0,0.8,0.95,1.0,0.25,0.75,False,37,0,0.044674672577,0.1971113056,0.293087017795,0.180277563773,False,0.047631342161,C
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.5,0.95,1.0,0.35,1.0,False,37,0,0.043721163475,0.26128401472,0.568682688325,0.25,False,0.047640423696,
repair5g518_grid_c1p25_b1p25_f1p00_w0p90_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,wait_grid,1.25,1.25,1.0,0.9,0.95,1.0,0.35,0.75,False,37,0,0.04427902095,0.229814374252,0.309677251344,0.1,False,0.047726236564,
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,high_beta,high_beta_grid,1.2,1.15,1.0,0.7,0.95,1.0,0.55,0.75,False,37,0,0.043975942333,0.253031858555,0.410365690574,0.132287565553,False,0.047771420212,C
repair5g518_grid_c0p90_b1p40_f1p00_w0p55_dc0p95_df1p00_beta0p55_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.55,0.95,1.0,0.55,1.0,False,37,0,0.043741292964,0.284702812645,0.725189630373,0.353553390593,False,0.048011835153,
repair5g518_grid_c1p20_b1p55_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,high_beta,high_beta_grid,1.2,1.55,1.0,0.7,0.95,1.0,0.6,0.75,False,37,0,0.044382170572,0.24335154601,0.53,0.308220700148,False,0.048032443762,
repair5g518_grid_c1p25_b1p25_f1p00_w0p90_dc0p95_df1p00_beta0p30_max0p75_c0,wait_aggressive,wait_grid,1.25,1.25,1.0,0.9,0.95,1.0,0.3,0.75,False,37,0,0.044617539129,0.23129160677,0.297321374946,0.111803398875,False,0.048086913231,
repair5g518_grid_c1p35_b1p15_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p90_c0,static_boundary,static_boundary_grid,1.35,1.15,1.0,0.8,0.95,1.0,0.25,0.9,False,37,0,0.044583263804,0.233604193007,0.428252262107,0.234520787991,False,0.048087326699,C
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p60_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.35,0.95,1.0,0.6,1.0,False,37,0,0.043998809932,0.274757100437,0.73034238546,0.384057287393,False,0.048120166438,
repair5g518_grid_c0p90_b1p40_f1p00_w0p65_dc0p95_df1p00_beta0p45_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.65,0.95,1.0,0.45,1.0,False,37,0,0.044086561072,0.27295544316,0.667757440992,0.339116499156,False,0.048180892719,
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.35,0.95,1.0,0.3,1.0,False,37,0,0.043752249324,0.298156533283,0.642961896227,0.295803989155,False,0.048224597323,
repair5g518_grid_c0p90_b1p40_f1p00_w0p65_dc0p95_df1p00_beta0p55_max0p75_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.65,0.95,1.0,0.55,0.75,False,37,0,0.044565600416,0.252450713806,0.555337735077,0.287228132327,False,0.048352361123,
repair5g518_grid_c0p90_b1p50_f1p00_w0p65_dc0p95_df1p00_beta0p55_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.65,0.95,1.0,0.55,1.0,False,37,0,0.043950929332,0.297719849823,0.732051910728,0.367423461417,False,0.048416727079,
repair5g518_grid_c1p20_b1p15_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,static_boundary_grid,1.2,1.15,1.0,0.8,0.95,1.0,0.25,0.75,False,37,0,0.045364755487,0.20399852053,0.28,0.158113883008,False,0.048424733294,C
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p70_max0p75_c0,high_beta,high_beta_grid,1.2,1.35,1.0,0.7,0.95,1.0,0.7,0.75,False,37,0,0.043950705599,0.301518136185,0.53,0.158113883008,False,0.048473477642,
repair5g518_grid_c1p25_b1p25_f1p00_w0p90_dc0p95_df1p00_beta0p50_max0p75_c0,wait_aggressive,wait_grid,1.25,1.25,1.0,0.9,0.95,1.0,0.5,0.75,False,37,0,0.044621811403,0.258005325049,0.385227205685,0.180277563773,False,0.048491891279,
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p30_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.45,0.95,1.0,0.3,1.0,False,37,0,0.044436990579,0.273421878282,0.586003412959,0.259807621135,False,0.048538318753,
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p70_max0p75_c0,high_beta,high_beta_grid,1.2,1.15,1.0,0.7,0.95,1.0,0.7,0.75,False,37,0,0.044007746867,0.302065155304,0.53,0.158113883008,False,0.048538724196,
repair5g518_grid_c1p20_b1p15_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p90_c0,static_boundary,static_boundary_grid,1.2,1.15,1.0,0.8,0.95,1.0,0.25,0.9,False,37,0,0.044903147418,0.248214440151,0.41940433951,0.217944947177,False,0.048626364021,
repair5g518_grid_c1p35_b0p95_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p90_c0,static_boundary,static_boundary_grid,1.35,0.95,1.0,0.8,0.95,1.0,0.25,0.9,False,37,0,0.045092056372,0.244623081903,0.479478883789,0.244948974278,False,0.0487614026,
repair5g518_grid_c1p20_b1p35_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p90_c0,static_boundary,static_boundary_grid,1.2,1.35,1.0,0.8,0.95,1.0,0.25,0.9,False,37,0,0.045030426273,0.25343095918,0.41940433951,0.217944947177,False,0.048831890661,
repair5g518_grid_c0p90_b1p50_f1p00_w0p65_dc0p95_df1p00_beta0p45_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.65,0.95,1.0,0.45,1.0,False,37,0,0.044398557432,0.299593176257,0.697065276714,0.32403703492,False,0.048892455076,
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p50_max1p00_c0,wait_conservative,wait_grid,1.25,1.25,1.0,0.45,0.95,1.0,0.5,1.0,False,37,0,0.0445445274,0.297368148936,0.635137780328,0.295803989155,False,0.049005049634,
repair5g518_grid_c0p90_b1p50_f1p00_w0p65_dc0p95_df1p00_beta0p35_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.5,1.0,0.65,0.95,1.0,0.35,1.0,False,37,0,0.044602902585,0.298311034715,0.675203672976,0.308220700148,False,0.049077568106,
repair5g518_grid_c1p05_b1p35_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p90_c0,static_boundary,static_boundary_grid,1.05,1.35,1.0,0.8,0.95,1.0,0.25,0.9,False,37,0,0.045155721078,0.26658018208,0.461952378498,0.291547594742,False,0.049154423809,
repair5g518_grid_c1p35_b1p35_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p90_c0,static_boundary,static_boundary_grid,1.35,1.35,1.0,0.8,0.95,1.0,0.25,0.9,False,37,0,0.045274682291,0.260166833609,0.428252262107,0.234520787991,False,0.049177184795,
repair5g518_grid_c0p90_b1p40_f1p00_w0p65_dc0p95_df1p00_beta0p55_max1p00_c0,block_heavy,block_heavy_grid,0.9,1.4,1.0,0.65,0.95,1.0,0.55,1.0,False,37,0,0.044861715616,0.298075837727,0.704201675658,0.380788655293,False,0.049332853182,
