normalized_context_key,short_budget_ms,candidate_id,target_teacher_param_vector,target_teacher_region,target_teacher_action_class,target_teacher_residual_vs_additive,target_teacher_congestion_component,target_teacher_flow_component,target_teacher_priority_block_adjustment,target_teacher_failed_candidate_adjustment,target_teacher_goal_progress_adjustment,target_teacher_wait_nonprogress_adjustment,edge_update_teacher_proxy_only,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a100|s151|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s152|it0|14650fb0739d0383,1000,repair5g59_low_beta_high_cap,1.25|1.25|1.0|0.75|0.95|1.0|0.2|1.25,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s152|it0|14650fb0739d0383,2000,repair5g59_low_beta_high_cap,1.25|1.25|1.0|0.75|0.95|1.0|0.2|1.25,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s153|it0|14650fb0739d0383,1000,repair5g59_wait_aggressive,1.25|1.25|1.0|1.0|0.95|1.0|0.35|0.75,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s153|it0|14650fb0739d0383,2000,repair5g59_wait_aggressive,1.25|1.25|1.0|1.0|0.95|1.0|0.35|0.75,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s154|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s154|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s155|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s155|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s146|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s146|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s147|it0|14650fb0739d0383,1000,repair5g59_slow_decay_high_shield,1.25|1.25|1.0|0.75|0.98|1.0|0.5|1.0,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s147|it0|14650fb0739d0383,2000,repair5g59_slow_decay_high_shield,1.25|1.25|1.0|0.75|0.98|1.0|0.5|1.0,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s148|it0|14650fb0739d0383,1000,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,0.87|1.57|1.13|0.79|0.91|0.95|0.54|0.89,D_fractional_coverage,safe_g522_select,True,1.57,1.13,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s148|it0|14650fb0739d0383,2000,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,0.87|1.57|1.13|0.79|0.91|0.95|0.54|0.89,D_fractional_coverage,safe_g522_select,True,1.57,1.13,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s149|it0|14650fb0739d0383,1000,repair5g522_grid_c0p85_b1p24_f0p87_w0p48_dc0p95_df0p98_beta0p65_max0p99_c0,0.85|1.24|0.87|0.48|0.95|0.98|0.65|0.99,D_fractional_coverage,safe_g522_select,True,1.24,0.87,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s149|it0|14650fb0739d0383,2000,repair5g522_grid_c0p85_b1p24_f0p87_w0p48_dc0p95_df0p98_beta0p65_max0p99_c0,0.85|1.24|0.87|0.48|0.95|0.98|0.65|0.99,D_fractional_coverage,safe_g522_select,True,1.24,0.87,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s150|it0|14650fb0739d0383,1000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,safe_g522_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s150|it0|14650fb0739d0383,2000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,safe_g522_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s151|it0|14650fb0739d0383,1000,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,1.2|1.35|1.0|0.7|0.95|1.0|0.6|0.75,g518_retained,old14_g518_fallback,True,1.35,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s151|it0|14650fb0739d0383,2000,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,1.2|1.35|1.0|0.7|0.95|1.0|0.6|0.75,g518_retained,old14_g518_fallback,True,1.35,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s152|it0|14650fb0739d0383,1000,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,0.87|1.57|1.13|0.79|0.91|0.95|0.54|0.89,D_fractional_coverage,safe_g522_select,True,1.57,1.13,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s152|it0|14650fb0739d0383,2000,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,0.87|1.57|1.13|0.79|0.91|0.95|0.54|0.89,D_fractional_coverage,safe_g522_select,True,1.57,1.13,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s153|it0|14650fb0739d0383,1000,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.9|1.65|1.0|0.45|0.95|1.0|0.35|0.75,g518_retained,old14_g518_fallback,True,1.65,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s153|it0|14650fb0739d0383,2000,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.9|1.65|1.0|0.45|0.95|1.0|0.35|0.75,g518_retained,old14_g518_fallback,True,1.65,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s154|it0|14650fb0739d0383,1000,repair5g59_low_beta_high_cap,1.25|1.25|1.0|0.75|0.95|1.0|0.2|1.25,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s154|it0|14650fb0739d0383,2000,repair5g59_low_beta_high_cap,1.25|1.25|1.0|0.75|0.95|1.0|0.2|1.25,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s155|it0|14650fb0739d0383,1000,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.25|1.25|1.0|0.5|0.95|1.0|0.35|0.75,g518_retained,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
maze-32-32-4|a50|s155|it0|14650fb0739d0383,2000,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,1.25|1.25|1.0|0.5|0.95|1.0|0.35|0.75,g518_retained,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s146|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s146|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s147|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s147|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s148|it0|14650fb0739d0383,1000,repair5g59_high_beta_cap_safe,1.25|1.25|1.0|0.75|0.95|1.0|0.6|0.75,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s148|it0|14650fb0739d0383,2000,repair5g59_high_beta_cap_safe,1.25|1.25|1.0|0.75|0.95|1.0|0.6|0.75,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s149|it0|14650fb0739d0383,1000,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,1.2|1.15|1.0|0.7|0.95|1.0|0.55|0.75,g518_retained,old14_g518_fallback,True,1.15,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s149|it0|14650fb0739d0383,2000,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,1.2|1.15|1.0|0.7|0.95|1.0|0.55|0.75,g518_retained,old14_g518_fallback,True,1.15,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s150|it0|14650fb0739d0383,1000,repair5g59_light_cong_light_flow,1.0|1.0|0.75|0.75|0.98|1.0|0.25|0.5,old14,old14_g518_fallback,True,1.0,0.75,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s150|it0|14650fb0739d0383,2000,repair5g59_light_cong_light_flow,1.0|1.0|0.75|0.75|0.98|1.0|0.25|0.5,old14,old14_g518_fallback,True,1.0,0.75,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s151|it0|14650fb0739d0383,1000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,safe_g522_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s151|it0|14650fb0739d0383,2000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,safe_g522_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s152|it0|14650fb0739d0383,1000,repair5g59_low_beta_high_cap,1.25|1.25|1.0|0.75|0.95|1.0|0.2|1.25,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s152|it0|14650fb0739d0383,2000,repair5g59_low_beta_high_cap,1.25|1.25|1.0|0.75|0.95|1.0|0.2|1.25,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s153|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s153|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s154|it0|14650fb0739d0383,1000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,safe_g522_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s154|it0|14650fb0739d0383,2000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,safe_g522_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s155|it0|14650fb0739d0383,1000,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.9|1.5|1.0|0.45|0.95|1.0|0.45|0.75,g518_retained,old14_g518_fallback,True,1.5,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a100|s155|it0|14650fb0739d0383,2000,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.9|1.5|1.0|0.45|0.95|1.0|0.45|0.75,g518_retained,old14_g518_fallback,True,1.5,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s146|it0|14650fb0739d0383,1000,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,1.25|1.25|1.0|0.35|0.95|1.0|0.3|0.75,g518_retained,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s146|it0|14650fb0739d0383,2000,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,1.25|1.25|1.0|0.35|0.95|1.0|0.3|0.75,g518_retained,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s147|it0|14650fb0739d0383,1000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,old14_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s147|it0|14650fb0739d0383,2000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,old14_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s148|it0|14650fb0739d0383,1000,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.9|1.4|1.0|0.45|0.95|1.0|0.35|0.75,g518_retained,old14_g518_fallback,True,1.4,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s148|it0|14650fb0739d0383,2000,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.9|1.4|1.0|0.45|0.95|1.0|0.35|0.75,g518_retained,old14_g518_fallback,True,1.4,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s149|it0|14650fb0739d0383,1000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s149|it0|14650fb0739d0383,2000,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,1.29|1.74|1.18|0.77|0.99|1.01|0.62|0.91,D_fractional_coverage,safe_g522_select,True,1.74,1.18,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s150|it0|14650fb0739d0383,1000,repair5g59_high_beta_cap_safe,1.25|1.25|1.0|0.75|0.95|1.0|0.6|0.75,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s150|it0|14650fb0739d0383,2000,repair5g59_high_beta_cap_safe,1.25|1.25|1.0|0.75|0.95|1.0|0.6|0.75,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s151|it0|14650fb0739d0383,1000,repair5g59_slow_decay_high_shield,1.25|1.25|1.0|0.75|0.98|1.0|0.5|1.0,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s151|it0|14650fb0739d0383,2000,repair5g59_slow_decay_high_shield,1.25|1.25|1.0|0.75|0.98|1.0|0.5|1.0,old14,old14_g518_fallback,True,1.25,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s152|it0|14650fb0739d0383,1000,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.9|1.5|1.0|0.45|0.95|1.0|0.45|0.75,g518_retained,old14_g518_fallback,True,1.5,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s152|it0|14650fb0739d0383,2000,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.9|1.5|1.0|0.45|0.95|1.0|0.45|0.75,g518_retained,old14_g518_fallback,True,1.5,1.0,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s153|it0|14650fb0739d0383,1000,repair5g522_grid_c0p85_b1p24_f0p87_w0p48_dc0p95_df0p98_beta0p65_max0p99_c0,0.85|1.24|0.87|0.48|0.95|0.98|0.65|0.99,D_fractional_coverage,safe_g522_select,True,1.24,0.87,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s153|it0|14650fb0739d0383,2000,repair5g522_grid_c0p85_b1p24_f0p87_w0p48_dc0p95_df0p98_beta0p65_max0p99_c0,0.85|1.24|0.87|0.48|0.95|0.98|0.65|0.99,D_fractional_coverage,safe_g522_select,True,1.24,0.87,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s154|it0|14650fb0739d0383,1000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,old14_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s154|it0|14650fb0739d0383,2000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,old14_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s155|it0|14650fb0739d0383,1000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,safe_g522_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
random-32-32-20|a50|s155|it0|14650fb0739d0383,2000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,safe_g522_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
warehouse-10-20-10-2-1|a100|s146|it0|14650fb0739d0383,1000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,old14_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
warehouse-10-20-10-2-1|a100|s146|it0|14650fb0739d0383,2000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,old14_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
warehouse-10-20-10-2-1|a100|s147|it0|14650fb0739d0383,1000,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,0.83|1.5|1.04|0.64|0.97|1.0|0.68|1.0,D_fractional_coverage,old14_select,True,1.5,1.04,0.0,1.0,0.0,0.0,True,False,False,False,False,False
