agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,g51_policy_classification,map,repair5g2_selected_source_method,repair5g3_synthetic_source_method,scen,seed,strict_equal_to_ltm,success,sum_of_loss_ratio,worse_vs_ltm
50,lacam_star_ltm,1.11170688114,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,True,1.11170688114,False
50,lacam_star_ltm,1.11170688114,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,True,1.11170688114,False
50,lacam_star_ltm,1.07835218094,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,True,1.07835218094,False
50,lacam_star_ltm,1.07835218094,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,True,1.07835218094,False
50,lacam_star_ltm,1.10359964881,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,True,1.10359964881,False
50,lacam_star_ltm,1.10359964881,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,True,1.10359964881,False
50,lacam_star_ltm,1.1561691113,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,True,1.1561691113,False
50,lacam_star_ltm,1.1561691113,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,True,1.1561691113,False
100,lacam_star_ltm,1.26187473728,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-136.scen,136,True,True,1.26187473728,False
100,lacam_star_ltm,1.26187473728,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-136.scen,136,True,True,1.26187473728,False
100,lacam_star_ltm,1.25086805556,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-137.scen,137,True,True,1.25086805556,False
100,lacam_star_ltm,1.25086805556,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-137.scen,137,True,True,1.25086805556,False
100,lacam_star_ltm,1.28420160949,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-138.scen,138,True,True,1.28420160949,False
100,lacam_star_ltm,1.28420160949,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-138.scen,138,True,True,1.28420160949,False
100,lacam_star_ltm,1.27888257576,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-139.scen,139,True,True,1.27888257576,False
100,lacam_star_ltm,1.27888257576,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-139.scen,139,True,True,1.27888257576,False
100,lacam_star_ltm,1.33211512106,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,True,1.33211512106,False
100,lacam_star_ltm,1.33211512106,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,True,1.33211512106,False
100,lacam_star_ltm,1.27900552486,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,True,1.27900552486,False
100,lacam_star_ltm,1.27900552486,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,strict_equal,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,True,1.27900552486,False
