panel_row_id,g560_evaluation_uid,split,map,map_family,agent_count,seed,budget_ms,alpha_to_real_positive_safe_target,best_observed_positive_quality_delta_vs_g556,source_positive_rows,requires_exact_materialization_before_claim,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g562_alpha_00000018,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7614,2000,0.75,-0.010843373489999975,1,True,1.4375,1.0038440227508545,0.7373230457305908,1.125,0.1875,0.9937217831611633,0.833141565322876,0.994983971118927,1.0,0.5460388660430908,0.6735823154449463,0.14697924256324768,1.2233860492706299,1.0,10.850183486938477,1,0,0,False,False,False,False,False
g562_alpha_00000019,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7614,2000,1.0,-0.010843373489999975,1,True,1.5,0.9524573683738708,0.5664306879043579,1.25,0.0,0.9781824350357056,0.8797667622566223,1.0,1.0,0.5,0.6814430356025696,0.08413523435592651,1.3448460102081299,1.0,10.869156837463379,1,0,0,False,False,False,False,False
g562_alpha_00000020,0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,train,empty-8-8,empty,16,8344,500,0.0,-0.4722222222199999,34,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000021,0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,train,empty-8-8,empty,16,8344,500,0.25,-0.4722222222199999,34,True,1.2405047416687012,1.153191328048706,1.283324122428894,0.7433669567108154,0.7169907689094543,1.0419034957885742,0.6937178373336792,0.9800902605056763,0.9972629547119141,0.6801429986953735,0.6422977447509766,0.34872156381607056,0.883922278881073,0.991502046585083,10.805264472961426,1,0,0,False,False,False,False,False
g562_alpha_00000022,0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,train,empty-8-8,empty,16,8344,500,0.5,-0.4722222222199999,34,True,1.2310094833374023,1.148378610610962,1.316648244857788,0.7367339730262756,0.6839815378189087,1.0434672832489014,0.6941698789596558,0.9802447557449341,0.9945258498191833,0.6761307716369629,0.634595513343811,0.36193180084228516,0.9088385105133057,0.983004093170166,10.817264556884766,1,0,0,False,False,False,False,False
g562_alpha_00000023,0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,train,empty-8-8,empty,16,8344,500,0.75,-0.4722222222199999,34,True,1.221514105796814,1.1435657739639282,1.3499723672866821,0.7301009893417358,0.650972306728363,1.0450310707092285,0.6946218609809875,0.9803992509841919,0.9917887449264526,0.6721184253692627,0.6268932819366455,0.37514203786849976,0.9337546825408936,0.9745061993598938,10.829264640808105,1,0,0,False,False,False,False,False
g562_alpha_00000024,0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,train,empty-8-8,empty,16,8344,500,1.0,-0.4722222222199999,34,True,1.2120188474655151,1.1387529373168945,1.3832964897155762,0.7234679460525513,0.6179630756378174,1.0465947389602661,0.6950738430023193,0.9805536866188049,0.9890516996383667,0.6681061387062073,0.6191909909248352,0.38835233449935913,0.9586709141731262,0.9660082459449768,10.841265678405762,1,0,0,False,False,False,False,False
g562_alpha_00000025,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,heldout,g559-synth-string-40,irregular_bottleneck,128,8240,500,0.0,-0.14232673266999996,47,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000026,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,heldout,g559-synth-string-40,irregular_bottleneck,128,8240,500,0.25,-0.14232673266999996,47,True,1.2399283647537231,1.1759769916534424,1.2436301708221436,0.7612330317497253,0.7530456781387329,1.0282347202301025,0.6894916892051697,0.9795416593551636,0.9983405470848083,0.6827926635742188,0.6509921550750732,0.33190828561782837,0.8575020432472229,0.9832335710525513,10.764779090881348,1,0,0,False,False,False,False,False
g562_alpha_00000027,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,heldout,g559-synth-string-40,irregular_bottleneck,128,8240,500,0.5,-0.14232673266999996,47,True,1.2298567295074463,1.1939499378204346,1.2372604608535767,0.7724660634994507,0.7560913562774658,1.0161296129226685,0.6857175827026367,0.9791474938392639,0.9966810941696167,0.6814299821853638,0.6519843339920044,0.32830527424812317,0.8559980392456055,0.9664671421051025,10.73629379272461,1,0,0,False,False,False,False,False
g562_alpha_00000028,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,heldout,g559-synth-string-40,irregular_bottleneck,128,8240,500,0.75,-0.14232673266999996,47,True,1.2197849750518799,1.2119227647781372,1.2308907508850098,0.7836990356445312,0.759136974811554,1.004024624824524,0.6819434762001038,0.9787533283233643,0.995021641254425,0.6800673007965088,0.6529765129089355,0.32470226287841797,0.8544939756393433,0.9497007131576538,10.707808494567871,1,0,0,False,False,False,False,False
g562_alpha_00000029,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,heldout,g559-synth-string-40,irregular_bottleneck,128,8240,500,1.0,-0.14232673266999996,47,True,1.209713339805603,1.2298955917358398,1.2245209217071533,0.7949320673942566,0.7621826529502869,0.9919195771217346,0.678169310092926,0.9783591628074646,0.9933621883392334,0.6787046194076538,0.6539687514305115,0.32109928131103516,0.8529899716377258,0.9329342842102051,10.67932415008545,1,0,0,False,False,False,False,False
g562_alpha_00000030,01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,train,random-8-8-20,random,32,7195,5000,0.0,-0.2931034482800001,5,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000031,01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,train,random-8-8-20,random,32,7195,5000,0.25,-0.2931034482800001,5,True,1.2109640836715698,1.1577578783035278,1.2180249691009521,0.7859513759613037,0.7795767188072205,1.0648722648620605,0.7025917768478394,0.977722704410553,0.9988808631896973,0.6635622978210449,0.6739410758018494,0.35688701272010803,0.792924702167511,0.995541512966156,10.844964027404785,1,0,0,False,False,False,False,False
g562_alpha_00000032,01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,train,random-8-8-20,random,32,7195,5000,0.5,-0.2931034482800001,5,True,1.1719281673431396,1.1575117111206055,1.1860498189926147,0.8219028115272522,0.8091534376144409,1.089404821395874,0.7119177579879761,0.9755096435546875,0.9977616667747498,0.6429693102836609,0.6978821754455566,0.3782626986503601,0.7268432378768921,0.991083025932312,10.8966646194458,1,0,0,False,False,False,False,False
g562_alpha_00000033,01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,train,random-8-8-20,random,32,7195,5000,0.75,-0.2931034482800001,5,True,1.1328922510147095,1.1572654247283936,1.1540746688842773,0.8578542470932007,0.8387300968170166,1.1139373779296875,0.7212437391281128,0.973296582698822,0.9966424703598022,0.6223763227462769,0.7218232154846191,0.39963841438293457,0.660761833190918,0.9866245985031128,10.948365211486816,1,0,0,False,False,False,False,False
g562_alpha_00000034,01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,train,random-8-8-20,random,32,7195,5000,1.0,-0.2931034482800001,5,True,1.0938563346862793,1.1570191383361816,1.1220996379852295,0.8938056230545044,0.8683068156242371,1.1384698152542114,0.7305697202682495,0.9710834622383118,0.9955233335494995,0.601783275604248,0.7457643151283264,0.4210141599178314,0.5946804881095886,0.9821661114692688,11.000065803527832,1,0,0,False,False,False,False,False
g562_alpha_00000035,01f6c93fbd85ccfa89e2f59b3a21cac50dd0813f6acd384044fa209cf6308d24,train,g559-synth-game-lak-32,game,256,7431,5000,0.0,-0.22532951290000014,12,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000036,01f6c93fbd85ccfa89e2f59b3a21cac50dd0813f6acd384044fa209cf6308d24,train,g559-synth-game-lak-32,game,256,7431,5000,0.25,-0.22532951290000014,12,True,1.2455445528030396,1.145652174949646,1.2737970352172852,0.7409260272979736,0.7531889081001282,1.0241103172302246,0.6862460374832153,0.9800055027008057,0.9983103275299072,0.6852063536643982,0.653272271156311,0.3291245102882385,0.8604742288589478,0.995856761932373,10.745447158813477,1,0,0,False,False,False,False,False
g562_alpha_00000037,01f6c93fbd85ccfa89e2f59b3a21cac50dd0813f6acd384044fa209cf6308d24,train,g559-synth-game-lak-32,game,256,7431,5000,0.5,-0.22532951290000014,12,True,1.241089105606079,1.1333003044128418,1.2975940704345703,0.7318520545959473,0.7563778162002563,1.0078810453414917,0.679226279258728,0.9800751805305481,0.9966206550598145,0.6862574219703674,0.6565446257591248,0.3227377235889435,0.8619422912597656,0.9917135238647461,10.697629928588867,1,0,0,False,False,False,False,False
g562_alpha_00000038,01f6c93fbd85ccfa89e2f59b3a21cac50dd0813f6acd384044fa209cf6308d24,train,g559-synth-game-lak-32,game,256,7431,5000,0.75,-0.22532951290000014,12,True,1.2366336584091187,1.120948314666748,1.3213911056518555,0.7227780818939209,0.7595666646957397,0.9916516542434692,0.6722065210342407,0.9801448583602905,0.9949309229850769,0.6873084306716919,0.6598169803619385,0.31635093688964844,0.863410472869873,0.9875702857971191,10.649813652038574,1,0,0,False,False,False,False,False
g562_alpha_00000039,01f6c93fbd85ccfa89e2f59b3a21cac50dd0813f6acd384044fa209cf6308d24,train,g559-synth-game-lak-32,game,256,7431,5000,1.0,-0.22532951290000014,12,True,1.2321782112121582,1.1085963249206543,1.3451881408691406,0.7137041091918945,0.7627555727958679,0.9754223227500916,0.6651867628097534,0.980214536190033,0.9932412505149841,0.6883594989776611,0.6630892753601074,0.3099641799926758,0.8648785948753357,0.9834270477294922,10.601997375488281,1,0,0,False,False,False,False,False
g562_alpha_00000040,0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,validation,maze-32-32-2,maze,16,7630,2000,0.0,-0.030752916229999983,12,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000041,0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,validation,maze-32-32-2,maze,16,7630,2000,0.25,-0.030752916229999983,12,True,1.231956958770752,1.1445611715316772,1.2949142456054688,0.7645363807678223,0.7704660892486572,1.073502779006958,0.6663944125175476,0.9786197543144226,0.9980170726776123,0.7051313519477844,0.6997858285903931,0.35525497794151306,0.9006222486495972,0.9888543486595154,10.777393341064453,1,0,0,False,False,False,False,False
g562_alpha_00000042,0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,validation,maze-32-32-2,maze,16,7630,2000,0.5,-0.030752916229999983,12,True,1.213913917541504,1.1311182975769043,1.339828610420227,0.7790727615356445,0.7909321784973145,1.106665849685669,0.6395230293273926,0.977303683757782,0.9960342049598694,0.7261073589324951,0.749571681022644,0.37499862909317017,0.942238450050354,0.9777086973190308,10.76152229309082,1,0,0,False,False,False,False,False
g562_alpha_00000043,0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,validation,maze-32-32-2,maze,16,7630,2000,0.75,-0.030752916229999983,12,True,1.1958709955215454,1.1176754236221313,1.3847429752349854,0.7936091423034668,0.8113982081413269,1.1398289203643799,0.6126515865325928,0.9759876132011414,0.9940513372421265,0.7470834255218506,0.799357533454895,0.39474231004714966,0.9838546514511108,0.9665630459785461,10.745652198791504,1,0,0,False,False,False,False,False
g562_alpha_00000044,0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,validation,maze-32-32-2,maze,16,7630,2000,1.0,-0.030752916229999983,12,True,1.1778279542922974,1.1042324304580688,1.429657220840454,0.8081455230712891,0.8318642973899841,1.1729918718338013,0.585780143737793,0.9746715426445007,0.9920684099197388,0.7680594325065613,0.849143385887146,0.41448602080345154,1.0254708528518677,0.9554173946380615,10.729782104492188,1,0,0,False,False,False,False,False
g562_alpha_00000045,0244a74454cd672d1feed82d2a9031bb33f37992134b44b942c30ab4cce30a49,train,empty-32-32,empty,64,8850,2000,0.0,-0.022239263809999965,21,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000046,0244a74454cd672d1feed82d2a9031bb33f37992134b44b942c30ab4cce30a49,train,empty-32-32,empty,64,8850,2000,0.25,-0.022239263809999965,21,True,1.2294424772262573,1.1587674617767334,1.2297213077545166,0.753939151763916,0.7577369809150696,1.0513038635253906,0.6795811057090759,0.9788053035736084,0.999201774597168,0.6791526079177856,0.6340839266777039,0.3370415270328522,0.8576263785362244,0.9899559020996094,10.81893253326416,1,0,0,False,False,False,False,False
g562_alpha_00000047,0244a74454cd672d1feed82d2a9031bb33f37992134b44b942c30ab4cce30a49,train,empty-32-32,empty,64,8850,2000,0.5,-0.022239263809999965,21,True,1.2088849544525146,1.159530758857727,1.2094426155090332,0.7578783631324768,0.7654739618301392,1.0622680187225342,0.6658964157104492,0.9776748418807983,0.9984035491943359,0.6741499304771423,0.6181678771972656,0.3385717272758484,0.8562465906143188,0.979911744594574,10.844600677490234,1,0,0,False,False,False,False,False
g562_alpha_00000048,0244a74454cd672d1feed82d2a9031bb33f37992134b44b942c30ab4cce30a49,train,empty-32-32,empty,64,8850,2000,0.75,-0.022239263809999965,21,True,1.1883275508880615,1.1602940559387207,1.1891639232635498,0.7618175745010376,0.7732110023498535,1.0732321739196777,0.6522117257118225,0.9765443205833435,0.9976053237915039,0.669147253036499,0.6022518873214722,0.340101957321167,0.8548668622970581,0.9698675870895386,10.870269775390625,1,0,0,False,False,False,False,False
g562_alpha_00000049,0244a74454cd672d1feed82d2a9031bb33f37992134b44b942c30ab4cce30a49,train,empty-32-32,empty,64,8850,2000,1.0,-0.022239263809999965,21,True,1.1677700281143188,1.1610573530197144,1.1688852310180664,0.7657567262649536,0.7809479832649231,1.0841962099075317,0.638526976108551,0.9754137992858887,0.9968070983886719,0.6641445159912109,0.5863358378410339,0.341632217168808,0.8534871935844421,0.959823489189148,10.895938873291016,1,0,0,False,False,False,False,False
g562_alpha_00000050,02fe53cdc2fda88a8cf316aec26ca8dc4227ca830aed40a1adc9944741a344ec,train,g559-synth-game-brc-32,game,32,8915,5000,0.0,-0.07549668873999993,25,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
g562_alpha_00000051,02fe53cdc2fda88a8cf316aec26ca8dc4227ca830aed40a1adc9944741a344ec,train,g559-synth-game-brc-32,game,32,8915,5000,0.25,-0.07549668873999993,25,True,1.2150239944458008,1.1368941068649292,1.254166841506958,0.7433865070343018,0.7559619545936584,1.0266698598861694,0.6969510316848755,0.9779347777366638,0.9967761635780334,0.6646648049354553,0.6474211812019348,0.3417978882789612,0.9019851684570312,0.981421709060669,10.770474433898926,1,0,0,False,False,False,False,False
g562_alpha_00000052,02fe53cdc2fda88a8cf316aec26ca8dc4227ca830aed40a1adc9944741a344ec,train,g559-synth-game-brc-32,game,32,8915,5000,0.5,-0.07549668873999993,25,True,1.1800479888916016,1.1157841682434082,1.2583335638046265,0.7367730736732483,0.7619239091873169,1.0130000114440918,0.7006362676620483,0.9759337902069092,0.9935523271560669,0.6451742649078369,0.6448423862457275,0.3480844497680664,0.9449641704559326,0.9628433585166931,10.747684478759766,1,0,0,False,False,False,False,False
g562_alpha_00000053,02fe53cdc2fda88a8cf316aec26ca8dc4227ca830aed40a1adc9944741a344ec,train,g559-synth-game-brc-32,game,32,8915,5000,0.75,-0.07549668873999993,25,True,1.1450719833374023,1.0946741104125977,1.262500286102295,0.7301596403121948,0.7678858637809753,0.9993301630020142,0.7043215036392212,0.9739327430725098,0.9903284311294556,0.6256837844848633,0.642263650894165,0.3543710708618164,0.987943172454834,0.9442650079727173,10.724895477294922,1,0,0,False,False,False,False,False
g562_alpha_00000054,02fe53cdc2fda88a8cf316aec26ca8dc4227ca830aed40a1adc9944741a344ec,train,g559-synth-game-brc-32,game,32,8915,5000,1.0,-0.07549668873999993,25,True,1.1100959777832031,1.073564052581787,1.266667127609253,0.7235461473464966,0.7738478183746338,0.9856603145599365,0.708006739616394,0.9719316959381104,0.987104594707489,0.6061932444572449,0.6396848559379578,0.360657662153244,1.030922293663025,0.9256867170333862,10.702106475830078,1,0,0,False,False,False,False,False
g562_alpha_00000055,0317414a6c403897a7b3718349753ff42ff00ae3e0cfcd47028ac6f05a6691bd,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8982,2000,0.0,-6.68472306756,30,True,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False
