context_key,context_id,topology_id,map_family,agent_count,budget_ms,oracle_theta_id,oracle_topk_theta_ids,no_safe_improvement,safe_candidate_count,safe_improving_candidate_count,oracle_quality_delta_vs_g556,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-10|25|100999|5000|b5000_short1000_t050_i4,random-32-32-10|a25|s100999|it0|g557_label_matrix_random_32_32_10_a25_s100999_hb5000_short1000_t050_i4_b5000,,random,25,5000,g557_gcst_00207,g557_gcst_00207;g557_gcst_00349;g557_gcst_00419;g557_gcst_00308;g557_gcst_00315,False,512,346,-0.052141527,False,False,False,False,False
random-32-32-10|25|100005|1000|b1000_short250_t050_i2,random-32-32-10|a25|s100005|it0|g557_label_matrix_random_32_32_10_a25_s100005_hb1000_short250_t050_i2_b1000,,random,25,1000,g557_gcst_00012,g557_gcst_00012;g557_gcst_00092;g557_gcst_00203;g557_gcst_00228;g557_gcst_00235,False,512,340,-0.0424778761,False,False,False,False,False
random-32-32-10|25|100039|5000|b5000_short500_t050_i2,random-32-32-10|a25|s100039|it0|g557_label_matrix_random_32_32_10_a25_s100039_hb5000_short500_t050_i2_b5000,,random,25,5000,g557_gcst_00414,g557_gcst_00414;g557_gcst_00460;g557_gcst_00290;g557_gcst_00024;g557_gcst_00036,False,512,132,-0.04355716878,False,False,False,False,False
random-32-32-10|25|100965|1000|b1000_short500_t050_i8,random-32-32-10|a25|s100965|it0|g557_label_matrix_random_32_32_10_a25_s100965_hb1000_short500_t050_i8_b1000,,random,25,1000,g557_gcst_00089,g557_gcst_00089;g557_gcst_00419;g557_gcst_00509;g557_gcst_00024;g557_gcst_00056,False,512,193,-0.04609218436,False,False,False,False,False
random-32-32-20|25|101923|500|b500_short1000_t050_i2,random-32-32-20|a25|s101923|it0|g557_label_matrix_random_32_32_20_a25_s101923_hb500_short1000_t050_i2_b500,,random,25,500,g557_gcst_00079,g557_gcst_00079;g557_gcst_00436;g557_gcst_00092;g557_gcst_00349;g557_gcst_00269,False,512,268,-0.05111821086,False,False,False,False,False
random-32-32-20|25|101957|5000|b5000_short2000_t050_i2,random-32-32-20|a25|s101957|it0|g557_label_matrix_random_32_32_20_a25_s101957_hb5000_short2000_t050_i2_b5000,,random,25,5000,g557_gcst_00509,g557_gcst_00509;g557_gcst_00349;g557_gcst_00042;g557_gcst_00152;g557_gcst_00024,False,512,83,-0.03756708408,False,False,False,False,False
random-32-32-10|25|101479|5000|b5000_short2000_t200_i8,random-32-32-10|a25|s101479|it0|g557_label_matrix_random_32_32_10_a25_s101479_hb5000_short2000_t200_i8_b5000,,random,25,5000,g557_gcst_00152,g557_gcst_00152;g557_gcst_00235;g557_gcst_00308;g557_gcst_00368;g557_gcst_00483,False,512,297,-0.04475043029,False,False,False,False,False
random-32-32-20|25|102403|500|b500_short2000_t200_i4,random-32-32-20|a25|s102403|it0|g557_label_matrix_random_32_32_20_a25_s102403_hb500_short2000_t200_i4_b500,,random,25,500,g557_gcst_00089,g557_gcst_00089;g557_gcst_00155;g557_gcst_00493;g557_gcst_00116;g557_gcst_00483,False,512,68,-0.02824858757,False,False,False,False,False
random-32-32-10|25|101959|5000|b5000_short2000_t100_i2,random-32-32-10|a25|s101959|it0|g557_label_matrix_random_32_32_10_a25_s101959_hb5000_short2000_t100_i2_b5000,,random,25,5000,g557_gcst_00156,g557_gcst_00156;g557_gcst_00270;g557_gcst_00184;g557_gcst_00234;g557_gcst_00280,False,512,36,-0.0110864745,False,False,False,False,False
random-32-32-10|25|101925|1000|b1000_short2000_t100_i4,random-32-32-10|a25|s101925|it0|g557_label_matrix_random_32_32_10_a25_s101925_hb1000_short2000_t100_i4_b1000,,random,25,1000,g557_gcst_00203,g557_gcst_00203;g557_gcst_00213;g557_gcst_00235;g557_gcst_00355;g557_gcst_00435,False,512,241,-0.04516129032,False,False,False,False,False
random-32-32-20|25|102437|5000|b5000_short250_t200_i4,random-32-32-20|a25|s102437|it0|g557_label_matrix_random_32_32_20_a25_s102437_hb5000_short250_t200_i4_b5000,,random,25,5000,g557_gcst_00012,g557_gcst_00012;g557_gcst_00198;g557_gcst_00244;g557_gcst_00079;g557_gcst_00483,False,512,343,-0.05227655987,False,False,False,False,False
random-32-32-10|25|102405|1000|b1000_short2000_t200_i8,random-32-32-10|a25|s102405|it0|g557_label_matrix_random_32_32_10_a25_s102405_hb1000_short2000_t200_i8_b1000,,random,25,1000,g557_gcst_00012,g557_gcst_00012;g557_gcst_00036;g557_gcst_00158;g557_gcst_00097;g557_gcst_00127,False,512,226,-0.02749140894,False,False,False,False,False
random-64-64-20|25|101444|500|b500_short1000_t200_i2,random-64-64-20|a25|s101444|it0|g557_label_matrix_random_64_64_20_a25_s101444_hb500_short1000_t200_i2_b500,,random,25,500,g557_gcst_00142,g557_gcst_00142;g557_gcst_00465;g557_gcst_00368;g557_gcst_00391;g557_gcst_00460,False,512,138,-0.01835853131,False,False,False,False,False
random-32-32-20|25|102883|500|b500_short2000_t100_i8,random-32-32-20|a25|s102883|it0|g557_label_matrix_random_32_32_20_a25_s102883_hb500_short2000_t100_i8_b500,,random,25,500,g557_gcst_00161,g557_gcst_00161;g557_gcst_00184;g557_gcst_00506;g557_gcst_00023;g557_gcst_00230,False,512,379,-0.07378640776,False,False,False,False,False
random-64-64-20|25|100724|500|b500_short2000_t200_i4,random-64-64-20|a25|s100724|it0|g557_label_matrix_random_64_64_20_a25_s100724_hb500_short2000_t200_i4_b500,,random,25,500,g557_gcst_00276,g557_gcst_00276;g557_gcst_00046;g557_gcst_00056;g557_gcst_00089;g557_gcst_00207,False,512,225,-0.0531220876,False,False,False,False,False
random-64-64-20|25|100004|500|b500_short250_t050_i2,random-64-64-20|a25|s100004|it0|g557_label_matrix_random_64_64_20_a25_s100004_hb500_short250_t050_i2_b500,,random,25,500,g557_gcst_00340,g557_gcst_00340;g557_gcst_00053;g557_gcst_00009;g557_gcst_00159;g557_gcst_00414,False,512,25,-0.00900900901,False,False,False,False,False
random-32-32-10|25|102439|5000|b5000_short250_t200_i4,random-32-32-10|a25|s102439|it0|g557_label_matrix_random_32_32_10_a25_s102439_hb5000_short250_t200_i4_b5000,,random,25,5000,g557_gcst_00368,g557_gcst_00368;g557_gcst_00056;g557_gcst_00145;g557_gcst_00224;g557_gcst_00238,False,512,454,-0.08077544426,False,False,False,False,False
random-64-64-20|25|100038|5000|b5000_short500_t050_i8,random-64-64-20|a25|s100038|it0|g557_label_matrix_random_64_64_20_a25_s100038_hb5000_short500_t050_i8_b5000,,random,25,5000,g557_gcst_00115,g557_gcst_00115;g557_gcst_00391;g557_gcst_00414;g557_gcst_00430;g557_gcst_00437,False,512,219,-0.03055555555,False,False,False,False,False
random-32-32-20|25|102917|5000|b5000_short250_t100_i8,random-32-32-20|a25|s102917|it0|g557_label_matrix_random_32_32_20_a25_s102917_hb5000_short250_t100_i8_b5000,,random,25,5000,g557_gcst_00349,g557_gcst_00349;g557_gcst_00089;g557_gcst_00115;g557_gcst_00184;g557_gcst_00207,False,512,446,-0.07109737249,False,False,False,False,False
random-64-64-20|25|100758|5000|b5000_short250_t200_i4,random-64-64-20|a25|s100758|it0|g557_label_matrix_random_64_64_20_a25_s100758_hb5000_short250_t200_i4_b5000,,random,25,5000,g557_gcst_00302,g557_gcst_00302;g557_gcst_00053;g557_gcst_00196;g557_gcst_00475;g557_gcst_00190,False,512,147,-0.03284671533,False,False,False,False,False
random-32-32-10|25|102885|1000|b1000_short250_t100_i8,random-32-32-10|a25|s102885|it0|g557_label_matrix_random_32_32_10_a25_s102885_hb1000_short250_t100_i8_b1000,,random,25,1000,g557_gcst_00024,g557_gcst_00024;g557_gcst_00036;g557_gcst_00044;g557_gcst_00190;g557_gcst_00505,False,512,246,-0.05494505495,False,False,False,False,False
random-32-32-10|25|102919|5000|b5000_short500_t100_i8,random-32-32-10|a25|s102919|it0|g557_label_matrix_random_32_32_10_a25_s102919_hb5000_short500_t100_i8_b5000,,random,25,5000,g557_gcst_00435,g557_gcst_00435;g557_gcst_00436;g557_gcst_00116;g557_gcst_00003;g557_gcst_00010,False,512,284,-0.01992753623,False,False,False,False,False
random-64-64-10|25|100820|500|b500_short500_t200_i2,random-64-64-10|a25|s100820|it0|g557_label_matrix_random_64_64_10_a25_s100820_hb500_short500_t200_i2_b500,,random,25,500,g557_gcst_00079,g557_gcst_00079;g557_gcst_00089;g557_gcst_00115;g557_gcst_00207;g557_gcst_00391,False,512,151,-0.01598173516,False,False,False,False,False
random-64-64-10|25|100786|1000|b1000_short250_t200_i2,random-64-64-10|a25|s100786|it0|g557_label_matrix_random_64_64_10_a25_s100786_hb1000_short250_t200_i2_b1000,,random,25,1000,g557_gcst_00509,g557_gcst_00509;g557_gcst_00044;g557_gcst_00203;g557_gcst_00391;g557_gcst_00407,False,512,52,-0.00811541929,False,False,False,False,False
random-64-64-10|25|100006|1000|b1000_short250_t050_i2,random-64-64-10|a25|s100006|it0|g557_label_matrix_random_64_64_10_a25_s100006_hb1000_short250_t050_i2_b1000,,random,25,1000,g557_gcst_00270,g557_gcst_00270;g557_gcst_00345;g557_gcst_00009;g557_gcst_00089;g557_gcst_00159,False,512,59,-0.00874125874,False,False,False,False,False
random-64-64-10|25|100040|500|b500_short500_t050_i2,random-64-64-10|a25|s100040|it0|g557_label_matrix_random_64_64_10_a25_s100040_hb500_short500_t050_i2_b500,,random,25,500,g557_gcst_00079,g557_gcst_00079;g557_gcst_00053;g557_gcst_00465;g557_gcst_00240;g557_gcst_00003,False,512,201,-0.01160714285,False,False,False,False,False
random-32-32-20|25|103363|500|b500_short250_t200_i2,random-32-32-20|a25|s103363|it0|g557_label_matrix_random_32_32_20_a25_s103363_hb500_short250_t200_i2_b500,,random,25,500,g557_gcst_00089,g557_gcst_00089;g557_gcst_00079;g557_gcst_00207;g557_gcst_00009;g557_gcst_00329,False,512,9,-0.018707483,False,False,False,False,False
random-32-32-20|25|103397|5000|b5000_short500_t200_i2,random-32-32-20|a25|s103397|it0|g557_label_matrix_random_32_32_20_a25_s103397_hb5000_short500_t200_i2_b5000,,random,25,5000,g557_gcst_00042,g557_gcst_00042;g557_gcst_00430;g557_gcst_00138;g557_gcst_00056;g557_gcst_00005,False,512,87,-0.03802281369,False,False,False,False,False
random-64-64-20|25|101478|5000|b5000_short2000_t200_i8,random-64-64-20|a25|s101478|it0|g557_label_matrix_random_64_64_20_a25_s101478_hb5000_short2000_t200_i8_b5000,,random,25,5000,g557_gcst_00005,g557_gcst_00005;g557_gcst_00056;g557_gcst_00152;g557_gcst_00198;g557_gcst_00161,False,512,217,-0.03930131004,False,False,False,False,False
random-32-32-20|25|103843|500|b500_short500_t100_i4,random-32-32-20|a25|s103843|it0|g557_label_matrix_random_32_32_20_a25_s103843_hb500_short500_t100_i4_b500,,random,25,500,g557_gcst_00437,g557_gcst_00437;g557_gcst_00292;g557_gcst_00314;g557_gcst_00207;g557_gcst_00506,False,512,236,-0.05605381166,False,False,False,False,False
random-32-32-10|25|103365|1000|b1000_short250_t200_i2,random-32-32-10|a25|s103365|it0|g557_label_matrix_random_32_32_10_a25_s103365_hb1000_short250_t200_i2_b1000,,random,25,1000,g557_gcst_00089,g557_gcst_00089;g557_gcst_00160;g557_gcst_00314;g557_gcst_00056;g557_gcst_00294,False,512,48,-0.01431492842,False,False,False,False,False
random-64-64-20|25|102164|500|b500_short500_t100_i4,random-64-64-20|a25|s102164|it0|g557_label_matrix_random_64_64_20_a25_s102164_hb500_short500_t100_i4_b500,,random,25,500,g557_gcst_00207,g557_gcst_00207;g557_gcst_00316;g557_gcst_00349;g557_gcst_00483;g557_gcst_00509,False,512,310,-0.02256410257,False,False,False,False,False
random-64-64-20|25|102198|5000|b5000_short1000_t100_i4,random-64-64-20|a25|s102198|it0|g557_label_matrix_random_64_64_20_a25_s102198_hb5000_short1000_t100_i4_b5000,,random,25,5000,g557_gcst_00430,g557_gcst_00430;g557_gcst_00022;g557_gcst_00037;g557_gcst_00092;g557_gcst_00115,False,512,145,-0.01247771836,False,False,False,False,False
random-32-32-10|25|103399|5000|b5000_short500_t050_i2,random-32-32-10|a25|s103399|it0|g557_label_matrix_random_32_32_10_a25_s103399_hb5000_short500_t050_i2_b5000,,random,25,5000,g557_gcst_00023,g557_gcst_00023;g557_gcst_00053;g557_gcst_00056;g557_gcst_00092;g557_gcst_00322,False,512,100,-0.01689189189,False,False,False,False,False
random-32-32-20|25|103877|5000|b5000_short500_t100_i4,random-32-32-20|a25|s103877|it0|g557_label_matrix_random_32_32_20_a25_s103877_hb5000_short500_t100_i4_b5000,,random,25,5000,g557_gcst_00279,g557_gcst_00279;g557_gcst_00349;g557_gcst_00115;g557_gcst_00184;g557_gcst_00437,False,512,117,-0.03648424544,False,False,False,False,False
random-32-32-10|25|103845|1000|b1000_short500_t100_i4,random-32-32-10|a25|s103845|it0|g557_label_matrix_random_32_32_10_a25_s103845_hb1000_short500_t100_i4_b1000,,random,25,1000,g557_gcst_00014,g557_gcst_00014;g557_gcst_00074;g557_gcst_00081;g557_gcst_00102;g557_gcst_00106,False,512,273,-0.0281124498,False,False,False,False,False
random-64-64-10|25|101566|1000|b1000_short2000_t100_i2,random-64-64-10|a25|s101566|it0|g557_label_matrix_random_64_64_10_a25_s101566_hb1000_short2000_t100_i2_b1000,,random,25,1000,g557_gcst_00053,g557_gcst_00053;g557_gcst_00340;g557_gcst_00009;g557_gcst_00089;g557_gcst_00159,False,512,312,-0.0200913242,False,False,False,False,False
random-64-64-10|25|101600|500|b500_short250_t100_i2,random-64-64-10|a25|s101600|it0|g557_label_matrix_random_64_64_10_a25_s101600_hb500_short250_t100_i2_b500,,random,25,500,g557_gcst_00344,g557_gcst_00344;g557_gcst_00008;g557_gcst_00026;g557_gcst_00044;g557_gcst_00053,False,512,333,-0.01702932829,False,False,False,False,False
random-32-32-10|25|103879|5000|b5000_short1000_t100_i4,random-32-32-10|a25|s103879|it0|g557_label_matrix_random_32_32_10_a25_s103879_hb5000_short1000_t100_i4_b5000,,random,25,5000,g557_gcst_00349,g557_gcst_00349;g557_gcst_00089;g557_gcst_00509;g557_gcst_00115;g557_gcst_00391,False,512,132,-0.06813186814,False,False,False,False,False
random-64-64-10|25|102346|1000|b1000_short2000_t050_i2,random-64-64-10|a25|s102346|it0|g557_label_matrix_random_64_64_10_a25_s102346_hb1000_short2000_t050_i2_b1000,,random,25,1000,g557_gcst_00493,g557_gcst_00493;g557_gcst_00005;g557_gcst_00009;g557_gcst_00108;g557_gcst_00159,False,512,59,-0.00883392227,False,False,False,False,False
random-64-64-10|25|102380|500|b500_short250_t050_i2,random-64-64-10|a25|s102380|it0|g557_label_matrix_random_64_64_10_a25_s102380_hb500_short250_t050_i2_b500,,random,25,500,g557_gcst_00024,g557_gcst_00024;g557_gcst_00161;g557_gcst_00505;g557_gcst_00430;g557_gcst_00465,False,512,177,-0.01614273577,False,False,False,False,False
random-32-32-20|25|104323|500|b500_short500_t050_i8,random-32-32-20|a25|s104323|it0|g557_label_matrix_random_32_32_20_a25_s104323_hb500_short500_t050_i8_b500,,random,25,500,g557_gcst_00046,g557_gcst_00046;g557_gcst_00345;g557_gcst_00023;g557_gcst_00138;g557_gcst_00184,False,512,226,-0.04869565217,False,False,False,False,False
random-32-32-20|25|104357|5000|b5000_short1000_t050_i8,random-32-32-20|a25|s104357|it0|g557_label_matrix_random_32_32_20_a25_s104357_hb5000_short1000_t050_i8_b5000,,random,25,5000,g557_gcst_00092,g557_gcst_00092;g557_gcst_00322;g557_gcst_00391;g557_gcst_00164;g557_gcst_00353,False,512,143,-0.0227670753,False,False,False,False,False
random-32-32-10|25|104325|1000|b1000_short500_t050_i8,random-32-32-10|a25|s104325|it0|g557_label_matrix_random_32_32_10_a25_s104325_hb1000_short500_t050_i8_b1000,,random,25,1000,g557_gcst_00213,g557_gcst_00213;g557_gcst_00158;g557_gcst_00505;g557_gcst_00203;g557_gcst_00092,False,512,138,-0.0304054054,False,False,False,False,False
random-64-64-20|25|102884|500|b500_short250_t100_i8,random-64-64-20|a25|s102884|it0|g557_label_matrix_random_64_64_20_a25_s102884_hb500_short250_t100_i8_b500,,random,25,500,g557_gcst_00419,g557_gcst_00419;g557_gcst_00430;g557_gcst_00016;g557_gcst_00022;g557_gcst_00092,False,512,211,-0.0183982684,False,False,False,False,False
random-32-32-20|25|104803|500|b500_short1000_t100_i2,random-32-32-20|a25|s104803|it0|g557_label_matrix_random_32_32_20_a25_s104803_hb500_short1000_t100_i2_b500,,random,25,500,g557_gcst_00509,g557_gcst_00509;g557_gcst_00048;g557_gcst_00132;g557_gcst_00140;g557_gcst_00143,False,512,200,-0.0337972167,False,False,False,False,False
random-64-64-20|25|102918|5000|b5000_short250_t100_i8,random-64-64-20|a25|s102918|it0|g557_label_matrix_random_64_64_20_a25_s102918_hb5000_short250_t100_i8_b5000,,random,25,5000,g557_gcst_00009,g557_gcst_00009;g557_gcst_00258;g557_gcst_00339;g557_gcst_00329;g557_gcst_00270,False,512,79,-0.02947154471,False,False,False,False,False
random-32-32-10|25|104359|5000|b5000_short1000_t050_i8,random-32-32-10|a25|s104359|it0|g557_label_matrix_random_32_32_10_a25_s104359_hb5000_short1000_t050_i8_b5000,,random,25,5000,g557_gcst_00436,g557_gcst_00436;g557_gcst_00108;g557_gcst_00176;g557_gcst_00244;g557_gcst_00344,False,512,219,-0.02364864865,False,False,False,False,False
random-32-32-20|25|104837|5000|b5000_short2000_t100_i2,random-32-32-20|a25|s104837|it0|g557_label_matrix_random_32_32_20_a25_s104837_hb5000_short2000_t100_i2_b5000,,random,25,5000,g557_gcst_00414,g557_gcst_00414;g557_gcst_00430;g557_gcst_00083;g557_gcst_00102;g557_gcst_00135,False,512,118,-0.03786574871,False,False,False,False,False
random-32-32-10|25|104805|1000|b1000_short1000_t100_i2,random-32-32-10|a25|s104805|it0|g557_label_matrix_random_32_32_10_a25_s104805_hb1000_short1000_t100_i2_b1000,,random,25,1000,g557_gcst_00064,g557_gcst_00064;g557_gcst_00005;g557_gcst_00115;g557_gcst_00391;g557_gcst_00158,False,512,131,-0.02025782688,False,False,False,False,False
random-32-32-10|25|104839|5000|b5000_short2000_t100_i2,random-32-32-10|a25|s104839|it0|g557_label_matrix_random_32_32_10_a25_s104839_hb5000_short2000_t100_i2_b5000,,random,25,5000,g557_gcst_00042,g557_gcst_00042;g557_gcst_00097;g557_gcst_00142;g557_gcst_00334;g557_gcst_00443,False,512,111,-0.02469135803,False,False,False,False,False
random-32-32-20|25|105283|500|b500_short1000_t050_i4,random-32-32-20|a25|s105283|it0|g557_label_matrix_random_32_32_20_a25_s105283_hb500_short1000_t050_i4_b500,,random,25,500,g557_gcst_00108,g557_gcst_00108;g557_gcst_00255;g557_gcst_00483;g557_gcst_00083;g557_gcst_00448,False,512,250,-0.042047532,False,False,False,False,False
random-32-32-20|25|105317|5000|b5000_short2000_t050_i4,random-32-32-20|a25|s105317|it0|g557_label_matrix_random_32_32_20_a25_s105317_hb5000_short2000_t050_i4_b5000,,random,25,5000,g557_gcst_00509,g557_gcst_00509;g557_gcst_00009;g557_gcst_00279;g557_gcst_00329;g557_gcst_00419,False,512,98,-0.0398724083,False,False,False,False,False
random-64-64-10|25|103126|1000|b1000_short1000_t200_i2,random-64-64-10|a25|s103126|it0|g557_label_matrix_random_64_64_10_a25_s103126_hb1000_short1000_t200_i2_b1000,,random,25,1000,g557_gcst_00079,g557_gcst_00079;g557_gcst_00089;g557_gcst_00207;g557_gcst_00419;g557_gcst_00036,False,512,261,-0.02284011917,False,False,False,False,False
random-32-32-10|25|105285|1000|b1000_short2000_t050_i4,random-32-32-10|a25|s105285|it0|g557_label_matrix_random_32_32_10_a25_s105285_hb1000_short2000_t050_i4_b1000,,random,25,1000,g557_gcst_00499,g557_gcst_00499;g557_gcst_00184;g557_gcst_00339;g557_gcst_00345;g557_gcst_00092,False,512,88,-0.03156146179,False,False,False,False,False
random-32-32-10|25|105319|5000|b5000_short2000_t050_i4,random-32-32-10|a25|s105319|it0|g557_label_matrix_random_32_32_10_a25_s105319_hb5000_short2000_t050_i4_b5000,,random,25,5000,g557_gcst_00005,g557_gcst_00005;g557_gcst_00116;g557_gcst_00203;g557_gcst_00213;g557_gcst_00128,False,512,245,-0.04217926186,False,False,False,False,False
random-32-32-20|25|105763|500|b500_short2000_t100_i8,random-32-32-20|a25|s105763|it0|g557_label_matrix_random_32_32_20_a25_s105763_hb500_short2000_t100_i8_b500,,random,25,500,g557_gcst_00077,g557_gcst_00077;g557_gcst_00108;g557_gcst_00157;g557_gcst_00176;g557_gcst_00210,False,512,175,-0.01792828685,False,False,False,False,False
random-64-64-20|25|103604|500|b500_short1000_t050_i4,random-64-64-20|a25|s103604|it0|g557_label_matrix_random_64_64_20_a25_s103604_hb500_short1000_t050_i4_b500,,random,25,500,g557_gcst_00320,g557_gcst_00320;g557_gcst_00155;g557_gcst_00255;g557_gcst_00308;g557_gcst_00272,False,512,82,-0.01461988304,False,False,False,False,False
random-32-32-20|25|105797|5000|b5000_short250_t200_i4,random-32-32-20|a25|s105797|it0|g557_label_matrix_random_32_32_20_a25_s105797_hb5000_short250_t200_i4_b5000,,random,25,5000,g557_gcst_00419,g557_gcst_00419;g557_gcst_00355;g557_gcst_00079;g557_gcst_00349;g557_gcst_00108,False,512,149,-0.04222972973,False,False,False,False,False
random-32-32-10|25|105765|1000|b1000_short2000_t200_i8,random-32-32-10|a25|s105765|it0|g557_label_matrix_random_32_32_10_a25_s105765_hb1000_short2000_t200_i8_b1000,,random,25,1000,g557_gcst_00235,g557_gcst_00235;g557_gcst_00308;g557_gcst_00433;g557_gcst_00008;g557_gcst_00123,False,512,65,-0.01685393259,False,False,False,False,False
random-64-64-20|25|103638|5000|b5000_short2000_t050_i2,random-64-64-20|a25|s103638|it0|g557_label_matrix_random_64_64_20_a25_s103638_hb5000_short2000_t050_i2_b5000,,random,25,5000,g557_gcst_00042,g557_gcst_00042;g557_gcst_00419;g557_gcst_00023;g557_gcst_00089;g557_gcst_00207,False,512,343,-0.03069466882,False,False,False,False,False
random-32-32-20|25|106243|500|b500_short2000_t050_i2,random-32-32-20|a25|s106243|it0|g557_label_matrix_random_32_32_20_a25_s106243_hb500_short2000_t050_i2_b500,,random,25,500,g557_gcst_00085,g557_gcst_00085;g557_gcst_00233;g557_gcst_00268;g557_gcst_00300;g557_gcst_00328,False,512,154,-0.025,False,False,False,False,False
random-64-64-10|25|103160|500|b500_short2000_t200_i2,random-64-64-10|a25|s103160|it0|g557_label_matrix_random_64_64_10_a25_s103160_hb500_short2000_t200_i2_b500,,random,25,500,g557_gcst_00030,g557_gcst_00030;g557_gcst_00036;g557_gcst_00044;g557_gcst_00092;g557_gcst_00161,False,512,59,-0.00350262697,False,False,False,False,False
random-32-32-10|25|105799|5000|b5000_short250_t200_i8,random-32-32-10|a25|s105799|it0|g557_label_matrix_random_32_32_10_a25_s105799_hb5000_short250_t200_i8_b5000,,random,25,5000,g557_gcst_00161,g557_gcst_00161;g557_gcst_00115;g557_gcst_00391;g557_gcst_00152;g557_gcst_00198,False,512,174,-0.04061895551,False,False,False,False,False
random-32-32-20|25|106277|5000|b5000_short250_t050_i8,random-32-32-20|a25|s106277|it0|g557_label_matrix_random_32_32_20_a25_s106277_hb5000_short250_t050_i8_b5000,,random,25,5000,g557_gcst_00279,g557_gcst_00279;g557_gcst_00483;g557_gcst_00009;g557_gcst_00129;g557_gcst_00349,False,512,260,-0.07809847199,False,False,False,False,False
