sample_index,best_edge_residual_mae,baseline_edge_residual_mae,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
169,0.00611435756929,0.0198258314401,False,False,False,False,False
170,0.00597692518399,0.0198258314401,False,False,False,False,False
171,0.00640293611307,0.0198258314401,False,False,False,False,False
172,0.00632774215446,0.0198258314401,False,False,False,False,False
173,0.0064146723081,0.0198258314401,False,False,False,False,False
174,0.00621525664477,0.0198258314401,False,False,False,False,False
175,0.0063877067881,0.0198258314401,False,False,False,False,False
176,0.00603467149299,0.0198258314401,False,False,False,False,False
177,0.00602021460571,0.0198258314401,False,False,False,False,False
178,0.00632849998092,0.0198258314401,False,False,False,False,False
179,0.00620104315696,0.0198258314401,False,False,False,False,False
180,0.00609396512357,0.0198258314401,False,False,False,False,False
181,0.00619505076066,0.0198258314401,False,False,False,False,False
182,0.00631692215748,0.0198258314401,False,False,False,False,False
183,0.00654900108552,0.0198258314401,False,False,False,False,False
184,0.00644802755064,0.0198258314401,False,False,False,False,False
185,0.00594048436938,0.0198258314401,False,False,False,False,False
186,0.00600974205488,0.0198258314401,False,False,False,False,False
187,0.00612778124256,0.0198258314401,False,False,False,False,False
188,0.00622444627628,0.0198258314401,False,False,False,False,False
189,0.0064683187525,0.0198258314401,False,False,False,False,False
190,0.00602598494521,0.0198258314401,False,False,False,False,False
191,0.00653495159916,0.0198258314401,False,False,False,False,False
192,0.00643731013238,0.0198258314401,False,False,False,False,False
193,0.00618847567118,0.0198258314401,False,False,False,False,False
194,0.00623625526714,0.0198258314401,False,False,False,False,False
195,0.00617758424143,0.0198258314401,False,False,False,False,False
196,0.00615284581178,0.0198258314401,False,False,False,False,False
197,0.00597174217666,0.0198258314401,False,False,False,False,False
198,0.00625248304281,0.0198258314401,False,False,False,False,False
199,0.00613048033935,0.0198258314401,False,False,False,False,False
200,0.00635804119446,0.0198258314401,False,False,False,False,False
201,0.00612897301938,0.0198258314401,False,False,False,False,False
202,0.00629966268347,0.0198258314401,False,False,False,False,False
203,0.00641440177317,0.0198258314401,False,False,False,False,False
204,0.00632782961463,0.0198258314401,False,False,False,False,False
205,0.00623770052273,0.0198258314401,False,False,False,False,False
206,0.00593526656751,0.0198258314401,False,False,False,False,False
207,0.00631803124093,0.0198258314401,False,False,False,False,False
208,0.00594432376326,0.0198258314401,False,False,False,False,False
209,0.00623576987028,0.0198258314401,False,False,False,False,False
210,0.00609162837692,0.0198258314401,False,False,False,False,False
211,0.00602373736945,0.0198258314401,False,False,False,False,False
212,0.00637803256784,0.0198258314401,False,False,False,False,False
213,0.00606810248065,0.0198258314401,False,False,False,False,False
214,0.0065040667213,0.0198258314401,False,False,False,False,False
215,0.00644251151553,0.0198258314401,False,False,False,False,False
216,0.00624706676048,0.0198258314401,False,False,False,False,False
217,0.00631502071933,0.0198258314401,False,False,False,False,False
218,0.00634967855571,0.0198258314401,False,False,False,False,False
219,0.00615075615755,0.0198258314401,False,False,False,False,False
220,0.00633467181688,0.0198258314401,False,False,False,False,False
221,0.00636698043195,0.0198258314401,False,False,False,False,False
222,0.00645060768329,0.0198258314401,False,False,False,False,False
223,0.00641530912373,0.0198258314401,False,False,False,False,False
224,0.00616815380951,0.0198258314401,False,False,False,False,False
225,0.00603119777595,0.0198258314401,False,False,False,False,False
226,0.00604311135149,0.0198258314401,False,False,False,False,False
227,0.00607742522083,0.0198258314401,False,False,False,False,False
228,0.00639943415804,0.0198258314401,False,False,False,False,False
229,0.00630379983897,0.0198258314401,False,False,False,False,False
230,0.00639475415577,0.0198258314401,False,False,False,False,False
231,0.00601978355852,0.0198258314401,False,False,False,False,False
232,0.00600310485781,0.0198258314401,False,False,False,False,False
233,0.00599960860318,0.0198258314401,False,False,False,False,False
234,0.00595662371024,0.0198258314401,False,False,False,False,False
235,0.00599775779256,0.0198258314401,False,False,False,False,False
236,0.00609988419811,0.0198258314401,False,False,False,False,False
237,0.00609589434575,0.0198258314401,False,False,False,False,False
238,0.00626648133911,0.0198258314401,False,False,False,False,False
239,0.00612909565116,0.0198258314401,False,False,False,False,False
240,0.00613210003076,0.0198258314401,False,False,False,False,False
241,0.00621752238165,0.0198258314401,False,False,False,False,False
242,0.00622130496403,0.0198258314401,False,False,False,False,False
243,0.00614481349145,0.0198258314401,False,False,False,False,False
244,0.00613427769215,0.0198258314401,False,False,False,False,False
245,0.00602078937328,0.0198258314401,False,False,False,False,False
246,0.00610885228698,0.0198258314401,False,False,False,False,False
247,0.00634962845572,0.0198258314401,False,False,False,False,False
248,0.00650615563813,0.0198258314401,False,False,False,False,False
249,0.00639832644047,0.0198258314401,False,False,False,False,False
