runtime_method,candidate_id,component,g2_role,source,include_in_solver,synthetic_diagnostic,diagnostic_only,phase5p5_allowed,phase6_allowed,g1_rows,g1_better,g1_equal,g1_worse,g1_mean_delta_ratio_vs_ltm,enable_dual_channel,goal_projection_mode,flow_shield_beta,max_flow_shield,alpha_cong_commit_progress,alpha_cong_commit_nonprogress,alpha_cong_block,alpha_cong_wait_progress,alpha_cong_wait_nonprogress,rho_cong_decay,lambda_cong,lambda_flow,min_edge_cost,max_edge_cost,notes
repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,shield_c100_b125_w075_d100_beta0p05_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,35,58,27,0.00027866310941379114,True,flow_shield,0.05,0.25,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,shield_c100_b125_w075_d100_beta0p05_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,32,56,32,0.0009561530283846038,True,flow_shield,0.05,0.5,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,shield_c100_b125_w075_d100_beta0p05_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,32,55,33,0.00039484131190515995,True,flow_shield,0.05,0.75,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,shield_c100_b125_w075_d100_beta0p1_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,36,58,26,-0.0017390998173675203,True,flow_shield,0.1,0.25,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,shield_c100_b125_w075_d100_beta0p1_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,45,51,24,-0.0045738271352069,True,flow_shield,0.1,0.5,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,shield_c100_b125_w075_d100_beta0p1_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,43,45,32,-0.0051169978255263295,True,flow_shield,0.1,0.75,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,shield_c100_b125_w075_d100_beta0p2_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,35,56,29,-0.0009222363696239405,True,flow_shield,0.2,0.25,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,shield_c100_b125_w075_d100_beta0p2_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,52,46,22,-0.008704894452051727,True,flow_shield,0.2,0.5,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,57,42,21,-0.010387837632398303,True,flow_shield,0.2,0.75,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,shield_c100_b125_w075_d100_beta0p35_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,39,51,30,-0.0004800171596724249,True,flow_shield,0.35,0.25,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,shield_c100_b125_w075_d100_beta0p35_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,49,46,25,-0.007922400645637168,True,flow_shield,0.35,0.5,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,64,35,21,-0.013736227771605257,True,flow_shield,0.35,0.75,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,shield_c100_b100_w075_d095_beta0p05_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,27,54,39,0.0028609675180603367,True,flow_shield,0.05,0.25,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,shield_c100_b100_w075_d095_beta0p05_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,37,55,28,0.0009032956611965781,True,flow_shield,0.05,0.5,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,shield_c100_b100_w075_d095_beta0p05_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,37,54,29,0.0009110826927586175,True,flow_shield,0.05,0.75,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,shield_c100_b100_w075_d095_beta0p1_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,38,58,24,-0.0011234881815344868,True,flow_shield,0.1,0.25,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,shield_c100_b100_w075_d095_beta0p1_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,41,49,30,-0.0026021448838879422,True,flow_shield,0.1,0.5,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,shield_c100_b100_w075_d095_beta0p1_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,43,49,28,-0.004360946869547013,True,flow_shield,0.1,0.75,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,shield_c100_b100_w075_d095_beta0p2_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,29,57,34,0.0007870065483589693,True,flow_shield,0.2,0.25,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,shield_c100_b100_w075_d095_beta0p2_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,52,53,15,-0.0077079518753898416,True,flow_shield,0.2,0.5,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,shield_c100_b100_w075_d095_beta0p2_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,50,44,26,-0.007929312204278265,True,flow_shield,0.2,0.75,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,shield_c100_b100_w075_d095_beta0p35_max0p25,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,37,56,27,-0.0009268661120431137,True,flow_shield,0.35,0.25,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,shield_c100_b100_w075_d095_beta0p35_max0p5,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,48,48,24,-0.00613575942311966,True,flow_shield,0.35,0.5,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,shield_c100_b100_w075_d095_beta0p35_max0p75,flow_shield,flow_shield_family,required_flow_shield_grid,True,False,True,False,False,120,63,40,17,-0.013149905779432201,True,flow_shield,0.35,0.75,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.0,1.0,11.0,Flow-shield C penalty reducer on current-agent progress edges only.
repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,agent_c125_b125_w075_d095_lf0p025_min0p75,agent_progress_f,agent_progress_diagnostic,top_agent_progress_slice,True,False,True,False,False,120,30,57,32,0.0019683469360861983,True,agent_progress,0.0,0.0,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.025,0.75,11.0,Agent-aware F discount projected by current-agent goal progress.
repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,agent_c125_b125_w075_d095_lf0p05_min0p75,agent_progress_f,agent_progress_diagnostic,top_agent_progress_slice,True,False,True,False,False,120,30,60,29,0.0027608619190769208,True,agent_progress,0.0,0.0,1.25,1.25,1.25,0.75,0.75,0.95,1.0,0.05,0.75,11.0,Agent-aware F discount projected by current-agent goal progress.
repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,agent_c100_b125_w075_d100_lf0p025_min0p75,agent_progress_f,agent_progress_diagnostic,top_agent_progress_slice,True,False,True,False,False,120,30,57,32,0.003777920166957254,True,agent_progress,0.0,0.0,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.025,0.75,11.0,Agent-aware F discount projected by current-agent goal progress.
repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,agent_c100_b125_w075_d100_lf0p05_min0p75,agent_progress_f,agent_progress_diagnostic,top_agent_progress_slice,True,False,True,False,False,120,29,61,30,0.0009740356358220252,True,agent_progress,0.0,0.0,1.0,1.0,1.25,0.75,0.75,1.0,1.0,0.05,0.75,11.0,Agent-aware F discount projected by current-agent goal progress.
repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,agent_c100_b100_w075_d095_lf0p025_min0p75,agent_progress_f,agent_progress_diagnostic,top_agent_progress_slice,True,False,True,False,False,120,30,59,31,0.0029435579331965733,True,agent_progress,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.025,0.75,11.0,Agent-aware F discount projected by current-agent goal progress.
repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,agent_c100_b100_w075_d095_lf0p05_min0p75,agent_progress_f,agent_progress_diagnostic,top_agent_progress_slice,True,False,True,False,False,120,24,59,37,0.0051799625493728725,True,agent_progress,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.95,1.0,0.05,0.75,11.0,Agent-aware F discount projected by current-agent goal progress.
repair5g1_random_static_diagnostic,random_static_diagnostic,diagnostic,deterministic_random_actual,g1_actual_random_diagnostic,True,False,True,False,False,120,29,54,37,0.001719045029763145,True,agent_progress,0.0,0.0,0.8,0.8,1.2,0.6,0.6,0.95,1.0,0.025,0.75,11.0,Deterministic random diagnostic candidate; never promotable.
repair5g2_random_candidate_diagnostic,repair5g2_random_candidate_diagnostic,synthetic,synthetic_diagnostic,g2_synthesized_after_solver_rows,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,
repair5g2_shuffled_goal_progress_diagnostic,repair5g2_shuffled_goal_progress_diagnostic,synthetic,synthetic_diagnostic,g2_synthesized_after_solver_rows,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,
repair5g2_shuffled_flow_shield_diagnostic,repair5g2_shuffled_flow_shield_diagnostic,synthetic,synthetic_diagnostic,g2_synthesized_after_solver_rows,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,
