candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_static_flow,success_gain_count_vs_static_flow,success_rate_delta_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,bootstrap_ci_upper,better_count_vs_static_flow,worse_count_vs_static_flow,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,validation_ready,not_ready_reason,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c02574,stage1,,92,92,0,0,-1,92,-0.016159913207,-0.0112549135992,58,19,41,58,1,True,True,True,False,insufficient_support,2.13184430891,1.25,1.30183705184,1.25,0.75,0.75,1.068498056,1.03516603517,0.921761103011,1,0.741364091142,0.775643948712,0.325094155094,0.771771209271,0.979915317415,10.667492905,1,0,0,False,False,False,False,False
g554_c01080,stage1,,92,92,0,0,-1,92,-0.0144944087127,-0.0101347706625,65,20,41,58,1,True,True,True,False,insufficient_support,0.2,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,0.8,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c00954,stage1,,92,92,0,0,-1,92,-0.0126629408372,-0.00785444089777,61,16,42,58,1,True,True,True,False,insufficient_support,0.299320793026,1.25,1.25,1.25,0.75,0.75,1,0.2,0.95,1,1,0.111512936974,0.375348689303,0.791616216768,1,11,1,0,0,False,False,False,False,False
g554_c00960,stage1,,92,92,0,0,-1,92,-0.0100756884387,-0.00516263583551,55,23,42,58,1,True,True,True,False,insufficient_support,0.969694328801,1.25,1.29811142311,1.25,0.75,0.75,1.03194992395,0.192558695059,0.9825,1,0.855158587282,0.0761497852005,0.390935564136,0.727816095316,0.952477516477,11.411881834,1,0,0,False,False,False,False,False
g554_c02466,stage1,,92,92,0,0,-1,92,-0.00547453589815,-0.0016911543677,52,29,42,58,1,True,True,True,False,insufficient_support,0.0672409297405,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.771449037074,0.962438724939,11,1,0,0,False,False,False,False,False
g554_c02478,stage1,,92,92,0,0,-1,92,-0.00357534853478,0.00122280823337,40,36,42,60,1,True,True,True,False,insufficient_support,1.4381180228,1.25,1.02948975985,1.25,0.75,0.75,1.02955733006,0.609495924496,0.973124780625,1,1.0327338935,0.4874001602,0.328267275067,0.805429049179,0.960372099372,11.1645868726,1,0,0,False,False,False,False,False
g554_c02529,stage1,,92,92,0,0,-1,92,-0.00143409970587,0.00264658341637,40,32,44,57,1,True,True,True,False,insufficient_support,0.230068125378,1.25,1.27237728019,1.25,0.75,0.75,1.03082955895,0.014100951601,0.940107782608,1,1.02398751774,0,0.334155994156,0.772381991132,1,10.9211511649,1,0,0,False,False,False,False,False
g554_c01050,stage1,,92,92,0,0,-1,92,-0.00102053395598,0.00326467612066,41,35,42,64,1,True,True,True,False,insufficient_support,0.353773467757,1.25,1.25,1.25,0.75,0.75,1,0.268402689196,0.95,1,1.00687644675,0.198262304475,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c00972,stage1,,92,92,0,0,-1,92,-9.55767259783e-05,0.00465450073982,34,37,42,58,1,True,True,True,False,insufficient_support,0.938810297578,1.25,1.31116283492,1.25,0.75,0.75,0.942633146133,0.182554697554,0.9175,1,0.947352424588,0.144128355493,0.381449101049,0.704442933193,0.953400608401,10.6241239811,1,0,0,False,False,False,False,False
g554_c02580,stage1,,92,92,0,0,-1,92,0,0,0,0,41,58,1,True,True,True,False,insufficient_support,0.0178454428467,1.25,1.25,1.25,0.75,0.75,1.02676816427,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c01011,stage1,,92,92,0,0,-1,92,0,0,0,0,42,59,1,True,True,True,False,insufficient_support,0.0418690168693,1.25,1.25,1.25,0.75,0.75,0.937196474696,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c02586,stage1,,92,92,0,0,-1,92,0,0,0,0,42,58,1,True,True,True,False,insufficient_support,0.35,1.25,1.25,1.25,0.75,0.75,1,0,0.93,0.985,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c02568,stage1,,92,92,0,0,-1,92,0,0,0,0,41,60,1,True,True,True,False,insufficient_support,0.45,1.25,1.25,1.25,0.75,0.75,1,0,0.97,0.975,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c00942,stage1,,92,92,0,0,-1,92,0,0,0,0,42,62,1,True,True,True,False,insufficient_support,1.5,1.25,1.25,1.25,0.75,0.75,1,0,0.9,0.9,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c02598,stage1,,92,92,0,0,-1,92,0.000590017388152,0.00240957653164,14,18,42,60,1,True,True,True,False,insufficient_support,0.162558762559,1.25,1.28835658523,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11.5274939775,1,0,0,False,False,False,False,False
g554_c01074,stage1,,92,92,0,0,-1,92,0.000593059278261,0.00431343386364,32,34,41,58,1,True,True,True,False,insufficient_support,0.01539434664,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1.01539434664,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c02490,stage1,,92,92,0,0,-1,92,0.00132080403674,0.00459084602966,30,32,42,64,1,True,True,True,False,insufficient_support,0.0883031209963,1.25,1.25,1.25,0.75,0.75,1,0.0505641608716,0.95,1,1.00385634829,0.0659931660136,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_c00948,stage1,,92,92,0,0,-1,92,0.00200750834239,0.00599317749214,35,41,42,60,1,True,True,True,False,insufficient_support,1.02607642219,1.25,1.23054446492,1.25,0.75,0.75,1.06222392472,0.350839734152,0.970942925318,1,0.916766762661,0.310446579107,0.336497316497,0.701310841936,1,10.4683958684,1,0,0,False,False,False,False,False
g554_c02472,stage1,,92,92,0,0,-1,92,0.00202087879141,0.00585539485383,29,32,42,58,1,True,True,True,False,insufficient_support,0.303033536188,1.25,1.25,1.25,0.75,0.75,1,0.1225,0.95,1,1,0.1225,0.35,0.75,0.95156773124,10.7648379553,1,0,0,False,False,False,False,False
g554_c02484,stage1,,92,92,0,0,-1,92,0.00226053071304,0.00637564153229,26,36,42,62,1,True,True,True,False,insufficient_support,0.0914384789342,1.25,1.30816490191,1.25,0.75,0.75,1,0,0.95,1,1,0,0.314074754075,0.75,1,11,1,0,0,False,False,False,False,False
g554_c02460,stage1,,92,92,0,0,-1,92,0.00258664176272,0.00776978319116,35,43,41,58,1,True,True,True,False,insufficient_support,1.36241131195,1.25,1.19877856753,1.25,0.75,0.75,1.01968369018,0.679938687747,0.935020781171,1,1.01234734269,0.669396221208,0.317668499668,0.774481250731,0.960041457041,10.8292814243,1,0,0,False,False,False,False,False
g554_c01056,stage1,,92,92,0,0,-1,92,0.00932835151967,0.014195952763,28,48,42,64,1,True,True,True,False,insufficient_support,1.70044754098,1.25,1.21854276354,1.25,0.75,0.75,0.931323739324,0.633048773592,0.977478641629,1,0.987188938188,0.65,0.32873003393,0.696881605631,0.851151790701,10.4616748177,1,0,0,False,False,False,False,False
g554_c01068,stage1,,92,92,0,0,-1,92,0.0128283527436,0.0178807309417,19,58,42,60,1,True,True,True,False,insufficient_support,1.84657276099,1.25,0.950234845149,1.25,0.75,0.75,1.07672545923,0.599753666004,0.9175,1,0.980642293978,0.80815423869,0.310026052026,0.698748147498,1,11.4068451308,1,0,0,False,False,False,False,False
g554_c01012,stage1,,91,91,0,0,-1,91,-0.0300634775795,-0.0242950008004,72,7,42,59,1,True,True,True,False,insufficient_support,1.21606707232,1.25,1.18851662602,1.25,0.75,0.75,1.08067911818,0,1,1,0.908278958279,0,0.383603813604,0.870975589726,0.905963930964,9.97117364617,1,0,0,False,False,False,False,False
g554_c02558,stage1,,91,91,0,0,-1,91,-0.0288320661946,-0.0216785404433,66,9,42,62,1,True,True,True,False,insufficient_support,1.61404843441,1.25,1.26654264654,1.25,0.75,0.75,1.07229460629,0.694191529194,0.980657794158,1,0.970723723724,0.220060569879,0.513912790566,1.00150625203,0.981846144846,10.6623908194,1,0,0,False,False,False,False,False
g554_c02512,stage1,,91,91,0,0,-1,91,-0.0231765611468,-0.0183564359772,73,6,43,59,1,True,True,True,False,insufficient_support,1.12668418918,1.25,1.19806132306,1.25,0.75,0.75,1.08037773038,0.12010990136,0.9,1,1.05144165144,0,0.405233475233,0.856703075453,0.963933963934,10.2738953239,1,0,0,False,False,False,False,False
g554_c02500,stage1,,91,91,0,0,-1,91,-0.0229983831882,-0.0162963854676,65,18,43,63,1,True,True,True,False,insufficient_support,5.71376562626,0.161397161397,0.705603955604,1.29535654536,0.88420963421,0.707646457646,1.21671121671,1.13042738043,0.9666995667,0.961138661139,0.50306000306,1.2328962329,0.138682538683,0.46546021546,0.432874932875,10.1048621049,1,0,0,False,False,False,False,False
g554_c00918,stage1,,91,91,0,0,-1,91,-0.0225619308962,-0.0173250424926,67,8,40,59,1,True,True,True,False,insufficient_support,1.87536795101,1.25,1.09519708011,1.25,0.75,0.75,1.04895033345,0.695013747513,0.9825,1,0.823090029006,0.682882589233,0.315429023829,0.812076703327,0.949005148005,10.8206087516,1,0,0,False,False,False,False,False
g554_c00992,stage1,,91,91,0,0,-1,91,-0.021799306807,-0.0160721073809,63,11,41,64,1,True,True,True,False,insufficient_support,1.5215998558,1.25,1.27118667368,1.25,0.75,0.75,1.02011255411,0.677184858701,0.923621929722,1,0.877878518052,0.541167597665,0.389514777115,0.802275408526,0.964466596466,11.2568880309,1,0,0,False,False,False,False,False
g554_c02537,stage1,,91,91,0,0,-1,91,-0.01954135927,-0.0143924013661,65,15,43,58,1,True,True,True,False,insufficient_support,1.12288203538,1.25,1.31563922189,1.25,0.75,0.75,1.07585950086,0.123561498561,1,1,0.939027489027,0,0.310483420483,0.851473038973,1,11.9176071676,1,0,0,False,False,False,False,False
