baseline_level,support_rows,success_regression_count_vs_additive,success_gain_count_vs_additive,quality_only_mean_delta_vs_additive,quality_only_mean_delta_vs_static_flow,fallback_or_additive_selection_rate,top_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,map_family,budget_ms,agents,iteration
best_family_budget_static_goal_aware,234,49,1,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,,500,,
best_family_static_goal_aware,288,122,0,0,0,0.111111111111,repair5g59_wait_aggressive,False,False,False,False,False,,1000,,
best_family_static_goal_aware,293,125,1,-0.0199355742247,-0.00044016300125,0.0853242320819,repair5g59_wait_aggressive,False,False,False,False,False,,2000,,
best_family_static_goal_aware,234,78,3,0,0,0.145299145299,repair5g59_low_beta_high_cap,False,False,False,False,False,,500,,
best_fixed_static_goal_aware,288,10,0,3.50740452e-05,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,1000,,
best_fixed_static_goal_aware,293,12,2,-0.0133420511567,-0.000819268140441,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,2000,,
best_fixed_static_goal_aware,234,5,9,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,500,,
best_safe_static_oracle_upper_bound,288,7,0,-0.000425683783596,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,,1000,,
best_safe_static_oracle_upper_bound,293,6,20,-0.017781904311,-0.00508548494207,0,repair5g59_flow_decay,False,False,False,False,False,,2000,,
best_safe_static_oracle_upper_bound,234,1,9,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,,500,,
static_flow_shield,288,10,0,3.50740452e-05,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,1000,,
static_flow_shield,293,13,8,-0.0113389270185,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,2000,,
static_flow_shield,234,2,2,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,500,,
additive_ltm,364,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False,,,100,
additive_ltm,451,0,0,0,0.00733587173599,1,repair5g59_additive_fallback,False,False,False,False,False,,,50,
best_budget_static_goal_aware,364,84,1,0,0,0,repair5g59_flow_decay,False,False,False,False,False,,,100,
best_budget_static_goal_aware,451,121,8,-0.0128482035882,-0.000556153767308,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,,50,
best_family_budget_static_goal_aware,364,82,2,-0.000281583494868,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,,100,
best_family_budget_static_goal_aware,451,95,5,-0.00579050762789,0.00449543939822,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,,50,
best_family_static_goal_aware,364,141,3,0,0,0.0879120879121,repair5g59_wait_aggressive,False,False,False,False,False,,,100,
best_family_static_goal_aware,451,184,1,-0.0125422486844,-0.000273614838615,0.130820399113,repair5g59_wait_aggressive,False,False,False,False,False,,,50,
best_fixed_static_goal_aware,364,12,9,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,,100,
best_fixed_static_goal_aware,451,15,2,-0.0086504119736,-0.00052889462231,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,,50,
best_safe_static_oracle_upper_bound,364,6,10,-0.000187722329912,0,0,repair5g59_flow_decay,False,False,False,False,False,,,100,
best_safe_static_oracle_upper_bound,451,8,19,-0.0117704606709,-0.00334366746955,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,,,50,
static_flow_shield,364,9,2,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,,100,
static_flow_shield,451,16,8,-0.00733587173599,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,,50,
additive_ltm,666,0,0,0,0.00118722984844,1,repair5g59_additive_fallback,False,False,False,False,False,,,,0
additive_ltm,145,0,0,0,0.0903603901763,1,repair5g59_additive_fallback,False,False,False,False,False,,,,1
additive_ltm,1,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False,,,,2
additive_ltm,3,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False,,,,final
best_budget_static_goal_aware,666,189,4,-0.00219899683639,-0.000344130336956,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,,,,0
best_budget_static_goal_aware,145,15,5,-0.0834106934796,0,0,repair5g59_flow_decay,False,False,False,False,False,,,,1
best_budget_static_goal_aware,1,1,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False,,,,2
best_budget_static_goal_aware,3,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False,,,,final
best_family_budget_static_goal_aware,666,162,4,-0.001762527352,-0.00026144164025,0,repair5g59_flow_decay,False,False,False,False,False,,,,0
best_family_budget_static_goal_aware,145,14,3,-0.0314269993492,0.06113840321,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,,,1
best_family_budget_static_goal_aware,1,1,0,0,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False,,,,2
best_family_budget_static_goal_aware,3,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False,,,,final
best_family_static_goal_aware,666,304,3,-0.000272108843556,6.35282784529e-05,0.132132132132,repair5g59_low_beta_high_cap,False,False,False,False,False,,,,0
best_family_static_goal_aware,145,20,1,-0.0964555295553,-0.00303676678944,0,repair5g59_wait_aggressive,False,False,False,False,False,,,,1
best_family_static_goal_aware,1,1,0,0,0,0,repair5g59_wait_aggressive,False,False,False,False,False,,,,2
best_family_static_goal_aware,3,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False,,,,final
best_fixed_static_goal_aware,666,8,10,-0.00119957543526,-3.23057838772e-06,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,,,0
best_fixed_static_goal_aware,145,18,1,-0.10205490618,-0.00919153162833,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,,,1
best_fixed_static_goal_aware,1,1,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,,,2
best_fixed_static_goal_aware,3,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False,,,,final
best_safe_static_oracle_upper_bound,666,1,12,-0.00232768065821,-0.00114286739076,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False,,,,0
best_safe_static_oracle_upper_bound,145,12,17,-0.0986194793733,-0.0203191477267,0,repair5g59_static_flow_shield,False,False,False,False,False,,,,1
best_safe_static_oracle_upper_bound,1,1,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,,,2
best_safe_static_oracle_upper_bound,3,0,0,0,0,0,repair5g59_wait_conservative,False,False,False,False,False,,,,final
static_flow_shield,666,4,5,-0.00118722984844,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,,,0
static_flow_shield,145,20,5,-0.0903603901763,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,,,1
static_flow_shield,1,1,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,,,2
static_flow_shield,3,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False,,,,final
