feature,forbidden,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_failure_priority_block_rate,False,False,False,False,False,False
feature_failure_rank_entropy,False,False,False,False,False,False
feature_failure_reason_entropy,False,False,False,False,False,False
feature_failure_same_from_vertex_concentration,False,False,False,False,False,False
feature_failure_unknown_rate,False,False,False,False,False,False
feature_failure_vertex_conflict_rate,False,False,False,False,False,False
feature_failure_vertex_repetition_rate,False,False,False,False,False,False
feature_flow_decay_expected_on_committed_edges,False,False,False,False,False,False
feature_flow_shield_expected_on_goal_progress,False,False,False,False,False,False
feature_flow_shield_expected_on_wait_nonprogress,False,False,False,False,False,False
feature_full_coverage_context_seen,False,False,False,False,False,False
feature_g525_subset_membership,False,False,False,False,False,False
feature_goal_aware_c_minus_f_alignment,False,False,False,False,False,False
feature_goal_aware_congestion_on_blocked_edges,False,False,False,False,False,False
feature_goal_aware_congestion_on_goal_progress_edges,False,False,False,False,False,False
feature_goal_aware_flow_on_blocked_edges,False,False,False,False,False,False
feature_goal_aware_flow_on_goal_progress_edges,False,False,False,False,False,False
feature_goal_aware_update_balance,False,False,False,False,False,False
feature_goal_progress_local_position_mean,False,False,False,False,False,False
feature_local_margin_blocked_vs_committed_mean,False,False,False,False,False,False
feature_local_margin_top1_top2_mean,False,False,False,False,False,False
feature_missing_from_g525_subset,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_blocked_progress_relief,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_failed_rank_mean,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_goal_progress_relief,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_margin_to_static,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_region_prior,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_alpha_cong_blocked_wait_penalty,False,False,False,False,False,False
feature_mix_alpha_cong_committed_blocked_progress_relief,False,False,False,False,False,False
feature_mix_alpha_cong_committed_failed_rank_mean,False,False,False,False,False,False
feature_mix_alpha_cong_committed_goal_progress_relief,False,False,False,False,False,False
feature_mix_alpha_cong_committed_margin_to_static,False,False,False,False,False,False
feature_mix_alpha_cong_committed_region_prior,False,False,False,False,False,False
feature_mix_alpha_cong_committed_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_alpha_cong_committed_wait_penalty,False,False,False,False,False,False
feature_mix_alpha_flow_progress_blocked_progress_relief,False,False,False,False,False,False
feature_mix_alpha_flow_progress_failed_rank_mean,False,False,False,False,False,False
feature_mix_alpha_flow_progress_goal_progress_relief,False,False,False,False,False,False
feature_mix_alpha_flow_progress_margin_to_static,False,False,False,False,False,False
feature_mix_alpha_flow_progress_region_prior,False,False,False,False,False,False
feature_mix_alpha_flow_progress_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_alpha_flow_progress_wait_penalty,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_blocked_progress_relief,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_failed_rank_mean,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_goal_progress_relief,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_margin_to_static,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_region_prior,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_wait_penalty,False,False,False,False,False,False
feature_mix_c_only_blocked_progress_relief,False,False,False,False,False,False
feature_mix_c_only_failed_rank_mean,False,False,False,False,False,False
feature_mix_c_only_goal_progress_relief,False,False,False,False,False,False
feature_mix_c_only_margin_to_static,False,False,False,False,False,False
feature_mix_c_only_region_prior,False,False,False,False,False,False
feature_mix_c_only_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_c_only_wait_penalty,False,False,False,False,False,False
feature_mix_flow_shield_beta_blocked_progress_relief,False,False,False,False,False,False
feature_mix_flow_shield_beta_failed_rank_mean,False,False,False,False,False,False
feature_mix_flow_shield_beta_goal_progress_relief,False,False,False,False,False,False
feature_mix_flow_shield_beta_margin_to_static,False,False,False,False,False,False
feature_mix_flow_shield_beta_region_prior,False,False,False,False,False,False
feature_mix_flow_shield_beta_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_flow_shield_beta_wait_penalty,False,False,False,False,False,False
feature_mix_max_flow_shield_blocked_progress_relief,False,False,False,False,False,False
feature_mix_max_flow_shield_failed_rank_mean,False,False,False,False,False,False
feature_mix_max_flow_shield_goal_progress_relief,False,False,False,False,False,False
feature_mix_max_flow_shield_margin_to_static,False,False,False,False,False,False
feature_mix_max_flow_shield_region_prior,False,False,False,False,False,False
feature_mix_max_flow_shield_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_max_flow_shield_wait_penalty,False,False,False,False,False,False
feature_mix_rho_cong_blocked_progress_relief,False,False,False,False,False,False
feature_mix_rho_cong_failed_rank_mean,False,False,False,False,False,False
feature_mix_rho_cong_goal_progress_relief,False,False,False,False,False,False
feature_mix_rho_cong_margin_to_static,False,False,False,False,False,False
feature_mix_rho_cong_region_prior,False,False,False,False,False,False
feature_mix_rho_cong_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_rho_cong_wait_penalty,False,False,False,False,False,False
feature_mix_rho_flow_blocked_progress_relief,False,False,False,False,False,False
feature_mix_rho_flow_failed_rank_mean,False,False,False,False,False,False
feature_mix_rho_flow_goal_progress_relief,False,False,False,False,False,False
feature_mix_rho_flow_margin_to_static,False,False,False,False,False,False
feature_mix_rho_flow_region_prior,False,False,False,False,False,False
feature_mix_rho_flow_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_rho_flow_wait_penalty,False,False,False,False,False,False
feature_param_alpha_cong_blocked,False,False,False,False,False,False
feature_param_alpha_cong_committed,False,False,False,False,False,False
feature_param_alpha_flow_progress,False,False,False,False,False,False
feature_param_alpha_flow_wait_or_nonprogress,False,False,False,False,False,False
feature_param_c_only,False,False,False,False,False,False
feature_param_flow_shield_beta,False,False,False,False,False,False
feature_param_max_flow_shield,False,False,False,False,False,False
feature_param_rho_cong,False,False,False,False,False,False
feature_param_rho_flow,False,False,False,False,False,False
feature_pibt_failure_backtrack_rate,False,False,False,False,False,False
feature_pibt_failure_candidate_count,False,False,False,False,False,False
feature_pibt_failure_edge_swap_rate,False,False,False,False,False,False
feature_pibt_failure_first_reason_hash,False,False,False,False,False,False
feature_pibt_failure_last_reason_hash,False,False,False,False,False,False
feature_pibt_failure_max_failed_rank,False,False,False,False,False,False
feature_pibt_failure_mean_failed_rank,False,False,False,False,False,False
feature_pibt_failure_priority_block_rate,False,False,False,False,False,False
feature_pibt_failure_rank_entropy,False,False,False,False,False,False
feature_pibt_failure_unknown_rate,False,False,False,False,False,False
feature_pibt_failure_vertex_conflict_rate,False,False,False,False,False,False
feature_policy_prior_class_frequency,False,False,False,False,False,False
feature_policy_prior_fallback_rate,False,False,False,False,False,False
feature_policy_prior_region_frequency,False,False,False,False,False,False
feature_priority_block_exact_subreason_rate_none,False,False,False,False,False,False
feature_priority_block_exact_subreason_rate_priority_order_blocked_candidate,False,False,False,False,False,False
feature_priority_block_exact_subreason_rate_recursive_pibt_child_return_false,False,False,False,False,False,False
feature_progress_vs_wait_rank_margin_x_candidate_congestion,False,False,False,False,False,False
feature_rank_effect_candidate_rank_global,False,False,False,False,False,False
feature_rank_effect_candidate_rank_within_region,False,False,False,False,False,False
feature_rank_effect_margin_to_old14_g518,False,False,False,False,False,False
feature_rank_effect_margin_to_static,False,False,False,False,False,False
feature_rank_effect_topk_margin_to_next_candidate,False,False,False,False,False,False
feature_teacher_fallback_region_prior,False,False,False,False,False,False
feature_teacher_false_positive_risk_prior,False,False,False,False,False,False
feature_topology_bottleneck_index,False,False,False,False,False,False
feature_topology_corridor_vertex_rate,False,False,False,False,False,False
feature_topology_dead_end_rate,False,False,False,False,False,False
feature_topology_degree_entropy,False,False,False,False,False,False
feature_topology_edge_count,False,False,False,False,False,False
feature_topology_goal_start_path_overlap_proxy,False,False,False,False,False,False
feature_topology_junction_rate,False,False,False,False,False,False
feature_topology_local_cut_proxy,False,False,False,False,False,False
feature_topology_map_family_onehot_maze,False,False,False,False,False,False
feature_topology_map_family_onehot_other,False,False,False,False,False,False
feature_topology_map_family_onehot_random,False,False,False,False,False,False
feature_topology_map_family_onehot_warehouse,False,False,False,False,False,False
feature_topology_mean_degree,False,False,False,False,False,False
feature_topology_obstacle_density_proxy,False,False,False,False,False,False
feature_topology_shortest_path_mean_length,False,False,False,False,False,False
feature_topology_shortest_path_p90_length,False,False,False,False,False,False
feature_topology_vertex_count,False,False,False,False,False,False
feature_wait_local_position_mean,False,False,False,False,False,False
