batch,row_type,candidate_id,candidate_family,batch_candidate_index,old14_control,new_candidate,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,surrogate_selection_score,mean_predicted_new_gap_vs_old_oracle,predicted_harmful_risk,predicted_improvement_context_budget_pairs,nearest_g517_failed_param_distance,nearest_old14_param_distance
A,old14_control,repair5g59_static_flow_shield,static,11,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
A,old14_control,repair5g59_wait_aggressive,wait_aggressive,12,True,False,1.25,1.25,1.0,1.0,0.95,1.0,0.35,0.75,False,,,,,,
A,old14_control,repair5g59_wait_conservative,wait_conservative,13,True,False,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,,,,,,
A,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,14,False,True,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,0.035588528848,0.035209441609,0.02527248259,2,0.368646171823,0.0
A,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,15,False,True,1.25,1.25,1.0,0.45,0.95,1.0,0.3,0.75,False,0.039515335256,0.038053656788,0.097445231214,0,0.394841740448,0.070710678119
A,new_candidate,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,16,False,True,0.9,1.5,1.0,0.45,0.95,1.0,0.35,0.75,False,0.040550907486,0.03897500817,0.105059954447,0,0.590254182535,0.111803398875
A,new_candidate,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,17,False,True,0.9,1.5,1.0,0.45,0.95,1.0,0.45,0.75,False,0.040934703086,0.039141146894,0.119570412755,0,0.615142259969,0.15
A,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,18,False,True,1.25,1.25,1.0,0.35,0.95,1.0,0.35,0.75,False,0.041286518396,0.039254266166,0.135483481981,0,0.483114893167,0.15
A,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p98_beta0p35_max0p75_c0,flow_decay,19,False,True,1.25,1.25,1.0,0.75,0.92,0.98,0.35,0.75,False,0.041382798674,0.040672119063,0.047378640699,0,0.27,0.036055512755
A,new_candidate,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,20,False,True,0.9,1.65,1.0,0.45,0.95,1.0,0.35,0.75,False,0.041736299716,0.039619322817,0.141131793291,0,0.667757440992,0.187082869339
A,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p90_df0p92_beta0p35_max0p75_c0,flow_decay,21,False,True,1.25,1.25,1.0,0.75,0.9,0.92,0.35,0.75,False,0.042919894173,0.041625663485,0.086282045843,0,0.281602556807,0.058309518948
A,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p88_beta0p35_max0p75_c0,flow_decay,22,False,True,1.25,1.25,1.0,0.75,0.95,0.88,0.35,0.75,False,0.04348330965,0.041966703622,0.101107068527,0,0.296310647801,0.07
A,new_candidate,repair5g518_grid_c1p20_b1p35_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,23,False,True,1.2,1.35,1.0,0.8,0.95,1.0,0.25,0.75,False,0.046772975287,0.044091889774,0.178739034181,0,0.28,0.158113883008
A,new_candidate,repair5g518_grid_c1p35_b1p15_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,24,False,True,1.35,1.15,1.0,0.8,0.95,1.0,0.25,0.75,False,0.047050551114,0.044267949686,0.185506761843,0,0.293087017795,0.180277563773
A,new_candidate,repair5g518_grid_c1p20_b1p55_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,high_beta,25,False,True,1.2,1.55,1.0,0.7,0.95,1.0,0.55,0.75,False,0.047206773768,0.043853420718,0.223556869951,0,0.498397431775,0.31224989992
B,old14_control,repair5g59_additive_fallback,additive,0,True,False,,,,,,,,,,,,,,,
B,old14_control,repair5g59_block_heavy_flow_guard,block_heavy,1,True,False,1.0,1.5,1.0,0.5,0.95,1.0,0.35,0.75,False,,,,,,
B,old14_control,repair5g59_c_only_f_disabled,static_boundary,2,True,False,1.25,1.25,0.0,0.75,0.95,1.0,0.0,0.0,True,,,,,,
B,old14_control,repair5g59_commit_heavy_flow_guard,commit_heavy,3,True,False,1.5,1.0,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
B,old14_control,repair5g59_fast_decay_low_shield,flow_decay,4,True,False,1.25,1.25,1.0,0.75,0.9,1.0,0.2,0.5,False,,,,,,
B,old14_control,repair5g59_flow_decay,flow_decay,5,True,False,1.25,1.25,1.0,0.75,0.95,0.95,0.35,0.75,False,,,,,,
B,old14_control,repair5g59_high_beta_cap_safe,high_beta,6,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.6,0.75,False,,,,,,
B,old14_control,repair5g59_light_cong_light_flow,static_boundary,7,True,False,1.0,1.0,0.75,0.75,0.98,1.0,0.25,0.5,False,,,,,,
B,old14_control,repair5g59_low_beta_high_cap,low_beta_high_cap,8,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.2,1.25,False,,,,,,
B,old14_control,repair5g59_slow_decay_high_shield,flow_decay,9,True,False,1.25,1.25,1.0,0.75,0.98,1.0,0.5,1.0,False,,,,,,
B,old14_control,repair5g59_static_abstain_candidate,static,10,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
B,old14_control,repair5g59_static_flow_shield,static,11,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
B,old14_control,repair5g59_wait_aggressive,wait_aggressive,12,True,False,1.25,1.25,1.0,1.0,0.95,1.0,0.35,0.75,False,,,,,,
B,old14_control,repair5g59_wait_conservative,wait_conservative,13,True,False,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,,,,,,
B,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,14,False,True,1.25,1.25,1.0,0.45,0.95,1.0,0.35,0.75,False,0.038206531886,0.037074743955,0.075452528675,2,0.404227658628,0.05
B,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,15,False,True,1.25,1.25,1.0,0.5,0.95,1.0,0.3,0.75,False,0.038830989081,0.0376080874,0.081526778762,2,0.358329457343,0.05
B,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p95_beta0p35_max0p75_c0,flow_decay,16,False,True,1.25,1.25,1.0,0.75,0.92,0.95,0.35,0.75,False,0.041533478869,0.040755883279,0.051839706009,0,0.273861278753,0.03
B,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,17,False,True,1.25,1.25,1.0,0.35,0.95,1.0,0.3,0.75,False,0.041905442272,0.039731949519,0.144899516844,0,0.475289385533,0.158113883008
B,new_candidate,repair5g518_grid_c0p90_b1p50_f1p00_w0p55_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,18,False,True,0.9,1.5,1.0,0.55,0.95,1.0,0.35,0.75,False,0.041994594068,0.040141524349,0.123537981211,0,0.54626001135,0.111803398875
B,new_candidate,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,19,False,True,0.9,1.65,1.0,0.45,0.95,1.0,0.45,0.75,False,0.042211453847,0.039918195094,0.152883916816,0,0.68985505724,0.212132034356
B,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p88_df0p98_beta0p35_max0p75_c0,flow_decay,20,False,True,1.25,1.25,1.0,0.75,0.88,0.98,0.35,0.75,False,0.04284894754,0.041583909514,0.084335868388,0,0.272946881279,0.072801098893
B,new_candidate,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,21,False,True,0.9,1.4,1.0,0.45,0.95,1.0,0.35,0.75,False,0.043232301447,0.041025190891,0.1471407037,0,0.555337735077,0.15
B,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p88_beta0p35_max0p75_c0,flow_decay,22,False,True,1.25,1.25,1.0,0.75,0.92,0.88,0.35,0.75,False,0.043710570837,0.042113142623,0.106495214316,0,0.29478805946,0.076157731059
B,new_candidate,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,high_beta,23,False,True,1.2,1.35,1.0,0.7,0.95,1.0,0.6,0.75,False,0.047363219179,0.043371864436,0.266090316176,0,0.44821869662,0.122474487139
C,old14_control,repair5g59_additive_fallback,additive,0,True,False,,,,,,,,,,,,,,,
C,old14_control,repair5g59_block_heavy_flow_guard,block_heavy,1,True,False,1.0,1.5,1.0,0.5,0.95,1.0,0.35,0.75,False,,,,,,
C,old14_control,repair5g59_c_only_f_disabled,static_boundary,2,True,False,1.25,1.25,0.0,0.75,0.95,1.0,0.0,0.0,True,,,,,,
C,old14_control,repair5g59_commit_heavy_flow_guard,commit_heavy,3,True,False,1.5,1.0,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
C,old14_control,repair5g59_fast_decay_low_shield,flow_decay,4,True,False,1.25,1.25,1.0,0.75,0.9,1.0,0.2,0.5,False,,,,,,
C,old14_control,repair5g59_flow_decay,flow_decay,5,True,False,1.25,1.25,1.0,0.75,0.95,0.95,0.35,0.75,False,,,,,,
C,old14_control,repair5g59_high_beta_cap_safe,high_beta,6,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.6,0.75,False,,,,,,
C,old14_control,repair5g59_light_cong_light_flow,static_boundary,7,True,False,1.0,1.0,0.75,0.75,0.98,1.0,0.25,0.5,False,,,,,,
C,old14_control,repair5g59_low_beta_high_cap,low_beta_high_cap,8,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.2,1.25,False,,,,,,
C,old14_control,repair5g59_slow_decay_high_shield,flow_decay,9,True,False,1.25,1.25,1.0,0.75,0.98,1.0,0.5,1.0,False,,,,,,
C,old14_control,repair5g59_static_abstain_candidate,static,10,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
C,old14_control,repair5g59_static_flow_shield,static,11,True,False,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,,,,,,
C,old14_control,repair5g59_wait_aggressive,wait_aggressive,12,True,False,1.25,1.25,1.0,1.0,0.95,1.0,0.35,0.75,False,,,,,,
C,old14_control,repair5g59_wait_conservative,wait_conservative,13,True,False,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,,,,,,
C,new_candidate,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,high_beta,14,False,True,1.2,1.15,1.0,0.7,0.95,1.0,0.6,0.75,False,0.047459711226,0.043458762489,0.266729915808,0,0.44821869662,0.122474487139
C,new_candidate,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,high_beta,15,False,True,1.2,1.35,1.0,0.7,0.95,1.0,0.55,0.75,False,0.047556457989,0.043809873658,0.249772288705,0,0.410365690574,0.132287565553
C,new_candidate,repair5g518_grid_c1p35_b1p35_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,16,False,True,1.35,1.35,1.0,0.8,0.95,1.0,0.25,0.75,False,0.047631342161,0.044674672577,0.1971113056,0,0.293087017795,0.180277563773
C,new_candidate,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,high_beta,17,False,True,1.2,1.15,1.0,0.7,0.95,1.0,0.55,0.75,False,0.047771420212,0.043975942333,0.253031858555,0,0.410365690574,0.132287565553
C,new_candidate,repair5g518_grid_c1p35_b1p15_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p90_c0,static_boundary,18,False,True,1.35,1.15,1.0,0.8,0.95,1.0,0.25,0.9,False,0.048087326699,0.044583263804,0.233604193007,0,0.428252262107,0.234520787991
C,new_candidate,repair5g518_grid_c1p20_b1p15_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,19,False,True,1.2,1.15,1.0,0.8,0.95,1.0,0.25,0.75,False,0.048424733294,0.045364755487,0.20399852053,0,0.28,0.158113883008
C,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p60_dc0p95_df1p00_beta0p25_max1p00_c0,low_beta_high_cap,20,False,True,1.25,1.25,1.0,0.6,0.95,1.0,0.25,1.0,False,0.050570685746,0.045614676541,0.33040061368,0,0.522876658496,0.287228132327
C,new_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p60_dc0p95_df1p00_beta0p20_max1p00_c0,low_beta_high_cap,21,False,True,1.25,1.25,1.0,0.6,0.95,1.0,0.2,1.0,False,0.0512970253,0.046279608795,0.334494433708,0,0.525261839467,0.291547594742
