comparator,target_rule,map_name,agents,opportunity_bucket,decision_target,sample_count,use_nonadditive_target_count,matched_oracle_count,rule_top1,rule_top3,safe_utility_top1,safe_utility_top3,utility_regret_to_oracle,selected_delta,additive_delta,selected_vs_additive_delta,selected_vs_additive_utility,high_margin_nonadditive_capture,avoidable_additive_or_defer,harmful_false_negative_selected_count,harmful_false_negative_selected_rate,harmful_false_positive_proxy_count,harmful_false_positive_proxy_rate,decision_accuracy
phase4f_repair3_stable_tie001_no_additive_pref,,empty-48-48,200,,,60,0,0,0.0,0.0,,,,0.004734372273697649,0.0,0.004734372273697649,0.0,0.0,0.0,11,0.18333333333333332,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,,empty-48-48,400,,,60,0,0,0.0,0.0,,,,0.007572404073700801,0.0,0.007572404073700801,0.0,0.0,0.0,18,0.3,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,,maze-32-32-4,50,,,60,0,0,0.0,0.0,,,,0.007387739515205999,0.0,0.007387739515205999,0.0,0.0,0.0,17,0.2833333333333333,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,,maze-32-32-4,100,,,60,0,0,0.0,0.0,,,,0.0030284889315742654,0.0,0.0030284889315742654,0.0,0.0,0.0,35,0.5833333333333334,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,,maze-32-32-4,200,,,60,0,0,0.0,0.0,,,,0.012038999277296831,0.0,0.012038999277296831,0.0,0.0,0.0,47,0.7833333333333333,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,,maze-32-32-4,400,,,39,0,0,0.0,0.0,,,,0.017602866978702305,0.0,0.017602866978702305,0.0,0.0,0.0,20,0.5128205128205128,0,0.0,0.0
phase4f_repair5_attention_native,,empty-48-48,50,,,60,27,0,0.4074074074074074,0.8518518518518519,,,,0.004667154645642667,0.0,0.004667154645642667,0.0038338213123093336,0.5,0.3333333333333333,1,0.016666666666666666,0,0.0,0.4666666666666667
phase4f_repair5_attention_native,,empty-48-48,100,,,60,35,0,0.34285714285714286,0.8857142857142857,,,,0.006739371990270633,0.0,0.006739371990270633,0.006739371990270633,0.5555555555555556,0.3333333333333333,0,0.0,0,0.0,0.55
phase4f_repair5_attention_native,,empty-48-48,200,,,60,29,0,0.1724137931034483,0.6896551724137931,,,,0.002703083466694833,0.0,0.002703083466694833,0.002703083466694833,0.375,0.5,0,0.0,0,0.0,0.5666666666666667
phase4f_repair5_attention_native,,empty-48-48,400,,,60,39,0,0.1282051282051282,0.6923076923076923,,,,0.0030939744797231833,0.0,0.0030939744797231833,0.0030939744797231833,0.5,0.5,0,0.0,0,0.0,0.48333333333333334
phase4f_repair5_attention_native,,maze-32-32-4,50,,,60,46,0,0.08695652173913043,0.41304347826086957,,,,0.0022524204744788162,0.0,0.0022524204744788162,-0.002747579525521184,0.3870967741935484,0.3548387096774194,6,0.1,0,0.0,0.5166666666666667
phase4f_repair5_attention_native,,maze-32-32-4,100,,,60,43,0,0.23255813953488372,0.3953488372093023,,,,-0.016658416252075422,0.0,-0.016658416252075422,-0.005575901465575417,0.5588235294117647,0.058823529411764705,12,0.2,0,0.0,0.6833333333333333
phase4f_repair5_attention_native,,maze-32-32-4,200,,,60,48,0,0.1875,0.3958333333333333,,,,-0.012230449454852335,0.0,-0.012230449454852335,-0.005289747312594001,0.43478260869565216,0.06521739130434782,18,0.3,2,0.03333333333333333,0.7666666666666667
phase4f_repair5_attention_native,,maze-32-32-4,400,,,39,26,0,0.2692307692307692,0.5,,,,0.13111015080625896,0.0,0.13111015080625896,0.010267546114738466,0.4230769230769231,0.07692307692307693,10,0.2564102564102564,0,0.0,0.6923076923076923
phase4f_repair5_expand5000_ex5000_linear_target_global,,empty-48-48,50,,,100,49,100,0.40816326530612246,0.8775510204081632,0.32,0.63,0.009777724208448347,0.006221504595332731,0.0,0.006221504595332731,0.004221504595332729,0.8148148148148148,0.1111111111111111,4,0.04,0,0.0,0.61
phase4f_repair5_expand5000_ex5000_linear_target_global,,empty-48-48,100,,,100,57,100,0.43859649122807015,0.8596491228070176,0.36,0.72,0.008065915226926089,0.008399111565691808,0.0,0.008399111565691808,0.007399111565691808,0.75,0.17857142857142858,2,0.02,0,0.0,0.68
phase4f_repair5_expand5000_ex5000_linear_target_global,,empty-48-48,200,,,100,47,100,0.1276595744680851,0.7659574468085106,0.11,0.59,0.009659886615966302,0.0015935277059159103,0.0,0.0015935277059159103,0.0015935277059159103,0.42857142857142855,0.5,0,0.0,0,0.0,0.6
phase4f_repair5_expand5000_ex5000_linear_target_global,,empty-48-48,400,,,100,59,100,0.1864406779661017,0.7627118644067796,0.18,0.65,0.010739062356943158,0.0033662224452628503,0.0,0.0033662224452628503,0.0033662224452628503,0.35294117647058826,0.5294117647058824,0,0.0,0,0.0,0.57
phase4f_repair5_expand5000_ex5000_linear_target_global,,maze-32-32-4,50,,,100,76,100,0.14473684210526316,0.4473684210526316,0.16,0.45,0.03059241446637018,-0.0021801254018734787,0.0,-0.0021801254018734787,-0.00811162974894648,0.5208333333333334,0.0,16,0.16,0,0.0,0.76
phase4f_repair5_expand5000_ex5000_linear_target_global,,maze-32-32-4,100,,,100,70,100,0.21428571428571427,0.5,0.17,0.44,0.03207431427170701,-0.020319142387613228,0.0,-0.020319142387613228,-0.005257202118007231,0.5925925925925926,0.05555555555555555,18,0.18,3,0.03,0.68
phase4f_repair5_expand5000_ex5000_linear_target_global,,maze-32-32-4,200,,,100,82,100,0.024390243902439025,0.6219512195121951,0.14,0.55,0.07399097198839097,0.001929480589768,0.0,0.001929480589768,0.001927685257628,0.02531645569620253,0.9367088607594937,0,0.0,61,0.61,0.23
phase4f_repair5_expand5000_ex5000_linear_target_global,,maze-32-32-4,400,,,62,43,62,0.0,0.6511627906976745,0.16129032258064516,0.45161290322580644,0.08620709871239578,0.0,0.0,0.0,0.0,0.0,0.8837209302325582,0,0.0,30,0.4838709677419355,0.25806451612903225
phase4f_repair5_expand5000_ex5000_mlp_safety_light,,empty-48-48,50,,,100,49,100,0.3673469387755102,0.8775510204081632,0.31,0.63,0.009686828618711249,0.0058124001850698315,0.0,0.0058124001850698315,0.004312400185069829,0.7037037037037037,0.2222222222222222,3,0.03,0,0.0,0.61
