candidate_id,candidate_family,agents,iteration,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g59_light_cong_light_flow,other_flow,100,1,12,6,0,0,0,0,6,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,50,0,175,2,0,3,130,0,40,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,50,1,31,6,18,20,0,1,4,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,100,0,152,1,0,3,93,0,55,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,100,1,11,7,0,0,0,0,4,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,50,0,175,1,2,4,129,0,41,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,50,1,34,7,18,19,0,1,7,0,0,False,False,False,False,False
repair5g59_static_flow_shield,static_flow_shield,100,0,320,2,0,2,225,0,91,0,0,False,False,False,False,False
repair5g59_static_flow_shield,static_flow_shield,100,1,21,7,0,0,0,0,14,0,0,False,False,False,False,False
repair5g59_static_flow_shield,static_flow_shield,50,0,350,2,23,28,274,2,44,0,0,False,False,False,False,False
repair5g59_static_flow_shield,static_flow_shield,50,1,51,10,19,24,0,0,17,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,100,0,152,1,0,3,93,0,55,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,100,1,12,6,0,0,0,0,6,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,50,0,175,1,2,6,128,0,40,0,0,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,50,1,33,9,18,21,0,0,3,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,100,0,321,3,0,7,224,0,87,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,100,1,16,7,0,0,0,0,9,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,50,0,349,1,24,28,277,1,42,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,50,1,46,7,20,26,0,0,13,0,0,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,50,final,3,3,0,0,0,0,0,0,0,False,False,False,False,False
