candidate_id,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,search_stage,stage_code,source_candidate_id,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,method,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count
repair5g539_s1_015,24,0,1,6,17,0.00560230065012,0,0.00560230065012,0.00560230065012,-0.00644837037283,1,13,3,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.25,1.25,1.0,0.65,0.95,0.9,0.15,1.25,False,flow_shield,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df0p9_beta0p15_max1p25_c0,24,0,0,6,18,0.000258701279889,0,0.000258701279889,0.000258701279889,0.000194025959917,2,14,2,2,0
repair5g539_s1_040,24,0,1,6,17,0.00589750725129,0,0.00589750725129,0.00589750725129,-0.006239265697,1,13,3,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.1,1.25,0.75,0.65,0.98,0.95,0.6,1.25,False,flow_shield,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p98_df0p95_beta0p6_max1p25_c0,24,0,0,6,18,0.000537507514333,0,0.000537507514333,0.000537507514333,0.00040313063575,1,16,1,1,1
repair5g539_s1_025,24,0,1,6,17,0.00592718441871,0,0.00592718441871,0.00592718441871,-0.00621824437008,0,14,3,1,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.0,1.25,0.5,0.65,0.98,0.98,0.2,1.25,False,flow_shield,repair5g518_grid_c1p00_b1p25_f0p5_w0p65_dc0p98_df0p98_beta0p2_max1p25_c0,24,0,0,6,18,0.000565535950222,0,0.000565535950222,0.000565535950222,0.000424151962667,1,15,2,1,0
repair5g539_s1_000,24,0,1,6,17,0.00597427224582,0,0.00597427224582,0.00597427224582,-0.00618489049254,1,14,2,2,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.1,1.25,0.75,0.65,0.95,0.95,0.25,1.25,False,flow_shield,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,24,0,0,6,18,0.000610007786944,0,0.000610007786944,0.000610007786944,0.000457505840208,1,15,2,1,0
repair5g539_s2_106,24,0,1,6,17,0.00599916930135,0,0.00599916930135,0.00599916930135,-0.00616725507821,0,14,3,1,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.4,1.6,0.75,0.75,0.98,0.98,0.35,0.5,False,flow_shield,repair5g518_grid_c1p4_b1p6_f0p75_w0p75_dc0p98_df0p98_beta0p35_max0p5_c0,24,0,0,6,18,0.000633521672722,0,0.000633521672722,0.000633521672722,0.000475141254542,2,15,1,2,0
repair5g539_s2_097,24,0,1,6,17,0.00604451001794,0,0.00604451001794,0.00604451001794,-0.00613513873729,0,14,3,1,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.0,1.0,1.0,0.75,0.95,0.9,0.35,0.75,False,flow_shield,repair5g518_grid_c1p00_b1p00_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,24,0,0,6,18,0.000676343460611,0,0.000676343460611,0.000676343460611,0.000507257595458,1,16,1,1,0
repair5g539_s2_099,24,0,1,6,17,0.00613075124918,0,0.00613075124918,0.00613075124918,-0.0060740511985,2,12,3,3,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.0,1.6,1.0,0.75,0.95,0.95,0.3,1.0,False,flow_shield,repair5g518_grid_c1p00_b1p6_f1p00_w0p75_dc0p95_df0p95_beta0p3_max1p00_c0,24,0,0,6,18,0.000757793512333,0,0.000757793512333,0.000757793512333,0.00056834513425,3,13,2,3,0
repair5g539_s3_112,24,0,1,6,17,0.00613459541524,0,0.00613459541524,0.00613459541524,-0.00607132824754,1,13,3,2,0,False,False,False,False,False,Stage 3 safety-boundary stress,s3,,1.4,1.6,1.25,0.75,1.0,1.0,0.6,1.25,False,flow_shield,repair5g518_grid_c1p4_b1p6_f1p25_w0p75_dc1p00_df1p00_beta0p6_max1p25_c0,24,0,0,6,18,0.000761424113611,0,0.000761424113611,0.000761424113611,0.000571068085208,2,14,2,2,0
repair5g539_s2_085,24,0,1,6,17,0.00620833361182,0,0.00620833361182,0.00620833361182,-0.00601909702496,0,14,3,1,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.1,1.4,0.75,0.5,0.98,0.95,0.25,0.5,False,flow_shield,repair5g518_grid_c1p1_b1p4_f0p75_w0p5_dc0p98_df0p95_beta0p25_max0p5_c0,24,0,0,6,18,0.000831065743722,0,0.000831065743722,0.000831065743722,0.000623299307792,1,16,1,1,0
repair5g539_s1_008,24,0,1,6,17,0.00632655333676,0,0.00632655333676,0.00632655333676,-0.00593535805313,0,14,3,1,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.1,1.25,0.75,0.35,1.0,0.95,0.15,1.0,False,flow_shield,repair5g518_grid_c1p1_b1p25_f0p75_w0p35_dc1p00_df0p95_beta0p15_max1p00_c0,24,0,0,6,18,0.000942717706167,0,0.000942717706167,0.000942717706167,0.000707038279625,1,15,2,1,0
