row_type,g567_evaluation_uid,context_id,map,map_family,agents,target_candidate_count,mean_L1_target_distance_to_g556,mean_L1_target_distance_to_static_flow,mean_L1_actor_prediction_distance_to_g556,mean_L1_actor_prediction_distance_to_static_flow
label_train_target_set,b9bd06b446452d3ea90dc83f08a6a781f1fa66472dd4d54aa0841f1f35b2022d,g567_gate3b_calibration_00176,empty_32_32,empty,16,3.0,0.000772145059373631,0.09086636311478086,,
label_train_target_set,b9c529df9f2d39ce7a5634e776e21bd04cdd412dde6c1e9a13160062c46697b8,g567_gate3b_calibration_00041,ht_chantry,game,128,1.0,0.003629438176987651,0.09083139329675648,,
label_train_target_set,b9ce49d51533e0bde6999a157809953abd760c26256a61053d4df92fa13118d4,g567_gate3b_label_train_01219,room_64_64_16,room,12,1.0,0.027828533739324614,0.1144641535386207,,
label_train_target_set,b9ed5c49ff282a14d815500daea2d8c7ad375df23564a0cc7907d5fd3797d169,g567_gate3b_label_train_01910,g567-large-maze-128x128-a-v3,large_maze,1000,1.0,0.06763913980552125,0.022883627130871786,,
label_train_target_set,ba06ad9656a12dea61802c1922d4f3bb6dafce6b973a89e5bd499edea9a55976,g567_gate3b_label_train_01784,room_32_32_4,room,8,16.0,0.005361380313656154,0.09252471292746212,,
label_train_target_set,ba126d1c40abc17e3b01b3e4f03c9ab764e1838778340601ccb231247e3a99d2,g567_gate3b_label_train_00146,den312d,game,32,2.0,0.007433892412791176,0.09168972623726683,,
label_train_target_set,ba29c3f186f7e49d75b1bd2841f50be0281810b3bef544b7526bcb8a94086bd2,g567_gate3b_label_train_01062,g567-large-empty-128x128-a-v0,large_empty,3000,1.0,0.0009043900928800069,0.09039568252979766,,
label_train_target_set,ba2de5c620d6151b698d15a8cbc6964388eb5fe88448f3d957005ff0750498e3,g567_gate3b_label_train_00256,random_32_32_10,random,384,1.0,0.06764354917265128,0.022873390179777884,,
label_train_target_set,ba38a9b8d8be89f9e4699b9eec66f6ac61e416a2eaf385212d0be888625e3b36,g567_gate3b_label_train_00434,warehouse_10_20_10_2_2,warehouse,384,1.0,0.022698987911617945,0.06863941787727298,,
label_train_target_set,ba39410499da7db163b5617446ed33fb3421d490f9d24055c43639f57e23963b,g567_gate3b_label_train_00892,g567-large-empty-128x128-a-v3,large_empty,2000,1.0,0.0011959075927734494,0.09129012564818068,,
label_train_target_set,ba4e6a9e2b31b9c70719a4ad1975cbda8690b6a63532e6eaf450ebe31f672208,g567_gate3b_label_train_01260,room_64_64_16,room,64,1.0,0.009158848656548391,0.09250995073053576,,
label_train_target_set,ba58f072b03a4de025de55ebb3ad1190e920bbff2f906ffee52b6e6d518e474f,g567_gate3b_label_train_00213,random_32_32_10,random,12,8.0,0.009657198482799115,0.09154376795958905,,
