g551_targeted_row_id,execution_mode,real_solver_execution,context_key,context_id,role,candidate_id,materialized_method,sampling_policy,map,map_family,agents,seed,budget_ms,iteration,solution_found,probe_feasible,sum_of_loss_ratio,probe_sum_of_loss,probe_lower_bound,probe_runtime_ms,expanded_nodes,low_level_pibt_calls,trace_event_count,candidate_recognized,updateparams_hash,updateparams_fingerprint,traffic_before_hash_full,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g549_solver_row,probe_materialized,no_probe_reason,panel,route,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,theta_cluster,registry_label,candidate_group,fulltheta_registry_row_id,counts_as_g549_calibration_topup,counts_as_g549_fulltheta_replay,context_horizon_key,fulltheta_fingerprint_match,fulltheta_fingerprint_mismatched_fields,counts_as_new_g550_solver_row,g550_stage,counts_as_new_g551_solver_row,g551_stage,counts_as_new_g546_solver_row,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,is_best_candidate_in_context,oracle_gap_vs_static,feature_map_family_maze,feature_map_family_random,feature_map_family_warehouse,feature_agents,feature_budget_ms,feature_iteration_final,feature_trace_event_count,feature_trace_events_per_agent,feature_pibt_failure_audit_count,feature_expanded_nodes,feature_high_level_expansions,feature_low_level_pibt_calls,feature_expansions_per_agent,feature_budget_per_agent,feature_obstacle_ratio_proxy,feature_corridor_proxy,feature_junction_proxy
g551_targeted_no_probe_00000010_9709042671,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000176,repair5g551_theta_551000176,repair5g551_theta_551000176,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.284375,1.25,0.75,0.75,1,0.9825,0.95,1,0.9875,0.9775,0.343,0.78375,0.933570821899,10.475530254,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000007,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000011_6719908895,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000270,repair5g551_theta_551000270,repair5g551_theta_551000270,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.5,1.25,0.75,0.75,1,0.573897470429,0.95,1,1.097,0.58701993496,0.2965,0.8075,0.944,11.965,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000008,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000012_5987331560,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000113,repair5g551_theta_551000113,repair5g551_theta_551000113,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.25,1.25,0.75,0.75,1,0.898444350741,0.95,1,1,0.942247107747,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000009,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000013_9647580642,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000506,repair5g551_theta_551000506,repair5g551_theta_551000506,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.25,1.25,0.75,0.75,1,0.771,0.95,1,0.959,0.69,0.343,0.773,0.928,11.046,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000010,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000014_6893147469,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000382,repair5g551_theta_551000382,repair5g551_theta_551000382,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.203125,1.25,0.75,0.75,1,0.815271037085,0.95,1,0.9005,0.826720157275,0.256375,0.6845,1,10.8845,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000011,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000015_3967011324,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000114,repair5g551_theta_551000114,repair5g551_theta_551000114,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.25,1.25,0.75,0.75,1,0.796888701481,0.95,1,1,0.884494215494,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000012,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000016_7660661774,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000096,repair5g551_theta_551000096,repair5g551_theta_551000096,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.3838608434,1.25,0.75,0.75,1,0.95,0.95,1,1.14160480662,1.13,0.2975,0.915,1,12,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000013,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000017_1754059400,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3003|2000|no_probe|generated_theta_targeted_short5000_t050_i2,generated_theta_targeted|random|a50|s3003|b2000|short5000_t050_i2,generated_theta::repair5g551_theta_551000419,repair5g551_theta_551000419,repair5g551_theta_551000419,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3003,2000,,False,False,,,,,,,,True,,,,1.25,1.25,1.25,0.75,0.75,1,1.035,0.95,1,0.954,1.014,0.253,0.832,0.904,10.921,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short5000_t050_i2,2000,5000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000014,,,random-32-32-20|50|3003|2000|generated_theta_targeted_short5000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000000_3392380375,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3001|2000|no_probe|generated_theta_targeted_short2000_t050_i2,generated_theta_targeted|random|a50|s3001|b2000|short2000_t050_i2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,random-32-32-20,random,50,3001,2000,,False,False,,,,,,,,True,,,,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short2000_t050_i2,2000,2000,0.5,2,3000_3019,additive_ltm,additive_ltm,additive_ltm,,,,random-32-32-20|50|3001|2000|generated_theta_targeted_short2000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000001_8587387815,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3001|2000|no_probe|generated_theta_targeted_short2000_t050_i2,generated_theta_targeted|random|a50|s3001|b2000|short2000_t050_i2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,random-32-32-20,random,50,3001,2000,,False,False,,,,,,,,True,,,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short2000_t050_i2,2000,2000,0.5,2,3000_3019,static_flow_shield,static_flow_shield,static_flow_shield,,,,random-32-32-20|50|3001|2000|generated_theta_targeted_short2000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000002_9231964585,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3001|2000|no_probe|generated_theta_targeted_short2000_t050_i2,generated_theta_targeted|random|a50|s3001|b2000|short2000_t050_i2,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,random-32-32-20,random,50,3001,2000,,False,False,,,,,,,,True,,,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short2000_t050_i2,2000,2000,0.5,2,3000_3019,frozen_family_static_goal_aware,frozen_family_static_goal_aware,frozen_family_static_goal_aware,,,,random-32-32-20|50|3001|2000|generated_theta_targeted_short2000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
g551_targeted_no_probe_00000003_4054648324,new_g551_generated_theta_targeted_solver_row,True,random-32-32-20|50|3001|2000|no_probe|generated_theta_targeted_short2000_t050_i2,generated_theta_targeted|random|a50|s3001|b2000|short2000_t050_i2,generated_theta::repair5g551_theta_551000177,repair5g551_theta_551000177,repair5g551_theta_551000177,checkpoint_risk_classifier_utility_ranker_abstention,random-32-32-20,random,50,3001,2000,,False,False,,,,,,,,True,,,,1.25,1.31875,1.25,0.75,0.75,1,0.965,0.95,1,0.975,0.955,0.336,0.8175,0.867141643799,9.95106050808,1,0,0,False,False,False,False,False,True,False,outer_static_flow_no_solution_or_no_counterfactual_checkpoint,generated_theta_targeted,E_targeted_transfer,generated_theta_targeted_short2000_t050_i2,2000,2000,0.5,2,3000_3019,checkpoint_risk_classifier_utility_ranker_abstention,g551_iteration_checkpoint_policy,checkpoint_risk_classifier_utility_ranker_abstention,g551_policy_generated_000004,,,random-32-32-20|50|3001|2000|generated_theta_targeted_short2000_t050_i2,True,,True,g551_generated_theta_targeted,True,g551_generated_theta_targeted,,,,,,,,,,,,,,,,,,,,,,
